DateTime,Entries,UniqueIPs
1479640601,248,248
1479644199,246,246
1479647804,242,242
1479651445,248,248
1479654989,253,253
1479658632,251,251
1479662200,244,244
1479665798,251,251
1479669399,247,247
1479672944,250,250
1479676551,250,250
1479680108,246,246
1479683967,243,243
1479687430,245,245
1479691048,256,256
1479694631,255,255
1479698190,249,249
1479701791,235,235
1479705324,237,237
1479708916,240,240
1479712603,247,247
1479716196,247,247
1479720018,246,246
1479723307,246,246
1479726951,249,249
1479730523,246,246
1479734220,241,241
1479737832,240,240
1479741456,242,242
1479744998,246,246
1479748594,250,250
1479752168,249,249
1479755788,250,250
1479759388,249,249
1479762991,245,245
1479766609,243,243
1479770198,241,241
1479773773,239,239
1479777378,254,254
1479780990,258,258
1479784571,250,250
1479788163,239,239
1479791784,239,239
1479795366,237,237
1479799066,240,240
1479802580,238,238
1479806225,236,236
1479809779,237,237
1479813379,236,236
1479816996,234,234
1479820611,239,239
1479824279,243,243
1479827768,244,244
1479831439,243,243
1479834985,244,244
1479838564,242,242
1479842226,245,245
1479845740,240,240
1479849364,241,241
1479852977,242,242
1479856566,243,243
1479860194,253,253
1479863800,276,276
1479867416,274,274
1479870943,270,270
1479874535,252,252
1479878183,252,252
1479881738,259,259
1479885445,257,257
1479888992,257,257
1479892637,257,257
1479896215,253,253
1479899759,251,251
1479903408,252,252
1479906956,250,250
1479910572,252,252
1479914143,256,256
1479917769,250,250
1479921430,250,250
1479924960,250,250
1479928613,257,257
1479932188,259,259
1479935812,263,263
1479939379,262,262
1479943034,258,258
1479946597,258,258
1479950199,288,288
1479953831,289,289
1479957373,295,295
1479961007,284,284
1479964589,276,276
1479968198,275,275
1479971842,275,275
1479975398,275,275
1479978999,275,275
1479982601,275,275
1479986161,274,274
1479989833,267,267
1479993421,266,266
1479997013,269,269
1480000613,274,274
1480004236,273,273
1480007795,276,276
1480011402,274,274
1480014997,268,268
1480018660,272,272
1480022186,277,277
1480025783,278,278
1480029363,280,280
1480033032,280,280
1480036618,295,295
1480040210,299,299
1480043842,295,295
1480047407,276,276
1480051024,275,275
1480054562,271,271
1480058217,274,274
1480061792,275,275
1480065394,278,278
1480069030,276,276
1480072603,272,272
1480076201,273,273
1480079780,268,268
1480083441,270,270
1480087023,268,268
1480090642,274,274
1480094216,274,274
1480097775,271,271
1480101369,276,276
1480104968,273,273
1480108615,276,276
1480112198,282,282
1480115795,281,281
1480119412,282,282
1480123004,305,305
1480126598,301,301
1480130192,294,294
1480133730,277,277
1480137390,280,280
1480141006,279,279
1480144625,278,278
1480148172,279,279
1480151785,278,278
1480155371,276,276
1480158986,279,279
1480162598,277,277
1480166227,278,278
1480169805,276,276
1480173375,276,276
1480176999,273,273
1480180594,269,269
1480184159,266,266
1480187722,266,266
