DateTime,Entries,UniqueIPs
1476932824,4,4
1476936415,5,5
1476940008,7,7
1476947230,8,8
1476950833,7,7
1476958018,8,8
1476961637,9,9
1476994024,8,8
1476997626,7,7
1477001222,8,8
1477015625,7,7
1477022821,7,7
1477026423,7,7
1477030007,5,5
1477033627,7,7
1477037226,5,5
1477040820,6,6
1477048023,8,8
1477051620,9,9
1477055229,9,9
1477062448,10,10
1477066038,9,9
1477069645,6,6
1477073220,2,2
1477076827,2,2
1477080418,6,6
1477087623,9,9
1477091227,8,8
1477094826,7,7
1477102020,5,5
1477123628,3,3
1477130824,4,4
1477138022,5,5
1477145217,4,4
1477148823,3,3
1477152424,3,3
1477156213,4,4
1477159946,5,5
1477264011,4,4
1477267627,5,5
1477310812,4,4
1477314408,5,5
1477354020,4,4
1477357616,5,5
1477361224,3,3
1477372010,3,3
1477375618,3,3
1477379213,4,4
1477386415,3,3
1477390020,2,2
1477393623,4,4
1477400819,6,6
1477408013,7,7
1477411621,8,8
1477418821,7,7
1477433215,6,6
1477436805,5,5
1477440421,6,6
1477444023,5,5
1477447615,4,4
1477451214,3,3
1477480011,2,2
1477490966,3,3
1477526825,2,2
1477530881,3,3
1477562819,2,2
1477566424,1,1
1477570030,2,2
1477573614,3,3
1477602422,2,2
1477606022,2,2
1477624018,3,3
1477660004,6,6
1477678013,7,7
1477681600,6,6
1477688815,5,5
1477692409,5,5
1477706824,4,4
1477710430,4,4
1477721224,5,5
1477728433,6,6
1477739232,5,5
1477742827,4,4
1477753618,5,5
1477760825,3,3
1477764432,4,4
1477768030,4,4
1477775228,4,4
1477778822,3,3
1477782430,2,2
1477789624,2,2
1477804013,3,3
1477811225,2,2
1477818414,3,3
1477822010,2,2
1477843615,1,1
1477865215,2,2
1477886821,3,3
1477901217,2,2
1477904850,2,2
1477912004,3,3
1477930028,2,2
1477933634,3,3
1477948011,2,2
1477951615,3,3
1477955214,4,4
1477958845,5,5
1477966081,7,7
1477969813,8,8
1477984413,4,4
1477987812,5,5
1477991666,6,6
1477995071,8,8
1478009583,7,7
1478020277,6,6
1478028012,7,7
1478042017,8,8
1478056425,7,7
1478067724,6,6
1478071424,5,5
1478075106,6,6
1478089053,7,7
1478103163,5,5
1478106757,7,7
1478110096,6,6
1478113702,5,5
1478124423,3,3
1478128015,2,2
1478131622,1,1
1478135207,3,3
1478138806,4,4
1478163999,3,3
1478185612,4,4
1478200150,3,3
1478210807,4,4
1478221610,6,6
1478225207,6,6
1478228816,7,7
1478236010,6,6
1478239617,6,6
1478246820,7,7
1478279223,6,6
1478290030,4,4
1478293636,5,5
1478297221,6,6
1478304423,7,7
1478318799,3,3
1478326010,5,5
1478329623,6,6
1478333207,6,6
1478340418,4,4
1478344008,4,4
1478347625,3,3
1478351208,4,4
1478354813,5,5
1478358398,6,6
1478362007,7,7
1478369210,6,6
1478372815,5,5
1478376417,3,3
1478380002,5,5
1478383615,4,4
1478387207,5,5
1478394406,6,6
1478401618,3,3
1478430420,2,2
1478434015,3,3
1478506002,2,2
1478516807,3,3
1478538426,2,2
1478542010,3,3
1478657211,2,2
1478660840,1,1
1478664436,3,3
1478668025,2,2
1478678827,1,1
1478689628,2,2
1478696836,3,3
1478714826,2,2
1478718419,1,1
1478722016,2,2
1478736429,1,1
1478743594,0,0
1478848048,3,3
1478909226,2,2
1478912831,2,2
1478930816,3,3
1478941638,2,2
1478945220,3,3
1478952436,2,2
1478963234,1,1
1478966837,5,5
1478974038,6,6
1478981241,5,5
1478992022,4,4
1478995623,5,5
1478999225,6,6
1479010025,5,5
1479038839,6,6
1479046047,5,5
1479053228,4,4
1479060433,5,5
1479067635,4,4
1479071222,4,4
1479078423,5,5
1479082025,4,4
1479085614,3,3
1479092826,2,2
1479100014,2,2
1479110823,3,3
1479150425,2,2
1479154055,3,3
1479204433,5,5
1479208036,6,6
1479211629,5,5
1479215233,6,6
1479226031,5,5
1479240628,6,6
1479262017,5,5
1479265613,6,6
1479287276,5,5
1479290856,6,6
1479319617,5,5
1479323211,6,6
1479337614,5,5
1479341228,6,6
1479362814,5,5
1479366408,4,4
1479373611,3,3
1479377218,4,4
1479384418,5,5
1479388019,4,4
1479398809,6,6
1479413234,5,5
1479420404,6,6
1479431259,5,5
1479435034,4,4
1479438627,3,3
1479445635,2,2
1479449204,2,2
1479452816,3,3
1479496024,2,2
1479499621,3,3
1479618421,2,2
1479629215,3,3
1479654409,5,5
1479665218,6,6
1479679608,5,5
1479694016,6,6
1479697620,5,5
1479704810,4,4
1479708403,3,3
1479712018,5,5
1479715604,4,4
1479719281,5,5
1479726424,6,6
1479744420,5,5
1479751624,4,4
1479755217,5,5
1479762418,3,3
1479769621,3,3
1479773215,5,5
1479784016,3,3
1479787607,2,2
1479791211,2,2
1479805624,3,3
1479820017,2,2
1479834419,3,3
1479845210,2,2
1479848812,1,1
1479852421,2,2
1479856009,3,3
1479906402,2,2
1479910014,3,3
1479913606,5,5
1479920818,6,6
1479924418,6,6
1479928019,6,6
1479931602,5,5
1479935207,6,6
1479938812,5,5
1479949593,4,4
1479953205,5,5
1479956797,6,6
1479963998,5,5
1479978408,6,6
1479992809,5,5
1479996412,6,6
1480010808,4,4
1480014421,6,6
1480039613,5,5
1480043218,4,4
1480050410,3,3
1480054018,4,4
1480061221,3,3
1480064817,5,5
1480079216,4,4
1480090019,5,5
1480111616,6,6
1480126012,4,4
1480129597,3,3
1480223208,2,2
1480226823,2,2
1480230421,3,3
1480255622,2,2
1480259219,3,3
1480273619,2,2
1480295234,4,4
1480302429,3,3
1480306012,5,5
1480309611,5,5
1480313218,6,6
1480331228,5,5
1480334829,6,6
1480342022,4,4
1480349410,4,4
1480353022,5,5
1480360023,5,5
1480363635,5,5
1480370820,7,7
1480385220,8,8
1480396026,6,6
1480399652,5,5
1480403220,5,5
1480410418,3,3
1480414020,5,5
1480417628,6,6
1480421224,7,7
1480424833,8,8
1480428432,6,6
1480432234,5,5
1480439355,9,9
1480443121,10,10
1480453605,9,9
1480457211,8,8
1480464421,8,8
1480468021,6,6
1480475214,7,7
1480478816,6,6
1480500414,5,5
1480504021,4,4
1480514870,3,3
1480518447,5,5
1480522020,7,7
1480536426,5,5
1480540261,4,4
1480547223,5,5
1480558023,6,6
1480561619,6,6
1480565217,7,7
1480568820,9,9
1480572424,7,7
1480579630,6,6
1480583213,6,6
1480590420,7,7
1480594021,7,7
1480597633,6,6
1480604840,7,7
1480612019,8,8
1480615616,7,7
1480619228,6,6
1480622825,7,7
1480626426,7,7
1480637213,7,7
1480648027,8,8
1480651624,7,7
1480658824,8,8
1480662416,9,9
1480666023,8,8
1480673282,7,7
1480676888,8,8
1480680458,9,9
1480698425,8,8
1480702181,8,8
1480705926,9,9
1480712818,8,8
1480716422,9,9
1480720024,8,8
1480723610,9,9
1480727192,8,8
1480730818,6,6
1480734413,4,4
1480745207,2,2
1480752402,3,3
1480756029,4,4
1480777613,3,3
1480781247,2,2
1480784824,3,3
1480799213,4,4
1480802821,3,3
1480806426,4,4
1480846016,3,3
1480849618,4,4
1480853214,5,5
1480856816,5,5
1480860420,6,6
1480867619,7,7
1480871222,6,6
1480874810,7,7
1480878417,9,9
1480882004,9,9
1480889223,10,10
1480892818,9,9
1480903610,9,9
1480907217,9,9
1480910811,10,10
1480918012,9,9
1480921617,11,11
1480925215,10,10
1480932420,10,10
1480939612,11,11
1480943217,12,12
1480950421,11,11
1480954011,8,8
1480957642,9,9
1480961225,8,8
1480964821,8,8
1480968425,9,9
1480972018,9,9
1480975622,10,10
1480979241,11,11
1480986405,10,10
1480990017,9,9
1480993621,7,7
1481036810,6,6
1481040413,4,4
1481044040,5,5
1481047624,6,6
1481051217,7,7
1481054888,5,5
1481058472,6,6
1481062088,4,4
1481066171,7,7
1481080014,5,5
1481083606,6,6
1481094405,5,5
1481098008,6,6
1481101875,6,6
1481112420,4,4
1481116279,7,7
1481144803,6,6
1481155610,7,7
1481159217,6,6
1481162816,5,5
1481166402,7,7
1481180813,5,5
1481184417,6,6
1481188020,5,5
1481195219,5,5
1481198822,3,3
1481202412,6,6
1481206028,8,8
1481209620,9,9
1481213227,10,10
1481224341,9,9
1481228001,9,9
1481231246,9,9
1481234814,10,10
1481242023,11,11
1481245609,10,10
1481249211,9,9
1481252818,9,9
1481256412,8,8
1481260013,7,7
1481267210,11,11
1481270810,10,10
1481278010,10,10
1481281625,11,11
1481285213,9,9
1481288816,10,10
1481292429,12,12
1481296013,12,12
1481303275,13,13
1481328414,12,12
1481332006,9,9
1481335618,6,6
1481339218,7,7
1481346412,7,7
1481350202,8,8
1481353615,6,6
1481357209,5,5
1481360814,4,4
1481364412,3,3
1481371750,6,6
1481375240,7,7
1481378813,6,6
1481382418,8,8
1481400421,7,7
1481407613,6,6
1481411219,5,5
1481414818,6,6
1481418429,8,8
1481425607,9,9
1481429225,10,10
1481443613,9,9
1481450813,10,10
1481454426,8,8
1481458023,9,9
1481465215,9,9
1481468814,8,8
