DateTime,AddedIPs,RemovedIPs
1476767338,1,0
1476774552,1,0
1476788934,0,1
1476806943,1,0
1476814141,0,1
1476817744,1,1
1476839342,15,0
1476850148,0,21
1476853721,0,1
1476860948,0,1
1476904161,1,0
1476914941,0,1
1476918527,1,0
1476925736,8,0
1476936529,0,15
1476943743,0,1
1476947370,1,0
1476954552,0,1
1476958134,1,0
1476969831,0,1
1476973268,1,0
1476979741,1,0
1476986951,0,1
1476990563,1,1
1477008564,43,0
1477015748,1,1
1477019382,0,22
1477022948,0,1
1477030128,0,1
1477033757,0,1
1477076951,1,0
1477087743,0,1
1477091357,1,1
1477098552,18,0
1477102154,1,0
1477109334,0,11
1477134545,0,1
1477141758,1,0
1477156741,0,1
1477163360,1,0
1477184965,16,0
1477195724,0,8
1477202927,1,0
1477217323,0,1
1477228118,0,1
1477246135,1,0
1477267748,1,0
1477271324,33,0
1477274930,1,1
1477282135,1,43
1477285724,0,3
1477289336,1,0
1477292932,0,1
1477310928,0,1
1477328953,0,1
1477332521,1,0
1477357734,21,0
1477361344,0,1
1477364939,1,0
1477368543,0,18
1477372129,1,1
1477386531,0,2
1477411741,1,0
1477444134,19,0
1477447729,3,0
1477454948,0,16
1477462118,0,3
1477476539,0,1
1477487344,1,0
1477526944,0,1
1477530996,24,0
1477534137,1,0
1477541322,0,31
1477544942,0,2
1477559309,1,0
1477577336,0,1
1477584538,1,1
1477588129,1,0
1477591722,0,1
1477602541,0,1
1477606137,1,1
1477609716,1,0
1477616935,17,0
1477624141,0,1
1477627733,0,21
1477631334,1,0
1477703340,14,0
1477706943,5,0
1477714163,0,18
1477717757,0,2
1477721341,0,1
1477789740,32,0
1477793325,1,0
1477800528,0,22
1477804131,0,1
1477807731,0,1
1477876220,26,0
1477879751,3,0
1477886940,0,20
1477894144,0,1
1477919397,1,1
1477922926,0,1
1477930146,1,1
1477933753,1,0
1477958979,12,0
1477966203,1,0
1477970104,0,16
1477974186,0,2
1477977862,0,1
1477980806,0,2
1477984663,2,0
1477998960,0,1
1478002412,1,0
1478006204,1,0
1478009865,0,1
1478016902,0,1
1478020430,0,1
1478038727,1,1
1478045993,27,0
1478049509,2,0
1478056549,0,23
1478075581,0,1
1478110262,1,0
1478113865,0,1
1478117728,1,1
1478124544,0,1
1478128143,0,1
1478131747,1,0
1478135330,27,0
1478142527,0,1
1478146126,0,28
1478149723,0,1
1478153326,0,1
1478171329,1,0
1478174928,0,1
1478192933,1,0
1478203723,0,1
1478207330,1,0
1478221739,16,2
1478232536,0,13
1478236131,0,1
1478308140,19,0
1478311751,1,0
1478318931,0,22
1478322539,0,1
1478326140,0,1
1478394529,18,0
1478401743,0,1
1478405333,0,31
1478408942,0,1
1478459323,0,1
1478462928,1,0
1478480924,16,0
1478484525,1,0
1478491722,0,12
1478495338,1,0
1478498948,0,1
1478520539,0,1
1478524136,1,0
1478538554,0,2
1478542126,1,0
1478545724,1,0
1478560131,0,1
1478567334,24,0
1478574556,0,1
1478578151,0,19
1478610572,1,0
1478624945,0,2
1478628545,1,0
1478653765,11,0
1478657331,1,0
1478664554,0,18
1478668148,0,1
1478700561,1,0
1478711363,0,1
1478736556,27,0
1478747353,0,13
1478750944,0,1
1478826543,15,0
1478830155,1,0
1478833753,0,1
1478837343,0,24
1478844552,0,1
1478848188,1,0
1478858948,0,1
1478869834,0,1
1478912959,12,0
1478920160,1,1
1478923754,0,11
1478927350,0,3
1478934571,0,1
1478941751,1,0
1478956155,0,1
1478959754,1,0
1478999339,20,0
1479002954,1,0
1479010140,0,24
1479013730,0,1
1479038954,1,0
1479042547,1,0
1479053342,0,1
1479056941,0,1
1479060545,1,0
1479085735,21,0
1479089336,1,0
1479096543,0,16
1479103744,0,1
1479107343,0,1
1479110940,1,0
1479168552,15,0
1479175750,0,1
1479179334,0,12
1479182941,0,1
1479226146,1,0
1479237349,0,1
1479254926,1,1
1479258519,14,0
1479269325,0,18
1479272928,0,1
1479287405,1,0
1479294802,2,0
1479302276,1,1
1479305993,0,2
1479308976,4,0
1479319735,0,4
1479344911,24,0
1479352124,0,1
1479355734,1,21
1479359318,0,3
1479366549,1,0
1479370135,0,1
1479380929,0,1
1479388145,2,0
1479391731,1,0
1479398939,0,2
1479417123,0,1
1479427871,15,0
1479431440,1,0
1479435178,1,1
1479438785,0,13
1479442208,1,1
1479445753,0,1
1479449332,0,1
1479460134,1,0
1479474542,0,1
1479485343,1,0
1479517729,13,1
1479521336,2,0
1479524924,0,1
1479528531,0,14
1479535722,0,2
1479539350,1,0
1479550135,0,1
1479564534,1,0
1479575329,0,1
1479578939,1,0
1479586123,1,0
1479589729,1,0
1479596935,0,1
1479600525,0,1
1479604133,24,0
1479607724,1,0
1479611331,1,2
1479614933,0,18
1479618546,0,1
1479625748,0,1
1479647336,0,1
1479650939,1,0
1479661752,1,0
1479676132,0,1
1479686947,0,1
1479690524,12,1
1479694133,1,0
1479697739,1,0
1479701334,0,15
1479712139,1,0
1479722937,0,1
1479776923,18,0
1479780528,1,0
1479784132,1,2
1479787723,0,15
1479791335,1,1
1479794913,0,1
1479816538,0,1
1479820136,1,0
1479823770,1,0
1479830939,0,1
1479859728,0,1
1479863337,24,0
1479874131,1,21
1479877731,0,1
1479881320,1,0
1479895731,0,1
1479910132,0,1
1479920935,1,0
1479931717,1,0
1479946145,0,1
1479949715,33,0
1479960530,0,13
1479964113,0,1
1480003736,0,1
1480007326,1,0
1480028918,0,1
1480032535,1,0
1480036128,15,0
1480039739,2,0
1480046935,0,16
1480050542,0,1
1480054153,0,1
1480068530,1,0
1480086540,0,1
1480100946,1,0
1480115342,0,1
1480122534,36,0
1480133323,0,23
1480208938,18,0
1480216144,1,0
1480219726,0,31
1480230557,0,1
1480255749,0,1
1480259346,1,0
1480270131,0,1
1480273740,1,0
1480284531,0,1
1480295369,12,0
1480298929,1,0
1480306126,0,15
1480309727,0,1
1480313333,0,1
1480316955,1,0
1480331353,0,1
1480357015,0,1
1480382817,25,0
1480385341,1,0
1480392544,0,35
1480396152,0,2
1480439508,1,0
1480453725,0,1
1480468148,18,0
1480471741,1,0
1480475337,0,1
1480478935,0,18
1480486126,0,1
1480554539,17,0
1480565339,0,11
1480590541,0,1
1480604967,1,0
1480608560,0,1
1480612143,1,0
1480619349,0,1
1480626548,0,1
1480640929,17,0
1480651746,0,23
1480666144,1,0
1480680578,0,1
1480684133,1,0
1480698546,0,1
1480706207,1,0
1480720145,0,1
1480727313,15,0
1480730941,3,0
1480734533,1,0
1480738139,1,18
1480741744,1,2
1480745328,1,1
1480748964,1,1
1480752526,1,1
1480756155,1,1
1480759719,1,1
1480763336,1,1
1480766933,1,1
1480770544,1,1
1480774129,1,1
1480777734,1,1
1480781368,1,1
1480784945,1,1
1480788524,1,1
1480792138,1,1
1480795745,1,1
1480799332,1,1
1480802942,1,1
1480806545,1,1
1480810156,27,1
1480813727,1,1
1480817355,1,1
1480820935,1,21
1480824530,3,1
1480828129,1,1
1480831725,1,1
1480835340,1,2
1480838931,1,1
1480842523,1,1
1480846140,1,1
1480849739,1,1
1480853337,1,1
1480856939,1,1
1480860542,1,1
1480864135,1,1
1480867740,1,1
1480871351,1,1
1480874935,1,1
1480878540,1,1
1480882123,1,1
1480885759,1,1
1480889348,1,1
1480892942,1,1
1480896539,1,1
1480900141,24,1
1480903727,2,1
1480907341,1,1
1480910933,1,21
1480914537,1,1
1480918133,1,2
1480921744,1,1
1480925333,1,1
1480928939,1,1
1480932538,1,1
1480936138,1,1
1480939733,1,1
1480943335,1,1
1480946944,1,1
1480950548,1,1
1480954128,1,1
1480957759,1,2
1480961342,1,1
1480964938,5,1
1480968542,1,1
1480972137,1,1
1480975739,1,1
1480979359,1,1
1480982933,1,1
1480986524,21,1
1480990131,0,1
1480993729,0,1
1480997325,0,13
1481012317,0,1
1481072925,20,0
1481076529,2,0
1481080125,2,0
1481083726,0,22
1481087364,0,2
1481091168,0,1
1481094517,1,0
1481098138,1,0
1481102052,0,1
1481105334,1,1
1481112531,1,0
1481124310,1,1
1481127979,1,2
1481131285,1,1
1481134125,1,1
1481141340,1,1
1481144918,1,2
1481148523,1,0
1481152130,1,1
1481155725,0,1
1481159336,19,1
1481162936,1,0
1481166521,0,1
1481170142,1,29
1481173726,1,1
1481180932,1,1
1481191773,0,1
1481195338,1,0
1481198945,0,1
1481202533,1,0
1481209740,1,1
1481216944,1,1
1481224780,0,2
1481228135,1,0
1481231364,1,1
1481234945,1,1
1481238533,0,1
1481242148,1,1
1481245730,20,0
1481249331,2,0
1481252942,1,0
1481256531,0,21
1481260129,1,5
1481263735,1,1
1481270940,1,0
1481281744,0,1
1481288949,0,1
1481292548,1,0
1481296143,0,1
1481303443,1,0
1481307126,0,1
1481311099,1,0
1481314382,0,1
1481321333,1,1
1481332125,12,0
1481335738,2,1
1481339339,0,2
1481342917,0,13
1481346541,0,2
1481418548,19,1
1481422138,5,0
1481429345,0,17
1481432954,0,1
1481436518,1,4
