DateTime,Entries,UniqueIPs
1476767338,65,65
1476774552,66,66
1476788934,65,65
1476806943,66,66
1476814141,65,65
1476817744,65,65
1476839342,80,80
1476850148,59,59
1476853721,58,58
1476860948,57,57
1476904161,58,58
1476914941,57,57
1476918527,58,58
1476925736,66,66
1476936529,51,51
1476943743,50,50
1476947370,51,51
1476954552,50,50
1476958134,51,51
1476969831,50,50
1476973268,51,51
1476979741,52,52
1476986951,51,51
1476990563,51,51
1477008564,94,94
1477015748,94,94
1477019382,72,72
1477022948,71,71
1477030128,70,70
1477033757,69,69
1477076951,70,70
1477087743,69,69
1477091357,69,69
1477098552,87,87
1477102154,88,88
1477109334,77,77
1477134545,76,76
1477141758,77,77
1477156741,76,76
1477163360,77,77
1477184965,93,93
1477195724,85,85
1477202927,86,86
1477217323,85,85
1477228118,84,84
1477246135,85,85
1477267748,86,86
1477271324,119,119
1477274930,119,119
1477282135,77,77
1477285724,74,74
1477289336,75,75
1477292932,74,74
1477310928,73,73
1477328953,72,72
1477332521,73,73
1477357734,94,94
1477361344,93,93
1477364939,94,94
1477368543,76,76
1477372129,76,76
1477386531,74,74
1477411741,75,75
1477444134,94,94
1477447729,97,97
1477454948,81,81
1477462118,78,78
1477476539,77,77
1477487344,78,78
1477526944,77,77
1477530996,101,101
1477534137,102,102
1477541322,71,71
1477544942,69,69
1477559309,70,70
1477577336,69,69
1477584538,69,69
1477588129,70,70
1477591722,69,69
1477602541,68,68
1477606137,68,68
1477609716,69,69
1477616935,86,86
1477624141,85,85
1477627733,64,64
1477631334,65,65
1477703340,79,79
1477706943,84,84
1477714163,66,66
1477717757,64,64
1477721341,63,63
1477789740,95,95
1477793325,96,96
1477800528,74,74
1477804131,73,73
1477807731,72,72
1477876220,98,98
1477879751,101,101
1477886940,81,81
1477894144,80,80
1477919397,80,80
1477922926,79,79
1477930146,79,79
1477933753,80,80
1477958979,92,92
1477966203,93,93
1477970104,77,77
1477974186,75,75
1477977862,74,74
1477980806,72,72
1477984663,74,74
1477998960,73,73
1478002412,74,74
1478006204,75,75
1478009865,74,74
1478016902,73,73
1478020430,72,72
1478038727,72,72
1478045993,99,99
1478049509,101,101
1478056549,78,78
1478075581,77,77
1478110262,78,78
1478113865,77,77
1478117728,77,77
1478124544,76,76
1478128143,75,75
1478131747,76,76
1478135330,103,103
1478142527,102,102
1478146126,74,74
1478149723,73,73
1478153326,72,72
1478171329,73,73
1478174928,72,72
1478192933,73,73
1478203723,72,72
1478207330,73,73
1478221739,87,87
1478232536,74,74
1478236131,73,73
1478308140,92,92
1478311751,93,93
1478318931,71,71
1478322539,70,70
1478326140,69,69
1478394529,87,87
1478401743,86,86
1478405333,55,55
1478408942,54,54
1478459323,53,53
1478462928,54,54
1478480924,70,70
1478484525,71,71
1478491722,59,59
1478495338,60,60
1478498948,59,59
1478520539,58,58
1478524136,59,59
1478538554,57,57
1478542126,58,58
1478545724,59,59
1478560131,58,58
1478567334,82,82
1478574556,81,81
1478578151,62,62
1478610572,63,63
1478624945,61,61
1478628545,62,62
1478653765,73,73
1478657331,74,74
1478664554,56,56
1478668148,55,55
1478700561,56,56
1478711363,55,55
1478736556,82,82
1478747353,69,69
1478750944,68,68
1478826543,83,83
1478830155,84,84
1478833753,83,83
1478837343,59,59
1478844552,58,58
1478848188,59,59
1478858948,58,58
1478869834,57,57
1478912959,69,69
1478920160,69,69
1478923754,58,58
1478927350,55,55
1478934571,54,54
1478941751,55,55
1478956155,54,54
1478959754,55,55
1478999339,75,75
1479002954,76,76
1479010140,52,52
1479013730,51,51
1479038954,52,52
1479042547,53,53
1479053342,52,52
1479056941,51,51
1479060545,52,52
1479085735,73,73
1479089336,74,74
1479096543,58,58
1479103744,57,57
1479107343,56,56
1479110940,57,57
1479168552,72,72
1479175750,71,71
1479179334,59,59
1479182941,58,58
1479226146,59,59
1479237349,58,58
1479254926,58,58
1479258519,72,72
1479269325,54,54
1479272928,53,53
1479287405,54,54
1479294802,56,56
1479302276,56,56
1479305993,54,54
1479308976,58,58
1479319735,54,54
1479344911,78,78
1479352124,77,77
1479355734,57,57
1479359318,54,54
1479366549,55,55
1479370135,54,54
1479380929,53,53
1479388145,55,55
1479391731,56,56
1479398939,54,54
1479417123,53,53
1479427871,68,68
1479431440,69,69
1479435178,69,69
1479438785,56,56
1479442208,56,56
1479445753,55,55
1479449332,54,54
1479460134,55,55
1479474542,54,54
1479485343,55,55
1479517729,67,67
1479521336,69,69
1479524924,68,68
1479528531,54,54
1479535722,52,52
1479539350,53,53
1479550135,52,52
1479564534,53,53
1479575329,52,52
1479578939,53,53
1479586123,54,54
1479589729,55,55
1479596935,54,54
1479600525,53,53
1479604133,77,77
1479607724,78,78
1479611331,77,77
1479614933,59,59
1479618546,58,58
1479625748,57,57
1479647336,56,56
1479650939,57,57
1479661752,58,58
1479676132,57,57
1479686947,56,56
1479690524,67,67
1479694133,68,68
1479697739,69,69
1479701334,54,54
1479712139,55,55
1479722937,54,54
1479776923,72,72
1479780528,73,73
1479784132,72,72
1479787723,57,57
1479791335,57,57
1479794913,56,56
1479816538,55,55
1479820136,56,56
1479823770,57,57
1479830939,56,56
1479859728,55,55
1479863337,79,79
1479874131,59,59
1479877731,58,58
1479881320,59,59
1479895731,58,58
1479910132,57,57
1479920935,58,58
1479931717,59,59
1479946145,58,58
1479949715,91,91
1479960530,78,78
1479964113,77,77
1480003736,76,76
1480007326,77,77
1480028918,76,76
1480032535,77,77
1480036128,92,92
1480039739,94,94
1480046935,78,78
1480050542,77,77
1480054153,76,76
1480068530,77,77
1480086540,76,76
1480100946,77,77
1480115342,76,76
1480122534,112,112
1480133323,89,89
1480208938,107,107
1480216144,108,108
1480219726,77,77
1480230557,76,76
1480255749,75,75
1480259346,76,76
1480270131,75,75
1480273740,76,76
1480284531,75,75
1480295369,87,87
1480298929,88,88
1480306126,73,73
1480309727,72,72
1480313333,71,71
1480316955,72,72
1480331353,71,71
1480357015,70,70
1480382817,95,95
1480385341,96,96
1480392544,61,61
1480396152,59,59
1480439508,60,60
1480453725,59,59
1480468148,77,77
1480471741,78,78
1480475337,77,77
1480478935,59,59
1480486126,58,58
1480554539,75,75
1480565339,64,64
1480590541,63,63
1480604967,64,64
1480608560,63,63
1480612143,64,64
1480619349,63,63
1480626548,62,62
1480640929,79,79
1480651746,56,56
1480666144,57,57
1480680578,56,56
1480684133,57,57
1480698546,56,56
1480706207,57,57
1480720145,56,56
1480727313,71,71
1480730941,74,74
1480734533,75,75
1480738139,58,58
1480741744,57,57
1480745328,57,57
1480748964,57,57
1480752526,57,57
1480756155,57,57
1480759719,57,57
1480763336,57,57
1480766933,57,57
1480770544,57,57
1480774129,57,57
1480777734,57,57
1480781368,57,57
1480784945,57,57
1480788524,57,57
1480792138,57,57
1480795745,57,57
1480799332,57,57
1480802942,57,57
1480806545,57,57
1480810156,83,83
1480813727,83,83
1480817355,83,83
1480820935,63,63
1480824530,65,65
1480828129,65,65
1480831725,65,65
1480835340,64,64
1480838931,64,64
1480842523,64,64
1480846140,64,64
1480849739,64,64
1480853337,64,64
1480856939,64,64
1480860542,64,64
1480864135,64,64
1480867740,64,64
1480871351,64,64
1480874935,64,64
1480878540,64,64
1480882123,64,64
1480885759,64,64
1480889348,64,64
1480892942,64,64
1480896539,64,64
1480900141,87,87
1480903727,88,88
1480907341,88,88
1480910933,68,68
1480914537,68,68
1480918133,67,67
1480921744,67,67
1480925333,67,67
1480928939,67,67
1480932538,67,67
1480936138,67,67
1480939733,67,67
1480943335,67,67
1480946944,67,67
1480950548,67,67
1480954128,67,67
1480957759,66,66
1480961342,66,66
1480964938,70,70
1480968542,70,70
1480972137,70,70
1480975739,70,70
1480979359,70,70
1480982933,70,70
1480986524,90,90
1480990131,89,89
1480993729,88,88
1480997325,75,75
1481012317,74,74
1481072925,94,94
1481076529,96,96
1481080125,98,98
1481083726,76,76
1481087364,74,74
1481091168,73,73
1481094517,74,74
1481098138,75,75
1481102052,74,74
1481105334,74,74
1481112531,75,75
1481124310,75,75
1481127979,74,74
1481131285,74,74
1481134125,74,74
1481141340,74,74
1481144918,73,73
1481148523,74,74
1481152130,74,74
1481155725,73,73
1481159336,91,91
1481162936,92,92
1481166521,91,91
1481170142,63,63
1481173726,63,63
1481180932,63,63
1481191773,62,62
1481195338,63,63
1481198945,62,62
1481202533,63,63
1481209740,63,63
1481216944,63,63
1481224780,61,61
1481228135,62,62
1481231364,62,62
1481234945,62,62
1481238533,61,61
1481242148,61,61
1481245730,81,81
1481249331,83,83
1481252942,84,84
1481256531,63,63
1481260129,59,59
1481263735,59,59
1481270940,60,60
1481281744,59,59
1481288949,58,58
1481292548,59,59
1481296143,58,58
1481303443,59,59
1481307126,58,58
1481311099,59,59
1481314382,58,58
1481321333,58,58
1481332125,70,70
1481335738,71,71
1481339339,69,69
1481342917,56,56
1481346541,54,54
1481418548,72,72
1481422138,77,77
1481429345,60,60
1481432954,59,59
1481436518,56,56
