DateTime,Entries,UniqueIPs
1480494023,690,690
1480495958,685,685
1480497856,638,638
1480499777,635,635
1480501698,655,655
1480503690,1670,1670
1480505540,1670,1670
1480507468,1668,1668
1480509398,1669,1669
1480511311,1668,1668
1480513245,1659,1659
1480515155,1659,1659
1480517066,1657,1657
1480518992,1659,1659
1480520908,1665,1665
1480522826,1675,1675
1480524749,1675,1675
1480526666,1675,1675
1480528602,1675,1675
1480530517,1675,1675
1480532514,1678,1678
1480534356,1683,1683
1480536276,1682,1682
1480538195,1672,1672
1480540105,1671,1671
1480542018,1677,1677
1480543946,1679,1679
1480545861,1681,1681
1480547787,1680,1680
1480549695,1676,1676
1480551653,1676,1676
1480553556,1671,1671
1480555489,1678,1678
1480557397,1673,1673
1480559312,1675,1675
1480561298,1674,1674
1480563166,1669,1669
1480565075,1673,1673
1480567008,1670,1670
1480568931,1666,1666
1480570835,1650,1650
1480572768,1651,1651
1480574682,1664,1664
1480576592,1668,1668
1480578520,1672,1672
1480580432,1672,1672
1480582366,1677,1677
1480584279,1660,1660
1480586192,1665,1665
1480588113,1637,1637
1480590088,709,709
1480591964,711,711
1480593878,711,711
1480595783,711,711
1480597733,710,710
1480599638,711,711
1480601563,707,707
1480603463,701,701
1480605381,710,710
1480607564,706,706
1480609482,702,702
1480611397,700,700
1480613308,702,702
1480615309,691,691
1480617154,694,694
1480619082,695,695
1480621020,697,697
1480622941,699,699
1480624827,694,694
1480626755,696,696
1480628662,691,691
1480630846,692,692
1480632760,698,698
1480634710,701,701
1480636620,698,698
1480638519,696,696
1480640522,694,694
1480642349,690,690
1480644281,689,689
1480646192,699,699
1480648110,697,697
1480650029,698,698
1480651949,696,696
1480653873,695,695
1480655785,709,709
1480657711,714,714
1480659636,718,718
1480661567,719,719
1480663467,724,724
1480665404,721,721
1480667313,725,725
1480669288,724,724
1480671157,635,635
1480673339,640,640
1480675224,641,641
1480677155,633,633
1480679065,643,643
1480681252,647,647
1480683169,647,647
1480685061,650,650
1480687002,625,625
1480688912,624,624
1480690880,621,621
1480692752,628,628
1480694935,629,629
1480696832,634,634
1480698762,635,635
1480700661,643,643
1480702841,643,643
1480704971,640,640
1480706894,643,643
1480708900,647,647
1480710738,647,647
1480712652,641,641
1480714599,643,643
1480716532,640,640
1480718433,638,638
1480720359,636,636
1480722271,633,633
1480724438,636,636
1480726360,633,633
1480728537,640,640
1480730494,639,639
1480732366,645,645
1480734541,647,647
1480736435,649,649
1480738357,652,652
1480740254,650,650
1480742432,661,661
1480744356,649,649
1480746538,633,633
1480748511,633,633
1480750381,641,641
1480752282,638,638
1480754197,634,634
1480756159,617,617
1480758031,618,618
1480759955,619,619
1480761862,615,615
1480764040,616,616
1480765959,608,608
1480767870,604,604
1480769794,604,604
1480771736,606,606
1480773689,606,606
1480775588,602,602
1480777736,605,605
1480779643,606,606
1480781549,605,605
1480783505,601,601
1480785406,599,599
1480787311,598,598
1480789260,595,595
1480791172,595,595
1480793065,590,590
1480794990,589,589
1480796905,593,593
1480799096,591,591
1480800991,594,594
1480802934,595,595
1480804825,594,594
1480806782,594,594
1480808661,597,597
1480810845,589,589
1480812764,586,586
1480814676,583,583
1480816591,583,583
1480818559,568,568
1480820470,571,571
1480822358,572,572
1480824539,575,575
1480826430,578,578
1480828366,574,574
1480830278,574,574
1480832242,578,578
1480834410,582,582
1480836315,578,578
1480838242,576,576
1480840164,575,575
1480842150,567,567
