DateTime,Entries,UniqueIPs
1480510093,722,723
1480510902,817,819
1480511544,819,821
1480513231,820,822
1480513947,821,823
1480516344,852,854
1480517058,858,860
1480517782,888,891
1480518508,1009,1012
1480519210,1044,1047
1480519968,1156,1159
1480520645,1192,1195
1480521381,1297,1301
1480522129,1352,1357
1480522812,1478,1483
1480523545,1535,1540
1480524250,1633,1638
1480524987,1669,1674
1480525723,1675,1680
1480526408,1709,1714
1480527148,1740,1745
1480527847,1768,1773
1480528588,1805,1811
1480529297,1855,1861
1480530023,1862,1868
1480530735,1905,1911
1480531464,1936,1942
1480532173,1970,1976
1480532916,2020,2026
1480533610,2029,2035
1480534346,2052,2058
1480535046,2096,2102
1480535792,2110,2116
1480536499,2144,2150
1480537232,2208,2215
1480537937,2235,2242
1480538658,2251,2258
1480583555,2278,2286
1480584270,2279,2287
1480585700,2307,2315
1480587854,2308,2316
1480590079,2310,2319
1480590741,2326,2335
1480591468,2256,2265
1480592191,2294,2303
1480592999,2294,2303
1480593675,2316,2325
1480594598,2296,2304
1480595218,2318,2326
1480596028,2288,2297
1480597719,2290,2299
1480599214,2296,2305
1480599847,2323,2332
1480600581,2328,2337
1480601290,2382,2392
1480602030,2400,2410
1480602794,2451,2460
1480603455,2474,2483
1480604179,2493,2502
1480604894,2521,2530
1480605628,2544,2553
1480606340,2575,2584
1480607161,2587,2596
1480608526,2584,2592
1480609468,2580,2588
1480610173,2577,2585
1480610970,2567,2575
1480611669,2559,2567
1480612349,2557,2565
1480613047,2551,2559
1480613781,2549,2557
1480614494,2546,2554
1480615299,2542,2550
1480615944,2540,2548
1480616653,2535,2543
1480617381,2532,2540
1480618095,2527,2535
1480618888,2524,2532
1480619550,2517,2525
1480620256,2510,2518
1480621006,2507,2515
1480621695,2498,2506
1480622484,2496,2504
1480623142,2495,2503
1480623851,2486,2494
1480624580,2483,2491
1480625292,2471,2479
1480626094,2464,2472
1480626741,2451,2459
1480627460,2441,2449
1480628182,2436,2444
1480629683,2430,2438
1480630340,2418,2426
1480631052,2414,2422
1480631787,2410,2418
1480632504,2407,2415
1480633279,2400,2408
1480633943,2397,2405
1480634671,2391,2399
1480635391,2386,2394
1480636101,2384,2392
1480636867,2379,2387
1480637549,2378,2386
1480638250,2373,2381
1480638988,2372,2380
1480639705,2360,2368
1480642119,2303,2311
1480644272,2302,2310
1480644974,2301,2309
1480645710,2300,2308
1480653139,2298,2306
1480656038,2289,2297
1480657463,2286,2294
1480658184,2285,2293
1480659626,2282,2290
1480660346,2277,2285
1480661057,2276,2284
1480661778,2275,2283
1480662527,2272,2280
1480663222,2271,2279
1480663968,2268,2276
1480664647,2265,2273
1480665395,2263,2271
1480666822,2261,2269
1480667543,2256,2264
1480668256,2107,2114
1480668981,2092,2099
1480671149,2091,2098
1480671848,2067,2073
1480674745,2066,2072
1480675450,2063,2069
1480676488,2059,2065
1480678605,2038,2044
1480680075,2036,2042
1480680747,2035,2041
1480681719,2033,2039
1480683160,2027,2033
1480684121,2026,2032
1480684822,2023,2029
1480686248,2021,2027
1480686994,2020,2026
1480687702,2018,2024
1480688662,2017,2023
1480689386,2012,2018
1480690115,2004,2010
1480690872,2000,2006
1480691553,1995,2001
1480692251,1989,1995
1480693016,1984,1990
1480693708,1969,1975
1480694483,1955,1961
1480695135,1941,1947
1480696577,1929,1935
1480698076,1920,1926
1480698754,1909,1914
1480700190,1899,1904
1480700904,1888,1893
1480702351,1883,1888
1480703784,1876,1881
1480705305,1869,1874
1480706663,1859,1864
1480708109,1851,1856
1480708890,1847,1852
1480709550,1843,1848
1480710992,1839,1844
1480712490,1838,1843
1480713145,1835,1840
1480714591,1824,1829
1480716091,1820,1825
1480717469,1810,1815
1480718908,1801,1806
1480719690,1796,1801
1480720351,1791,1796
1480721803,1789,1794
1480723951,1779,1784
1480724907,1775,1780
1480725614,1772,1777
1480726352,1771,1776
