DateTime,AddedIPs,RemovedIPs
1479853229,0,1
1479855373,0,1
1479859006,0,1
1479859712,0,1
1479864013,0,2
1479864751,0,1
1479878432,0,1
1479883449,0,1
1479884892,0,2
1479887770,0,1
1479891369,0,1
1479892094,0,1
1479893548,0,1
1479896419,0,1
1479897157,0,2
1479899295,0,1
1479900029,0,2
1479905781,0,1
1479906525,0,226
1479907209,0,1
1479914674,0,4
1479929070,0,1
1479955949,0,1
1479957610,0,1
1479962209,0,1
1479972971,0,1
1479985948,0,1
1479991707,0,3
1479994580,0,1
1480002498,0,1
1480007784,0,1
1480009225,0,1
1480009953,0,1
1480028904,0,1
1480058648,0,1
1480095146,0,9
1480103779,0,1
1480135743,0,1
1480159959,0,1
1480164259,0,2
1480165710,0,1
1480166409,0,1
1480169314,0,1
1480178186,0,1
1480198822,0,1
1480205304,0,1
1480207462,0,1
1480213225,0,1
1480217547,0,1
1480226181,0,1
1480235781,0,1
1480240903,0,1
1480255263,0,1
1480286897,0,1
1480303934,0,1
1480314744,0,1
1480318343,0,1
1480335617,0,1
1480337785,0,45
1480338504,0,40
1480341400,0,1
1480342826,0,1
1480344972,0,85
1480347866,0,3
1480348575,0,1
1480349332,0,2
1480350306,0,5
1480351714,0,138
1480353157,0,11
1480353847,0,2
1480354587,0,2
1480355297,0,2
1480356064,0,3
1480356746,0,6
1480357451,0,17
1480358189,0,3
1480359696,0,4
1480360597,0,3
1480361297,0,3
1480362022,0,2
1480362735,0,1
1480365142,0,10
1480365858,0,9
1480367308,0,12
1480368750,0,5
1480369451,0,2
1480370185,0,4
1480370906,0,4
1480371618,0,2
1480372337,0,7
1480373057,0,4
1480373776,0,4
1480374525,0,2
1480375470,0,7
1480376908,0,1
1480378355,0,2
1480379786,0,2
1480380542,0,4
1480381271,0,4
1480381935,0,2
1480382668,0,5
1480383379,0,1
1480384111,0,1
1480384881,0,1
1480385542,0,1
1480386986,0,2
1480387697,0,2
1480388491,0,2
1480390609,0,2
1480391296,0,2
1480392743,0,4
1480394203,0,3
1480396360,0,4
1480397786,0,1
1480399939,0,1
1480400661,0,3
1480402107,0,4
1480403547,0,5
1480404996,0,2
1480405829,0,2
1480407863,0,3
1480409313,0,2
1480410742,0,1
1480412191,0,4
1480413688,0,5
1480415059,0,2
1480417316,0,5
1480418646,0,3
1480419410,0,4
1480423034,0,2
1480423696,0,2
1480424469,0,1
1480425404,0,4
