DateTime,AddedIPs,RemovedIPs
1480674013,457,675
1480674745,675,457
1480675450,456,675
1480676488,0,1
1480677146,674,456
1480678605,0,4
1480679298,0,1
1480680075,0,2
1480680747,0,2
1480681719,0,1
1480682414,0,2
1480683160,0,1
1480684121,0,2
1480684822,0,1
1480685551,0,4
1480686248,0,1
1480686994,0,2
1480687702,0,5
1480688662,0,3
1480689386,0,2
1480690115,0,1
1480690872,0,1
1480691553,0,2
1480692251,0,1001
1480693016,5,14
1480693708,0,83
1480696577,0,1
1480702351,0,1
1480718181,4,2
1480720351,2,4
1480721055,4,2
1480721803,2,4
1480722493,4,2
1480723951,2,4
1480724907,4,2
1480725614,2,4
1480726352,4,2
1480727331,2,4
1480730904,4,2
1480731628,2,4
1480732357,4,2
1480733063,2,4
1480735471,4,2
1480738347,2,4
1480739772,4,2
1480740503,2,4
1480741271,4,2
1480741951,2,4
1480742657,4,2
1480743389,2,4
1480744097,4,2
1480747951,2,4
1480750097,4,2
1480750821,2,4
1480752273,4,2
1480752977,2,4
1480754416,4,2
1480755161,2,4
1480756151,4,2
1480758258,2,4
1480759946,4,2
1480760657,2,4
1480762096,4,2
1480766478,2,4
1480770741,4,2
1480771463,2,4
1480772913,4,3
1480775059,2,4
1480775786,4,2
1480776507,2,4
1480777265,4,2
1480780344,2,4
1480781318,4,2
1480782744,2,4
1480784895,4,2
1480786376,2,4
1480787049,4,2
1480787782,2,4
1480789250,4,2
1480789950,2,4
1480790656,4,2
1480792119,2,4
1480794982,4,2
1480795694,2,4
1480797147,4,2
1480797860,2,4
1480798571,4,2
1480799295,2,4
1480800759,4,2
1480802175,2,4
1480805059,4,2
1480806097,2,4
1480809678,4,2
1480810350,2,4
1480811087,4,2
1480813950,2,4
1480815418,4,2
1480817805,2,4
1480818547,4,2
1480819220,2,4
1480822103,4,2
1480822819,2,4
1480823559,4,2
1480826648,2,4
1480827394,7,4
1480828102,2,3
1480828822,0,1
1480829540,3,2
1480830981,2,3
1480834398,3,2
1480836020,2,3
1480836764,3,2
1480839672,2,3
1480841303,3,2
1480842129,2,3
1480843006,3,3
1480845134,2,3
1480848257,3,2
1480848969,2,3
1480849718,3,2
1480851202,2,3
1480851846,3,2
1480854751,2,3
1480856917,3,2
1480859046,2,3
1480860494,3,2
1480863381,2,3
1480864818,3,2
1480865541,2,3
1480866256,3,2
1480867004,2,3
1480867706,3,2
1480868445,0,1
1480871306,2,3
1480872035,3,2
1480872752,2,3
1480873457,3,2
1480874175,2,3
1480874934,3,2
1480875864,2,3
1480877313,3,2
1480880656,2,3
1480882350,3,2
1480883775,2,3
1480884505,2,2
1480885278,2,2
1480885949,2,2
1480886646,2,2
1480888100,2,2
1480888908,2,2
1480890252,2,2
1480890986,2,2
1480891703,2,2
1480893396,2,2
1480894094,2,2
1480895533,37,94
1480896283,86,0
1480897233,73,0
1480897943,77,0
1480898660,161,0
1480899375,17,3
1480900120,43,2
1480900807,14,3
1480901551,57,0
1480902529,36,5
1480903269,20,23
1480903944,33,3
1480904651,32,3
1480905386,68,1
1480906092,32,23
1480906895,117,10
1480907555,50,28
1480908254,25,4
1480908997,0,3
1480909696,0,4
1480910483,2,26
1480911173,0,3
1480911852,24,5
1480912586,0,1
1480913302,0,3
1480914093,2,26
1480914734,0,1
1480915462,23,3
1480916190,2,24
1480916909,23,5
1480917663,0,2
1480919053,2,25
1480919786,0,4
1480920493,0,1
1480921294,23,5
1480921947,2,23
1480922649,23,5
1480923403,2,24
1480924877,0,3
1480925548,23,3
1480926260,0,4
1480926975,0,1
1480928482,0,1
1480929406,0,3
1480930094,0,2
1480931537,0,1
1480932273,0,3
1480933240,2,27
1480933940,0,1
1480934658,23,4
1480935374,0,3
1480936122,0,2
1480936813,0,4
1480937585,2,25
1480939694,0,3
1480940424,22,4
1480941149,0,1
1480944033,2,23
1480945459,0,2
1480946172,22,3
1480946923,2,24
1480947872,22,5
1480948577,0,2
1480949307,0,1
1480950080,2,25
1480950762,22,3
1480951447,2,24
1480952203,0,1
1480952943,22,3
1480953682,2,22
1480954344,0,2
1480955055,22,3
1480955792,2,23
1480956765,0,1
1480957466,21,2
1480958440,0,6
1480959139,2,23
1480959856,20,2
1480960574,2,21
1480961306,20,3
1480962009,2,20
1480962757,20,4
1480963450,0,1
1480964181,2,21
1480964895,20,3
1480965642,2,21
1480966337,20,2
1480967061,2,20
1480967774,0,1
1480968527,0,1
1480969215,20,3
1480970078,0,1
1480971212,2,23
1480972445,0,1
1480975564,20,7
1480976562,0,1
1480978049,0,3
1480979085,2,19
1480980560,0,2
1480981852,19,2
1480984247,0,3
1480985370,2,22
1480986369,0,1
1480987033,18,4
1480987855,0,1
1480988543,0,1
1480989707,2,22
1480990781,0,1
1480991723,0,1
1480992426,17,6
1480993708,2,20
1480994465,0,2
1480995424,17,3
1480996524,2,19
1480997331,0,2
1480998001,17,3
1480998649,2,17
1480999613,17,2
1481002169,0,2
1481002936,0,2
1481003745,2,16
1481006328,16,2
1481007078,0,1
1481007928,2,17
1481009261,15,4
1481012359,2,15
1481013880,0,523
1481014977,363,0
1481016002,0,363
1481016984,362,0
1481017877,0,1
1481018851,0,1
1481019786,0,361
1481020931,0,1
1481022217,358,0
1481023865,0,358
1481025527,356,1
1481026807,0,356
1481030380,355,1
