DateTime,Entries,UniqueIPs
1480672588,1233,1233
1480673328,1232,1232
1480674013,1014,1014
1480674745,1232,1232
1480675450,1013,1013
1480676488,1012,1012
1480677146,1230,1230
1480678605,1226,1226
1480679298,1225,1225
1480680075,1223,1223
1480680747,1221,1221
1480681719,1220,1220
1480682414,1218,1218
1480683160,1217,1217
1480684121,1215,1215
1480684822,1214,1214
1480685551,1210,1210
1480686248,1209,1209
1480686994,1207,1207
1480687702,1202,1202
1480688662,1199,1199
1480689386,1197,1197
1480690115,1196,1196
1480690872,1195,1195
1480691553,1193,1193
1480692251,192,192
1480693016,183,183
1480693708,100,100
1480696577,99,99
1480702351,98,98
1480718181,100,100
1480720351,98,98
1480721055,100,100
1480721803,98,98
1480722493,100,100
1480723951,98,98
1480724907,100,100
1480725614,98,98
1480726352,100,100
1480727331,98,98
1480730904,100,100
1480731628,98,98
1480732357,100,100
1480733063,98,98
1480735471,100,100
1480738347,98,98
1480739772,100,100
1480740503,98,98
1480741271,100,100
1480741951,98,98
1480742657,100,100
1480743389,98,98
1480744097,100,100
1480747951,98,98
1480750097,100,100
1480750821,98,98
1480752273,100,100
1480752977,98,98
1480754416,100,100
1480755161,98,98
1480756151,100,100
1480758258,98,98
1480759946,100,100
1480760657,98,98
1480762096,100,100
1480766478,98,98
1480770741,100,100
1480771463,98,98
1480772913,99,99
1480775059,97,97
1480775786,99,99
1480776507,97,97
1480777265,99,99
1480780344,97,97
1480781318,99,99
1480782744,97,97
1480784895,99,99
1480786376,97,97
1480787049,99,99
1480787782,97,97
1480789250,99,99
1480789950,97,97
1480790656,99,99
1480792119,97,97
1480794982,99,99
1480795694,97,97
1480797147,99,99
1480797860,97,97
1480798571,99,99
1480799295,97,97
1480800759,99,99
1480802175,97,97
1480805059,99,99
1480806097,97,97
1480809678,99,99
1480810350,97,97
1480811087,99,99
1480813950,97,97
1480815418,99,99
1480817805,97,97
1480818547,99,99
1480819220,97,97
1480822103,99,99
1480822819,97,97
1480823559,99,99
1480826648,97,97
1480827394,100,100
1480828102,99,99
1480828822,98,98
1480829540,99,99
1480830981,98,98
1480834398,99,99
1480836020,98,98
1480836764,99,99
1480839672,98,98
1480841303,99,99
1480842129,98,98
1480843006,98,98
1480845134,97,97
1480848257,98,98
1480848969,97,97
1480849718,98,98
1480851202,97,97
1480851846,98,98
1480854751,97,97
1480856917,98,98
1480859046,97,97
1480860494,98,98
1480863381,97,97
1480864818,98,98
1480865541,97,97
1480866256,98,98
1480867004,97,97
1480867706,98,98
1480868445,97,97
1480871306,96,96
1480872035,97,97
1480872752,96,96
1480873457,97,97
1480874175,96,96
1480874934,97,97
1480875864,96,96
1480877313,97,97
1480880656,96,96
