DateTime,Entries,UniqueIPs
1481117088,5318,5345
1481117816,5309,5336
1481119246,5305,5332
1481120072,5312,5339
1481121700,5307,5334
1481122447,5304,5331
1481123056,5307,5334
1481124443,5302,5329
1481125354,5303,5330
1481126178,5312,5339
1481127185,5314,5341
1481128381,5299,5326
1481129331,5301,5328
1481130283,5303,5330
1481130895,5308,5335
1481131842,5306,5333
1481132658,5304,5331
1481133677,5309,5336
1481134340,5316,5343
1481136291,5322,5349
1481137406,5321,5348
1481138169,5316,5343
1481138887,5323,5350
1481139710,5322,5349
1481140328,5327,5354
1481141360,5328,5355
1481142258,5326,5353
1481143217,5329,5356
1481144068,5321,5348
1481144896,5331,5358
1481145660,5320,5347
1481146473,5319,5346
1481147299,5323,5350
1481148015,5330,5357
1481148652,5329,5356
1481149466,5315,5342
1481150217,5325,5352
1481150896,5320,5347
1481151500,5321,5348
1481152107,5317,5344
1481152717,5320,5347
1481153465,5307,5334
1481154249,5300,5327
1481155349,5304,5331
1481156180,5305,5332
1481156788,5299,5326
1481157609,5305,5332
1481158724,5306,5333
1481159537,5301,5327
1481160539,5306,5332
1481161208,5310,5336
1481161934,5309,5335
1481162653,5302,5328
1481163619,5310,5336
1481164520,5305,5331
1481165294,5300,5326
1481166017,5310,5336
1481166729,5307,5333
1481167454,5306,5332
1481168069,5310,5336
1481168933,5302,5328
1481170009,5289,5315
1481170822,5299,5325
1481171811,5299,5325
1481172493,5300,5326
1481173215,5289,5315
1481174067,5296,5322
1481174894,5298,5324
1481175806,5296,5322
1481176593,5300,5326
1481177302,5300,5326
1481178017,5303,5329
1481178737,5299,5325
1481179453,5297,5323
1481180178,5304,5330
1481180918,5300,5326
1481181641,5302,5328
1481182339,5309,5335
1481183062,5307,5333
1481183795,5314,5340
1481184515,5312,5338
1481185223,5318,5344
1481185940,5320,5346
1481186658,5329,5355
1481187384,5321,5347
1481188114,5328,5354
1481188842,5324,5350
1481189544,5325,5351
1481190258,5323,5349
1481190980,5329,5355
1481191731,5321,5347
1481192441,5327,5353
1481193147,5321,5347
1481193862,5322,5348
1481194578,5328,5354
1481195313,5329,5355
1481196011,5337,5363
1481196752,5331,5357
1481197451,5340,5366
1481198188,5340,5366
1481198903,5349,5375
1481199772,5354,5380
1481200590,5351,5376
1481201312,5354,5379
1481202079,5354,5379
1481202744,5347,5372
1481203600,5351,5376
1481204428,5357,5382
1481205144,5360,5385
1481205866,5361,5386
1481206585,5348,5373
1481207304,5355,5380
1481208021,5360,5385
1481208737,5357,5382
1481209474,5347,5372
1481210435,5360,5385
1481211153,5350,5375
1481211863,5356,5381
1481212575,5366,5391
1481213325,5366,5391
1481214017,5366,5391
1481214759,5374,5399
1481215453,5380,5405
1481216194,5375,5401
1481216897,5377,5403
1481217635,5380,5406
1481218346,5382,5408
1481219089,5380,5406
1481219778,5388,5414
1481220516,5391,5417
1481221209,5377,5403
1481221948,5386,5412
1481222658,5389,5415
1481223391,5380,5406
1481224108,5371,5397
1481224836,5374,5400
1481225541,5372,5398
1481226261,5366,5392
1481226981,5362,5388
1481227733,5367,5393
1481228438,5359,5385
1481229146,5357,5383
1481229862,5353,5379
1481230595,5351,5377
1481231301,5352,5378
1481232039,5358,5384
1481232751,5358,5384
1481233459,5363,5389
1481234182,5364,5390
1481234902,5363,5389
1481235628,5360,5386
1481236608,5360,5386
1481237303,5349,5375
1481238070,5341,5367
1481239247,5327,5353
1481239948,5324,5350
1481240659,5320,5346
1481241380,5324,5350
1481242112,5322,5348
1481243081,5323,5349
1481243782,5315,5341
1481244519,5314,5340
1481245269,5310,5336
1481245953,5307,5333
1481246651,5313,5339
1481247399,5309,5335
1481248135,5308,5334
1481248913,5311,5337
1481249807,5314,5340
1481250498,5308,5334
1481251284,5310,5336
1481251933,5306,5332
1481252672,5311,5337
1481253381,5310,5336
1481254117,5312,5338
1481254816,5307,5333
1481255572,5302,5328
1481256650,5301,5327
1481257468,5300,5326
1481258174,5302,5328
1481258903,5299,5325
1481259676,5302,5328
1481260386,5306,5332
1481261048,5308,5334
1481261804,5302,5328
1481262502,5301,5327
1481263277,5302,5328
1481263948,5300,5326
1481264650,5297,5323
1481265390,5297,5323
1481266127,5298,5324
1481266897,5294,5320
1481267550,5295,5321
1481268254,5294,5320
1481268989,5297,5323
1481269699,5294,5320
1481270483,5293,5319
1481271406,5294,5320
1481272097,5295,5321
1481272820,5294,5320
1481273536,5291,5317
1481274265,5296,5322
1481274979,5303,5329
1481275714,5307,5333
1481276416,5306,5332
1481277174,5306,5332
1481278121,5313,5339
1481278817,5318,5344
1481279548,5319,5345
1481280248,5324,5350
1481281006,5316,5342
1481281715,5317,5343
1481282428,5319,5345
1481283140,5324,5350
1481283860,5324,5350
1481284584,5327,5353
1481285332,5320,5346
1481286031,5323,5349
1481286765,5317,5343
1481287449,5316,5342
1481288191,5312,5338
1481288944,5306,5332
1481289616,5298,5324
1481290352,5304,5330
1481291050,5301,5327
1481291790,5303,5329
1481292504,5300,5326
1481293230,5306,5332
1481293939,5307,5333
1481294927,5310,5336
1481295684,5309,5335
1481296351,5305,5331
1481297049,5304,5330
1481297790,5299,5325
1481298499,5309,5335
1481299282,5310,5336
1481299943,5313,5339
1481300700,5308,5334
1481301381,5302,5328
1481302116,5305,5331
1481302876,5303,5329
1481303554,5312,5338
1481304276,5311,5337
1481305000,5307,5333
1481305699,5309,5335
1481306502,5319,5345
1481307404,5319,5345
1481308098,5320,5346
1481308824,5321,5347
1481309535,5330,5356
1481310413,5325,5351
1481311234,5323,5349
1481311941,5313,5339
1481312665,5316,5342
1481313374,5326,5352
1481314130,5327,5353
1481314818,5327,5353
1481315555,5319,5345
1481316259,5323,5349
1481316985,5323,5349
1481317701,5324,5350
1481318436,5322,5348
1481319153,5314,5340
1481319927,5325,5351
1481320580,5335,5361
1481321321,5325,5351
1481322052,5320,5346
1481322743,5325,5351
1481323459,5326,5352
1481324180,5322,5348
1481324919,5313,5339
1481325617,5317,5343
1481326357,5314,5340
1481327054,5323,5349
1481327791,5313,5339
1481328507,5316,5342
1481329234,5318,5344
1481329941,5316,5342
1481330659,5319,5345
1481331394,5319,5345
1481332135,5325,5351
1481332838,5328,5354
1481333556,5327,5353
1481334268,5324,5350
1481334972,5331,5357
1481335730,5333,5359
1481336418,5332,5358
1481337157,5334,5360
1481337852,5337,5363
1481338595,5335,5361
1481339302,5336,5362
1481340032,5328,5354
1481340753,5329,5355
1481341465,5327,5353
1481342183,5320,5346
1481342921,5329,5355
1481343655,5330,5356
1481344337,5330,5356
1481345071,5333,5359
1481345783,5334,5360
1481346526,5341,5367
1481347210,5344,5370
1481348005,5339,5365
1481348651,5336,5362
1481349388,5335,5361
1481350100,5337,5363
1481350835,5336,5362
1481351545,5337,5363
1481352280,5343,5369
1481352971,5343,5369
1481353722,5349,5375
1481354417,5351,5377
1481355159,5351,5377
1481355853,5354,5380
1481356602,5354,5380
1481357336,5350,5376
1481358270,5352,5378
1481358979,5356,5382
1481359741,5351,5377
1481360478,5357,5383
1481361151,5353,5379
1481361850,5357,5383
1481362591,5363,5389
1481363297,5365,5391
1481364091,5360,5386
1481364735,5354,5380
1481365466,5351,5377
1481366179,5352,5378
1481366912,5352,5378
1481367678,5354,5380
1481368341,5352,5378
1481369060,5352,5378
1481369774,5353,5379
1481370502,5352,5378
1481371278,5355,5381
1481372458,5358,5384
1481373144,5363,5389
1481373873,5360,5386
1481374572,5370,5396
1481375331,5376,5402
1481376017,5362,5388
1481376766,5366,5392
1481377451,5364,5390
1481378191,5373,5399
1481378901,5378,5404
1481379637,5368,5393
1481380343,5366,5391
1481381082,5371,5396
1481381783,5381,5406
1481382525,5380,5405
1481383479,5381,5406
1481384187,5393,5418
1481384913,5396,5421
1481385678,5403,5428
1481386360,5404,5429
1481387050,5407,5432
1481387790,5405,5430
1481388497,5412,5437
1481389302,5411,5436
1481389938,5413,5438
1481390664,5412,5437
1481391378,5411,5436
1481392109,5408,5432
1481392874,5417,5441
1481393804,5421,5445
1481394502,5410,5434
1481395225,5416,5440
1481395935,5410,5434
1481396678,5413,5437
1481397379,5406,5430
1481398108,5410,5434
1481398822,5408,5432
1481399551,5408,5432
1481400273,5415,5439
1481401239,5417,5441
1481401945,5423,5447
1481402659,5422,5446
1481403376,5416,5440
1481404135,5410,5434
1481405084,5412,5436
1481405775,5407,5431
1481406511,5407,5431
1481407274,5412,5436
1481407958,5414,5438
1481408657,5417,5441
1481409395,5412,5436
1481410103,5412,5436
1481410874,5411,5435
1481411542,5411,5435
1481412269,5410,5434
1481413244,5408,5432
1481413951,5402,5426
1481414668,5400,5424
1481415646,5398,5422
1481416349,5403,5427
1481417062,5401,5425
1481417783,5409,5433
1481418505,5408,5432
1481419220,5406,5430
1481419944,5409,5433
1481420659,5414,5438
1481421389,5408,5432
1481422118,5412,5436
1481422813,5414,5438
1481423548,5422,5446
1481424266,5408,5432
1481425277,5411,5435
1481425943,5411,5435
1481426664,5417,5441
1481427372,5413,5437
1481428138,5408,5432
1481428873,5404,5428
1481429567,5398,5422
1481430249,5401,5425
1481430987,5401,5425
1481431697,5401,5425
1481432494,5399,5423
1481433159,5401,5425
1481434123,5402,5426
1481434822,5401,5425
1481435557,5407,5431
1481436531,5404,5428
1481437211,5409,5433
1481438198,5404,5428
1481438894,5401,5425
1481439711,5399,5423
1481440604,5396,5420
1481441305,5387,5411
1481442027,5388,5412
1481442753,5390,5414
1481443469,5394,5418
1481444181,5384,5408
1481444902,5383,5407
1481445619,5385,5409
1481446370,5386,5410
1481447335,5389,5413
1481448285,5378,5402
1481449242,5387,5411
1481449942,5388,5412
1481450669,5392,5416
1481451381,5397,5421
1481452123,5395,5419
1481452814,5397,5421
1481453546,5400,5423
1481454271,5398,5421
1481454991,5397,5420
1481455718,5399,5422
1481456419,5405,5428
1481457168,5405,5428
1481457876,5404,5427
1481458867,5401,5424
1481459541,5413,5436
1481460278,5405,5428
1481460972,5415,5438
1481461746,5408,5431
1481462409,5415,5438
1481463150,5406,5429
1481463853,5402,5425
1481464599,5402,5425
1481465307,5404,5427
1481466024,5413,5436
1481466738,5405,5428
1481467470,5404,5427
1481468173,5408,5431
1481468911,5414,5437
1481469644,5412,5435
1481470387,5417,5440
1481471062,5418,5441
1481471772,5414,5437
1481472509,5409,5432
1481473225,5409,5432
1481473940,5404,5427
1481474659,5406,5429
1481475387,5395,5418
1481476129,5391,5414
1481477068,5379,5402
1481477786,5376,5399
1481478516,5389,5412
1481479283,5384,5407
1481479954,5387,5410
1481480653,5382,5405
1481481393,5380,5403
1481482356,5376,5399
1481483332,5382,5405
1481484038,5376,5399
1481484739,5376,5399
1481485470,5376,5399
1481486177,5381,5404
1481486910,5378,5401
1481487621,5383,5406
1481488340,5390,5413
1481489070,5387,5410
1481489807,5387,5410
1481490500,5392,5415
1481491227,5391,5414
1481491946,5391,5414
1481492662,5396,5419
1481493382,5392,5415
1481494132,5396,5419
1481494810,5390,5413
