DateTime,AddedIPs,RemovedIPs
1481072635,3,4
1481073730,2,3
1481074930,6,8
1481075713,2,2
1481077330,11,5
1481078817,13,18
1481079724,1,11
1481080880,6,7
1481082015,11,12
1481083432,7,7
1481085160,12,8
1481086461,6,9
1481087841,7,6
1481089020,4,12
1481090206,7,2
1481091641,4,9
1481092970,8,2
1481094434,8,7
1481096157,7,11
1481097682,6,8
1481099144,9,5
1481100527,4,7
1481102014,9,8
1481103647,4,7
1481105103,12,4
1481106546,10,7
1481108456,6,5
1481109996,5,14
1481111260,9,2
1481112573,9,3
1481113916,7,10
1481115422,6,8
1481116133,1,7
1481117088,12,9
1481117816,5,0
1481119246,2,10
1481120072,5,5
1481121700,6,14
1481122447,5,7
1481123056,1,0
1481124443,8,7
1481125354,4,2
1481126178,9,10
1481127185,6,7
1481128381,6,10
1481129331,9,4
1481130283,5,8
1481130895,1,3
1481131842,8,4
1481132658,7,8
1481133677,11,2
1481134340,5,8
1481136291,15,12
1481137406,7,3
1481138169,9,9
1481138887,2,0
1481139710,8,7
1481140328,3,6
1481141360,10,8
1481142258,5,9
1481143217,7,2
1481144068,4,2
1481144896,8,9
1481145660,3,5
1481146473,6,7
1481147299,10,6
1481148015,6,4
1481148652,10,5
1481149466,3,4
1481150217,6,4
1481150896,4,8
1481151500,0,7
1481152107,2,5
1481152717,3,0
1481153465,3,4
1481154249,8,8
1481155349,4,10
1481156180,5,8
1481156788,3,3
1481157609,6,8
1481158724,5,6
1481159537,4,7
1481160539,6,7
1481161208,3,4
1481161934,1,5
1481162653,3,3
1481163619,5,4
1481164520,4,6
1481165294,5,17
1481166017,9,0
1481166729,1,3
1481167454,6,4
1481168069,2,4
1481168933,4,16
1481170009,7,2
1481170822,7,5
1481171811,6,8
1481173215,5,6
1481174067,4,11
1481174894,1,3
1481175806,2,4
1481176593,4,2
1481177302,6,2
1481178017,2,5
1481178737,1,3
1481179453,3,3
1481180178,4,3
1481180918,4,1
1481181641,1,5
1481182339,6,4
1481183062,2,3
1481183795,5,6
1481184515,5,5
1481185223,3,4
1481185940,7,1
1481186658,7,4
1481187384,1,2
1481188114,5,7
1481188842,2,4
1481189544,1,6
1481190258,4,8
1481190980,5,5
1481191731,4,4
1481192441,5,4
1481193147,6,8
1481193862,0,2
1481194578,4,3
1481195313,6,7
1481196011,4,5
1481196752,1,5
1481197451,7,2
1481198188,5,4
1481198903,6,8
1481199772,9,5
1481200590,6,3
1481201312,2,4
1481202079,3,8
1481202744,4,5
1481203600,5,5
1481204428,9,6
1481205144,2,2
1481205866,3,2
1481206585,1,3
1481207304,5,3
1481208021,2,5
1481208737,1,5
1481209474,3,4
1481210435,5,9
1481211153,3,4
1481211863,10,0
1481212575,8,1
1481213325,7,7
1481214017,6,2
1481214759,6,4
