DateTime,Entries,UniqueIPs
1481062808,4300,4300
1481064200,4295,4295
1481065246,4286,4286
1481066326,4277,4277
1481067677,4267,4267
1481069405,4267,4267
1481070339,4260,4260
1481071599,4237,4237
1481072635,4233,4233
1481073730,4216,4216
1481074930,4228,4228
1481075713,4215,4215
1481077330,4211,4211
1481078817,4216,4216
1481079724,4206,4206
1481080880,4194,4194
1481082015,4218,4218
1481083432,4211,4211
1481085160,4176,4176
1481086461,4196,4196
1481087841,4189,4189
1481089020,4188,4188
1481090206,4195,4195
1481091641,4185,4185
1481092970,4191,4191
1481094434,4191,4191
1481096157,4199,4199
1481097682,4202,4202
1481099144,4195,4195
1481100527,4204,4204
1481102014,4213,4213
1481103647,4224,4224
1481105103,4251,4251
1481106546,4256,4256
1481108456,4261,4261
1481109996,4276,4276
1481111260,4277,4277
1481112573,4285,4285
1481113916,4291,4291
1481115422,4285,4285
1481116133,4294,4294
1481117088,4293,4293
1481117816,4290,4290
1481119246,4290,4290
1481120072,4303,4303
1481121700,4292,4292
1481122447,4300,4300
1481123056,4290,4290
1481124443,4302,4302
1481125354,4293,4293
1481126178,4295,4295
1481127185,4287,4287
1481128381,4282,4282
1481129331,4279,4279
1481130283,4281,4281
1481130895,4279,4279
1481131842,4295,4295
1481132658,4304,4304
1481133677,4306,4306
1481134340,4316,4316
1481136291,4253,4253
1481137406,4296,4296
1481138169,4298,4298
1481138887,4296,4296
1481139710,4310,4310
1481140328,4300,4300
1481141360,4307,4307
1481142258,4268,4268
1481143217,4283,4283
1481144068,4278,4278
1481144896,4270,4270
1481145660,4287,4287
1481146473,4274,4274
1481147299,4277,4277
1481148015,4265,4265
1481148652,4258,4258
1481149466,4266,4266
1481150217,4261,4261
1481150896,4242,4242
1481151500,4235,4235
1481152107,4240,4240
1481152717,4240,4240
1481153465,4229,4229
1481154249,4231,4231
1481155349,4230,4230
1481156180,4235,4235
1481156788,4235,4235
1481157609,4245,4245
1481158724,4232,4232
1481159537,4225,4225
1481160539,4233,4233
1481161208,4238,4238
1481161934,4228,4228
1481162653,4224,4224
1481163619,4231,4231
1481164520,4235,4235
1481165294,4233,4233
1481166017,4226,4226
1481166729,4217,4217
1481167454,4231,4231
1481168069,4227,4227
1481168933,4220,4220
1481170009,4215,4215
1481170822,4220,4220
1481171811,4216,4216
1481172493,4208,4208
1481173215,4196,4196
1481174067,4218,4218
1481174894,4221,4221
1481175806,4210,4210
1481176593,4209,4209
1481177302,4215,4215
1481178017,4218,4218
1481178737,4223,4223
1481179453,4225,4225
1481180178,4238,4238
1481180918,4235,4235
1481181641,4231,4231
1481182339,4235,4235
1481183062,4238,4238
1481183795,4238,4238
1481184515,4237,4237
1481185223,4247,4247
1481185940,4249,4249
1481186658,4254,4254
1481187384,4246,4246
1481188114,4252,4252
1481188842,4259,4259
1481189544,4259,4259
1481190258,4261,4261
1481190980,4254,4254
1481191731,4262,4262
1481192441,4264,4264
1481193147,4279,4279
1481193862,4272,4272
1481194578,4277,4277
1481195313,4273,4273
1481196011,4279,4279
1481196752,4287,4287
1481197451,4290,4290
1481198188,4293,4293
1481198903,4307,4307
1481199772,4305,4305
1481200590,4298,4298
