DateTime,Entries,UniqueIPs
1480890825,9077,9077
1480891953,9083,9083
1480893315,9084,9084
1480894983,9084,9084
1480895968,9081,9081
1480896912,9085,9085
1480897690,9089,9089
1480898709,9101,9101
1480899910,9093,9093
1480900812,9094,9094
1480901708,9090,9090
1480902130,9092,9092
1480904412,9096,9096
1480905308,9094,9094
1480906644,9098,9098
1480908009,9094,9094
1480909214,9089,9089
1480910108,9091,9091
1480910436,9088,9088
1480911232,9091,9091
1480912211,9085,9085
1480913110,9088,9088
1480914215,9087,9087
1480915211,9088,9088
1480916413,9083,9083
1480917909,9084,9084
1480918811,9086,9086
1480920967,9086,9086
1480921811,9085,9085
1480923017,9072,9072
1480925108,9075,9075
1480925939,9077,9077
1480926855,9078,9078
1480928359,9079,9079
1480929317,9082,9082
1480930215,9080,9080
1480931128,9083,9083
1480932183,9086,9086
1480933255,9091,9091
1480934409,9089,9089
1480935373,9093,9093
1480936213,9087,9087
1480937295,9090,9090
1480938276,9086,9086
1480939319,9083,9083
1480941009,9084,9084
1480941909,9088,9088
1480942568,9088,9088
1480944362,9091,9091
1480945328,9087,9087
1480946709,9087,9087
1480947614,9090,9090
1480948812,9090,9090
1480950611,9091,9091
1480951813,9088,9088
1480953310,9091,9091
1480954671,9087,9087
1480955480,9080,9080
1480956131,9079,9079
1480958411,9080,9080
1480959347,9071,9071
1480959728,9070,9070
1480960634,9072,9072
1480961461,9066,9066
1480962611,9064,9064
1480963510,9070,9070
1480965520,9072,9072
1480966576,9069,9069
1480967477,9070,9070
1480968312,9070,9070
1480969213,9074,9074
1480970111,9077,9077
1480971154,9080,9080
1480972512,9088,9088
1480974130,9087,9087
1480975507,9088,9088
1480976414,9091,9091
1480977728,9089,9089
1480979713,9092,9092
1480982168,9088,9088
1480983012,9086,9086
1480984212,9083,9083
1480985057,9084,9084
1480987564,9088,9088
1480988531,9085,9085
1480989911,9084,9084
1480991288,9085,9085
1480992132,9078,9078
1480994411,9080,9080
1480995731,9082,9082
1480998488,9091,9091
1480999512,9089,9089
1481000711,9081,9081
1481001612,9082,9082
1481002517,9082,9082
1481005212,9081,9081
1481005688,9124,9124
1481007567,9126,9126
1481009291,9130,9130
1481010133,9127,9127
1481012052,9124,9124
1481013865,9129,9129
1481014568,9135,9135
1481015412,9137,9137
1481017328,9140,9140
1481018712,9141,9141
1481019614,9145,9145
1481020929,9136,9136
1481022006,9142,9142
1481023811,9143,9143
1481025864,9153,9153
1481027830,9162,9162
1481029166,9162,9162
1481030888,9169,9169
1481032710,9162,9162
1481033713,9164,9164
1481035328,9159,9159
1481036999,9158,9158
1481038190,9157,9157
1481039111,9156,9156
1481041161,9158,9158
1481042172,9157,9157
1481043313,9161,9161
1481045288,9162,9162
1481046133,9159,9159
1481048048,9160,9160
1481049013,9160,9160
1481049728,9164,9164
1481051648,9166,9166
1481052492,9167,9167
1481054354,9178,9178
1481055611,9186,9186
1481056816,9178,9178
1481057711,9182,9182
1481058618,9182,9182
1481059816,9174,9174
1481060714,9171,9171
1481062322,9175,9175
1481063651,9174,9174
1481065239,9172,9172
1481066112,9178,9178
1481067913,9159,9159
1481069111,9159,9159
1481070013,9162,9162
1481071214,9163,9163
1481072941,9159,9159
1481074211,9160,9160
1481075112,9161,9161
1481077809,9160,9160
1481078712,9162,9162
1481079908,9160,9160
1481080809,9163,9163
1481082010,9158,9158
1481083114,9158,9158
1481085013,9156,9156
1481085913,9156,9156
1481088014,9158,9158
1481088917,9156,9156
1481091612,9153,9153
1481092495,9153,9153
1481094611,9152,9152
1481096532,9147,9147
1481097374,9147,9147
1481099293,9148,9148
1481100561,9147,9147
1481101845,9146,9146
1481103730,9143,9143
1481105115,9143,9143
1481106914,9143,9143
1481108170,9146,9146
1481109944,9146,9146
1481111111,9123,9123
1481112906,9128,9128
1481113811,9125,9125
1481114532,9129,9129
1481116209,9123,9123
1481117277,9123,9123
1481119476,9120,9120
1481120415,9121,9121
1481121309,9115,9115
1481122339,9115,9115
1481123651,9112,9112
1481125215,9116,9116
1481126312,9117,9117
1481127313,9125,9125
1481128511,9127,9127
1481129715,9129,9129
1481130622,9127,9127
1481132109,9133,9133
1481133228,9134,9134
1481134129,9130,9130
1481135109,9134,9134
1481135933,9137,9137
1481136910,9138,9138
1481137811,9138,9138
1481139015,9140,9140
1481140602,9142,9142
1481141810,9137,9137
1481142614,9131,9131
1481144107,9133,9133
1481145207,9136,9136
1481146216,9132,9132
1481146936,9128,9128
1481148312,9125,9125
1481149194,9126,9126
1481150531,9127,9127
1481152452,9135,9135
1481153416,9128,9128
1481154314,9132,9132
1481155514,9135,9135
1481156048,9138,9138
1481157010,9133,9133
1481157735,9134,9134
1481158625,9139,9139
1481160614,9163,9163
1481161513,9168,9168
1481163616,9180,9180
1481165064,9184,9184
1481166613,9193,9193
1481168113,9189,9189
1481169315,9194,9194
1481171408,9199,9199
1481172312,9201,9201
1481173365,9204,9204
1481174415,9209,9209
1481175613,9215,9215
1481176509,9216,9216
1481177414,9218,9218
1481178308,9224,9224
1481179212,9227,9227
1481180103,9230,9230
1481181012,9230,9230
1481182213,9231,9231
1481183508,9240,9240
1481184433,9240,9240
1481185811,9240,9240
1481187069,9242,9242
1481188638,9250,9250
1481189464,9246,9246
1481190468,9255,9255
1481191267,9252,9252
1481192108,9256,9256
1481193313,9258,9258
1481194516,9256,9256
1481195327,9250,9250
1481196616,9250,9250
1481199311,9245,9245
1481201108,9248,9248
1481203051,9253,9253
1481204154,9251,9251
1481204974,9251,9251
1481205889,9250,9250
1481206809,9253,9253
1481207709,9247,9247
1481208134,9246,9246
1481210415,9244,9244
1481212772,9237,9237
1481213709,9238,9238
1481214609,9235,9235
1481215337,9240,9240
1481216163,9243,9243
1481217014,9246,9246
1481218215,9247,9247
1481218934,9250,9250
1481220312,9254,9254
1481221213,9256,9256
1481222531,9250,9250
1481223812,9245,9245
1481225409,9240,9240
1481226909,9244,9244
1481227733,9243,9243
1481229013,9246,9246
1481231109,9246,9246
1481232912,9253,9253
1481233336,9253,9253
1481234168,9255,9255
1481235012,9256,9256
1481236213,9248,9248
1481236934,9246,9246
1481237768,9251,9251
1481238914,9244,9244
1481239810,9238,9238
1481240709,9239,9239
1481242448,9242,9242
1481243413,9239,9239
1481244314,9239,9239
1481245395,9238,9238
1481246414,9239,9239
1481247309,9240,9240
1481248569,9240,9240
1481249653,9239,9239
1481250613,9236,9236
1481251507,9239,9239
1481252301,9236,9236
1481253610,9242,9242
1481254817,9239,9239
1481255711,9244,9244
1481256612,9241,9241
1481257689,9246,9246
1481258534,9243,9243
1481260514,9247,9247
1481261412,9246,9246
1481262313,9245,9245
1481264413,9254,9254
1481265612,9261,9261
1481267114,9267,9267
1481267649,9273,9273
1481268445,9275,9275
1481269512,9271,9271
1481270712,9272,9272
1481271611,9279,9279
1481272811,9285,9285
1481273742,9286,9286
1481274611,9284,9284
1481275696,9287,9287
1481276580,9280,9280
1481277912,9293,9293
1481278812,9299,9299
1481279650,9300,9300
1481280608,9301,9301
1481281422,9305,9305
1481282053,9307,9307
1481285307,9314,9314
1481286908,9317,9317
1481287739,9324,9324
1481288168,9325,9325
1481288996,9322,9322
1481290021,9332,9332
1481291115,9337,9337
1481293211,9356,9356
1481294414,9352,9352
1481295257,9356,9356
1481296217,9363,9363
1481297289,9372,9372
1481298312,9370,9370
1481300114,9378,9378
1481301733,9385,9385
1481303112,9393,9393
1481304012,9399,9399
1481304488,9407,9407
1481305514,9404,9404
1481306712,9406,9406
1481308211,9407,9407
1481309708,9415,9415
1481310554,9418,9418
1481311814,9430,9430
1481313464,9438,9438
1481314335,9440,9440
1481315416,9442,9442
1481316311,9449,9449
1481316968,9455,9455
1481317810,9458,9458
1481318054,9459,9459
1481319012,9411,9411
1481319915,9416,9416
1481321648,9420,9420
1481322613,9415,9415
1481323513,9413,9413
1481324168,9416,9416
1481325009,9413,9413
1481326210,9407,9407
1481327322,9409,9409
1481328313,9407,9407
1481329215,9410,9410
1481329692,9415,9415
1481330679,9391,9391
1481333409,9386,9386
1481334135,9386,9386
1481334968,9390,9390
1481335813,9386,9386
1481337012,9378,9378
1481340013,9375,9375
1481341210,9364,9364
1481342168,9367,9367
1481343011,9366,9366
1481343989,9369,9369
1481344812,9359,9359
1481345771,9364,9364
1481346852,9363,9363
1481347812,9357,9357
1481348533,9360,9360
1481349368,9366,9366
1481350215,9359,9359
1481351288,9362,9362
1481352146,9354,9354
1481353511,9357,9357
1481354413,9365,9365
1481355613,9364,9364
1481356534,9370,9370
1481357653,9370,9370
1481358488,9377,9377
1481359578,9377,9377
1481360696,9381,9381
1481362211,9387,9387
1481363114,9391,9391
1481363933,9391,9391
1481364912,9397,9397
1481365809,9396,9396
1481366708,9403,9403
1481367555,9401,9401
1481368441,9416,9416
1481369289,9431,9431
1481370136,9433,9433
1481372355,9462,9462
1481373311,9467,9467
1481374706,9476,9476
1481375608,9488,9488
1481376432,9503,9503
1481377333,9513,9513
1481378172,9521,9521
1481379011,9536,9536
1481381062,9563,9563
1481382311,9589,9589
1481383186,9601,9601
1481384319,9611,9611
1481385643,9611,9611
1481387410,9635,9635
1481388313,9640,9640
1481389515,9656,9656
1481390412,9664,9664
1481390888,9667,9667
1481391692,9671,9671
1481392511,9693,9693
1481393411,9704,9704
1481395332,9723,9723
1481396169,9732,9732
1481397012,9732,9732
1481397254,9734,9734
1481398213,9743,9743
1481399112,9750,9750
1481399772,9757,9757
1481400613,9755,9755
1481400848,9756,9756
1481402109,9755,9755
1481403010,9758,9758
1481403912,9763,9763
1481404810,9771,9771
1481405288,9774,9774
1481406288,9779,9779
1481407515,9782,9782
1481409008,9790,9790
1481409736,9792,9792
1481411115,9794,9794
1481413213,9801,9801
1481413331,9802,9802
1481415312,9805,9805
1481416213,9800,9800
1481417039,9805,9805
1481418316,9808,9808
1481419146,9810,9810
1481420106,9811,9811
