DateTime,Entries,UniqueIPs
1480916415,1250,1250
1480917911,1256,1256
1480918814,1261,1261
1480920969,1246,1246
1480921814,1243,1243
1480923021,1233,1233
1480925110,1233,1233
1480925940,1239,1239
1480926857,1233,1233
1480928361,1227,1227
1480929323,1230,1230
1480930220,1223,1223
1480931131,1222,1222
1480932185,1221,1221
1480933257,1229,1229
1480934413,1220,1220
1480935375,1226,1226
1480936216,1228,1228
1480937297,1236,1236
1480938278,1233,1233
1480939321,1230,1230
1480941012,1228,1228
1480941913,1222,1222
1480942570,1226,1226
1480944364,1227,1227
1480945330,1209,1209
1480946711,1216,1216
1480947616,1223,1223
1480948814,1212,1212
1480950615,1214,1214
1480951815,1214,1214
1480953312,1220,1220
1480954673,1216,1216
1480955482,1211,1211
1480956133,1211,1211
1480958413,1218,1218
1480959349,1218,1218
1480959730,1219,1219
1480960636,1223,1223
1480961463,1220,1220
1480962614,1220,1220
1480963514,1223,1223
1480965522,1230,1230
1480966578,1233,1233
1480967480,1238,1238
1480968314,1234,1234
1480969216,1239,1239
1480970114,1226,1226
1480971156,1228,1228
1480972515,1228,1228
1480974132,1221,1221
1480975510,1223,1223
1480976416,1231,1231
1480977730,1225,1225
1480979715,1227,1227
1480982170,1218,1218
1480983014,1215,1215
1480984214,1208,1208
1480985059,1212,1212
1480987567,1222,1222
1480988533,1228,1228
1480989914,1233,1233
1480991290,1247,1247
1480992134,1244,1244
1480994414,1259,1259
1480995733,1269,1269
1480998489,1288,1288
1480999514,1287,1287
1481000713,1292,1292
1481001615,1300,1300
1481002519,1291,1291
1481005214,1298,1298
1481005690,1300,1300
1481007569,1288,1288
1481009293,1301,1301
1481010135,1296,1296
1481012054,1315,1315
1481013867,1322,1322
1481014570,1332,1332
1481015414,1332,1332
1481017331,1333,1333
1481018714,1338,1338
1481019619,1348,1348
1481020931,1358,1358
1481022026,1362,1362
1481023815,1378,1378
1481025867,1389,1389
1481027832,1408,1408
1481029168,1416,1416
1481030890,1433,1433
1481032712,1433,1433
1481033716,1452,1452
1481035330,1461,1461
1481037001,1460,1460
1481038192,1454,1454
1481039114,1454,1454
1481041163,1473,1473
1481042176,1470,1470
1481043315,1471,1471
1481045290,1470,1470
1481046135,1455,1455
1481048050,1464,1464
1481049015,1463,1463
1481049730,1462,1462
1481051651,1468,1468
1481052495,1476,1476
1481054356,1456,1456
1481055615,1468,1468
1481056821,1467,1467
1481057713,1470,1470
1481058621,1472,1472
1481059818,1478,1478
1481060716,1481,1481
1481062326,1484,1484
1481063654,1488,1488
1481065246,1489,1489
1481066114,1494,1494
1481067916,1488,1488
1481069113,1483,1483
1481070016,1489,1489
1481071218,1488,1488
1481072943,1492,1492
1481074215,1486,1486
1481075117,1488,1488
1481077812,1497,1497
1481078715,1496,1496
1481079910,1489,1489
1481080812,1493,1493
1481082014,1487,1487
1481083116,1486,1486
1481085015,1487,1487
1481085916,1490,1490
1481088021,1497,1497
1481088919,1495,1495
1481091615,1501,1501
1481092497,1503,1503
1481094614,1502,1502
1481096534,1501,1501
1481097376,1506,1506
1481099296,1511,1511
1481100563,1504,1504
1481101847,1502,1502
1481103733,1505,1505
1481105120,1511,1511
1481106917,1514,1514
1481108173,1515,1515
1481109947,1523,1523
1481111114,1528,1528
1481112909,1534,1534
1481113815,1531,1531
1481114534,1535,1535
1481116211,1531,1531
1481117279,1537,1537
1481119478,1533,1533
1481120421,1540,1540
1481121311,1525,1525
1481122341,1523,1523
1481123653,1526,1526
1481125222,1522,1522
1481125340,1523,1523
1481126317,1530,1530
1481127316,1537,1537
1481128513,1539,1539
1481129717,1539,1539
1481130625,1540,1540
1481132111,1547,1547
1481133230,1545,1545
1481134131,1543,1543
1481135111,1547,1547
1481135935,1544,1544
1481136914,1550,1550
1481137813,1554,1554
1481139017,1554,1554
1481140604,1570,1570
1481141813,1580,1580
1481142617,1577,1577
1481144109,1587,1587
1481145209,1594,1594
1481146219,1590,1590
1481146942,1592,1592
1481148314,1592,1592
1481149196,1601,1601
1481150538,1596,1596
1481152455,1609,1609
1481153418,1604,1604
1481154316,1607,1607
1481155516,1611,1611
1481156050,1614,1614
1481157016,1610,1610
1481157738,1607,1607
1481158632,1609,1609
1481159716,1611,1611
1481160616,1599,1599
1481161515,1599,1599
1481163622,1599,1599
1481165067,1586,1586
1481166615,1580,1580
1481168115,1580,1580
1481169317,1587,1587
1481171413,1581,1581
1481172315,1588,1588
1481173370,1586,1586
1481174424,1596,1596
1481175620,1587,1587
1481176512,1597,1597
1481177416,1586,1586
1481178311,1590,1590
1481179218,1566,1566
1481180110,1568,1568
1481181015,1560,1560
1481182217,1544,1544
1481183510,1543,1543
1481184436,1544,1544
1481185815,1541,1541
1481187071,1548,1548
1481188641,1540,1540
1481189466,1526,1526
1481190471,1525,1525
1481191272,1512,1512
1481192111,1524,1524
1481193316,1520,1520
1481194518,1528,1528
1481195330,1521,1521
1481196619,1524,1524
1481199313,1542,1542
1481201113,1527,1527
1481203053,1528,1528
1481204156,1513,1513
1481204976,1506,1506
1481205891,1507,1507
1481206816,1513,1513
1481207711,1497,1497
1481208137,1495,1495
1481210417,1480,1480
1481212774,1455,1455
1481213712,1454,1454
1481214614,1490,1490
1481215346,1496,1496
1481216165,1518,1518
1481217016,1521,1521
1481217257,1526,1526
1481218218,1523,1523
1481218942,1514,1514
1481220314,1519,1519
1481221221,1526,1526
1481222537,1522,1522
1481223817,1518,1518
1481225411,1516,1516
1481226911,1528,1528
1481227735,1527,1527
1481229015,1525,1525
1481231111,1532,1532
1481232915,1535,1535
1481233345,1539,1539
1481234171,1542,1542
1481235014,1537,1537
1481235250,1539,1539
1481236215,1528,1528
1481236943,1532,1532
1481237770,1536,1536
1481238916,1536,1536
1481239812,1535,1535
1481240712,1534,1534
1481242450,1535,1535
1481243418,1529,1529
1481244316,1529,1529
1481245401,1527,1527
1481246418,1533,1533
1481247311,1524,1524
1481248571,1524,1524
1481249655,1529,1529
1481250615,1524,1524
1481251509,1523,1523
1481252303,1522,1522
1481253615,1528,1528
1481255713,1524,1524
1481256614,1522,1522
1481257690,1526,1526
1481258540,1509,1509
1481260518,1515,1515
1481261414,1514,1514
1481262316,1517,1517
1481264419,1520,1520
1481265618,1510,1510
1481267116,1509,1509
1481267651,1511,1511
1481268448,1513,1513
1481269515,1499,1499
1481270715,1497,1497
1481271616,1498,1498
1481272820,1496,1496
1481273745,1506,1506
1481274613,1500,1500
1481275698,1508,1508
1481276591,1496,1496
1481277916,1491,1491
1481278817,1494,1494
1481279654,1480,1480
1481280611,1478,1478
1481281432,1471,1471
1481282057,1474,1474
1481284379,1472,1472
1481285309,1473,1473
1481286910,1477,1477
1481287741,1480,1480
1481288170,1481,1481
1481288998,1473,1473
1481290023,1478,1478
1481291117,1472,1472
1481293221,1482,1482
1481294418,1471,1471
1481295259,1472,1472
1481296221,1472,1472
1481297292,1478,1478
1481298314,1462,1462
1481300116,1464,1464
1481301738,1459,1459
1481303114,1462,1462
1481304023,1466,1466
1481304490,1469,1469
1481305516,1462,1462
1481306715,1461,1461
1481307256,1464,1464
1481308215,1453,1453
1481309710,1459,1459
1481310556,1452,1452
1481311816,1436,1436
1481313466,1436,1436
1481314337,1428,1428
1481315418,1429,1429
1481316315,1429,1429
1481316970,1433,1433
1481317815,1425,1425
1481318056,1426,1426
1481319015,1415,1415
1481319917,1416,1416
1481321650,1421,1421
1481322617,1414,1414
1481323516,1410,1410
1481324171,1413,1413
1481325011,1416,1416
1481326212,1404,1404
1481327324,1410,1410
1481328315,1411,1411
1481329224,1413,1413
1481329694,1416,1416
1481330682,1407,1407
1481333412,1397,1397
1481334143,1397,1397
1481334970,1400,1400
1481335815,1396,1396
1481337014,1391,1391
1481340023,1396,1396
1481341218,1391,1391
1481342170,1396,1396
1481343013,1395,1395
1481343991,1402,1402
1481344820,1395,1395
1481345774,1398,1398
1481346854,1393,1393
1481347816,1387,1387
1481348541,1387,1387
1481349370,1393,1393
1481350217,1389,1389
1481351290,1396,1396
1481352151,1387,1387
1481353514,1385,1385
1481354422,1390,1390
1481355621,1381,1381
1481356536,1389,1389
1481357655,1389,1389
1481358491,1395,1395
1481359580,1380,1380
1481360707,1371,1371
1481362214,1360,1360
1481363116,1363,1363
1481363935,1349,1349
1481364916,1354,1354
1481365812,1338,1338
1481366712,1342,1342
1481367557,1334,1334
1481368443,1338,1338
1481369291,1343,1343
1481370148,1319,1319
1481372358,1314,1314
1481373313,1299,1299
1481374709,1299,1299
1481375611,1309,1309
1481376434,1317,1317
1481377338,1318,1318
1481378174,1322,1322
1481379013,1333,1333
1481381064,1353,1353
1481382314,1363,1363
1481383188,1373,1373
