DateTime,Entries,UniqueIPs
1480810283,234,234
1480812215,235,235
1480814742,235,235
1480815536,236,236
1480821252,237,237
1480822274,236,236
1480824674,236,236
1480826587,233,233
1480827372,234,234
1480828285,235,235
1480829267,236,236
1480830208,236,236
1480830973,248,248
1480832008,248,248
1480833079,249,249
1480834518,251,251
1480835370,250,250
1480836699,251,251
1480837633,250,250
1480839003,250,250
1480842861,251,251
1480843891,251,251
1480846820,251,251
1480847713,248,248
1480852515,251,251
1480853486,251,251
1480855526,248,248
1480857320,248,248
1480858296,247,247
1480858988,247,247
1480859939,247,247
1480860917,249,249
1480861868,248,248
1480863311,249,249
1480864286,246,246
1480864453,247,247
1480865497,242,242
1480867357,240,240
1480869603,236,236
1480871230,234,234
1480874175,236,236
1480875088,235,235
1480875993,238,238
1480876843,236,236
1480878854,238,238
1480880112,235,235
1480881740,235,235
1480882595,238,238
1480883473,237,237
1480885917,238,238
1480887664,238,238
1480888518,239,239
1480889473,236,236
1480890829,239,239
1480893322,240,240
1480895027,242,242
1480895973,241,241
1480897694,245,245
1480898715,252,252
1480899914,250,250
1480901721,248,248
1480904416,249,249
1480905312,249,249
1480908013,248,248
1480909220,245,245
1480910444,245,245
1480911236,246,246
1480912215,244,244
1480913118,244,244
1480914219,243,243
1480915215,244,244
1480916419,243,243
1480917913,244,244
1480920971,241,241
1480921818,240,240
1480923026,237,237
1480925112,235,235
1480925943,233,233
1480926859,231,231
1480928363,227,227
1480929326,228,228
1480932187,230,230
1480933260,232,232
1480934415,230,230
1480935377,233,233
1480936218,232,232
1480937299,233,233
1480938280,233,233
1480939323,231,231
1480941014,230,230
1480941915,231,231
1480944367,232,232
1480945332,233,233
1480946713,230,230
1480947620,233,233
1480948816,235,235
1480950617,236,236
1480951820,233,233
1480953314,232,232
1480954675,230,230
1480955484,227,227
1480956135,228,228
1480958416,228,228
1480959351,226,226
1480959732,225,225
1480960638,226,226
1480961465,225,225
1480962617,225,225
1480963516,226,226
1480965525,227,227
1480966580,227,227
1480967481,228,228
1480968316,228,228
1480969220,231,231
1480971158,233,233
1480972518,237,237
1480974133,236,236
1480975512,238,238
1480976419,239,239
1480977732,240,240
1480979718,240,240
1480982172,239,239
1480983016,238,238
1480984216,236,236
1480985061,235,235
1480987569,239,239
1480988535,238,238
1480989916,239,239
1480991292,238,238
1480994417,239,239
1480995735,240,240
1480998491,242,242
1480999516,239,239
1481000716,230,230
1481002521,229,229
1481005216,228,228
1481005692,227,227
1481007571,222,222
1481009296,225,225
1481010137,224,224
1481012056,221,221
1481013869,227,227
1481014573,233,233
1481015416,237,237
1481017333,238,238
1481020933,231,231
1481022029,235,235
1481023818,241,241
1481025869,246,246
1481027835,256,256
1481029170,257,257
1481030892,260,260
1481032714,257,257
1481033719,258,258
1481035332,261,261
1481037006,263,263
1481038194,264,264
1481041165,263,263
1481043317,264,264
1481045292,264,264
1481046137,259,259
1481048052,258,258
1481049017,262,262
1481049733,262,262
