DateTime,AddedIPs,RemovedIPs
1480901703,64,132
1480902123,46,45
1480904403,203,112
1480905303,56,138
1480906640,129,40
1480908004,144,108
1480909203,122,204
1480910103,111,0
1480910430,49,100
1480911227,85,0
1480912203,185,152
1480913104,168,77
1480914211,184,107
1480915203,110,0
1480916403,165,208
1480917903,205,110
1480918803,98,0
1480920963,179,223
1480921803,108,114
1480923004,106,160
1480925104,122,178
1480925934,47,0
1480926850,42,111
1480928354,103,84
1480929304,76,10
1480930204,139,123
1480931122,165,34
1480932178,159,49
1480933250,184,0
1480934403,236,107
1480935363,251,1
1480936203,313,80
1480937284,111,1
1480938271,82,111
1480939314,127,94
1480941004,140,100
1480941903,116,42
1480942564,93,0
1480944357,318,140
1480945323,196,608
1480946703,122,99
1480947603,59,0
1480948803,94,178
1480950604,221,98
1480951804,186,102
1480953304,298,37
1480954666,245,77
1480955475,204,94
1480956125,194,177
1480958403,451,371
1480959196,125,94
1480959723,66,32
1480960630,165,0
1480961456,115,54
1480962605,184,94
1480963503,170,39
1480965515,246,72
1480966571,100,74
1480967473,90,28
1480968303,67,79
1480969203,109,0
1480970103,91,85
1480971149,125,31
1480972503,200,64
1480974123,261,112
1480975503,255,43
1480976403,232,0
1480977723,319,98
1480979703,431,57
1480982163,575,132
1480983003,186,69
1480984204,262,84
1480985052,202,26
1480987559,599,79
1480988524,218,86
1480989903,333,68
1480991283,334,0
1480992124,189,215
1480994404,536,211
1480995724,317,356
1480998483,569,48
1480999504,217,81
1481000704,214,62
1481001603,165,0
1481002503,148,77
1481005206,450,91
1481005683,117,1
1481007563,310,207
1481009284,285,5
1481010123,115,126
1481012044,175,62
1481013860,151,98
1481014563,63,0
1481015403,48,116
1481017324,157,135
1481018704,172,61
1481019606,102,0
1481020924,215,142
1481022000,173,67
1481023804,358,86
1481025860,535,111
1481027825,424,104
1481029161,296,97
1481030883,363,9
1481032705,487,183
1481033703,360,13
1481035323,540,214
1481036994,540,159
1481038185,358,161
1481039104,311,27
1481041156,445,75
1481042162,176,76
1481043305,116,44
1481045283,305,72
1481046124,163,130
1481048043,301,66
1481049007,128,91
1481049724,111,35
1481051643,283,56
1481052483,157,2
1481054347,329,169
1481055603,194,2
1481056805,205,97
1481057703,112,0
1481058604,160,59
1481059804,232,76
1481060703,124,38
1481062317,307,79
1481063647,253,119
1481065231,300,137
1481066103,160,1
1481067904,353,194
1481069105,226,80
1481070004,166,0
1481071203,220,145
1481072936,337,124
1481074204,278,125
1481075104,223,69
1481077804,728,292
1481078704,259,62
1481079903,328,159
1481080804,259,0
1481082003,283,376
1481083109,265,187
1481085004,452,254
1481085903,245,85
1481088004,429,149
1481088903,150,203
1481091604,468,168
1481092490,105,170
1481094603,188,113
1481096526,151,110
1481097363,70,0
1481099289,147,83
1481100556,132,288
1481101839,110,200
1481103724,174,353
1481105104,160,95
1481106903,436,185
1481108164,302,55
1481109939,500,143
1481111104,235,230
1481112816,357,168
1481113804,240,291
1481114524,165,107
1481116204,374,137
1481117272,198,0
1481119471,521,302
1481120405,236,1
1481121304,158,257
1481122334,260,100
1481123645,326,243
1481125205,390,477
