DateTime,Entries,UniqueIPs
1480773950,2823,2823
1480774830,2821,2821
1480775710,2766,2766
1480776599,2748,2748
1480777539,2702,2702
1480779639,2615,2615
1480781461,2571,2571
1480783242,2475,2475
1480785317,2429,2429
1480786189,2366,2366
1480787902,2309,2309
1480788820,2301,2301
1480790109,2249,2249
1480791311,2227,2227
1480792259,2187,2187
1480794156,2130,2130
1480795543,2083,2083
1480796424,2081,2081
1480797637,2047,2047
1480799133,2025,2025
1480800027,2023,2023
1480800870,2000,2000
1480801781,1994,1994
1480802646,1981,1981
1480804509,1965,1965
1480806648,1949,1949
1480808110,1947,1947
1480809369,1944,1944
1480810255,1938,1938
1480812177,1932,1932
1480814713,1928,1928
1480815534,1925,1925
1480821249,1908,1908
1480822258,1902,1902
1480823771,1901,1901
1480824641,1895,1895
1480826556,1892,1892
1480828254,1883,1883
1480829258,1880,1880
1480830174,1877,1877
1480832005,1868,1868
1480833050,1836,1836
1480835328,1799,1799
1480836654,1749,1749
1480837591,1728,1728
1480838975,1690,1690
1480842858,1641,1641
1480843858,1609,1609
1480845722,1556,1556
1480846516,1555,1555
1480847710,1505,1505
1480852512,1407,1407
1480853455,1369,1369
1480855498,1319,1319
1480856394,1286,1286
1480857317,1284,1284
1480858265,1247,1247
1480858959,1224,1224
1480859937,1198,1198
1480860913,1195,1195
1480861840,1137,1137
1480863308,1115,1115
1480864255,1078,1078
1480865453,1034,1034
1480866355,1032,1032
1480867170,971,971
1480868115,969,969
1480869054,925,925
1480871201,859,859
1480874172,811,811
1480875059,762,762
1480876811,687,687
1480877769,686,686
1480878851,641,641
1480880109,605,605
1480881710,571,571
1480882514,570,570
1480883456,539,539
1480885865,520,520
1480887628,472,472
1480889444,243,243
1480890826,224,224
1480893319,215,215
1480894997,191,191
1480895969,182,182
1480896913,182,182
1480897692,183,183
1480898712,170,170
1480899911,152,152
1480901718,137,137
1480902131,135,135
1480904413,123,123
1480905309,121,121
1480908010,119,119
1480909215,117,117
1480910110,116,116
1480911233,115,115
1480912213,113,113
1480913114,115,115
1480914216,114,114
1480916414,113,113
1480917910,114,114
1480920968,113,113
1480923020,115,115
1480925109,114,114
1480925940,116,116
1480926856,115,115
1480928360,113,113
1480929322,114,114
1480931130,115,115
1480933256,116,116
1480934412,147,147
1480935374,254,254
1480936215,367,367
1480937296,369,369
1480938277,367,367
1480939320,368,368
1480941011,367,367
1480941913,369,369
1480942569,370,370
1480944363,372,372
1480945329,373,373
1480946710,374,374
1480950614,376,376
1480951815,374,374
1480953312,375,375
1480954672,379,379
1480955481,379,379
1480956133,377,377
1480958412,378,378
1480959729,379,379
1480962613,379,379
1480963513,380,380
1480966577,380,380
1480968314,380,380
1480970113,379,379
1480974131,378,378
1480977729,379,379
1480979714,379,379
1480982169,379,379
1480983013,380,380
1480984214,378,378
1480985058,376,376
1480987566,375,375
1480989913,373,373
1480992133,374,374
1480995733,372,372
1480998489,373,373
1480999513,371,371
1481000713,371,371
1481001614,372,372
1481005213,374,374
1481009293,375,375
1481010134,375,375
1481012053,374,374
1481013866,373,373
1481014570,374,374
1481015414,375,375
1481017330,380,380
1481018714,381,381
1481020930,380,380
1481022023,382,382
1481023814,378,378
1481025866,379,379
1481027832,379,379
1481029167,381,381
1481030889,382,382
1481032711,382,382
1481033715,383,383
1481035330,384,384
1481037000,386,386
1481038191,385,385
1481039114,388,388
1481041162,389,389
1481042175,389,389
1481043315,388,388
1481045289,387,387
1481046134,388,388
1481048049,393,393
1481049014,393,393
1481049730,392,392
1481051650,394,394
1481052494,395,395
1481054355,396,396
1481055613,397,397
1481056820,397,397
1481057712,398,398
1481058620,399,399
1481059817,398,398
1481062325,398,398
1481065244,398,398
1481066113,400,400
1481067915,399,399
1481069113,400,400
1481072942,401,401
1481074214,403,403
1481075116,405,405
1481077812,407,407
1481078714,408,408
1481079909,410,410
1481080812,413,413
1481082013,416,416
1481083115,419,419
1481085014,422,422
1481085915,427,427
1481088017,434,434
1481088918,437,437
1481091614,447,447
1481092496,448,448
1481094613,459,459
1481096533,465,465
1481097376,470,470
1481099295,484,484
1481100562,487,487
1481101846,489,489
1481103732,497,497
1481105118,504,504
1481106916,518,518
1481108173,522,522
1481109946,526,526
1481111113,527,527
1481112908,529,529
1481113814,530,530
1481114533,527,527
1481116210,529,529
1481117278,530,530
1481119478,531,531
1481120419,532,532
1481121310,533,533
1481122340,539,539
1481123652,535,535
1481125219,535,535
1481126314,535,535
1481127315,535,535
1481128512,535,535
1481129716,536,536
1481130624,536,536
1481132110,535,535
1481133230,536,536
1481134130,535,535
1481135111,537,537
1481135934,538,538
1481136913,539,539
1481137812,539,539
1481139016,541,541
1481140603,543,543
1481141812,545,545
1481142616,544,544
1481144107,545,545
1481145208,546,546
1481148313,547,547
1481152454,549,549
1481153417,548,548
1481154316,548,548
1481155515,547,547
1481158630,548,548
1481160615,546,546
1481161514,547,547
1481165066,546,546
1481166614,545,545
1481171412,542,542
1481173367,543,543
1481178310,544,544
1481179215,543,543
1481181014,543,543
1481184436,544,544
1481185814,540,540
1481187070,543,543
1481188640,542,542
1481190470,541,541
1481191270,537,537
1481192110,538,538
1481193315,537,537
1481194517,537,537
1481196618,539,539
1481199312,538,538
1481201112,535,535
1481203053,535,535
1481204156,537,537
1481204975,537,537
1481205890,534,534
1481206812,535,535
1481207710,533,533
1481208136,530,530
1481210417,530,530
1481210890,529,529
1481212773,523,523
1481214613,519,519
1481215342,522,522
1481216164,524,524
1481217015,525,525
1481217256,526,526
1481218217,527,527
1481218939,515,515
1481220314,408,408
1481221216,411,411
1481222535,287,287
1481223814,284,284
1481225411,282,282
1481226910,282,282
1481227735,283,283
1481229015,284,284
1481231110,288,288
1481232914,288,288
1481233341,289,289
1481234170,291,291
1481235013,289,289
1481235249,291,291
1481236214,290,290
1481236939,292,292
1481237769,293,293
1481238916,294,294
1481239811,295,295
1481240711,297,297
1481242450,298,298
1481243417,296,296
1481244316,295,295
1481246417,297,297
1481247310,297,297
1481248570,297,297
1481250615,295,295
1481251508,295,295
1481252303,292,292
1481253615,293,293
1481254823,292,292
1481256613,287,287
1481258536,285,285
1481260517,283,283
1481261414,277,277
1481262315,274,274
1481264417,263,263
1481265615,251,251
1481267115,244,244
1481267650,243,243
1481268447,244,244
1481269514,226,226
1481270715,220,220
1481271614,221,221
1481272815,214,214
1481273744,217,217
1481274612,211,211
1481275697,210,210
1481276586,194,194
1481277915,192,192
1481279653,188,188
1481280610,192,192
1481281428,190,190
1481282056,192,192
1481284378,192,192
1481286910,195,195
1481287740,197,197
1481288170,198,198
1481288997,199,199
1481290022,206,206
1481291116,202,202
1481293216,201,201
1481294416,202,202
1481295258,204,204
1481296220,206,206
1481297291,206,206
1481298313,204,204
1481300115,207,207
1481301736,209,209
1481303114,211,211
1481304018,212,212
1481304489,213,213
1481305516,212,212
1481306714,215,215
1481307255,216,216
1481308214,214,214
1481309710,216,216
1481310555,213,213
1481311815,213,213
1481313465,215,215
1481314336,214,214
1481315417,212,212
1481316314,213,213
1481316969,214,214
1481319014,216,216
1481319916,216,216
1481321650,214,214
1481322616,214,214
1481323515,216,216
1481324170,214,214
1481326212,214,214
1481327323,217,217
1481328314,216,216
1481329219,215,215
1481330681,216,216
1481333411,214,214
1481334969,215,215
1481335814,216,216
1481340018,216,216
1481341215,217,217
1481343012,216,216
1481344816,217,217
1481345773,216,216
1481347814,217,217
1481349369,218,218
1481350217,220,220
1481351289,221,221
1481352150,219,219
1481353513,221,221
1481355618,221,221
1481357654,219,219
1481359579,221,221
1481360702,221,221
1481362213,220,220
1481363115,219,219
1481363934,217,217
1481364915,218,218
1481365811,216,216
1481366711,218,218
1481367557,216,216
1481368443,215,215
1481369291,215,215
1481370142,215,215
1481372357,212,212
1481373312,210,210
1481374708,208,208
1481375610,209,209
1481377337,219,219
1481378173,237,237
1481379012,237,237
1481381063,239,239
1481382314,240,240
1481383187,242,242
1481384320,240,240
1481385650,233,233
1481387413,232,232
1481388314,235,235
1481389518,234,234
1481390418,237,237
1481391698,232,232
1481392512,233,233
1481393414,237,237
1481395336,240,240
1481397014,239,239
1481397256,242,242
1481398214,237,237
1481399114,236,236
1481399773,237,237
1481400614,234,234
1481402111,233,233
1481403011,234,234
1481403915,230,230
1481404815,231,231
1481405289,232,232
1481406289,235,235
1481407516,235,235
1481409010,236,236
1481409741,234,234
1481411119,235,235
1481411996,237,237
1481413219,235,235
1481415314,236,236
1481416215,236,236
1481417045,237,237
1481418317,238,238
1481420107,236,236
1481421915,236,236
1481425514,237,237
1481427014,239,239
1481427910,236,236
1481428851,237,237
1481429711,238,238
1481431222,234,234
1481432170,235,235
1481433014,234,234
1481433880,236,236
1481434818,235,235
1481436319,235,235
1481437218,235,235
1481438418,237,237
1481439314,240,240
1481440122,238,238
1481441253,239,239
1481442312,237,237
1481444416,244,244
1481445315,245,245
1481445740,244,244
1481447124,245,245
1481447927,244,244
1481449217,242,242
1481450172,243,243
1481451015,238,238
1481451913,241,241
1481452822,240,240
1481453710,242,242
1481455215,244,244
1481456539,239,239
1481457453,240,240
1481458512,238,238
1481459415,234,234
1481460914,235,235
1481461811,236,236
1481463738,235,235
1481464570,236,236
1481465414,232,232
1481466617,233,233
