DateTime,Entries,UniqueIPs
1480891953,1453,1453
1480893317,1443,1443
1480894990,1439,1439
1480895969,1442,1442
1480896913,1443,1443
1480897691,1448,1448
1480898710,1435,1435
1480899910,1429,1429
1480900813,1431,1431
1480901718,1422,1422
1480902130,1424,1424
1480904413,1428,1428
1480905308,1419,1419
1480906645,1422,1422
1480908009,1436,1436
1480909214,1426,1426
1480910109,1427,1427
1480910439,1426,1426
1480911232,1424,1424
1480912212,1422,1422
1480913112,1428,1428
1480914216,1437,1437
1480915212,1443,1443
1480916414,1428,1428
1480917909,1438,1438
1480918813,1449,1449
1480920968,1465,1465
1480921812,1472,1472
1480923018,1468,1468
1480925109,1481,1481
1480925939,1488,1488
1480926855,1485,1485
1480928359,1487,1487
1480929320,1501,1501
1480930216,1498,1498
1480931129,1510,1510
1480932183,1523,1523
1480933256,1529,1529
1480934411,1559,1559
1480935374,1645,1645
1480936214,1759,1759
1480937295,1762,1762
1480938277,1756,1756
1480939320,1744,1744
1480941010,1742,1742
1480941911,1748,1748
1480942569,1775,1775
1480944363,1778,1778
1480945329,1764,1764
1480946710,1766,1766
1480947615,1780,1780
1480948813,1774,1774
1480950613,1780,1780
1480951814,1772,1772
1480953311,1777,1777
1480954672,1780,1780
1480955481,1787,1787
1480956132,1787,1787
1480958412,1803,1803
1480959347,1797,1797
1480959728,1796,1796
1480960635,1799,1799
1480961461,1799,1799
1480962613,1802,1802
1480963512,1799,1799
1480965521,1805,1805
1480966576,1806,1806
1480967478,1816,1816
1480968313,1810,1810
1480969214,1819,1819
1480970113,1818,1818
1480971154,1822,1822
1480972513,1815,1815
1480974130,1818,1818
1480975508,1820,1820
1480976414,1829,1829
1480977728,1836,1836
1480979714,1842,1842
1480982169,1844,1844
1480983013,1841,1841
1480984213,1841,1841
1480985058,1848,1848
1480987565,1841,1841
1480988532,1839,1839
1480989912,1841,1841
1480991288,1849,1849
1480992133,1846,1846
1480994412,1864,1864
1480995732,1877,1877
1480998488,1898,1898
1480999512,1891,1891
1481000712,1882,1882
1481001613,1889,1889
1481002517,1887,1887
1481005213,1890,1890
1481005688,1895,1895
1481007568,1876,1876
1481009292,1884,1884
1481010134,1867,1867
1481012053,1884,1884
1481013866,1880,1880
1481014569,1884,1884
1481015413,1874,1874
1481017329,1863,1863
1481018713,1863,1863
1481019615,1868,1868
1481020929,1843,1843
1481022021,1848,1848
1481023812,1856,1856
1481025865,1838,1838
1481027831,1838,1838
1481029167,1840,1840
1481030888,1854,1854
1481032710,1838,1838
1481033714,1843,1843
1481035329,1831,1831
1481036999,1826,1826
1481038191,1825,1825
1481039112,1826,1826
1481041161,1835,1835
1481042174,1833,1833
1481043314,1834,1834
1481045289,1843,1843
1481046133,1845,1845
1481048049,1855,1855
1481049014,1855,1855
1481049729,1858,1858
1481051649,1862,1862
1481052493,1875,1875
1481054354,1860,1860
1481055612,1861,1861
1481056817,1859,1859
1481057711,1865,1865
1481058619,1863,1863
1481059816,1861,1861
1481060715,1851,1851
1481062323,1857,1857
1481063652,1853,1853
1481065242,1853,1853
1481066112,1858,1858
1481067914,1849,1849
1481069112,1833,1833
1481070014,1831,1831
1481071215,1824,1824
1481072942,1825,1825
1481074213,1827,1827
1481075114,1823,1823
1481077810,1797,1797
1481078713,1804,1804
1481079909,1800,1800
1481080811,1806,1806
1481082012,1791,1791
1481083115,1788,1788
1481085014,1791,1791
1481085913,1793,1793
1481088016,1784,1784
1481088917,1771,1771
1481091614,1776,1776
1481092495,1760,1760
1481094612,1758,1758
1481096533,1759,1759
1481097375,1767,1767
1481099294,1764,1764
1481100561,1748,1748
1481101845,1741,1741
1481103731,1741,1741
1481105117,1740,1740
1481106915,1745,1745
1481108172,1757,1757
1481109945,1758,1758
1481111112,1738,1738
1481112907,1705,1705
1481113813,1696,1696
1481114532,1706,1706
1481116210,1710,1710
1481117277,1716,1716
1481119477,1687,1687
1481120417,1698,1698
1481121309,1684,1684
1481122340,1688,1688
1481123652,1684,1684
1481125218,1666,1666
1481125335,1666,1666
1481126313,1658,1658
1481127314,1667,1667
1481128511,1662,1662
1481129716,1659,1659
1481130623,1652,1652
1481132109,1648,1648
1481133229,1650,1650
1481134130,1648,1648
1481135110,1656,1656
1481135934,1645,1645
1481136912,1652,1652
1481137812,1656,1656
1481139016,1660,1660
1481140602,1677,1677
1481141810,1682,1682
1481142615,1678,1678
1481144107,1684,1684
1481145207,1690,1690
1481146217,1682,1682
1481146938,1683,1683
1481148312,1681,1681
1481149194,1688,1688
1481150533,1681,1681
1481152453,1690,1690
1481153417,1688,1688
1481154315,1687,1687
1481155515,1682,1682
1481156049,1682,1682
1481157013,1681,1681
1481157736,1683,1683
1481158627,1681,1681
1481159713,1680,1680
1481160614,1679,1679
1481161514,1682,1682
1481163618,1681,1681
1481165065,1671,1671
1481166613,1668,1668
1481168114,1667,1667
1481169316,1665,1665
1481171411,1646,1646
1481172313,1646,1646
1481173367,1645,1645
1481174417,1646,1646
1481175615,1631,1631
1481176510,1635,1635
1481177415,1631,1631
1481178309,1634,1634
1481179214,1625,1625
1481180103,1627,1627
1481181013,1626,1626
1481182215,1622,1622
1481183509,1618,1618
1481184435,1610,1610
1481185813,1612,1612
1481187069,1613,1613
1481188639,1615,1615
1481189465,1608,1608
1481190469,1615,1615
1481191269,1608,1608
1481192110,1610,1610
1481193314,1616,1616
1481194516,1616,1616
1481195328,1621,1621
1481196617,1621,1621
1481199312,1630,1630
1481201111,1624,1624
1481203052,1640,1640
1481204155,1634,1634
1481204975,1643,1643
1481205889,1638,1638
1481206811,1645,1645
1481207710,1635,1635
1481208134,1633,1633
1481210416,1636,1636
1481210889,1638,1638
1481212773,1629,1629
1481213710,1635,1635
1481214611,1625,1625
1481215340,1621,1621
1481216164,1630,1630
1481217014,1633,1633
1481217256,1638,1638
1481218216,1630,1630
1481218937,1625,1625
1481220313,1543,1543
1481221214,1547,1547
1481222533,1399,1399
1481223813,1395,1395
1481225410,1395,1395
1481226910,1391,1391
1481227734,1403,1403
1481229014,1400,1400
1481231110,1401,1401
1481232913,1393,1393
1481233338,1395,1395
1481234169,1397,1397
1481235013,1398,1398
1481235249,1402,1402
1481236214,1400,1400
1481236937,1398,1398
1481237768,1406,1406
1481238915,1410,1410
1481239811,1405,1405
