DateTime,AddedIPs,RemovedIPs
1480891951,48,0
1480893312,48,88
1480894975,77,120
1480895967,57,27
1480896909,52,3
1480897687,45,0
1480898708,44,80
1480899908,49,103
1480900810,40,0
1480901706,50,87
1480902127,37,37
1480904411,160,84
1480905306,42,106
1480906643,92,33
1480908007,115,77
1480909211,95,172
1480910106,94,0
1480910433,43,84
1480911230,66,0
1480912208,130,121
1480913109,86,61
1480914214,165,87
1480915210,85,0
1480916410,138,174
1480917906,176,97
1480918807,82,0
1480920966,144,172
1480921808,91,94
1480923014,86,120
1480925107,84,125
1480925937,29,0
1480926853,21,75
1480928357,66,37
1480929313,55,8
1480930210,118,73
1480931126,148,27
1480932181,135,33
1480933253,151,1
1480934406,177,66
1480935369,127,5
1480936210,185,62
1480937292,85,1
1480938275,62,73
1480939317,95,62
1480941007,109,65
1480941907,101,26
1480942567,83,1
1480944360,287,58
1480945326,176,98
1480946706,85,57
1480947611,38,1
1480948810,71,105
1480950607,182,54
1480951810,158,57
1480953308,223,24
1480954669,159,41
1480955479,191,41
1480956130,188,18
1480958408,402,41
1480959345,123,46
1480959726,42,23
1480960632,146,0
1480961459,102,28
1480962608,153,48
1480963507,144,30
1480965519,192,46
1480966574,70,40
1480967476,66,14
1480968310,51,42
1480969210,85,0
1480970108,77,47
1480971152,104,21
1480972509,158,43
1480974127,226,56
1480975505,232,23
1480976411,216,1
1480977726,279,54
1480979710,389,23
1480982166,529,70
1480983010,158,32
1480984210,238,47
1480985055,189,15
1480987563,545,47
1480988529,201,51
1480989908,299,42
1480991286,310,0
1480992129,162,131
1480994409,485,141
1480995729,284,199
1480998486,453,29
1480999509,140,36
1481000709,181,22
1481001610,140,0
1481002515,136,25
1481005210,390,49
1481005686,69,0
1481007566,268,117
1481009289,239,3
1481010130,98,64
1481012049,123,38
1481013864,98,51
1481014566,36,1
1481015409,25,67
1481017327,111,83
1481018710,124,28
1481019612,78,1
1481020927,177,84
1481022004,136,43
1481023808,300,50
1481025863,458,68
1481027829,356,71
1481029164,249,58
1481030886,313,8
1481032708,434,102
1481033710,327,8
1481035327,473,87
1481036997,487,50
1481038188,322,54
1481039108,295,19
1481041159,313,37
1481042168,107,39
1481043311,91,31
1481045286,263,35
1481046130,137,90
1481048046,243,50
1481049011,98,51
1481049727,89,12
1481051647,250,35
1481052489,134,1
1481054352,273,88
1481055609,155,1
1481056813,170,52
1481057709,96,0
1481058614,133,28
1481059813,208,41
1481060711,107,27
1481062320,276,43
1481063650,221,78
1481065236,268,95
1481066109,129,3
1481067911,301,122
1481069109,202,58
1481070011,146,0
1481071211,193,105
1481072940,313,93
1481074210,248,94
1481075111,196,51
1481077808,663,233
1481078709,239,51
1481079906,312,131
1481080807,242,0
1481082008,255,240
1481083112,233,145
1481085010,372,204
1481085910,163,71
1481088012,358,125
1481088915,130,161
1481091611,407,133
1481092493,95,141
1481094610,129,82
1481096530,102,66
1481097371,55,0
1481099292,97,61
1481100559,96,240
1481101843,84,169
1481103729,124,299
1481105111,121,71
1481106912,376,142
1481108167,265,36
1481109943,448,111
1481111108,196,175
1481112903,333,151
1481113808,197,254
1481114529,152,97
1481116207,331,100
1481117275,178,0
1481119475,466,225
1481120413,212,0
1481121307,138,201
1481122337,235,87
1481123649,296,145
1481125211,354,404
1481125331,29,0
1481126312,180,226
1481127310,190,22
1481128509,204,226
1481129712,143,77
1481130620,82,181
1481132107,139,217
1481133227,115,81
1481134127,67,154
1481135108,73,0
1481135932,96,128
1481136907,111,42
1481137809,111,83
1481139012,162,124
1481140600,329,60
1481141810,295,117
1481142611,138,193
1481144105,228,69
1481145205,189,170
1481146213,220,357
