DateTime,Entries,UniqueIPs
1480910433,17061,17061
1480911230,17127,17127
1480912208,17136,17136
1480913109,17161,17161
1480914214,17239,17239
1480915210,17324,17324
1480916410,17288,17288
1480917906,17367,17367
1480918807,17449,17449
1480920966,17421,17421
1480921808,17418,17418
1480923014,17384,17384
1480925107,17343,17343
1480925937,17372,17372
1480926853,17318,17318
1480928357,17347,17347
1480929313,17394,17394
1480930210,17439,17439
1480931126,17560,17560
1480932181,17662,17662
1480933253,17812,17812
1480934406,17923,17923
1480935369,18045,18045
1480936210,18168,18168
1480937292,18252,18252
1480938275,18241,18241
1480939317,18274,18274
1480941007,18318,18318
1480941907,18393,18393
1480942567,18475,18475
1480944360,18704,18704
1480945326,18782,18782
1480946706,18810,18810
1480947611,18847,18847
1480948810,18813,18813
1480950607,18941,18941
1480951810,19042,19042
1480953308,19241,19241
1480954669,19359,19359
1480955479,19509,19509
1480956130,19679,19679
1480958408,20040,20040
1480959345,20117,20117
1480959726,20136,20136
1480960632,20282,20282
1480961459,20356,20356
1480962608,20461,20461
1480963507,20575,20575
1480965519,20721,20721
1480966574,20751,20751
1480967476,20803,20803
1480968310,20812,20812
1480969210,20897,20897
1480970108,20927,20927
1480971152,21010,21010
1480972509,21125,21125
1480974127,21295,21295
1480975505,21504,21504
1480976411,21719,21719
1480977726,21944,21944
1480979710,22310,22310
1480982166,22769,22769
1480983010,22895,22895
1480984210,23086,23086
1480985055,23260,23260
1480987563,23758,23758
1480988529,23908,23908
1480989908,24165,24165
1480991286,24475,24475
1480992129,24506,24506
1480994409,24850,24850
1480995729,24935,24935
1480998486,25359,25359
1480999509,25463,25463
1481000709,25622,25622
1481001610,25762,25762
1481002515,25873,25873
1481005210,26214,26214
1481005686,26283,26283
1481007566,26434,26434
1481009289,26670,26670
1481010130,26704,26704
1481012049,26789,26789
1481013864,26836,26836
1481014566,26871,26871
1481015409,26829,26829
1481017327,26857,26857
1481018710,26953,26953
1481019612,27030,27030
1481020927,27123,27123
1481022004,27216,27216
1481023808,27466,27466
1481025863,27856,27856
1481027829,28141,28141
1481029164,28332,28332
1481030886,28637,28637
1481032708,28969,28969
1481033710,29288,29288
1481035327,29674,29674
1481036997,30111,30111
1481038188,30379,30379
1481039108,30655,30655
1481041159,30931,30931
1481042168,30999,30999
1481043311,31059,31059
1481045286,31287,31287
1481046130,31334,31334
1481048046,31527,31527
1481049011,31574,31574
1481049727,31651,31651
1481051647,31866,31866
1481052489,31999,31999
1481054352,32184,32184
1481055609,32338,32338
1481056813,32456,32456
1481057709,32552,32552
1481058614,32657,32657
1481059813,32824,32824
1481060711,32904,32904
1481062320,33137,33137
1481063650,33280,33280
1481065236,33453,33453
1481066109,33579,33579
1481067911,33758,33758
1481069109,33902,33902
1481070011,34048,34048
1481071211,34136,34136
1481072940,34356,34356
1481074210,34510,34510
1481075111,34655,34655
1481077808,35085,35085
1481078709,35273,35273
1481079906,35454,35454
1481080807,35696,35696
1481082008,35711,35711
1481083112,35799,35799
1481085010,35967,35967
1481085910,36059,36059
1481088012,36292,36292
1481088915,36261,36261
1481091611,36535,36535
1481092493,36489,36489
1481094610,36536,36536
1481096530,36572,36572
1481097371,36627,36627
1481099292,36663,36663
1481100559,36519,36519
1481101843,36434,36434
1481103729,36259,36259
1481105111,36309,36309
1481106912,36543,36543
1481108167,36772,36772
1481109943,37109,37109
1481111108,37130,37130
1481112903,37312,37312
1481113808,37255,37255
1481114529,37310,37310
1481116207,37541,37541
1481117275,37719,37719
1481119475,37960,37960
1481120413,38172,38172
1481121307,38109,38109
1481122337,38257,38257
1481123649,38408,38408
1481125211,38358,38358
1481125331,38387,38387
1481126312,38341,38341
1481127310,38509,38509
