DateTime,Entries,UniqueIPs
1480885832,4063,4063
1480887610,4060,4060
1480888506,4075,4075
1480889412,4060,4060
1480890822,4055,4055
1480891950,4070,4070
1480893310,4073,4073
1480894961,4066,4066
1480895965,4077,4077
1480896905,4086,4086
1480897685,4091,4091
1480898705,4090,4090
1480899906,4081,4081
1480900807,4094,4094
1480901705,4084,4084
1480902125,4085,4085
1480904407,4100,4100
1480905304,4092,4092
1480906641,4116,4116
1480908006,4120,4120
1480909207,4119,4119
1480910104,4128,4128
1480910431,4127,4127
1480911229,4138,4138
1480912206,4178,4178
1480913106,4241,4241
1480914212,4245,4245
1480915207,4263,4263
1480916407,4262,4262
1480917905,4269,4269
1480918804,4277,4277
1480920964,4279,4279
1480921805,4279,4279
1480923009,4280,4280
1480925105,4264,4264
1480925935,4271,4271
1480926851,4263,4263
1480928356,4263,4263
1480929309,4274,4274
1480930206,4254,4254
1480931124,4261,4261
1480932179,4270,4270
1480933252,4292,4292
1480934405,4287,4287
1480935366,4298,4298
1480936207,4300,4300
1480937289,4312,4312
1480938273,4307,4307
1480939316,4312,4312
1480941006,4311,4311
1480941905,4311,4311
1480942565,4316,4316
1480944358,4260,4260
1480945325,3792,3792
1480946705,3778,3778
1480947607,3791,3791
1480948806,3749,3749
1480950605,3739,3739
1480951807,3726,3726
1480953306,3778,3778
1480954668,3832,3832
1480955477,3807,3807
1480956127,3655,3655
1480958405,3361,3361
1480959197,3343,3343
1480959725,3339,3339
1480960631,3351,3351
1480961458,3345,3345
1480962606,3331,3331
1480963505,3337,3337
1480965517,3353,3353
1480966572,3351,3351
1480967474,3354,3354
1480968306,3337,3337
1480969207,3351,3351
1480970105,3338,3338
1480971151,3344,3344
1480972506,3358,3358
1480974125,3345,3345
1480975504,3340,3340
1480976407,3348,3348
1480977725,3348,3348
1480979706,3352,3352
1480982165,3346,3346
1480983007,3339,3339
1480984207,3336,3336
1480985054,3334,3334
1480987561,3344,3344
1480988525,3325,3325
1480989905,3332,3332
1480991284,3341,3341
1480992127,3294,3294
1480994406,3256,3256
1480995726,3123,3123
1480998485,3189,3189
1480999505,3227,3227
1481000705,3223,3223
1481001607,3238,3238
1481002513,3210,3210
1481005208,3215,3215
1481005685,3218,3218
1481007564,3178,3178
1481009286,3203,3203
1481010127,3166,3166
1481012046,3180,3180
1481013862,3173,3173
1481014565,3185,3185
1481015406,3154,3154
1481017325,3139,3139
1481018706,3149,3149
1481019609,3158,3158
1481020925,3140,3140
1481022001,3139,3139
1481023805,3147,3147
1481025861,3156,3156
1481027827,3160,3160
1481029163,3162,3162
1481030884,3186,3186
1481032706,3166,3166
1481033706,3170,3170
1481035325,3103,3103
1481036995,3047,3047
1481038186,2985,2985
1481039105,2992,2992
1481041157,3064,3064
1481042164,3102,3102
1481043307,3110,3110
1481045285,3117,3117
1481046126,3121,3121
1481048044,3145,3145
1481049009,3137,3137
1481049725,3133,3133
1481051645,3138,3138
1481052486,3151,3151
1481054349,3130,3130
1481055606,3147,3147
1481056809,3146,3146
1481057706,3156,3156
1481058608,3150,3150
1481059808,3144,3144
1481060707,3149,3149
1481062318,3136,3136
1481063648,3121,3121
1481065233,3115,3115
1481066105,3132,3132
1481067906,3140,3140
1481069107,3143,3143
1481070008,3154,3154
1481071207,3143,3143
1481072938,3135,3135
1481074206,3136,3136
1481075106,3142,3142
1481077806,3137,3137
1481078706,3145,3145
1481079905,3142,3142
1481080806,3146,3146
1481082005,3047,3047
1481083111,3033,3033
1481085006,3066,3066
1481085907,3121,3121
1481088007,3151,3151
1481088913,3133,3133
1481091606,3146,3146
1481092491,3125,3125
1481094606,3141,3141
1481096528,3146,3146
1481097366,3152,3152
1481099290,3159,3159
1481100557,3150,3150
1481101841,3146,3146
1481103726,3134,3134
1481105107,3136,3136
1481106907,3136,3136
1481108165,3144,3144
1481109941,3152,3152
1481111106,3150,3150
1481112817,3163,3163
1481113806,3153,3153
1481114526,3154,3154
1481116205,3165,3165
1481117273,3179,3179
1481119473,3164,3164
1481120408,3178,3178
1481121305,3163,3163
1481122336,3171,3171
1481123647,3108,3108
1481125207,3072,3072
1481125328,3073,3073
1481126306,3119,3119
1481127307,3169,3169
1481128506,3156,3156
1481129707,3182,3182
1481130617,3190,3190
1481132105,3202,3202
1481133225,3208,3208
1481134125,3208,3208
1481135106,3217,3217
1481135930,3193,3193
1481136905,3187,3187
1481137805,3183,3183
1481139008,3186,3186
1481140598,3184,3184
1481141806,3180,3180
1481142608,3153,3153
1481144103,3171,3171
1481145203,3177,3177
1481146210,3176,3176
1481146929,3173,3173
1481148306,3179,3179
1481149190,3196,3196
1481150526,3195,3195
1481152446,3206,3206
1481153408,3196,3196
1481154307,3199,3199
1481155507,3207,3207
1481156044,3215,3215
1481157006,3219,3219
1481157729,3250,3250
1481158622,3278,3278
1481160607,3308,3308
1481161505,3316,3316
1481163608,3355,3355
1481165061,3357,3357
1481166607,3365,3365
1481168107,3334,3334
1481169312,3308,3308
1481171405,3389,3389
1481172306,3430,3430
1481173359,3433,3433
1481174407,3451,3451
1481175606,3447,3447
1481176505,3459,3459
1481177407,3459,3459
1481178305,3487,3487
1481179206,3479,3479
1481180099,3487,3487
1481181005,3489,3489
1481182206,3486,3486
1481183505,3509,3509
1481184427,3508,3508
1481185806,3515,3515
1481187065,3527,3527
1481188634,3527,3527
1481189459,3517,3517
1481190465,3522,3522
1481191262,3524,3524
1481192105,3535,3535
1481193305,3515,3515
1481194508,3521,3521
1481195324,3517,3517
1481196609,3519,3519
1481199305,3552,3552
1481201105,3561,3561
1481203047,3569,3569
1481204151,3564,3564
