DateTime,AddedIPs,RemovedIPs
1481150703,2,10
1481151303,0,9
1481151604,1,6
1481152505,2,61
1481153109,78,94
1481153708,0,103
1481154302,10,11
1481154905,5,62
1481155503,104,7
1481156102,1,0
1481156703,1,3
1481157302,8,1
1481157909,0,112
1481158503,92,12
1481159103,95,3
1481160002,40,76
1481160609,1,84
1481161204,136,4
1481161802,96,0
1481162407,17,9
1481163004,5,2
1481163602,12,2
1481164202,1,0
1481164506,0,69
1481165103,0,1
1481165702,2,0
1481166302,6,1
1481166903,3,1
1481167204,0,13
1481167802,13,0
1481169003,1,1
1481169601,1,1
1481170202,2,2
1481170803,22,4
1481171403,6,8
1481172003,39,12
1481172602,1,0
1481172909,0,84
1481173502,40,0
1481174104,1,7
1481174706,0,91
1481175302,13,8
1481175903,95,3
1481176504,87,13
1481176806,0,54
1481177402,7,1
1481177705,0,23
1481178303,13,10
1481178902,105,3
1481179502,97,1
1481180107,2,86
1481180708,168,81
1481181303,112,1
1481181902,1,12
1481182507,81,85
1481183103,11,4
1481183706,94,19
1481184303,0,83
1481184904,179,11
1481185503,0,5
1481186103,86,11
1481186702,2,4
1481187009,0,69
1481187604,11,3
1481188203,0,2
1481188804,91,2
1481189402,7,3
1481189707,1,78
1481190304,32,17
1481190902,0,20
1481191204,1,19
1481191804,0,3
1481192402,9,3
1481193003,4,7
1481193603,17,6
1481194202,4,6
1481194503,9,6
1481195102,0,2
1481195704,12,6
1481196006,0,13
1481196602,9,8
1481197203,17,2
1481197804,20,4
1481198402,19,12
1481198704,2,1
1481199302,7,27
1481199904,19,6
1481200505,4,21
1481201102,2,11
1481202002,1,10
1481202304,1,12
1481202904,1,25
1481203505,17,3
1481204103,9,19
1481204703,0,5
1481205302,100,4
1481205902,2,2
1481206204,2,16
1481206801,9,4
1481207104,1,18
1481207704,54,12
1481208304,3,5
1481208903,1,4
1481209802,6,4
1481210403,1,1
1481210705,1,8
1481211302,962,17
1481211603,7,7
1481212205,2,16
1481212803,0,14
1481213403,0,6
1481214003,22,4
1481214604,13,11
1481215209,78,89
1481215803,31,2
1481216407,10,88
1481217003,0,21
1481217603,3,1
1481218205,9,47
1481218804,16,10
1481219404,7,32
1481219706,2,73
1481220303,16,13
1481220912,11,95
1481221504,32,17
1481222103,10,2
1481222708,18,78
1481223302,1,2
1481223605,14,27
1481224202,6,0
1481224503,2,2
1481225107,23,37
1481225702,25,49
1481226303,10,1
1481226904,0,9
1481227502,2,5
1481228403,1,41
1481229004,4,30
1481229602,12,1
1481230205,0,85
1481230802,0,5
1481231404,86,9
1481232004,98,65
1481232306,0,22
1481232906,16,80
1481233502,2,6
1481233803,0,14
1481234404,6,12
1481235005,1,28
1481235307,184,99
1481235902,1,2
1481236502,91,2
1481237102,18,2
1481237703,6,1
1481238302,3,2
1481239205,20,31
1481239803,1,37
1481240402,0,5
1481241002,99,8
1481241606,0,83
1481242202,1,6
1481242802,17,2
1481243104,1,3
1481243703,105,14
1481244302,1,1
1481244905,0,73
1481245506,101,78
1481246104,3,35
1481246703,9,1
1481247302,1,5
1481247608,38,132
1481248203,15,76
1481248505,105,9
1481249103,0,6
1481249704,84,17
1481250304,1,4
1481250902,1,0
1481251503,1,1
1481252104,88,2
1481252702,22,6
1481253302,0,3
1481253903,80,2
1481254502,0,11
1481255702,0,2
1481256304,86,3
1481256902,1,1
1481257203,19,18
1481257804,95,10
1481258403,6,32
1481259002,140,0
1481259606,1,32
1481260205,82,3
1481260802,75,2
1481261105,10,1
1481261703,17,10
1481262314,16,94
1481262903,82,87
1481263504,0,6
1481264102,2,7
1481264704,3,15
1481265007,0,102
1481265607,93,98
1481266205,129,5
1481266814,1,126
1481267407,1,137
1481268002,1,0
1481268304,8,5
1481268906,9,80
1481269505,1,13
1481270107,99,87
1481270702,2,0
1481271316,104,148
1481271902,25,0
1481272506,113,87
1481273104,94,2
1481273703,0,13
1481274302,8,2
1481274907,31,81
1481275503,0,5
1481276102,185,7
1481276405,0,19
1481277002,1,13
1481277602,11,1
1481278202,3,1
1481278504,12,6
1481279103,190,7
1481279712,1,16
1481280303,18,6
1481280905,1,10
1481281502,10,1
1481282104,11,8
1481282702,5,2
1481283006,1,10
1481283603,108,13
1481283905,97,16
1481284503,6,8
1481284805,4,14
1481285404,8,5
1481286003,10,11
1481286602,22,12
1481286904,1,3
1481287503,25,3
1481288104,33,7
1481288702,71,4
1481289304,0,17
1481289905,103,23
1481290502,1,8
1481291102,103,3
1481291708,1,89
1481292303,0,4
1481292903,14,4
1481293503,95,8
1481294105,92,54
1481294704,1,20
1481295304,11,1
1481295904,8,6
1481296503,6,4
1481297104,16,8
1481297747,1,935
1481298304,28,30
1481298902,27,1
1481299502,2,0
1481300104,109,27
1481300703,7,5
1481301302,9,11
1481301907,2,89
1481302503,31,4
1481303102,36,7
1481303703,10,5
1481304303,10,3
1481304904,4,9
1481305206,363,16
1481305803,0,13
1481306403,1,5
1481307304,32,33
1481307904,2,15
1481308503,0,11
1481309104,21,17
1481309702,7,356
1481310604,31,50
1481311204,0,29
1481311805,162,27
1481312404,74,10
1481313003,2,11
1481313604,191,9
1481314202,35,3
1481314804,3,6
1481315405,2,4
1481316004,30,14
1481316602,7,1
1481317203,1,3
1481317807,2,86
1481318403,26,80
1481319304,96,11
1481319903,7,5
1481320503,2,5
1481321102,2,1
1481321711,9,164
1481322303,1,4
1481322910,8,91
1481323505,2,18
1481324103,7,6
1481324703,14,2
1481325005,100,9
1481325602,2,1
1481326203,19,2
1481326802,15,0
1481327413,18,99
1481328603,8,4
1481328905,14,6
1481329503,15,16
1481330108,16,101
1481330702,1,1
1481331302,3,2
1481331607,1,87
1481332203,5,18
1481332804,1,10
1481333403,0,6
1481334004,11,32
1481334602,1,15
1481334907,2,101
1481335502,11,10
1481335806,1,84
1481336402,1,0
1481337002,0,2
1481337604,1,2
1481338207,1,89
1481338804,0,15
1481339402,0,5
1481340002,0,1
1481340306,0,80
1481340902,16,0
1481342102,0,1
1481342707,2,86
1481343302,1,2
1481343905,1,25
1481344212,0,100
1481344802,10,2
1481345117,0,126
1481345704,0,3
1481346307,1,84
1481346906,1,74
1481347503,1,9
1481348405,14,31
1481349006,11,84
1481349602,27,0
1481350202,2,1
1481350802,2,3
1481351402,2,0
1481352007,0,94
1481352607,0,123
1481353203,0,1
1481353802,2,1
1481354403,3,6
1481355004,12,14
1481355603,19,2
1481355904,0,3
1481356506,0,74
1481357103,0,3
1481357708,1,96
1481358305,1,29
1481358909,103,111
1481359502,98,67
1481360102,0,1
1481360702,0,7
1481361305,1,26
1481361902,21,0
1481362207,11,94
1481362801,7,93
1481363403,1,6
1481363705,0,11
1481364303,2,2
1481364904,1,15
1481365208,0,99
1481365803,0,82
1481366404,3,10
1481367003,15,12
1481367604,9,3
1481368204,2,26
1481368803,6,15
1481369403,12,1
1481370012,0,104
1481370602,16,102
1481371203,6,8
1481372405,59,18
1481373006,18,21
1481373604,8,14
1481374203,0,2
1481374809,2,101
1481375402,9,5
1481376003,12,5
1481376310,2,99
1481376902,15,2
1481377207,6,76
1481377802,1,4
1481378402,109,0
1481379006,3,12
1481379602,2,4
1481379907,0,77
1481380510,1,74
1481381104,5,9
1481381702,7,9
1481382302,13,9
1481382603,95,5
1481383203,8,7
1481383504,2,12
1481384102,1,8
1481384403,4,17
1481385005,13,29
1481385603,27,6
1481386212,3,74
1481386803,2,13
1481387404,4,14
1481388002,3,2
1481388604,0,17
1481389204,2,33
1481389803,100,22
1481390404,2,12
1481391004,26,4
1481391603,54,9
1481392203,2,5
1481392802,8,5
1481393704,9,22
1481394305,2,18
1481394904,12,9
1481395504,18,12
1481396103,189,8
1481396704,825,8
1481397303,1208,28
1481397909,1,94
1481398506,36,91
1481399103,0,5
1481400010,0,151
1481400604,15,30
1481401203,16,4
1481401803,14,4
1481402404,0,9
1481402705,0,16
1481403303,70,8
1481403902,16,6
1481404502,28,2
1481405401,2,20
1481405707,1,70
1481406303,1,14
1481407503,127,4
1481408104,0,10
1481408703,5,1
1481409304,0,10
1481409901,13,1
1481410503,0,10
1481410805,1,15
1481411410,0,82
1481412002,8,2
1481412605,7,18
1481413202,1,16
1481413804,10,16
1481414403,5,7
1481415003,18,9
1481415605,113,26
1481416203,6,5
1481416803,1,9
1481417105,3,9
1481417703,3,7
1481418303,1,6
1481418903,12,5
1481419502,1,0
1481420103,2,8
1481420704,1,2
1481421304,7,4
1481421903,8,18
1481422502,99,3
1481423702,95,0
1481424303,0,7
1481424605,0,1
1481425202,2,0
1481425802,2,1
1481426402,1,0
1481427002,3,1
1481427305,1,14
1481427903,13,0
1481428804,1,2
1481429402,1,1
1481430003,0,8
1481430603,1,7
1481431203,1,11
1481431802,3,1
1481433003,0,3
1481433603,1,10
1481434202,1,0
1481434804,14,14
1481435402,0,5
1481435705,0,16
1481436303,0,1
1481436901,8,4
1481437203,1,5
1481437802,0,3
1481438402,1,0
1481438704,1,2
1481439304,0,4
1481439904,12,11
