DateTime,Entries,UniqueIPs
1481201102,9040,9040
1481202002,9031,9031
1481202304,9020,9020
1481202904,8996,8996
1481203505,9010,9010
1481204103,9000,9000
1481204703,8995,8995
1481205302,9091,9091
1481205902,9091,9091
1481206204,9077,9077
1481206801,9082,9082
1481207104,9065,9065
1481207704,9107,9107
1481208304,9105,9105
1481208903,9102,9102
1481209802,9104,9104
1481210403,9104,9104
1481210705,9097,9097
1481211302,10042,10042
1481211603,10042,10042
1481212205,10028,10028
1481212803,10014,10014
1481213403,10008,10008
1481214003,10026,10026
1481214604,10028,10028
1481215209,10017,10017
1481215803,10046,10046
1481216407,9968,9968
1481217003,9947,9947
1481217603,9949,9949
1481218205,9911,9911
1481218804,9917,9917
1481219404,9892,9892
1481219706,9821,9821
1481220303,9824,9824
1481220912,9740,9740
1481221504,9755,9755
1481222103,9763,9763
1481222708,9703,9703
1481223302,9702,9702
1481223605,9689,9689
1481224202,9695,9695
1481224503,9695,9695
1481225107,9681,9681
1481225702,9657,9657
1481226303,9666,9666
1481226904,9657,9657
1481227502,9654,9654
1481228403,9614,9614
1481229004,9588,9588
1481229602,9599,9599
1481230205,9514,9514
1481230802,9509,9509
1481231404,9586,9586
1481232004,9619,9619
1481232306,9597,9597
1481232906,9533,9533
1481233502,9529,9529
1481233803,9515,9515
1481234404,9509,9509
1481235005,9482,9482
1481235307,9567,9567
1481235902,9566,9566
1481236502,9655,9655
1481237102,9671,9671
1481237703,9676,9676
1481238302,9677,9677
1481239205,9666,9666
1481239803,9630,9630
1481240402,9625,9625
1481241002,9716,9716
1481241606,9633,9633
1481242202,9628,9628
1481242802,9643,9643
1481243104,9641,9641
1481243703,9732,9732
1481244302,9732,9732
1481244905,9659,9659
1481245506,9682,9682
1481246104,9650,9650
1481246703,9658,9658
1481247302,9654,9654
1481247608,9560,9560
1481248203,9499,9499
1481248505,9595,9595
1481249103,9589,9589
1481249704,9656,9656
1481250304,9653,9653
1481250902,9654,9654
1481251503,9654,9654
1481252104,9740,9740
1481252702,9756,9756
1481253302,9753,9753
1481253903,9831,9831
1481254502,9820,9820
1481255702,9818,9818
1481256304,9901,9901
1481256902,9901,9901
1481257203,9902,9902
1481257804,9987,9987
1481258403,9961,9961
1481259002,10101,10101
1481259606,10070,10070
1481260205,10149,10149
1481260802,10222,10222
1481261105,10231,10231
1481261703,10238,10238
1481262314,10160,10160
1481262903,10155,10155
1481263504,10149,10149
1481264102,10144,10144
1481264704,10132,10132
1481265007,10030,10030
1481265607,10025,10025
1481266205,10149,10149
1481266814,10024,10024
1481267407,9888,9888
1481268002,9889,9889
1481268304,9892,9892
1481268906,9821,9821
1481269505,9809,9809
1481270107,9821,9821
1481270702,9823,9823
1481271316,9779,9779
1481271902,9804,9804
1481272506,9830,9830
1481273104,9922,9922
1481273703,9909,9909
1481274302,9915,9915
1481274907,9865,9865
1481275503,9860,9860
1481276102,10038,10038
1481276405,10019,10019
1481277002,10007,10007
1481277602,10017,10017
1481278202,10019,10019
1481278504,10025,10025
1481279103,10208,10208
1481279712,10193,10193
1481280303,10205,10205
1481280905,10196,10196
1481281502,10205,10205
1481282104,10208,10208
1481282702,10211,10211
1481283006,10202,10202
1481283603,10297,10297
1481283905,10378,10378
1481284503,10376,10376
1481284805,10366,10366
1481285404,10369,10369
1481286003,10368,10368
1481286602,10378,10378
1481286904,10376,10376
1481287503,10398,10398
1481288104,10424,10424
1481288702,10491,10491
1481289304,10474,10474
1481289905,10554,10554
1481290502,10547,10547
1481291102,10647,10647
1481291708,10559,10559
1481292303,10555,10555
1481292903,10565,10565
1481293503,10652,10652
1481294105,10690,10690
1481294704,10671,10671
1481295304,10681,10681
1481295904,10683,10683
1481296503,10685,10685
1481297104,10693,10693
1481297747,9759,9759
1481298304,9757,9757
1481298902,9783,9783
1481299502,9785,9785
1481300104,9867,9867
1481300703,9869,9869
1481301302,9867,9867
1481301907,9780,9780
1481302503,9807,9807
1481303102,9836,9836
1481303703,9841,9841
1481304303,9848,9848
1481304904,9843,9843
1481305206,10190,10190
1481305803,10177,10177
1481306403,10173,10173
1481307304,10172,10172
1481307904,10159,10159
1481308503,10148,10148
1481309104,10152,10152
1481309702,9803,9803
1481310604,9784,9784
1481311204,9755,9755
1481311805,9890,9890
1481312404,9954,9954
1481313003,9945,9945
1481313604,10127,10127
1481314202,10159,10159
1481314804,10156,10156
1481315405,10154,10154
1481316004,10170,10170
1481316602,10176,10176
1481317203,10174,10174
1481317807,10090,10090
1481318403,10036,10036
1481319304,10121,10121
1481319903,10123,10123
1481320503,10120,10120
1481321102,10121,10121
1481321711,9966,9966
1481322303,9963,9963
1481322910,9880,9880
1481323505,9864,9864
1481324103,9865,9865
1481324703,9877,9877
1481325005,9968,9968
1481325602,9969,9969
1481326203,9986,9986
1481326802,10001,10001
1481327413,9920,9920
1481328603,9924,9924
1481328905,9932,9932
1481329503,9931,9931
1481330108,9846,9846
1481330702,9846,9846
1481331302,9847,9847
1481331607,9761,9761
1481332203,9748,9748
1481332804,9739,9739
1481333403,9733,9733
1481334004,9712,9712
1481334602,9698,9698
1481334907,9599,9599
1481335502,9600,9600
1481335806,9517,9517
1481336402,9518,9518
1481337002,9516,9516
1481337604,9515,9515
1481338207,9427,9427
1481338804,9412,9412
1481339402,9407,9407
1481340002,9406,9406
1481340306,9326,9326
1481340902,9342,9342
1481342102,9341,9341
1481342707,9257,9257
1481343302,9256,9256
1481343905,9232,9232
1481344212,9132,9132
1481344802,9140,9140
1481345117,9014,9014
1481345704,9011,9011
1481346307,8928,8928
1481346906,8855,8855
1481347503,8847,8847
1481348405,8830,8830
1481349006,8757,8757
1481349602,8784,8784
1481350202,8785,8785
1481350802,8784,8784
1481351402,8786,8786
1481352007,8692,8692
1481352607,8569,8569
1481353203,8568,8568
1481353802,8569,8569
1481354403,8566,8566
1481355004,8564,8564
1481355603,8581,8581
1481355904,8578,8578
1481356506,8504,8504
1481357103,8501,8501
1481357708,8406,8406
1481358305,8378,8378
1481358909,8370,8370
1481359502,8401,8401
1481360102,8400,8400
1481360702,8393,8393
1481361305,8368,8368
1481361902,8389,8389
1481362207,8306,8306
1481362801,8220,8220
1481363403,8215,8215
1481363705,8204,8204
1481364303,8204,8204
1481364904,8190,8190
1481365208,8091,8091
