DateTime,AddedIPs,RemovedIPs
1478736724,70,119
1478740564,74,72
1478746564,100,101
1478754245,82,82
1478758086,145,146
1478762884,87,61
1478770565,91,76
1478773444,58,47
1478779209,89,92
1478787125,86,83
1478792887,87,86
1478798644,58,44
1478806324,97,86
1478812086,87,100
1478819765,82,111
1478825525,110,101
1478834403,112,109
1478840163,155,160
1478848813,128,126
1478852645,49,48
1478857444,57,52
1478861282,58,41
1478865128,55,50
1478869925,54,44
1478871845,107,95
1478878805,90,88
1478888408,113,84
1478894175,82,112
1478899923,50,58
1478903764,56,58
1478909763,77,87
1478915772,122,106
1478925363,112,156
1478929211,136,173
1478937124,120,88
1478944811,53,46
1478946723,43,37
1478951775,100,73
1478959686,98,107
1478967363,90,90
1478973125,109,93
1478978882,59,54
1478984644,66,74
1478992324,79,114
1478996163,41,55
1479000005,73,63
1479005763,94,109
1479013442,166,186
1479021363,134,122
1479027124,96,68
1479036006,116,79
1479041765,102,87
1479047527,61,68
1479051366,50,53
1479055208,63,50
1479059284,69,52
1479065043,86,85
1479068883,39,69
1479074644,79,109
1479080404,55,65
1479084244,48,83
1479088084,138,107
1479097685,108,137
1479104403,138,159
1479110163,125,108
1479116886,58,39
1479122645,88,84
1479126484,54,44
1479130324,49,47
1479134165,49,47
1479136086,33,45
1479144008,91,68
1479148326,77,58
1479156008,98,89
1479158166,44,67
1479162004,53,54
1479167763,54,68
1479171612,100,122
1479179524,115,140
1479183363,76,92
1479191283,152,153
1479195124,88,62
1479198964,65,60
1479204724,91,71
1479212414,77,77
1479220084,87,82
1479225843,99,74
1479233764,110,83
1479237605,65,48
1479241444,47,53
1479245283,54,57
1479251285,82,118
1479255365,40,60
1479261125,114,110
1479270726,128,156
1479274564,96,99
1479280325,146,123
1479288004,105,85
1479293778,84,94
1479302651,89,72
1479308414,45,53
1479312242,44,60
1479316324,89,61
1479322085,106,94
1479327844,48,53
1479333655,87,91
1479339364,37,61
1479343204,54,58
1479345126,80,62
1479350883,87,109
1479356647,79,91
1479360485,96,103
1479364324,136,124
1479374163,100,83
1479381843,84,70
1479387842,68,73
1479393603,82,61
1479399365,49,50
1479405123,94,80
1479412810,92,101
1479420484,72,92
1479426244,64,76
1479430083,102,120
1479435844,46,43
1479441610,114,135
1479449287,141,150
1479456979,112,109
1479460809,56,32
1479464646,54,43
1479468486,77,74
1479478084,78,88
1479483844,88,66
1479491526,103,77
1479499216,49,56
1479501123,49,61
1479506886,94,101
1479515046,82,113
1479518884,115,100
1479526804,47,68
1479528977,78,87
1479532808,93,99
1479536645,63,70
1479542418,103,85
1479550086,114,72
1479555843,98,89
1479565444,103,92
1479569285,57,62
1479573124,62,45
1479578885,97,82
1479582724,64,49
1479590404,78,89
1479596165,77,107
1479604085,124,118
1479610083,94,119
1479617764,73,82
1479619683,85,98
1479623765,75,79
1479627605,61,48
1479629525,48,40
1479635286,50,34
1479641044,103,67
1479644884,43,41
1479647762,59,49
1479653523,107,102
1479659282,49,46
1479665043,91,87
1479670804,48,50
1479674884,52,50
1479680644,79,109
1479688325,78,140
1479692165,99,82
1479694084,57,48
1479700323,112,138
1479706083,98,109
1479708016,70,72
1479715684,116,96
1479721443,56,46
1479723603,66,43
1479729365,91,81
1479735130,55,53
1479741127,95,87
1479744966,59,72
1479748806,49,62
1479752645,73,55
1479756484,76,60
1479763443,88,103
1479769230,97,129
1479776885,124,109
1479784804,102,124
1479788644,79,105
1479792484,92,98
1479796323,81,83
1479802323,117,112
1479810003,85,77
1479817683,110,83
1479822483,96,88
1479830163,78,68
1479836883,96,89
1479844809,98,86
1479852484,85,107
1479858243,72,138
1479865925,133,122
1479871689,50,58
1479878403,164,186
1479884164,69,67
1479888007,113,89
1479895684,99,76
1479903363,72,81
1479907444,46,34
1479911283,53,42
1479915125,46,49
1479918963,57,46
1479922804,71,59
1479928577,70,61
1479932409,104,96
1479938164,81,95
1479942977,50,56
1479948726,40,70
1479952564,128,116
1479958325,116,142
1479966006,95,86
1479967926,66,70
1479975605,124,81
1479979445,48,49
1479986176,56,47
1479988083,46,36
1479990013,55,48
1479995763,57,51
1479999611,84,72
1480003684,41,47
1480011363,92,87
1480017124,88,77
1480022883,47,55
1480026723,50,56
1480032484,75,122
1480038243,67,69
1480040167,57,57
1480044016,56,68
1480047845,81,87
1480054564,134,135
1480058418,79,67
1480064165,50,37
1480066083,52,33
1480069924,51,52
1480073764,84,91
1480081682,81,65
1480087444,50,41
1480091283,48,45
1480098965,93,80
1480102804,58,52
1480108803,87,94
1480112642,36,50
1480118412,65,128
1480124163,74,58
1480128003,120,96
1480133764,79,82
1480137604,72,94
1480141444,60,65
1480147207,92,74
1480153205,58,45
1480157043,53,41
1480160886,48,50
1480162813,42,42
1480168563,45,41
1480173371,94,88
1480179125,50,50
1480184163,90,84
1480188003,47,53
1480191844,50,52
1480198563,78,100
1480202404,42,46
1480206244,40,61
1480212962,117,114
1480216803,54,61
1480220644,73,90
1480227363,145,151
1480233124,69,52
1480235046,47,39
1480238886,51,40
1480242005,59,39
1480247764,69,71
1480255685,46,32
1480259526,94,75
1480265284,93,92
1480272963,82,94
1480278725,52,64
1480282564,41,55
1480288324,86,98
1480294086,111,125
1480301764,53,51
1480305610,45,58
1480307523,134,155
1480315204,134,122
1480320964,50,49
1480326724,93,74
1480336325,108,84
1480342084,82,76
1480349765,86,71
1480355523,100,74
1480365123,98,86
1480370885,91,97
1480374724,48,82
1480378804,43,63
1480384564,62,58
1480386484,64,65
1480392243,125,150
1480399923,146,137
1480405924,104,98
1480413615,84,86
1480421285,88,84
1480425365,56,54
1480429446,46,53
1480435444,94,69
1480445043,112,80
1480449842,90,93
1480457525,88,99
1480463282,64,71
1480465204,24,68
1480469523,65,61
1480473363,57,62
1480477203,120,140
1480487043,160,151
1480492812,68,49
1480494722,46,48
1480498563,44,32
1480500486,50,46
1480504325,46,44
1480508416,84,73
1480518014,88,81
1480524004,56,43
1480530004,97,94
1480535764,102,92
1480543686,94,107
1480549443,80,113
1480555445,92,71
1480563126,121,136
1480566964,159,182
1480574644,145,123
1480580404,58,59
1480586164,104,70
1480591925,93,84
1480599604,45,43
1480605363,83,69
1480609444,43,34
1480613285,57,35
1480619043,115,87
1480626724,89,99
1480632724,73,102
1480638483,49,71
1480641616,70,64
1480647364,56,70
1480651205,123,136
1480656963,76,76
1480662723,134,117
1480668483,43,57
1480672324,92,60
1480680243,71,108
1480688164,91,71
1480692004,59,44
1480695843,50,34
1480701607,122,82
1480707844,48,58
1480711924,82,102
1480717683,41,49
1480721522,41,62
1480725363,47,77
1480729202,134,111
1480736883,112,134
1480742643,91,86
1480749362,66,75
1480751283,95,85
1480757284,51,45
1480761124,45,32
1480765204,56,51
1480769042,97,91
1480778644,94,66
1480784643,119,90
1480792324,94,92
1480798083,68,102
1480803844,66,51
1480807922,68,98
1480817764,130,91
1480825444,136,208
1480829283,138,92
1480835283,113,98
1480842963,76,63
1480848725,80,80
1480856407,93,80
1480862164,52,37
1480866002,53,54
1480867923,51,46
1480871762,48,48
1480877763,48,53
1480879683,37,56
1480885443,89,96
1480893362,75,107
1480897203,36,73
1480901043,123,118
1480910644,125,137
1480917362,140,141
1480925284,109,103
1480931284,81,67
1480937046,48,45
1480942811,66,77
1480948804,85,59
1480954807,39,35
1480958885,52,56
1480962726,65,49
1480966581,71,64
1480973047,93,114
