DateTime,AddedIPs,RemovedIPs
1480483482,14,4
1480485393,6,10
1480487310,13,5
1480489305,9,11
1480491201,8,8
1480493074,5,10
1480494993,1,13
1480496901,1,4
1480498820,7,17
1480500737,9,1
1480502649,7,4
1480504579,9,7
1480506506,4,5
1480508449,9,5
1480510366,7,1
1480512261,15,6
1480514264,12,5
1480516115,14,4
1480518091,11,15
1480519967,14,8
1480522128,13,12
1480524032,12,10
1480526199,10,14
1480528119,10,15
1480530021,10,8
1480531966,10,7
1480533861,8,12
1480535791,2,7
1480537708,11,5
1480539691,10,9
1480541543,10,7
1480543717,11,19
1480545627,15,9
1480547548,5,10
1480549462,12,11
1480551642,7,5
1480553553,10,14
1480555478,8,10
1480557394,11,9
1480559309,10,7
1480561288,4,4
1480563164,7,2
1480565072,9,1
1480566998,8,9
1480568928,5,3
1480570830,9,2
1480572755,12,16
1480574677,20,3
1480576589,8,9
1480578510,27,10
1480580430,2,6
1480582364,2,18
1480584269,5,5
1480586189,6,7
1480588110,4,2
1480590078,10,2
1480591961,10,6
1480593876,6,2
1480595780,9,5
1480597717,14,4
1480599630,23,5
1480601554,17,10
1480603453,17,9
1480605378,10,3
1480607561,4,7
1480609467,20,3
1480611394,13,18
1480613305,15,2
1480615298,9,3
1480617152,9,4
1480619074,11,6
1480621005,2,7
1480622906,9,6
1480624818,10,9
1480626739,19,10
1480628653,7,5
1480630839,15,12
1480632751,5,0
1480634669,17,16
1480636586,17,3
1480638511,9,13
1480640471,18,2
1480642347,20,0
1480644271,13,4
1480646190,18,5
1480648107,11,11
1480650019,15,0
1480651946,5,12
1480653864,16,6
1480655783,10,0
1480657708,18,30
1480659624,17,0
1480661564,15,19
1480663464,22,16
1480665394,13,10
1480667310,4,19
1480669285,6,4
1480671147,0,5
1480673326,15,5
1480675221,6,5
1480677145,11,3
1480679062,6,3
1480681248,9,4
1480683159,9,9
1480685059,24,5
1480686992,8,10
1480688899,11,12
1480690871,7,10
1480692747,0,9
1480694932,8,3
1480696830,4,7
1480698752,8,8
1480700658,8,3
1480702838,10,10
1480704764,5,5
1480706662,11,20
1480708578,8,26
1480710515,7,7
1480712489,1,8
1480714339,17,10
1480716528,18,6
1480718431,11,6
1480720350,13,4
1480722269,12,8
1480724436,17,12
1480726351,14,11
1480728534,9,18
1480730491,7,7
1480732356,8,15
1480734531,12,5
1480736433,10,15
1480738345,7,13
1480740250,7,7
1480742430,6,4
1480744353,6,6
1480746528,9,12
1480748508,5,4
1480750378,11,7
1480752272,10,15
1480754194,10,9
1480756149,6,21
1480758029,12,9
1480759945,17,9
1480761859,9,3
1480764031,4,2
1480765950,7,6
1480767855,7,5
1480769786,14,5
1480771699,15,8
1480773674,12,5
1480775547,10,20
1480777727,13,11
1480779628,1,12
1480781547,26,9
1480783495,13,11
1480785403,9,5
1480787308,18,18
1480789244,6,4
1480791158,1,9
1480793062,17,5
1480794981,13,4
1480796902,10,7
1480799092,23,13
1480800988,24,3
1480802923,17,4
1480804822,19,11
1480806773,14,13
1480808658,14,6
1480810842,19,12
1480812762,7,13
1480814666,16,11
1480816589,16,0
1480818546,8,0
1480820467,14,0
1480822355,18,0
1480824524,5,0
1480826424,12,0
1480828355,16,0
1480830264,8,0
1480832236,17,0
1480834396,12,0
1480836309,25,0
1480838229,16,0
1480840158,3,0
1480842128,1,0
1480844040,17,0
1480845926,13,0
1480847877,9,0
1480849717,2,0
1480851678,2,0
1480853609,12,0
1480855540,16,0
1480857403,15,0
1480859326,21,0
1480861258,16,0
1480863173,12,0
1480865058,19,0
1480867002,20,0
1480868923,19,0
1480871083,6,0
1480873002,11,0
1480874933,9,0
1480876828,14,0
1480879254,10,0
1480881159,10,0
1480883058,16,0
1480884991,10,0
1480886917,11,0
1480888907,18,0
1480890744,7,4
1480892661,16,12
1480894600,8,9
1480896506,4,3
1480898424,14,6
1480900343,16,9
1480902527,15,17
1480904448,7,6
1480906363,14,10
1480908252,19,8
1480910181,14,12
1480912103,19,10
1480914092,13,16
1480915979,13,12
1480917872,14,14
1480919785,15,14
1480921710,5,9
1480923619,12,17
1480925546,18,7
1480927455,17,9
1480929404,18,13
1480931319,22,16
1480933239,11,12
1480935156,8,2
1480937067,3,4
1480938983,6,4
1480940896,7,6
1480942881,11,12
1480944747,16,15
1480946922,12,12
1480948831,11,15
1480950760,27,14
1480952696,24,6
1480954840,11,5
1480956763,5,6
1480958917,16,15
1480960888,10,16
1480962755,9,16
1480964677,9,8
1480966615,12,13
1480968525,8,14
1480970530,15,15
1480972444,7,11
1480975562,5,23
1480978048,11,4
1480980558,18,11
1480983234,19,21
1480985369,14,12
1480987854,11,5
1480989706,12,16
1480991718,9,18
1480993706,2,10
1480996522,6,15
1480998647,10,24
1481000912,5,13
1481002934,12,8
1481005025,8,14
1481007076,3,13
1481009259,12,2
1481011177,11,18
1481013878,18,24
1481016000,10,15
1481017876,12,15
1481019784,10,11
1481022215,4,2
1481025525,6,9
1481027987,3,7
1481030379,8,7
1481032392,7,4
1481035300,19,28
1481038368,10,9
1481042862,22,25
1481044664,21,15
1481047157,7,25
1481049041,18,9
1481051360,21,13
1481053972,11,15
1481056658,5,18
1481058649,2,17
1481060711,8,12
1481062803,0,16
1481065242,0,5
1481067673,15,11
1481070334,15,12
1481072631,4,7
1481074926,15,10
1481077325,19,3
1481079712,10,11
1481082011,10,14
1481085156,9,7
1481087836,12,28
1481090203,13,13
1481092964,14,21
1481096153,22,12
1481099140,24,21
