DateTime,Entries,UniqueIPs
1480489305,4927,5030
1480491201,4927,5029
1480493074,4903,5006
1480494993,4893,4994
1480496901,4881,4982
1480498820,4877,4978
1480500737,4882,4983
1480502649,4882,4983
1480504579,4885,4986
1480506506,4882,4984
1480508449,4885,4988
1480510366,4893,4996
1480512261,4900,5003
1480514264,4908,5011
1480516115,4915,5019
1480518091,4910,5015
1480519967,4919,5024
1480522128,4914,5019
1480524032,4920,5025
1480526199,4925,5031
1480528119,4923,5027
1480530021,4927,5031
1480531966,4922,5026
1480533861,4927,5031
1480535791,4923,5027
1480537708,4930,5034
1480539691,4939,5043
1480541543,4946,5050
1480543717,4954,5057
1480545627,4970,5073
1480547548,4962,5065
1480549462,4962,5068
1480551642,4941,5047
1480553553,4950,5056
1480555478,4952,5058
1480557394,4965,5071
1480559309,4975,5081
1480561288,4971,5077
1480563164,4974,5079
1480565072,4987,5094
1480566998,4985,5092
1480568928,4969,5076
1480570830,4979,5087
1480572755,4982,5090
1480574677,4980,5088
1480576589,4989,5097
1480578510,4985,5093
1480580430,4987,5095
1480582364,4969,5077
1480584269,4963,5070
1480586189,4963,5070
1480588110,4960,5067
1480590078,4971,5078
1480591961,4973,5080
1480593876,4979,5086
1480595780,4991,5098
1480597717,4995,5103
1480599630,5005,5113
1480601554,5009,5118
1480603453,5013,5123
1480605378,5027,5138
1480607561,5021,5132
1480609467,5041,5152
1480611394,5044,5156
1480613305,5056,5170
1480615298,5058,5172
1480617152,5056,5171
1480619074,5062,5177
1480621005,5063,5178
1480622906,5064,5179
1480624818,5070,5185
1480626739,5082,5197
1480628653,5079,5194
1480630839,5090,5205
1480632751,5089,5205
1480634669,5108,5224
1480636586,5124,5239
1480638511,5130,5245
1480640471,5147,5262
1480642347,5168,5283
1480644271,5179,5294
1480646190,5191,5307
1480648107,5200,5316
1480650019,5207,5321
1480651946,5206,5320
1480653864,5215,5331
1480655783,5217,5333
1480657708,5224,5339
1480659624,5240,5355
1480661564,5245,5360
1480663464,5260,5376
1480665394,5262,5378
1480667310,5259,5375
1480669285,5254,5370
1480671147,5242,5358
1480673326,5239,5356
1480675221,5247,5364
1480677145,5254,5372
1480679062,5256,5373
1480681248,5254,5372
1480683159,5265,5383
1480685059,5284,5402
1480686992,5288,5406
1480688899,5290,5409
1480690871,5287,5406
1480692747,5279,5400
1480694932,5284,5405
1480696830,5278,5399
1480698752,5276,5397
1480700658,5276,5397
1480702838,5273,5393
1480704764,5265,5385
1480706662,5265,5385
1480708578,5261,5381
1480710515,5261,5381
1480712489,5256,5373
1480714339,5259,5374
1480716528,5270,5386
1480718431,5280,5396
1480720350,5288,5404
1480722269,5296,5413
1480724436,5311,5428
1480726351,5319,5436
1480728534,5315,5432
1480730491,5318,5435
1480732356,5323,5440
1480734531,5329,5445
1480736433,5326,5442
1480738345,5326,5442
1480740250,5323,5440
1480742430,5326,5444
1480744353,5328,5444
1480746528,5330,5446
1480748508,5320,5435
1480750378,5314,5429
1480752272,5307,5422
1480754194,5301,5416
1480756149,5282,5397
1480758029,5272,5387
1480759945,5276,5392
1480761859,5278,5395
1480764031,5282,5399
1480765950,5285,5402
1480767855,5290,5406
1480769786,5295,5411
1480771699,5295,5412
1480773674,5293,5411
