DateTime,AddedIPs,RemovedIPs
1480438896,18,57
1480440747,25,17
1480442678,16,25
1480444579,23,17
1480446512,16,23
1480448417,23,16
1480450354,6,26
1480452258,4,7
1480454430,0,4
1480456352,22,1
1480458254,24,21
1480460176,32,25
1480462093,54,28
1480464070,14,48
1480465976,19,15
1480468122,14,23
1480470028,22,15
1480471954,30,18
1480473862,37,30
1480475789,31,37
1480477708,49,32
1480479635,31,45
1480481565,13,32
1480483482,44,16
1480485393,19,47
1480487310,54,18
1480489305,33,51
1480491201,29,34
1480493074,27,27
1480494993,3,33
1480496901,3,4
1480498820,40,3
1480500737,26,32
1480502649,28,31
1480504579,25,28
1480506506,16,26
1480508449,26,17
1480510366,32,23
1480512261,65,33
1480514264,38,62
1480516115,57,37
1480518091,40,58
1480519967,34,41
1480522128,43,34
1480524032,38,41
1480526199,34,39
1480528119,38,33
1480530021,39,41
1480531966,31,39
1480533861,34,26
1480535791,20,37
1480537708,39,22
1480539691,36,38
1480541543,31,31
1480543717,23,34
1480545627,35,24
1480547548,31,34
1480549462,33,30
1480551642,23,32
1480553553,23,27
1480555478,45,20
1480557394,25,48
1480559309,43,26
1480561288,22,36
1480563164,23,25
1480565072,31,27
1480566998,24,31
1480568928,26,20
1480570830,24,23
1480572755,29,30
1480574677,48,30
1480576589,39,50
1480578510,62,36
1480580430,4,68
1480582364,16,4
1480584269,13,16
1480586189,29,11
1480588110,17,26
1480590078,23,20
1480591961,34,24
1480593876,18,33
1480595780,36,20
1480597717,30,29
1480599630,45,31
1480601554,43,43
1480603453,43,42
1480605378,42,45
1480607561,29,43
1480609467,52,26
1480611394,25,53
1480613305,45,26
1480615298,32,44
1480617152,18,31
1480619074,24,18
1480621005,16,25
1480622906,27,17
1480624818,30,25
1480626739,39,28
1480628653,28,37
1480630839,42,30
1480632751,21,45
1480634669,48,22
1480636586,53,45
1480638511,29,53
1480640471,39,34
1480642347,50,37
1480644271,32,47
1480646190,45,38
1480648107,36,39
1480650019,41,35
1480651946,28,38
1480653864,43,30
1480655783,32,45
1480657708,37,33
1480659624,55,41
1480661564,46,54
1480663464,54,47
1480665394,43,50
1480667310,11,52
1480669285,15,11
1480671147,1,14
1480673326,36,2
1480675221,24,34
1480677145,30,25
1480679062,20,30
1480681248,22,20
1480683159,26,23
1480685059,50,23
1480686992,24,51
1480688899,41,18
1480690871,17,39
1480692747,18,17
1480694932,20,19
1480696830,17,23
1480698752,33,21
1480700658,44,26
1480702838,22,44
1480704764,19,26
1480706662,36,18
1480708578,24,38
1480710515,36,25
1480712489,6,34
1480714339,43,8
1480716528,45,35
1480718431,43,50
1480720350,32,37
1480722269,38,29
1480724436,38,41
1480726351,33,37
1480728534,41,37
1480730491,28,40
1480732356,32,25
1480734531,43,35
1480736433,35,43
1480738345,41,38
1480740250,39,37
1480742430,40,36
1480744353,39,43
1480746528,44,45
1480748508,40,44
1480750378,38,37
1480752272,49,37
1480754194,43,49
1480756149,37,39
1480758029,47,42
1480759945,56,51
1480761859,22,57
1480764031,22,25
1480765950,26,21
1480767855,41,25
1480769786,44,40
1480771699,43,44
1480773674,45,44
1480775547,42,41
1480777727,24,43
1480779628,14,24
1480781547,53,9
1480783495,41,57
1480785403,40,37
1480787308,44,42
1480789244,15,50
1480791158,2,16
1480793062,50,3
1480794981,32,42
1480796902,41,31
1480799092,57,42
1480800988,53,56
1480802923,42,44
1480804822,48,53
1480806773,52,47
1480808658,55,50
1480810842,46,52
1480812762,37,51
1480814666,46,38
1480816589,46,44
1480818546,39,43
1480820467,38,40
1480822355,41,41
1480824524,15,43
1480826424,38,11
1480828355,38,37
1480830264,21,44
1480832236,38,20
1480834396,26,41
1480836309,48,28
1480838229,45,48
1480840158,5,46
1480842128,23,5
1480844040,53,22
1480845926,43,47
1480847877,20,48
1480849717,13,19
1480851678,18,13
1480853609,32,20
1480855540,51,26
1480857403,40,48
1480859326,49,39
1480861258,41,49
1480863173,38,47
1480865058,53,35
1480867002,53,52
1480868923,51,54
1480871083,23,46
1480873002,24,30
1480874933,47,18
1480876828,37,49
1480879254,40,36
1480881159,33,39
1480883058,38,34
1480884991,29,44
1480886917,34,24
1480888907,36,35
1480890744,27,39
1480892661,36,25
1480894600,34,33
1480896506,13,34
1480898424,33,14
1480900343,48,33
1480902527,48,50
1480904448,36,49
1480906363,29,37
1480908252,46,30
1480910181,42,42
1480912103,44,39
1480914092,34,48
1480915979,44,35
1480917872,38,45
1480919785,46,41
1480921710,26,42
1480923619,41,26
1480925546,50,40
1480927455,46,49
1480929404,43,48
1480931319,54,43
1480933239,34,50
1480935156,22,40
1480937067,13,23
1480938983,27,15
1480940896,21,29
1480942881,25,19
1480944747,42,23
1480946922,33,36
1480948831,36,35
1480950760,49,38
1480952696,63,51
1480954840,28,59
1480956763,22,25
1480958917,45,25
1480960888,25,47
1480962755,26,26
1480964677,21,24
1480966615,21,22
1480968525,27,20
1480970530,35,27
1480972444,28,41
1480975562,25,21
1480978048,42,25
1480980558,41,41
1480983234,35,44
1480985369,40,34
1480987854,31,39
1480989706,27,34
1480991718,24,28
1480993706,15,25
1480996522,15,14
1480998647,49,15
1481000912,17,47
1481002934,49,16
1481005025,33,49
1481007076,25,37
1481009259,58,21
1481011177,40,58
1481013878,52,41
1481016000,37,52
1481017876,41,35
1481019784,33,45
1481022215,20,33
1481025525,20,21
1481027987,30,20
1481030379,27,28
1481032392,26,27
1481035300,66,31
1481038368,33,64
1481042862,53,29
1481044664,50,52
1481047157,35,46
1481049041,55,40
1481051360,56,54
1481053972,20,51
1481056658,19,24
1481058649,13,20
1481060711,29,14
1481062803,3,35
1481065242,3,3
1481067673,48,2
1481070334,41,39
1481072631,15,41
1481074926,44,18
1481077325,41,42
1481079712,26,44
1481082011,39,28
1481085156,23,39
