DateTime,Entries,UniqueIPs
1480464070,24,24
1480465976,28,28
1480468122,19,19
1480470028,26,26
1480471954,38,38
1480473862,45,45
1480475789,39,39
1480477708,56,56
1480479635,42,42
1480481565,23,23
1480483482,51,51
1480485393,23,23
1480487310,59,59
1480489305,41,41
1480491201,36,36
1480493074,36,36
1480494993,6,6
1480496901,5,5
1480498820,42,42
1480500737,36,36
1480502649,33,33
1480504579,30,30
1480506506,20,20
1480508449,29,29
1480510366,38,38
1480512261,70,70
1480514264,46,46
1480516115,66,66
1480518091,48,48
1480519967,41,41
1480522128,50,50
1480524032,47,47
1480526199,42,42
1480528119,47,47
1480530021,45,45
1480531966,37,37
1480533861,45,45
1480535791,28,28
1480537708,45,45
1480539691,43,43
1480541543,43,43
1480543717,32,32
1480545627,43,43
1480547548,40,40
1480549462,43,43
1480551642,34,34
1480553553,30,30
1480555478,55,55
1480557394,32,32
1480559309,49,49
1480561288,35,35
1480563164,33,33
1480565072,37,37
1480566998,30,30
1480568928,36,36
1480570830,37,37
1480572755,36,36
1480574677,54,54
1480576589,43,43
1480578510,69,69
1480580430,5,5
1480582364,17,17
1480584269,14,14
1480586189,32,32
1480588110,23,23
1480590078,26,26
1480591961,36,36
1480593876,21,21
1480595780,37,37
1480597717,38,38
1480599630,52,52
1480601554,52,52
1480603453,53,53
1480605378,50,50
1480607561,36,36
1480609467,62,62
1480611394,34,34
1480613305,53,53
1480615298,41,41
1480617152,28,28
1480619074,34,34
1480621005,25,25
1480622906,35,35
1480624818,40,40
1480626739,51,51
1480628653,42,42
1480630839,54,54
1480632751,30,30
1480634669,56,56
1480636586,64,64
1480638511,40,40
1480640471,45,45
1480642347,58,58
1480644271,43,43
1480646190,50,50
1480648107,47,47
1480650019,53,53
1480651946,43,43
1480653864,56,56
1480655783,43,43
1480657708,47,47
1480659624,61,61
1480661564,53,53
1480663464,60,60
1480665394,53,53
1480667310,12,12
1480669285,16,16
1480671147,3,3
1480673326,37,37
1480675221,27,27
1480677145,32,32
1480679062,22,22
1480681248,24,24
1480683159,27,27
1480685059,54,54
1480686992,27,27
1480688899,50,50
1480690871,28,28
1480692747,29,29
1480694932,30,30
1480696830,24,24
1480698752,36,36
1480700658,54,54
1480702838,32,32
1480704764,25,25
1480706662,43,43
1480708578,29,29
1480710515,40,40
1480712489,12,12
1480714339,47,47
1480716528,57,57
1480718431,50,50
1480720350,45,45
1480722269,54,54
1480724436,51,51
1480726351,47,47
1480728534,51,51
1480730491,39,39
1480732356,46,46
1480734531,54,54
1480736433,46,46
1480738345,49,49
1480740250,51,51
1480742430,55,55
1480744353,51,51
1480746528,50,50
1480748508,46,46
1480750378,47,47
1480752272,59,59
1480754194,53,53
1480756149,51,51
1480758029,56,56
1480759945,61,61
1480761859,26,26
1480764031,23,23
1480765950,28,28
1480767855,44,44
1480769786,48,48
1480771699,47,47
1480773674,48,48
1480775547,49,49
1480777727,30,30
1480779628,20,20
1480781547,64,64
1480783495,48,48
1480785403,51,51
1480787308,53,53
1480789244,18,18
1480791158,4,4
1480793062,51,51
1480794981,41,41
1480796902,51,51
1480799092,66,66
1480800988,63,63
1480802923,61,61
1480804822,56,56
1480806773,61,61
1480808658,66,66
1480810842,60,60
1480812762,46,46
1480814666,54,54
1480816589,56,56
1480818546,52,52
1480820467,50,50
1480822355,50,50
1480824524,22,22
1480826424,49,49
1480828355,50,50
1480830264,27,27
1480832236,45,45
1480834396,30,30
1480836309,50,50
1480838229,47,47
1480840158,6,6
1480842128,24,24
1480844040,55,55
1480845926,51,51
1480847877,23,23
1480849717,17,17
1480851678,22,22
1480853609,34,34
1480855540,59,59
1480857403,51,51
1480859326,61,61
1480861258,53,53
1480863173,44,44
1480865058,62,62
1480867002,63,63
1480868923,60,60
1480871083,37,37
1480873002,31,31
1480874933,60,60
1480876828,48,48
1480879254,52,52
1480881159,46,46
1480883058,50,50
1480884991,35,35
1480886917,45,45
1480888907,46,46
1480890744,34,34
1480892661,45,45
1480894600,46,46
1480896506,25,25
1480898424,44,44
1480900343,59,59
1480902527,57,57
1480904448,44,44
1480906363,36,36
1480908252,52,52
1480910181,52,52
1480912103,57,57
1480914092,43,43
1480915979,52,52
1480917872,45,45
1480919785,50,50
1480921710,34,34
1480923619,49,49
1480925546,59,59
1480927455,56,56
1480929404,51,51
1480931319,62,62
1480933239,46,46
1480935156,28,28
1480937067,18,18
1480938983,30,30
1480940896,22,22
1480942881,28,28
1480944747,47,47
1480946922,44,44
1480948831,45,45
1480950760,56,56
1480952696,68,68
1480954840,37,37
1480956763,34,34
1480958917,54,54
1480960888,32,32
1480962755,32,32
1480964677,29,29
1480966615,28,28
1480968525,35,35
1480970530,43,43
1480972444,30,30
1480975562,34,34
1480978048,51,51
1480980558,51,51
1480983234,42,42
1480985369,48,48
1480987854,40,40
1480989706,33,33
1480991718,29,29
1480993706,19,19
1480996522,20,20
1480998647,54,54
1481000912,24,24
1481002934,57,57
1481005025,41,41
1481007076,29,29
1481009259,66,66
1481011177,48,48
1481013878,59,59
1481016000,44,44
1481017876,50,50
1481019784,38,38
1481022215,25,25
1481025525,24,24
1481027987,34,34
1481030379,33,33
1481032392,32,32
1481035300,67,67
1481038368,36,36
