DateTime,Entries,UniqueIPs
1481005716,7474,7474
1481007089,7483,7483
1481009272,7504,7504
1481010367,7491,7491
1481012370,7510,7510
1481013891,7524,7524
1481015015,7542,7542
1481016014,7567,7567
1481016995,7565,7565
1481018862,7583,7583
1481019823,7583,7583
1481020978,7613,7613
1481022256,7581,7581
1481023876,7622,7622
1481025538,7637,7637
1481026819,7660,7660
1481028030,7636,7636
1481028986,7676,7676
1481030391,7655,7655
1481031381,7654,7654
1481032405,7666,7666
1481033761,7681,7681
1481035314,7670,7670
1481036889,7662,7662
1481038381,7673,7673
1481039897,7668,7668
1481040882,7666,7666
1481041875,7675,7675
1481042874,7706,7706
1481044676,7745,7745
1481046012,7745,7745
1481047171,7771,7771
1481048264,7780,7780
1481050146,7818,7818
1481051372,7842,7842
1481052800,7865,7865
1481053984,7898,7898
1481055252,7914,7914
1481056670,7947,7947
1481057614,7963,7963
1481058662,8002,8002
1481059758,7962,7962
1481060766,7986,7986
1481061724,8032,8032
1481062844,8053,8053
1481064208,8076,8076
1481065254,8094,8094
1481066334,8082,8082
1481067687,8138,8138
1481069441,8164,8164
1481070349,8149,8149
1481071608,8187,8187
1481072643,8203,8203
1481073770,8220,8220
1481074972,8239,8239
1481077371,8326,8326
1481078826,8380,8380
1481079732,8360,8360
1481080888,8389,8389
1481082023,8451,8451
1481083447,8446,8446
1481085169,8515,8515
1481086497,8561,8561
1481087849,8529,8529
1481089070,8592,8592
1481090215,8588,8588
1481091649,8605,8605
1481092978,8613,8613
1481094468,8584,8584
1481096166,8603,8603
1481097719,8587,8587
1481099155,8586,8586
1481100536,8587,8587
1481102023,8584,8584
1481103656,8560,8560
1481105116,8597,8597
1481106554,8588,8588
1481108465,8614,8614
1481110004,8597,8597
1481111268,8556,8556
1481112582,8538,8538
1481113957,8550,8550
1481115430,8478,8478
1481117131,8492,8492
1481118254,8490,8490
1481119281,8489,8489
1481120554,8468,8468
1481121708,8504,8504
1481122820,8469,8469
1481124453,8442,8442
1481125398,8412,8412
1481126421,8416,8416
1481128390,8358,8358
1481129344,8332,8332
1481130291,8378,8378
1481131213,8383,8383
1481132311,8418,8418
1481133710,8358,8358
1481134817,8312,8312
1481136299,8357,8357
1481137414,8347,8347
1481138418,8343,8343
1481139751,8328,8328
1481141368,8321,8321
1481142781,8303,8303
1481144077,8235,8235
1481145697,8249,8249
1481146820,8260,8260
1481147772,8227,8227
1481149013,8221,8221
1481150225,8221,8221
1481151158,8219,8219
1481152120,8236,8236
1481153500,8218,8218
1481154612,8188,8188
1481155741,8219,8219
1481156795,8183,8183
1481157875,8230,8230
1481159090,8178,8178
1481160547,8193,8193
1481161455,8111,8111
1481162448,8153,8153
1481163627,8195,8195
1481164564,8153,8153
1481166025,8174,8174
1481167004,8164,8164
1481168101,8163,8163
1481169134,8150,8150
1481170354,8110,8110
1481171819,8092,8092
1481172749,8140,8140
1481173729,8103,8103
1481174655,8118,8118
1481175839,8150,8150
1481176812,8139,8139
1481177776,8173,8173
1481178744,8166,8166
1481179750,8156,8156
1481180658,8183,8183
1481181675,8151,8151
1481182590,8107,8107
1481183551,8139,8139
1481184523,8111,8111
1481185454,8150,8150
1481186446,8112,8112
1481187392,8085,8085
1481188386,8122,8122
1481189306,8052,8052
1481190266,8054,8054
1481191294,8149,8149
1481192449,8187,8187
1481193386,8144,8144
1481194356,8184,8184
1481195348,8154,8154
1481196272,8190,8190
1481197233,8194,8194
1481198196,8180,8180
1481199157,8188,8188
1481200144,8227,8227
1481201095,8236,8236
1481202087,8225,8225
1481203043,8255,8255
1481203985,8253,8253
1481204914,8263,8263
1481205874,8244,8244
1481207082,8257,8257
1481208029,8300,8300
1481208994,8293,8293
1481209964,8251,8251
1481210933,8262,8262
1481211871,8232,8232
1481212889,8177,8177
1481213791,8196,8196
1481214767,8238,8238
1481215736,8254,8254
1481216674,8219,8219
1481217643,8126,8126
1481218588,8145,8145
1481219558,8085,8085
1481220550,8043,8043
1481221471,7984,7984
1481222426,8026,8026
1481223399,8013,8013
1481224359,7988,7988
1481225314,7938,7938
1481226269,7867,7867
1481227300,7901,7901
1481228469,7836,7836
1481229385,7794,7794
1481230356,7826,7826
1481231309,7730,7730
1481232258,7691,7691
1481233223,7699,7699
1481234189,7645,7645
1481235160,7674,7674
1481236154,7611,7611
1481237068,7574,7574
1481238106,7553,7553
1481239279,7530,7530
1481240186,7491,7491
1481241171,7493,7493
1481242145,7447,7447
1481243089,7481,7481
1481244032,7453,7453
1481244993,7419,7419
1481245961,7389,7389
1481246939,7415,7415
1481247859,7344,7344
1481248954,7334,7334
1481250011,7383,7383
1481251291,7355,7355
1481252195,7379,7379
1481253151,7404,7404
1481254150,7413,7413
1481255062,7409,7409
1481256084,7395,7395
1481257030,7377,7377
1481257964,7415,7415
1481258911,7422,7422
1481259955,7438,7438
1481261056,7392,7392
1481262067,7422,7422
1481262982,7432,7432
1481263957,7453,7453
1481264911,7467,7467
1481265860,7441,7441
1481266905,7444,7444
1481268068,7453,7453
1481268997,7424,7424
1481269963,7422,7422
1481270949,7439,7439
1481271873,7413,7413
1481272828,7453,7453
1481273800,7397,7397
1481274757,7430,7430
1481275722,7391,7391
1481276664,7414,7414
1481277703,7354,7354
1481278825,7375,7375
1481279789,7330,7330
1481280738,7385,7385
1481281724,7381,7381
1481282651,7360,7360
1481283621,7371,7371
1481284591,7371,7371
1481285547,7373,7373
1481286493,7367,7367
1481287456,7362,7362
1481288502,7314,7314
1481289624,7302,7302
1481290586,7286,7286
1481291535,7302,7302
1481292537,7245,7245
1481293451,7277,7277
1481294422,7254,7254
1481295421,7210,7210
1481296359,7251,7251
1481297339,7222,7222
1481298262,7240,7240
1481299291,7250,7250
1481300194,7238,7238
1481301153,7287,7287
1481302124,7268,7268
1481303067,7291,7291
1481304030,7297,7297
1481305007,7224,7224
1481305957,7258,7258
1481306948,7230,7230
1481307869,7235,7235
1481308831,7155,7155
1481309790,7177,7177
1481310767,7108,7108
1481311734,7088,7088
1481312673,7082,7082
1481313719,7084,7084
1481314826,7160,7160
1481315775,7145,7145
1481316743,7142,7142
1481317735,7101,7101
1481318654,7131,7131
1481319618,7112,7112
1481320634,7017,7017
1481321532,7035,7035
1481322058,7045,7045
1481322510,7040,7040
1481322990,7053,7053
1481323465,7053,7053
1481323952,7081,7081
1481324499,7078,7078
1481324925,7079,7079
1481325623,7075,7075
1481325866,7070,7070
1481326605,7053,7053
1481326829,7076,7076
1481327570,7078,7078
1481327797,7073,7073
1481328513,7103,7103
1481328754,7115,7115
1481329456,7111,7111
1481329716,7118,7118
1481330414,7111,7111
1481330665,7108,7108
1481331400,7102,7102
1481331683,7089,7089
1481332350,7119,7119
1481332844,7117,7117
1481333305,7144,7144
1481333787,7154,7154
1481334273,7131,7131
1481334757,7121,7121
1481335358,7138,7138
1481335736,7134,7134
1481336424,7131,7131
1481336663,7119,7119
1481337402,7158,7158
1481337633,7185,7185
1481338405,7205,7205
1481338601,7185,7185
1481339333,7204,7204
1481339557,7199,7199
1481340249,7193,7193
1481340506,7204,7204
1481341209,7227,7227
1481341472,7212,7212
1481342229,7214,7214
1481342485,7222,7222
1481343149,7248,7248
1481343661,7237,7237
1481344112,7261,7261
1481344593,7244,7244
1481345081,7248,7248
1481345557,7250,7250
1481346109,7273,7273
1481346542,7280,7280
1481347014,7277,7277
1481347465,7275,7275
1481348048,7286,7286
1481348455,7306,7306
1481349138,7335,7335
1481349395,7321,7321
1481350130,7328,7328
1481350359,7325,7325
1481351048,7318,7318
1481351311,7346,7346
1481352016,7349,7349
1481352286,7328,7328
1481352977,7322,7322
1481353295,7349,7349
1481353940,7345,7345
1481354422,7341,7341
1481354916,7354,7354
1481355373,7341,7341
1481355858,7321,7321
1481356357,7325,7325
1481356898,7323,7323
1481357342,7333,7333
1481357799,7336,7336
1481358276,7323,7323
1481358753,7318,7318
1481359229,7331,7331
1481359772,7326,7326
1481360190,7335,7335
1481360932,7345,7345
1481361157,7357,7357
1481361855,7357,7357
1481362113,7345,7345
1481362821,7343,7343
1481363063,7342,7342
1481363797,7329,7329
1481364099,7326,7326
1481364740,7338,7338
1481365209,7325,7325
1481365696,7328,7328
1481366185,7326,7326
1481366647,7320,7320
1481367139,7329,7329
1481367710,7335,7335
1481368128,7325,7325
1481368848,7333,7333
1481369066,7317,7317
1481369780,7311,7311
1481370043,7343,7343
1481370758,7345,7345
1481370986,7349,7349
1481371738,7339,7339
1481372464,7323,7323
1481372910,7322,7322
1481373388,7329,7329
1481373878,7329,7329
1481374362,7333,7333
1481374887,7347,7347
1481375337,7350,7350
1481375801,7343,7343
1481376262,7340,7340
1481376771,7344,7344
1481377227,7339,7339
1481377716,7326,7326
1481378197,7313,7313
1481378668,7314,7314
1481379162,7327,7327
1481379642,7316,7316
1481380116,7307,7307
1481380597,7303,7303
1481381088,7301,7301
1481381591,7303,7303
1481382075,7292,7292
1481382557,7285,7285
1481383004,7273,7273
1481383485,7261,7261
1481383961,7263,7263
1481384429,7260,7260
1481384919,7255,7255
1481385409,7245,7245
1481385872,7234,7234
1481386366,7235,7235
1481386831,7233,7233
1481387300,7231,7231
1481387796,7224,7224
1481388276,7230,7230
1481388850,7230,7230
1481389307,7234,7234
1481389945,7239,7239
1481390420,7237,7237
1481390894,7254,7254
1481391409,7234,7234
1481391854,7225,7225
1481392337,7241,7241
1481392881,7252,7252
1481393358,7243,7243
1481393810,7238,7238
1481394276,7248,7248
1481394745,7255,7255
1481395231,7265,7265
1481395714,7275,7275
1481396233,7271,7271
1481396684,7251,7251
1481397167,7258,7258
1481397870,7245,7245
1481398139,7248,7248
1481398829,7255,7255
1481399047,7261,7261
1481399800,7241,7241
1481400082,7246,7246
1481400758,7241,7241
1481401245,7241,7241
1481401710,7257,7257
1481402189,7258,7258
1481402665,7240,7240
1481403158,7253,7253
1481403706,7257,7257
1481404166,7255,7255
1481405092,7265,7265
1481406038,7294,7294
1481407020,7310,7310
1481407968,7299,7299
1481408916,7310,7310
1481409865,7306,7306
1481410883,7303,7303
1481411794,7309,7309
1481412799,7313,7313
1481413712,7327,7327
1481414677,7360,7360
1481415678,7382,7382
1481416638,7379,7379
1481417563,7379,7379
1481418538,7371,7371
1481419469,7386,7386
1481420461,7414,7414
1481421398,7394,7394
1481422336,7411,7411
1481423332,7430,7430
1481424274,7429,7429
1481425286,7421,7421
1481426422,7423,7423
1481427381,7442,7442
1481428381,7453,7453
1481429313,7453,7453
1481430257,7482,7482
1481431219,7516,7516
1481432201,7511,7511
1481433168,7562,7562
1481434131,7557,7557
1481435061,7545,7545
1481436103,7525,7525
1481437248,7537,7537
1481438206,7560,7560
1481439158,7551,7551
1481440151,7555,7555
1481441069,7574,7574
1481442035,7590,7590
1481442987,7561,7561
1481443961,7597,7597
1481444910,7614,7614
1481445860,7627,7627
1481446878,7600,7600
1481447835,7605,7605
1481448793,7598,7598
1481449705,7591,7591
1481450677,7584,7584
1481451624,7595,7595
