DateTime,AddedIPs,RemovedIPs
1481057614,40,23
1481058662,42,13
1481059758,16,31
1481060766,43,22
1481061724,40,15
1481062844,45,28
1481064208,41,81
1481065254,31,17
1481066334,36,25
1481067687,85,28
1481069441,74,32
1481070349,32,14
1481071608,55,49
1481072643,44,25
1481073770,55,24
1481074972,49,22
1481077371,114,60
1481078826,57,45
1481079732,39,8
1481080888,46,18
1481082023,50,24
1481083447,41,20
1481085169,76,53
1481086497,46,13
1481087849,49,39
1481089070,43,23
1481090215,38,14
1481091649,52,28
1481092978,25,7
1481094468,21,46
1481096166,38,17
1481097719,28,40
1481099155,27,50
1481100536,39,18
1481102023,22,41
1481103656,32,22
1481105116,20,43
1481106554,22,10
1481108465,46,48
1481110004,18,29
1481111268,16,14
1481112582,23,28
1481113957,20,42
1481115430,10,19
1481117131,28,30
1481118254,12,9
1481119281,20,26
1481120554,20,38
1481121708,15,13
1481122820,25,20
1481124453,19,24
1481125398,10,11
1481126421,11,21
1481128390,31,54
1481129344,13,17
1481130291,23,30
1481131213,29,0
1481132311,12,31
1481133710,13,20
1481134817,30,8
1481136299,22,23
1481137414,25,12
1481138418,20,24
1481139751,30,9
1481141368,18,32
1481142781,45,13
1481144077,23,37
1481145697,43,42
1481146820,36,19
1481147772,9,21
1481149013,33,16
1481150225,46,17
1481151158,47,15
1481152120,48,20
1481153500,51,13
1481154612,46,18
1481155741,27,31
1481156795,38,28
1481157875,38,20
1481159090,39,33
1481160547,45,39
1481161455,46,2
1481162448,31,42
1481163627,32,48
1481164564,31,22
1481166025,43,24
1481167004,25,27
1481168101,36,17
1481169134,28,19
1481170354,33,40
1481171819,24,26
1481172749,35,26
1481173729,27,13
1481174655,38,19
1481175839,43,19
1481176812,20,15
1481177776,19,20
1481178744,12,14
1481179750,21,10
1481180658,12,15
1481181675,25,22
1481182590,13,20
1481183551,23,9
1481184523,20,14
1481185454,12,26
1481186446,16,10
1481187392,9,24
1481188386,26,27
1481189306,13,17
1481190266,17,20
1481191294,38,31
1481192449,13,13
1481193386,21,16
1481194356,19,28
1481195348,16,22
1481196272,20,16
1481197233,20,23
1481198196,18,23
1481199157,24,11
1481200144,15,29
1481201095,19,16
1481202087,29,30
1481203043,13,25
1481203985,19,22
1481204914,15,21
1481205874,20,23
1481207082,27,32
1481208029,18,4
1481208994,11,29
1481209964,17,36
1481210933,24,2
1481211871,14,28
1481212889,25,49
1481213791,12,28
1481214767,22,20
1481215736,27,0
1481216674,10,54
1481217643,21,21
1481218588,9,2
1481219558,10,17
1481220550,22,31
1481221471,13,17
1481222426,15,0
1481223399,16,19
1481224359,21,41
1481225314,15,1
1481226269,13,52
1481227300,16,14
1481228469,14,22
1481229385,11,16
1481230356,13,25
1481231309,9,30
1481232258,16,36
1481233223,20,0
1481234189,9,40
1481235160,13,0
1481236154,9,41
1481237068,7,1
1481238106,23,23
1481239279,15,45
1481240186,4,31
1481241171,13,17
1481242145,9,38
1481243089,16,19
1481244032,16,34
1481244993,8,27
1481245961,24,6
1481246939,10,26
1481247859,18,23
1481248954,14,22
1481250011,24,26
1481251291,18,15
1481252195,11,29
1481253151,37,29
1481254150,38,31
1481255062,20,24
1481256084,25,25
1481257030,14,10
1481257964,18,21
1481258911,24,16
1481259955,21,21
1481261056,21,14
1481262067,17,28
1481262982,17,20
1481263957,33,7
