DateTime,AddedIPs,RemovedIPs
1481053984,158,160
1481055252,128,127
1481056670,202,196
1481057614,128,127
1481058662,128,138
1481059758,96,103
1481060766,104,102
1481061724,125,124
1481062844,166,158
1481064208,158,158
1481065254,147,158
1481066334,137,120
1481067687,212,200
1481069441,197,190
1481070349,97,86
1481071608,186,171
1481072643,125,114
1481073770,164,147
1481074972,141,138
1481077371,371,353
1481078826,178,186
1481079732,107,105
1481080888,153,137
1481082023,168,153
1481083447,164,151
1481085169,272,244
1481086497,154,131
1481087849,193,166
1481089070,168,147
1481090215,130,110
1481091649,186,163
1481092978,119,122
1481094468,132,131
1481096166,198,194
1481097719,157,176
1481099155,168,179
1481100536,178,184
1481102023,118,126
1481103656,220,227
1481105116,123,126
1481106554,197,193
1481108465,207,211
1481110004,140,147
1481111268,149,144
1481112582,139,145
1481113957,142,147
1481115430,128,135
1481117131,185,190
1481118254,123,128
1481119281,132,137
1481120554,143,144
1481121708,127,137
1481122820,126,126
1481124453,197,214
1481125398,77,89
1481126421,138,170
1481128390,212,251
1481129344,86,94
1481130291,117,137
1481131213,147,170
1481132311,141,160
1481133710,115,164
1481134817,164,189
1481136299,128,159
1481137414,159,176
1481138418,180,206
1481139751,161,198
1481141368,181,227
1481142781,166,200
1481144077,121,140
1481145697,196,225
1481146820,117,137
1481147772,54,70
1481149013,181,201
1481150225,188,213
1481151158,139,138
1481152120,152,142
1481153500,171,167
1481154612,143,137
1481155741,95,89
1481156795,117,137
1481157875,131,141
1481159090,116,119
1481160547,206,205
1481161455,116,99
1481162448,115,124
1481163627,124,113
1481164564,96,81
1481166025,182,169
1481167004,96,87
1481168101,121,116
1481169134,113,107
1481170354,125,113
1481171819,148,137
1481172749,111,89
1481173729,96,75
1481174655,111,98
1481175839,156,136
1481176812,123,116
1481177776,117,111
1481178744,108,110
1481179750,108,125
1481180658,85,86
1481181675,139,130
1481182590,80,86
1481183551,100,95
1481184523,106,114
1481185454,82,85
1481186446,108,109
1481187392,110,120
1481188386,135,134
1481189306,153,158
1481190266,94,96
1481191294,163,153
1481192449,155,156
1481193386,103,104
1481194356,123,119
1481195348,116,119
1481196272,98,99
1481197233,128,123
1481198196,72,72
1481199157,160,156
1481200144,142,140
1481201095,86,82
1481202087,123,122
1481203043,111,110
1481203985,116,114
1481204914,115,115
1481205874,74,76
1481207082,191,186
1481208029,155,157
1481208994,101,100
1481209964,119,121
1481210933,137,130
1481211871,79,78
1481212889,125,120
1481213791,86,80
1481214767,119,120
1481215736,112,116
1481216674,83,88
1481217643,145,148
1481218588,91,98
1481219558,105,125
1481220550,133,160
1481221471,83,98
1481222426,141,155
1481223399,115,129
1481224359,149,167
1481225314,131,149
1481226269,62,89
1481227300,115,134
1481228469,119,138
1481229385,74,90
1481230356,100,109
1481231309,93,92
1481232258,79,98
1481233223,111,135
1481234189,104,117
1481235160,94,121
1481236154,94,112
1481237068,78,101
1481238106,124,136
1481239279,121,140
1481240186,68,74
1481241171,97,114
1481242145,99,105
1481243089,91,98
1481244032,130,144
1481244993,85,87
1481245961,113,108
1481246939,128,133
1481247859,75,79
1481248954,106,115
1481250011,137,147
1481251291,123,146
1481252195,70,73
1481253151,122,109
1481254150,170,161
1481255062,76,72
1481256084,100,99
1481257030,82,75
1481257964,118,121
1481258911,115,113
1481259955,135,126
1481261056,120,119
1481262067,115,112
1481262982,77,75
1481263957,124,114
1481264911,148,151
1481265860,58,67
1481266905,109,109
1481268068,133,131
1481268997,89,85
1481269963,98,105
1481270949,122,120
1481271873,69,68
1481272828,116,114
1481273800,102,107
1481274757,120,112
1481275722,143,141
1481276664,70,68
1481277703,131,137
1481278825,115,117
