DateTime,Entries,UniqueIPs
1481010367,3708,3708
1481012370,3700,3700
1481013891,3708,3708
1481015015,3703,3703
1481016014,3706,3706
1481016995,3704,3704
1481018862,3700,3700
1481019823,3694,3694
1481020978,3686,3686
1481022256,3685,3685
1481023876,3682,3682
1481025538,3666,3666
1481026819,3665,3665
1481028030,3662,3662
1481028986,3667,3667
1481030391,3671,3671
1481031381,3655,3655
1481032405,3650,3650
1481033761,3643,3643
1481035314,3627,3627
1481036889,3640,3640
1481038381,3627,3627
1481039897,3621,3621
1481040882,3616,3616
1481041875,3611,3611
1481042874,3607,3607
1481044676,3618,3618
1481046012,3608,3608
1481047171,3587,3587
1481048264,3588,3588
1481050146,3590,3590
1481051372,3594,3594
1481052800,3582,3582
1481053984,3580,3580
1481055252,3581,3581
1481056670,3587,3587
1481057614,3588,3588
1481058662,3578,3578
1481059758,3571,3571
1481060766,3573,3573
1481061724,3574,3574
1481062844,3582,3582
1481064208,3582,3582
1481065254,3571,3571
1481066334,3588,3588
1481067687,3600,3600
1481069441,3607,3607
1481070349,3618,3618
1481071608,3633,3633
1481072643,3644,3644
1481073770,3661,3661
1481074972,3664,3664
1481077371,3682,3682
1481078826,3674,3674
1481079732,3676,3676
1481080888,3692,3692
1481082023,3707,3707
1481083447,3720,3720
1481085169,3748,3748
1481086497,3771,3771
1481087849,3798,3798
1481089070,3819,3819
1481090215,3839,3839
1481091649,3862,3862
1481092978,3859,3859
1481094468,3860,3860
1481096166,3864,3864
1481097719,3845,3845
1481099155,3834,3834
1481100536,3828,3828
1481102023,3820,3820
1481103656,3813,3813
1481105116,3810,3810
1481106554,3814,3814
1481108465,3810,3810
1481110004,3803,3803
1481111268,3808,3808
1481112582,3802,3802
1481113957,3797,3797
1481115430,3790,3790
1481117131,3785,3785
1481118254,3780,3780
1481119281,3775,3775
1481120554,3774,3774
1481121708,3764,3764
1481122820,3764,3764
1481124453,3747,3747
1481125398,3735,3735
1481126421,3703,3703
1481128390,3664,3664
1481129344,3656,3656
1481130291,3636,3636
1481131213,3613,3613
1481132311,3594,3594
1481133710,3545,3545
1481134817,3520,3520
1481136299,3489,3489
1481137414,3472,3472
1481138418,3446,3446
1481139751,3409,3409
1481141368,3363,3363
1481142781,3329,3329
1481144077,3310,3310
1481145697,3281,3281
1481146820,3261,3261
1481147772,3245,3245
1481149013,3225,3225
1481150225,3200,3200
1481151158,3201,3201
1481152120,3211,3211
1481153500,3215,3215
1481154612,3221,3221
1481155741,3227,3227
1481156795,3207,3207
1481157875,3197,3197
1481159090,3194,3194
1481160547,3195,3195
1481161455,3212,3212
1481162448,3203,3203
1481163627,3214,3214
1481164564,3229,3229
1481166025,3242,3242
1481167004,3251,3251
1481168101,3256,3256
1481169134,3262,3262
1481170354,3274,3274
1481171819,3285,3285
1481172749,3307,3307
1481173729,3328,3328
1481174655,3341,3341
1481175839,3361,3361
1481176812,3368,3368
1481177776,3374,3374
1481178744,3372,3372
1481179750,3355,3355
1481180658,3354,3354
1481181675,3363,3363
1481182590,3357,3357
1481183551,3362,3362
1481184523,3354,3354
1481185454,3351,3351
1481186446,3350,3350
1481187392,3340,3340
1481188386,3341,3341
1481189306,3336,3336
1481190266,3334,3334
1481191294,3344,3344
1481192449,3343,3343
1481193386,3342,3342
1481194356,3346,3346
1481195348,3343,3343
1481196272,3342,3342
1481197233,3347,3347
1481198196,3347,3347
1481199157,3351,3351
1481200144,3353,3353
1481201095,3357,3357
1481202087,3358,3358
1481203043,3359,3359
1481203985,3361,3361
1481204914,3361,3361
1481205874,3359,3359
1481207082,3364,3364
1481208029,3362,3362
1481208994,3363,3363
1481209964,3361,3361
1481210933,3368,3368
1481211871,3369,3369
1481212889,3374,3374
1481213791,3380,3380
1481214767,3379,3379
1481215736,3375,3375
1481216674,3370,3370
1481217643,3367,3367
1481218588,3360,3360
1481219558,3340,3340
1481220550,3313,3313
1481221471,3298,3298
1481222426,3284,3284
1481223399,3270,3270
1481224359,3252,3252
1481225314,3234,3234
1481226269,3207,3207
1481227300,3188,3188
1481228469,3169,3169
1481229385,3153,3153
1481230356,3144,3144
1481231309,3145,3145
1481232258,3126,3126
1481233223,3102,3102
1481234189,3089,3089
1481235160,3062,3062
1481236154,3044,3044
1481237068,3021,3021
1481238106,3009,3009
1481239279,2990,2990
1481240186,2984,2984
1481241171,2967,2967
1481242145,2961,2961
1481243089,2954,2954
1481244032,2940,2940
1481244993,2938,2938
1481245961,2943,2943
1481246939,2938,2938
1481247859,2934,2934
1481248954,2925,2925
1481250011,2915,2915
1481251291,2892,2892
1481252195,2889,2889
1481253151,2902,2902
1481254150,2911,2911
1481255062,2915,2915
1481256084,2916,2916
1481257030,2923,2923
1481257964,2920,2920
1481258911,2922,2922
1481259955,2931,2931
1481261056,2932,2932
1481262067,2935,2935
1481262982,2937,2937
1481263957,2947,2947
1481264911,2944,2944
1481265860,2935,2935
1481266905,2935,2935
1481268068,2937,2937
1481268997,2941,2941
1481269963,2934,2934
1481270949,2936,2936
1481271873,2937,2937
1481272828,2939,2939
1481273800,2934,2934
1481274757,2942,2942
1481275722,2944,2944
1481276664,2946,2946
1481277703,2940,2940
1481278825,2938,2938
1481279789,2930,2930
1481280738,2932,2932
1481281724,2933,2933
1481282651,2946,2946
1481283621,2949,2949
1481284591,2944,2944
1481285547,2955,2955
1481286493,2952,2952
1481287456,2955,2955
1481288502,2965,2965
1481289624,2962,2962
1481290586,2960,2960
1481291535,2956,2956
1481292537,2959,2959
1481293451,2960,2960
1481294422,2975,2975
1481295421,2971,2971
1481296359,2981,2981
1481297339,2983,2983
1481298262,2983,2983
1481299291,2985,2985
1481300194,2983,2983
1481301153,2995,2995
1481302124,3000,3000
1481303067,3008,3008
1481304030,3021,3021
1481305007,3026,3026
1481305957,3028,3028
1481306948,3031,3031
1481307869,3048,3048
1481308831,3047,3047
1481309790,3052,3052
1481310767,3067,3067
1481311734,3069,3069
1481312673,3081,3081
1481313719,3086,3086
1481314826,3110,3110
1481315775,3116,3116
1481316743,3131,3131
1481317735,3141,3141
1481318654,3146,3146
1481319618,3158,3158
1481320634,3158,3158
1481321532,3166,3166
1481322058,3166,3166
1481322510,3179,3179
1481322990,3179,3179
1481323465,3195,3195
1481323952,3195,3195
1481324499,3210,3210
1481324925,3210,3210
1481325623,3224,3224
1481325866,3224,3224
1481326605,3233,3233
1481326829,3233,3233
1481327570,3235,3235
1481327797,3235,3235
1481328513,3256,3256
1481328754,3256,3256
1481329456,3268,3268
1481329716,3268,3268
1481330414,3262,3262
1481330665,3262,3262
1481331400,3274,3274
1481331683,3274,3274
1481332350,3282,3282
1481332844,3282,3282
1481333305,3299,3299
1481333787,3299,3299
1481334273,3300,3300
1481334757,3300,3300
1481335358,3327,3327
1481335736,3327,3327
1481336424,3349,3349
1481336663,3349,3349
1481337402,3369,3369
1481337633,3369,3369
1481338405,3387,3387
1481338601,3387,3387
1481339333,3393,3393
1481339557,3393,3393
1481340249,3390,3390
1481340506,3390,3390
1481341209,3413,3413
1481341472,3413,3413
1481342229,3422,3422
1481342485,3422,3422
1481343149,3433,3433
1481343661,3433,3433
1481344112,3455,3455
1481344593,3455,3455
1481345081,3468,3468
1481345557,3468,3468
1481346109,3484,3484
1481346542,3484,3484
1481347014,3488,3488
1481347465,3488,3488
1481348048,3491,3491
1481348455,3491,3491
1481349138,3520,3520
1481349395,3520,3520
1481350130,3525,3525
1481350359,3525,3525
1481351048,3527,3527
1481351311,3527,3527
1481352016,3528,3528
1481352286,3528,3528
1481352977,3520,3520
1481353295,3520,3520
1481353940,3516,3516
1481354422,3516,3516
1481354916,3518,3518
1481355373,3518,3518
1481355858,3512,3512
1481356357,3512,3512
1481356898,3508,3508
1481357342,3508,3508
1481357799,3503,3503
1481358276,3503,3503
1481358753,3496,3496
1481359229,3496,3496
1481359772,3497,3497
1481360190,3497,3497
1481360932,3494,3494
1481361157,3494,3494
1481361855,3490,3490
1481362113,3490,3490
1481362821,3485,3485
1481363063,3485,3485
1481363797,3486,3486
1481364099,3486,3486
1481364740,3491,3491
1481365209,3491,3491
1481365696,3493,3493
1481366185,3493,3493
1481366647,3492,3492
1481367139,3492,3492
1481367710,3484,3484
1481368128,3484,3484
1481368848,3482,3482
1481369066,3482,3482
1481369780,3485,3485
1481370043,3485,3485
1481370758,3484,3484
1481370986,3484,3484
1481371738,3480,3480
1481372464,3480,3480
1481372910,3463,3463
1481373388,3463,3463
1481373878,3447,3447
1481374362,3447,3447
1481374887,3433,3433
1481375337,3433,3433
1481375801,3432,3432
1481376262,3432,3432
1481376771,3415,3415
1481377227,3415,3415
1481377716,3395,3395
1481378197,3395,3395
1481378668,3388,3388
1481379162,3388,3388
1481379642,3372,3372
1481380116,3372,3372
1481380597,3365,3365
1481381088,3365,3365
1481381591,3354,3354
1481382075,3354,3354
1481382557,3349,3349
1481383004,3349,3349
1481383485,3326,3326
1481383961,3326,3326
1481384429,3311,3311
1481384919,3311,3311
1481385409,3306,3306
1481385872,3306,3306
1481386366,3304,3304
1481386831,3304,3304
1481387300,3286,3286
1481387796,3286,3286
1481388276,3270,3270
1481388850,3270,3270
1481389307,3247,3247
1481389945,3247,3247
1481390420,3208,3208
1481390894,3208,3208
1481391409,3197,3197
1481391854,3197,3197
1481392337,3177,3177
1481392881,3177,3177
1481393358,3169,3169
1481393810,3169,3169
1481394276,3164,3164
1481394745,3164,3164
1481395231,3166,3166
1481395714,3166,3166
1481396233,3162,3162
1481396684,3162,3162
1481397167,3143,3143
1481397870,3143,3143
1481398139,3138,3138
1481398829,3138,3138
1481399047,3128,3128
1481399800,3128,3128
1481400082,3132,3132
1481400758,3132,3132
1481401245,3111,3111
1481401710,3111,3111
1481402189,3109,3109
1481402665,3109,3109
1481403158,3105,3105
1481403706,3105,3105
1481404166,3095,3095
1481405092,3072,3072
1481406038,3083,3083
1481407020,3078,3078
1481407968,3072,3072
1481408916,3058,3058
1481409865,3053,3053
1481410883,3045,3045
1481411794,3044,3044
1481412799,3034,3034
1481413712,3027,3027
1481414677,3028,3028
1481415678,3027,3027
1481416638,3024,3024
1481417563,3013,3013
1481418538,3017,3017
1481419469,3024,3024
1481420461,3025,3025
1481421398,3026,3026
1481422336,3021,3021
1481423332,3025,3025
1481424274,3022,3022
1481425286,3024,3024
1481426422,3038,3038
1481427381,3045,3045
1481428381,3061,3061
1481429313,3066,3066
1481430257,3096,3096
1481431219,3112,3112
1481432201,3120,3120
1481433168,3134,3134
1481434131,3140,3140
1481435061,3136,3136
1481436103,3134,3134
1481437248,3128,3128
1481438206,3128,3128
1481439158,3134,3134
1481440151,3135,3135
1481441069,3138,3138
1481442035,3142,3142
1481442987,3137,3137
1481443961,3136,3136
1481444910,3128,3128
1481445860,3124,3124
1481446878,3119,3119
1481447835,3122,3122
1481448793,3119,3119
1481449705,3116,3116
1481450677,3110,3110
1481451624,3100,3100
1481452589,3107,3107
1481453555,3101,3101
1481454536,3098,3098
