DateTime,AddedIPs,RemovedIPs
1480914101,18,33
1480915215,24,24
1480916201,10,20
1480917139,16,13
1480918126,16,8
1480919061,10,22
1480920020,16,7
1480920977,7,22
1480921956,8,20
1480922948,6,10
1480923867,16,13
1480924912,15,9
1480926024,11,20
1480926983,9,17
1480927941,8,9
1480928958,10,11
1480929866,5,13
1480930828,10,7
1480931831,2,14
1480932743,17,16
1480933709,14,7
1480934666,10,15
1480935731,18,9
1480936821,12,19
1480937841,7,8
1480938751,8,8
1480939728,13,12
1480940659,11,14
1480941626,14,8
1480942592,9,12
1480943551,22,10
1480944529,20,19
1480945469,24,10
1480946480,18,21
1480947435,19,17
1480948386,12,19
1480949315,17,12
1480950267,15,21
1480951226,19,12
1480952211,8,30
1480953151,17,20
1480954129,25,7
1480955063,7,23
1480956010,10,15
1480956979,12,15
1480958474,30,28
1480959405,7,0
1480960354,11,37
1480961340,5,0
1480962258,30,13
1480963229,8,13
1480964189,12,22
1480965152,14,48
1480966130,5,14
1480967069,19,15
1480968086,19,0
1480969223,25,24
1480970532,32,45
1480971553,15,36
1480972454,25,21
1480974053,49,24
1480975575,31,37
1480976597,33,12
1480978058,33,17
1480979119,33,17
1480980568,48,19
1480981861,46,13
1480983244,34,24
1480984256,32,14
1480985379,40,27
1480986378,38,12
1480987864,61,7
1480989715,64,57
1480990816,49,17
1480991762,18,20
1480992976,54,15
1480994467,71,101
1480995453,40,28
1480996557,34,11
1480998010,85,16
1480999222,57,29
1481000272,39,16
1481001372,52,17
1481002944,70,28
1481004489,19,12
1481005714,22,26
1481007086,16,21
1481009270,26,20
1481010365,11,13
1481012367,22,17
1481013889,19,33
1481015012,15,16
1481016011,19,13
1481016993,10,30
1481018859,30,28
1481019820,9,22
1481020976,22,10
1481022253,22,21
1481023874,30,24
1481025536,32,25
1481026816,23,21
1481028028,8,30
1481028984,32,0
1481030388,26,55
1481031379,7,7
1481032403,14,11
1481033758,18,14
1481035311,19,29
1481036886,29,40
1481038378,11,18
1481039895,19,23
1481040879,15,12
1481041871,18,14
1481042872,34,10
1481044674,38,19
1481046010,7,20
1481047168,25,12
1481048262,15,36
1481050143,56,23
1481051369,36,10
1481052797,34,13
1481053982,37,28
1481055250,33,15
1481056668,43,6
1481057612,39,18
1481058659,38,3
1481059756,11,21
1481060762,39,10
1481061722,36,7
1481062842,40,17
1481064206,38,74
1481065252,27,8
1481066332,34,13
1481067685,80,19
1481069438,65,14
1481070346,28,8
1481071605,48,39
1481072641,38,12
1481073768,49,18
1481074969,42,17
1481077368,98,40
1481078823,42,35
1481079730,36,5
1481080885,40,16
1481082021,46,19
1481083445,36,12
1481085167,67,34
1481086494,41,4
1481087846,43,24
1481089068,37,15
1481090212,30,10
1481091647,42,23
1481092976,17,3
1481094466,15,32
1481096163,34,10
1481097716,20,32
1481099152,14,38
1481100533,30,11
1481102020,15,34
1481103653,21,19
1481105109,10,32
1481106552,16,9
1481108462,36,39
1481110002,15,27
1481111266,12,12
1481112579,17,23
1481113954,12,35
1481115428,7,13
1481117122,22,19
1481118252,7,6
1481119278,13,20
1481120551,14,22
1481121706,9,8
1481122817,17,13
1481124451,15,16
1481125395,6,7
1481126419,7,14
1481128387,24,39
1481129342,5,7
1481130289,19,19
1481131211,24,0
1481132309,10,18
1481133707,11,13
1481134814,22,4
1481136297,18,15
1481137412,21,7
1481138415,14,17
1481139748,24,5
1481141366,12,21
1481142778,38,9
1481144075,19,23
1481145695,34,29
1481146817,33,14
1481147770,9,15
1481149008,25,6
1481150223,32,10
1481151156,45,9
1481152112,42,16
1481153497,41,6
1481154609,40,14
1481155739,20,24
1481156793,34,25
1481157873,36,11
1481159087,35,21
1481160544,36,30
1481161453,41,0
1481162446,25,36
