DateTime,Entries,UniqueIPs
1480923867,7860,7898
1480924912,7867,7905
1480926024,7863,7901
1480926983,7844,7882
1480927941,7846,7884
1480928958,7842,7880
1480929866,7840,7878
1480930828,7841,7879
1480931831,7831,7868
1480932743,7830,7867
1480933709,7834,7871
1480934666,7822,7859
1480935731,7827,7864
1480936821,7832,7870
1480937841,7829,7867
1480938751,7826,7864
1480939728,7829,7867
1480940659,7828,7866
1480941626,7835,7873
1480942592,7831,7869
1480943551,7851,7889
1480944529,7855,7893
1480945469,7872,7910
1480946480,7879,7917
1480947435,7889,7927
1480948386,7894,7932
1480949315,7906,7944
1480950267,7910,7948
1480951226,7919,7957
1480952211,7920,7958
1480953151,7923,7962
1480954129,7941,7980
1480955063,7931,7970
1480956010,7935,7974
1480956979,7938,7977
1480958474,7952,7991
1480959405,7947,7986
1480960354,7958,7997
1480961340,7947,7986
1480962258,7976,8016
1480963229,7972,8012
1480964189,7968,8008
1480965152,7982,8022
1480966130,7972,8012
1480967069,7986,8026
1480968086,7995,8035
1480969223,8001,8041
1480970532,8008,8048
1480971553,8012,8052
1480972454,8031,8070
1480974053,8055,8095
1480975575,8074,8114
1480976597,8097,8137
1480978058,8096,8136
1480979119,8123,8163
1480980568,8157,8197
1480981861,8187,8227
1480983244,8194,8234
1480984256,8218,8259
1480985379,8239,8280
1480986378,8265,8306
1480987864,8279,8320
1480989715,8288,8329
1480990816,8306,8347
1480991762,8310,8351
1480992976,8346,8387
1480994467,8391,8433
1480995453,8408,8450
1480996557,8432,8474
1480998010,8494,8536
1480999222,8531,8573
1481000272,8559,8601
1481001372,8598,8639
1481002944,8659,8700
1481004489,8655,8695
1481005714,8664,8704
1481007086,8650,8690
1481009270,8657,8697
1481010365,8651,8691
1481012367,8649,8689
1481013889,8652,8692
1481015012,8654,8694
1481016011,8659,8700
1481016993,8664,8703
1481018859,8670,8708
1481019820,8672,8710
1481020976,8680,8718
1481022253,8689,8727
1481023874,8700,8738
1481025536,8712,8750
1481026816,8723,8761
1481028028,8729,8767
1481028984,8745,8783
1481030388,8758,8795
1481031379,8759,8796
1481032403,8756,8793
1481033758,8763,8800
1481035311,8768,8805
1481036886,8788,8825
1481038378,8780,8817
1481039895,8790,8827
1481040879,8789,8826
1481041871,8799,8836
1481042872,8821,8858
1481044674,8834,8870
1481046010,8829,8865
1481047168,8838,8874
1481048262,8837,8873
1481050143,8872,8908
1481051369,8902,8938
1481052797,8922,8958
1481053982,8949,8985
1481055250,8973,9009
1481056668,8999,9035
1481057612,9027,9063
1481058659,9059,9095
1481059756,9058,9094
1481060762,9092,9128
1481061722,9114,9150
1481062842,9144,9180
1481064206,9164,9200
1481065252,9183,9219
1481066332,9195,9230
1481067685,9260,9296
1481069438,9285,9321
1481070346,9303,9339
1481071605,9343,9379
1481072641,9358,9393
1481073768,9396,9428
1481074969,9416,9447
1481077368,9489,9520
1481078823,9496,9526
1481079730,9525,9555
1481080885,9547,9577
1481082021,9586,9616
1481083445,9608,9638
1481085167,9655,9685
1481086494,9670,9700
1481087846,9700,9731
1481089068,9722,9754
1481090212,9733,9764
1481091647,9760,9791
1481092976,9773,9804
1481094466,9763,9794
1481096163,9789,9821
1481097716,9773,9806
1481099152,9769,9802
1481100533,9774,9808
1481102020,9752,9786
1481103653,9755,9789
1481105109,9750,9784
1481106552,9752,9786
1481108462,9767,9803
1481110002,9767,9803
1481111266,9769,9805
1481112579,9763,9799
1481113954,9745,9779
1481115428,9722,9756
1481117122,9716,9749
1481118252,9685,9716
1481119278,9698,9729
1481120551,9664,9695
1481121706,9664,9695
1481122817,9665,9696
1481124451,9672,9703
1481125395,9664,9695
1481126419,9656,9687
1481128387,9662,9693
1481129342,9658,9689
1481130289,9666,9697
1481131211,9683,9714
1481132309,9679,9710
1481133707,9666,9698
1481134814,9674,9706
1481136297,9665,9697
1481137412,9669,9701
1481138415,9683,9715
1481139748,9684,9718
1481141366,9681,9715
1481142778,9708,9742
1481144075,9718,9752
1481145695,9729,9762
1481146817,9754,9786
1481147770,9754,9786
1481149008,9767,9799
1481150223,9781,9813
1481151156,9812,9845
1481152112,9854,9887
1481153497,9877,9910
1481154609,9912,9945
1481155739,9915,9948
1481156793,9942,9975
1481157873,9945,9978
1481159087,9975,10008
1481160544,9998,10031
1481161453,10029,10063
1481162446,10041,10075
1481163624,10045,10079
1481164561,10072,10106
1481166023,10091,10125
1481167001,10095,10128
1481168099,10113,10146
1481169132,10133,10166
1481170352,10143,10176
1481171816,10146,10179
1481172746,10170,10204
1481173727,10190,10224
1481174652,10204,10238
1481175837,10234,10268
1481176809,10244,10278
1481177773,10254,10288
1481178742,10250,10284
1481179748,10250,10284
1481180655,10242,10276
1481181673,10259,10293
1481182587,10267,10301
1481183548,10273,10307
1481184521,10271,10305
1481185451,10274,10308
1481186444,10275,10309
1481187390,10266,10300
1481188383,10274,10308
1481189304,10268,10302
1481190263,10272,10306
1481191291,10294,10328
1481192447,10281,10315
1481193383,10300,10334
1481194353,10299,10333
1481195345,10295,10329
1481196270,10312,10346
1481197231,10298,10332
1481198193,10306,10340
1481199154,10307,10341
1481200141,10299,10333
1481201092,10287,10321
1481202084,10289,10323
1481203014,10291,10325
1481203982,10283,10317
1481204911,10284,10318
1481205871,10283,10317
1481207079,10294,10328
1481208027,10292,10326
1481208991,10288,10323
1481209962,10286,10321
1481210930,10292,10327
1481211868,10296,10331
1481212886,10300,10335
1481213789,10310,10345
1481214765,10316,10351
1481215733,10325,10360
1481216672,10319,10354
1481217640,10317,10352
1481218585,10300,10335
1481219555,10298,10334
1481220547,10298,10334
1481221468,10299,10335
1481222423,10288,10324
1481223397,10291,10327
1481224356,10289,10323
1481225310,10287,10321
1481226267,10284,10318
1481227297,10289,10323
1481228467,10276,10310
1481229382,10275,10309
1481230353,10282,10316
1481231307,10277,10312
1481232256,10281,10316
1481233220,10276,10311
1481234187,10277,10312
1481235156,10280,10315
1481236151,10273,10308
1481237066,10269,10304
1481238104,10271,10306
1481239276,10279,10314
1481240184,10277,10312
1481241168,10283,10318
1481242143,10275,10310
1481243087,10274,10309
1481244030,10276,10311
1481244991,10272,10307
1481245958,10276,10311
1481246936,10275,10310
1481247856,10270,10305
1481248952,10254,10289
1481250008,10262,10297
1481251289,10255,10290
1481252193,10254,10289
1481253148,10274,10309
1481254148,10277,10312
1481255059,10278,10313
1481256081,10301,10336
1481257028,10303,10338
1481257961,10298,10333
1481258908,10294,10329
1481259952,10298,10333
1481261054,10295,10330
1481262065,10299,10335
1481262980,10315,10351
1481263954,10327,10363
1481264909,10340,10376
1481265857,10337,10373
1481266902,10338,10374
1481268065,10331,10367
1481268994,10327,10363
1481269961,10336,10373
1481270946,10341,10378
1481271870,10340,10377
1481272826,10351,10388
1481273797,10344,10381
1481274754,10363,10400
1481275720,10348,10385
1481276662,10346,10384
1481277700,10361,10399
1481278823,10341,10379
1481279786,10339,10376
1481280736,10357,10394
1481281721,10345,10382
1481282649,10368,10406
1481283618,10360,10398
1481284589,10351,10389
1481285544,10373,10411
1481286491,10384,10423
1481287454,10383,10422
1481288499,10383,10423
1481289622,10381,10421
1481290583,10373,10413
1481291532,10391,10431
1481292535,10384,10424
1481293449,10389,10429
1481294419,10408,10449
1481295418,10395,10436
1481296356,10416,10457
1481297336,10421,10462
1481298259,10419,10460
1481299288,10442,10483
1481300191,10431,10472
1481301151,10452,10493
1481302121,10451,10492
1481303065,10468,10509
1481304028,10479,10518
1481305005,10476,10514
1481305954,10493,10531
1481306945,10487,10525
1481307867,10503,10541
1481308829,10500,10538
1481309788,10502,10540
1481310764,10518,10556
1481311731,10521,10559
1481312670,10539,10577
1481313716,10557,10594
1481314824,10581,10618
1481315773,10580,10617
1481316741,10599,10636
1481317733,10601,10637
1481318652,10611,10647
1481319616,10622,10658
1481320610,10613,10649
1481321532,10617,10653
1481322510,10630,10666
1481323465,10643,10679
1481324499,10667,10703
1481325623,10682,10718
1481326605,10691,10727
1481327570,10694,10730
1481328513,10710,10745
1481329456,10719,10754
1481330414,10728,10763
1481331400,10728,10763
1481332350,10741,10776
1481333305,10768,10803
1481334273,10775,10810
1481335358,10803,10839
1481336424,10829,10865
1481337402,10846,10882
1481338405,10856,10892
1481339333,10880,10916
1481340249,10876,10912
1481341209,10893,10929
1481342229,10911,10947
1481343149,10928,10964
1481344112,10950,10986
1481345081,10962,10998
1481346109,10980,11016
1481347014,10982,11019
1481348048,10998,11035
1481349138,11037,11074
1481350130,11048,11085
1481351048,11053,11090
1481352016,11053,11091
1481352977,11044,11082
1481353940,11042,11080
1481354916,11047,11084
1481355858,11039,11076
1481356898,11041,11078
1481357799,11038,11075
1481358753,11033,11070
1481359772,11029,11066
1481360932,11042,11079
1481361855,11037,11074
1481362821,11033,11070
1481363797,11021,11058
1481364740,11037,11074
1481365696,11045,11082
1481366647,11042,11079
1481367710,11039,11075
1481368848,11050,11085
1481369780,11057,11092
1481370758,11050,11086
1481371738,11052,11089
1481372910,11048,11085
1481373878,11048,11085
1481374887,11045,11082
1481375801,11050,11087
1481376771,11050,11087
1481377716,11046,11083
1481378668,11048,11085
1481379642,11056,11092
1481380597,11056,11092
1481381591,11052,11088
1481382557,11044,11080
1481383485,11041,11077
1481384429,11050,11086
1481385409,11048,11084
1481386366,11044,11080
1481387300,11046,11082
1481388276,11038,11074
1481389307,11042,11078
1481390420,11041,11077
1481391409,11031,11067
1481392337,11040,11076
1481393358,11034,11070
1481394276,11044,11081
1481395231,11055,11092
1481396233,11060,11097
1481397167,11069,11106
1481398139,11082,11119
1481399047,11075,11112
1481400082,11091,11128
1481401245,11100,11136
1481402189,11097,11133
1481403158,11114,11150
1481404166,11112,11148
1481405089,11118,11154
1481406035,11136,11172
1481407016,11133,11169
1481407965,11127,11163
1481408914,11131,11167
1481409863,11143,11179
1481410880,11153,11189
1481411791,11159,11195
1481412797,11165,11201
1481413710,11174,11210
1481414674,11191,11227
1481415675,11196,11231
1481416635,11203,11238
1481417560,11202,11237
1481418535,11191,11226
1481419467,11217,11252
1481420458,11229,11264
1481421395,11224,11258
1481422333,11240,11274
1481423329,11255,11289
1481424272,11260,11294
1481425283,11269,11303
1481426419,11292,11326
1481427378,11301,11335
1481428378,11319,11353
1481429310,11316,11350
1481430255,11358,11393
1481431216,11376,11411
1481432198,11372,11407
1481433165,11396,11431
1481434128,11404,11440
1481435059,11397,11433
1481436100,11393,11429
1481437246,11392,11428
1481438204,11397,11433
1481439155,11394,11430
1481440149,11402,11438
1481441067,11394,11430
1481442032,11400,11436
1481442985,11387,11423
1481443958,11379,11415
1481444907,11380,11416
1481445857,11368,11404
1481446876,11375,11411
1481447832,11368,11404
1481448790,11370,11406
1481449702,11367,11403
1481450674,11356,11392
1481451622,11348,11384
1481452587,11354,11390
1481453552,11356,11392
1481454533,11353,11389
1481455449,11348,11384
1481456425,11353,11389
1481457375,11345,11381
1481458352,11354,11390
1481459331,11360,11396
1481460284,11368,11404
