DateTime,AddedIPs,RemovedIPs
1480912105,13,8
1480913081,21,12
1480914101,18,15
1480915215,24,14
1480916201,10,3
1480917139,16,7
1480918126,16,5
1480919061,10,7
1480920020,16,8
1480920977,7,8
1480921956,8,7
1480922948,6,3
1480923867,16,13
1480924912,15,17
1480926024,11,17
1480926983,9,5
1480927941,8,10
1480928958,10,12
1480929866,5,4
1480930828,10,11
1480931831,2,8
1480932743,17,12
1480933709,14,12
1480934666,10,8
1480935731,18,7
1480936821,12,13
1480937841,7,7
1480938751,8,19
1480939728,13,6
1480940659,11,11
1480941626,14,9
1480942592,9,6
1480943551,22,14
1480944529,20,7
1480945469,24,5
1480946480,18,8
1480947435,19,4
1480948386,12,5
1480949315,17,5
1480950267,15,17
1480951226,19,8
1480952211,8,8
1480953151,17,6
1480954129,25,14
1480955063,7,13
1480956010,10,12
1480956979,12,8
1480958474,30,13
1480959405,7,7
1480960354,11,6
1480961340,5,9
1480962258,30,7
1480963229,8,15
1480964189,12,3
1480965152,14,15
1480966130,5,4
1480967069,19,9
1480968086,19,8
1480969223,25,12
1480970532,32,10
1480971553,15,5
1480972454,25,8
1480974053,49,20
1480975575,31,4
1480976597,33,15
1480978058,33,6
1480979119,33,15
1480980568,48,18
1480981861,46,21
1480983244,34,21
1480984256,32,18
1480985379,40,19
1480986378,38,7
1480987864,61,24
1480989715,64,29
1480990816,49,20
1480991762,18,9
1480992976,54,23
1480994467,71,16
1480995453,40,12
1480996557,34,11
1480998010,85,31
1480999222,57,25
1481000272,39,11
1481001372,52,13
1481002944,70,35
1481004489,19,22
1481005714,22,24
1481007086,16,16
1481009270,26,26
1481010365,11,14
1481012367,22,30
1481013889,19,11
1481015012,15,20
1481016011,19,16
1481016993,10,12
1481018859,30,34
1481019820,9,15
1481020976,22,30
1481022253,22,23
1481023874,30,33
1481025536,32,48
1481026816,23,24
1481028028,8,11
1481028984,32,27
1481030388,26,22
1481031379,7,23
1481032403,14,19
1481033758,18,25
1481035311,19,35
1481036886,29,16
1481038378,11,24
1481039895,19,25
1481040879,15,20
1481041871,18,23
1481042872,34,38
1481044674,38,27
1481046010,7,17
1481047168,25,46
1481048262,15,14
1481050143,56,54
1481051369,36,32
