DateTime,Entries,UniqueIPs
1480961340,920,920
1480962258,943,943
1480963229,936,936
1480964189,945,945
1480965152,944,944
1480966130,945,945
1480967069,955,955
1480968086,966,966
1480969223,979,979
1480970532,1001,1001
1480971553,1011,1011
1480972454,1028,1028
1480974053,1057,1057
1480975575,1084,1084
1480976597,1102,1102
1480978058,1129,1129
1480979119,1147,1147
1480980568,1177,1177
1480981861,1202,1202
1480983244,1215,1215
1480984256,1229,1229
1480985379,1250,1250
1480986378,1281,1281
1480987864,1318,1318
1480989715,1353,1353
1480990816,1382,1382
1480991762,1391,1391
1480992976,1422,1422
1480994467,1477,1477
1480995453,1505,1505
1480996557,1528,1528
1480998010,1582,1582
1480999222,1614,1614
1481000272,1642,1642
1481001372,1681,1681
1481002944,1716,1716
1481004489,1713,1713
1481005714,1711,1711
1481007086,1711,1711
1481009270,1711,1711
1481010365,1708,1708
1481012367,1700,1700
1481013889,1708,1708
1481015012,1703,1703
1481016011,1706,1706
1481016993,1704,1704
1481018859,1700,1700
1481019820,1694,1694
1481020976,1686,1686
1481022253,1685,1685
1481023874,1682,1682
1481025536,1666,1666
1481026816,1665,1665
1481028028,1662,1662
1481028984,1667,1667
1481030388,1671,1671
1481031379,1655,1655
1481032403,1650,1650
1481033758,1643,1643
1481035311,1627,1627
1481036886,1640,1640
1481038378,1627,1627
1481039895,1621,1621
1481040879,1616,1616
1481041871,1611,1611
1481042872,1607,1607
1481044674,1618,1618
1481046010,1608,1608
1481047168,1587,1587
1481048262,1588,1588
1481050143,1590,1590
1481051369,1594,1594
1481052797,1582,1582
1481053982,1580,1580
1481055250,1581,1581
1481056668,1587,1587
1481057612,1588,1588
1481058659,1578,1578
1481059756,1571,1571
1481060762,1573,1573
1481061722,1574,1574
1481062842,1582,1582
1481064206,1582,1582
1481065252,1571,1571
1481066332,1588,1588
1481067685,1600,1600
1481069438,1607,1607
1481070346,1618,1618
1481071605,1633,1633
1481072641,1644,1644
1481073768,1661,1661
1481074969,1664,1664
1481077368,1682,1682
1481078823,1674,1674
1481079730,1676,1676
1481080885,1692,1692
1481082021,1707,1707
1481083445,1720,1720
1481085167,1748,1748
1481086494,1771,1771
1481087846,1798,1798
1481089068,1819,1819
1481090212,1839,1839
1481091647,1862,1862
1481092976,1859,1859
1481094466,1860,1860
1481096163,1864,1864
1481097716,1845,1845
1481099152,1834,1834
1481100533,1828,1828
1481102020,1820,1820
1481103653,1813,1813
1481105109,1810,1810
1481106552,1814,1814
1481108462,1810,1810
1481110002,1803,1803
1481111266,1808,1808
1481112579,1802,1802
1481113954,1797,1797
1481115428,1790,1790
1481117122,1785,1785
1481118252,1780,1780
1481119278,1775,1775
1481120551,1774,1774
1481121706,1764,1764
1481122817,1764,1764
1481124451,1747,1747
1481125395,1735,1735
1481126419,1703,1703
1481128387,1664,1664
