DateTime,AddedIPs,RemovedIPs
1480920979,9,16
1480921959,27,17
1480922950,27,29
1480923869,12,17
1480924915,24,16
1480926026,34,15
1480926986,16,18
1480927943,21,30
1480928960,40,12
1480929868,25,0
1480930830,27,14
1480931834,13,19
1480932746,33,45
1480933711,35,0
1480934669,18,51
1480935733,28,0
1480936823,31,28
1480937844,29,45
1480938754,15,24
1480939731,29,0
1480940663,23,19
1480941628,32,15
1480942595,14,27
1480943553,27,34
1480944532,42,14
1480945472,20,30
1480946482,19,40
1480947439,15,17
1480948389,28,22
1480949317,8,21
1480950269,31,35
1480951228,24,73
1480952213,13,24
1480953153,19,72
1480954131,33,67
1480955066,12,59
1480956013,34,45
1480956981,17,0
1480958476,39,90
1480959408,21,14
1480960357,23,35
1480961343,30,20
1480962261,14,47
1480963232,41,24
1480964192,23,31
1480965155,34,35
1480966133,31,27
1480967072,13,33
1480968089,44,26
1480969225,59,18
1480970535,35,38
1480971556,34,11
1480972457,22,25
1480974056,47,7
1480975577,22,48
1480976601,34,12
1480978060,35,22
1480979121,16,23
1480980570,53,38
1480981863,20,11
1480983247,46,51
1480984258,26,13
1480985381,17,20
1480986382,24,21
1480987867,33,31
1480989718,28,38
1480990818,33,0
1480991765,9,8
1480992979,16,31
1480994470,39,14
1480995456,23,23
1480996559,19,6
1480998012,37,52
1480999225,22,10
1481000274,11,21
1481001375,25,31
1481002946,52,36
1481004492,53,24
1481005716,41,33
1481007089,19,10
1481009272,35,40
1481010367,27,33
1481012370,44,24
1481013891,45,37
1481015015,35,20
1481016014,38,24
1481016995,19,24
1481018862,48,32
1481019823,27,24
1481020978,26,14
1481022256,25,53
1481023876,36,16
1481025538,72,52
1481026819,38,21
1481028030,21,46
1481028986,12,0
1481030391,38,84
1481031381,12,13
1481032405,38,26
1481033761,32,21
1481035314,35,49
1481036889,34,46
1481038381,39,31
1481039897,34,38
1481040882,12,16
1481041875,40,41
1481042874,35,16
1481044676,35,25
1481046012,46,38
1481047171,32,22
1481048264,20,13
1481050146,54,44
1481051372,27,20
1481052800,64,36
1481053984,35,31
1481055252,21,30
1481056670,37,37
1481057614,21,33
1481058662,20,15
1481059758,22,63
1481060766,20,35
1481061724,14,0
1481062844,32,34
1481064208,17,28
1481065254,25,19
1481066334,22,54
1481067687,36,39
1481069441,33,59
1481070349,17,42
1481071608,40,31
1481072643,30,35
1481073770,42,54
1481074972,41,37
1481077371,65,45
1481078826,51,16
1481079732,18,68
1481080888,31,28
1481082023,47,16
1481083447,47,59
1481085169,77,48
1481086497,30,10
1481087849,43,68
1481089070,36,0
1481090215,23,45
1481091649,34,43
1481092978,31,28
1481094468,28,44
1481096166,36,21
1481097719,34,42
1481099155,43,37
1481100536,43,46
1481102023,28,36
1481103656,60,67
1481105116,33,0
1481106554,63,39
1481108465,45,18
1481110004,41,48
1481111268,30,41
1481112582,24,41
1481113957,35,20
1481115430,29,61
1481117131,44,9
1481118254,28,26
1481119281,32,21
1481120554,37,51
