DateTime,Entries,UniqueIPs
1480947439,11189,13098
1480948389,11197,13105
1480949317,11194,13101
1480950269,11187,13092
1480951228,11179,13080
1480952213,11174,13075
1480953153,11166,13059
1480954131,11175,13066
1480955066,11162,13048
1480956013,11156,13046
1480956981,11155,13044
1480958476,11151,13040
1480959408,11152,13041
1480960357,11160,13049
1480961343,11149,13033
1480962261,11152,13038
1480963232,11150,13036
1480964192,11140,13023
1480965155,11153,13039
1480966133,11148,13033
1480967072,11139,13021
1480968089,11141,13022
1480969225,11147,13028
1480970535,11146,13026
1480971556,11139,13021
1480972457,11136,13019
1480974056,11125,13006
1480975577,11128,13009
1480976601,11138,13023
1480978060,11128,13010
1480979121,11124,13006
1480980570,11128,13012
1480981863,11118,13000
1480983247,11131,13018
1480984258,11133,13021
1480985381,11135,13023
1480986382,11134,13021
1480987867,11126,13017
1480989718,11120,13012
1480990818,11127,13016
1480991765,11113,13004
1480992979,11119,13007
1480994470,11119,13011
1480995456,11126,13020
1480996559,11126,13021
1480998012,11132,13029
1480999225,11135,13032
1481000274,11133,13030
1481001375,11130,13031
1481002946,11139,13040
1481004492,11154,13058
1481005716,11165,13070
1481007089,11156,13064
1481009272,11150,13061
1481010367,11159,13069
1481012370,11159,13070
1481013891,11157,13073
1481015015,11158,13079
1481016014,11162,13082
1481016995,11159,13080
1481018862,11161,13084
1481019823,11163,13090
1481020978,11168,13095
1481022256,11161,13090
1481023876,11164,13093
1481025538,11164,13114
1481026819,11162,13116
1481028030,11162,13114
1481028986,11152,13104
1481030391,11152,13100
1481031381,11147,13094
1481032405,11149,13098
1481033761,11148,13100
1481035314,11145,13095
1481036889,11151,13098
1481038381,11145,13085
1481039897,11152,13088
1481040882,11150,13087
1481041875,11148,13087
1481042874,11156,13090
1481044676,11148,13084
1481046012,11145,13085
1481047171,11140,13082
1481048264,11128,13070
1481050146,11129,13070
1481051372,11123,13070
1481052800,11107,13067
1481053984,11099,13057
1481055252,11093,13049
1481056670,11061,13017
1481057614,11052,13009
1481058662,11050,13006
1481059758,11044,12996
1481060766,11042,12995
