DateTime,AddedIPs,RemovedIPs
1480910188,51,51
1480911184,111,111
1480912108,127,127
1480913084,58,58
1480914104,109,109
1480915218,134,134
1480916203,94,94
1480917141,92,92
1480918129,115,115
1480919063,74,74
1480920023,91,91
1480920979,49,49
1480921959,98,98
1480922950,130,130
1480923869,58,58
1480924915,98,98
1480926026,119,119
1480926986,71,71
1480927943,74,74
1480928960,117,117
1480929868,70,70
1480930830,106,106
1480931834,60,60
1480932746,109,109
1480933711,125,125
1480934669,79,79
1480935733,112,112
1480936823,128,128
1480937844,98,98
1480938754,82,82
1480939731,122,122
1480940663,76,76
1480941628,127,127
1480942595,61,61
1480943553,106,106
1480944532,136,136
1480945472,60,60
1480946482,97,97
1480947439,94,94
1480948389,113,113
1480949317,75,75
1480950269,105,105
1480951228,137,137
1480952213,96,96
1480953153,101,101
1480954131,102,102
1480955066,67,67
1480956013,122,122
1480956981,60,60
1480958476,167,167
1480959408,86,86
1480960357,83,83
1480961343,97,97
1480962261,58,58
1480963232,124,124
1480964192,72,72
1480965155,91,91
1480966133,133,133
1480967072,70,70
1480968089,129,129
1480969225,140,140
1480970535,119,119
1480971556,115,115
1480972457,67,67
1480974056,163,163
1480975577,100,100
1480976601,133,133
1480978060,147,147
1480979121,85,85
1480980570,162,162
1480981863,112,112
1480983247,147,147
1480984258,124,124
1480985381,93,93
1480986382,97,97
1480987867,166,166
1480989718,172,172
1480990818,125,125
1480991765,54,54
1480992979,109,109
1480994470,182,182
1480995456,89,89
1480996559,70,70
1480998012,172,172
1480999225,132,132
1481000274,61,61
1481001375,130,130
1481002946,168,168
1481004492,168,168
1481005716,149,149
1481007089,104,104
1481009272,159,159
1481010367,126,126
1481012370,217,217
1481013891,139,139
1481015015,129,129
1481016014,127,127
1481016995,96,96
1481018862,160,160
1481019823,81,81
1481020978,94,94
1481022256,100,100
1481023876,168,168
1481025538,166,166
1481026819,159,159
1481028030,104,104
1481028986,58,58
1481030391,163,163
1481031381,48,48
1481032405,105,105
1481033761,106,106
1481035314,155,155
1481036889,190,190
1481038381,164,164
1481039897,163,163
1481040882,79,79
1481041875,128,128
1481042874,114,114
1481044676,182,182
1481046012,126,126
1481047171,112,112
1481048264,68,68
1481050146,194,194
1481051372,131,131
1481052800,182,182
1481053984,121,121
1481055252,95,95
1481056670,159,159
1481057614,89,89
1481058662,90,90
1481059758,85,85
1481060766,65,65
1481061724,89,89
1481062844,126,126
1481064208,120,120
1481065254,120,120
1481066334,103,103
1481067687,132,132
1481069441,132,132
1481070349,69,69
1481071608,138,138
1481072643,87,87
1481073770,115,115
1481074972,99,99
1481077371,273,273
1481078826,136,136
1481079732,71,71
1481080888,113,113
1481082023,122,122
1481083447,128,128
1481085169,205,205
1481086497,113,113
1481087849,150,150
1481089070,131,131
1481090215,100,100
1481091649,144,144
1481092978,102,102
1481094468,117,117
1481096166,164,164
1481097719,137,137
1481099155,154,154
1481100536,148,148
1481102023,103,103
1481103656,199,199
1481105116,113,113
1481106554,181,181
1481108465,171,171
1481110004,125,125
1481111268,137,137
1481112582,122,122
1481113957,130,130
1481115430,121,121
1481117131,163,163
1481118254,116,116
1481119281,119,119
1481120554,129,129
1481121708,118,118
1481122820,109,109
1481124453,182,182
1481125398,71,71
1481126421,131,131
1481128390,188,188
1481129344,81,81
1481130291,98,98
1481131213,123,123
1481132311,131,131
1481133710,104,104
1481134817,142,142
1481136299,110,110
1481137414,138,138
1481138418,166,166
1481139751,137,137
1481141368,169,169
1481142781,128,128
1481144077,102,102
1481145697,162,162
1481146820,84,84
1481147772,45,45
1481149013,156,156
1481150225,156,156
1481151158,94,94
1481152120,110,110
1481153500,130,130
1481154612,103,103
1481155741,75,75
1481156795,83,83
1481157875,95,95
1481159090,81,81
1481160547,170,170
1481161455,75,75
1481162448,90,90
1481163627,97,97
1481164564,69,69
1481166025,147,147
1481167004,78,78
1481168101,87,87
1481169134,86,86
1481170354,97,97
1481171819,127,127
1481172749,76,76
1481173729,70,70
1481174655,80,80
1481175839,118,118
1481176812,108,108
1481177776,104,104
1481178744,98,98
1481179750,98,98
1481180658,79,79
1481181675,117,117
1481182590,72,72
1481183551,83,83
1481184523,97,97
1481185454,75,75
1481186446,94,94
1481187392,108,108
1481188386,118,118
1481189306,144,144
