DateTime,AddedIPs,RemovedIPs
1479312022,2,1
1479315622,1,2
1479319222,1,1
1479322822,1,0
1479326422,0,1
1479330022,0,2
1479333623,4,3
1479337222,1,3
1479340822,4,2
1479344423,1,1
1479348022,2,1
1479351622,2,1
1479355222,1,0
1479358822,3,0
1479362422,0,2
1479366022,0,2
1479369621,0,3
1479373222,3,0
1479376822,0,1
1479380422,2,0
1479384023,1,0
1479387622,0,1
1479391222,1,1
1479394822,1,5
1479402022,1,1
1479405622,0,1
1479409221,1,4
1479412822,1,2
1479416421,1,1
1479420021,1,10
1479423622,0,2
1479427221,1,2
1479430821,0,2
1479434420,1,2
1479438021,0,1
1479441621,0,1
1479445221,0,3
1479452420,0,1
1479459621,1,1
1479466820,0,2
1479470420,0,1
1479474020,0,3
1479481220,1,2
1479484820,1,2
1479488420,2,2
1479492020,0,3
1479495620,1,3
1479502820,2,2
1479506420,0,1
1479510020,2,1
1479513620,2,2
1479517220,1,1
1479520820,1,0
1479531620,0,3
1479538820,0,1
1479542420,2,1
1479546021,1,0
1479549620,0,1
1479556820,1,2
1479560421,1,1
1479564019,0,1
1479567619,0,1
1479571219,1,0
1479574820,1,1
1479578420,0,2
1479582020,0,2
1479585620,1,0
1479589220,1,2
1479592820,3,0
1479596420,0,1
1479603620,2,0
1479607220,2,6
1479610819,3,2
1479614419,1,1
1479618020,0,1
1479621620,1,0
1479639619,0,1
1479643220,0,1
1479650419,1,0
1479654020,1,1
1479657620,3,0
1479661220,0,1
1479664820,2,2
1479668420,1,0
1479672019,0,2
1479675620,3,0
1479679220,1,1
1479682820,0,1
1479686419,0,5
1479690019,3,1
1479697220,1,4
1479700819,1,0
1479704420,1,1
1479708019,0,1
1479711620,2,1
1479722419,2,0
1479726020,0,3
1479729620,0,2
1479733220,0,1
1479736819,0,3
1479744020,13,2
1479747620,5,3
1479751219,0,4
1479754822,2,1
1479758419,1,1
1479762020,1,10
1479765619,1,10
1479769219,1,4
1479772819,8,2
1479776419,3,1
1479780020,1,0
1479783620,4,2
1479790820,0,1
1479794419,6,2
1479805219,1,0
1479808820,1,0
1479816020,1,0
1479823220,0,4
1479830420,1,1
1479834020,1,0
1479841219,1,1
1479844819,0,3
1479848419,3,0
1479852019,1,1
1479855620,3,1
1479859220,2,0
1479862820,1,1
1479866420,4,1
1479870020,1,1
1479873624,1,0
1479880820,2,0
1479884420,0,2
1479895219,1,0
1479898820,2,0
1479906020,1,1
1479909621,2,2
1479913221,1,2
1479916819,0,2
1479920420,0,1
1479924020,1,1
1479927620,0,1
1479931220,1,0
1479934820,1,0
1479938420,0,2
1479942020,1,2
1479945620,0,2
1479949220,1,0
1479956420,2,2
1479960020,2,0
