DateTime,Entries,UniqueIPs
1479693783,3175,3175
1479697383,3175,3175
1479700983,3165,3165
1479704580,3158,3158
1479708182,3158,3158
1479711779,3158,3158
1479715381,3148,3148
1479718979,3138,3138
1479722584,3137,3137
1479726179,3129,3129
1479729780,3125,3125
1479733379,3134,3134
1479736982,3123,3123
1479740578,3112,3112
1479744182,3114,3114
1479747778,3114,3114
1479751379,3112,3112
1479754981,3098,3098
1479758579,3095,3095
1479762177,3084,3084
1479765778,3074,3074
1479769376,3069,3069
1479772978,3065,3065
1479776575,3062,3062
1479780177,3059,3059
1479783775,3054,3054
1479787376,3046,3046
1479790976,3051,3051
1479794576,3054,3054
1479798173,3048,3048
1479801777,3043,3043
1479805373,3046,3046
1479808977,3045,3045
1479812574,3045,3045
1479816177,3032,3032
1479819778,3118,3118
1479823383,3157,3157
1479826982,3189,3189
1479830585,3200,3200
1479834184,3222,3222
1479837786,3228,3228
1479841385,3236,3236
1479844986,3236,3236
1479848584,3245,3245
1479852187,3246,3246
1479855785,3244,3244
1479859386,3237,3237
1479862985,3243,3243
1479866581,3242,3242
1479870178,3246,3246
1479873779,3250,3250
1479877387,3252,3252
1479880985,3252,3252
1479884588,3251,3251
1479888184,3256,3256
1479891788,3265,3265
1479895385,3275,3275
1479898992,3279,3279
1479902586,3278,3278
1479906184,3267,3267
1479909788,3270,3270
1479913387,3257,3257
1479916985,3249,3249
1479920585,3247,3247
1479924184,3263,3263
1479927782,3264,3264
1479931388,3266,3266
1479934987,3273,3273
1479938585,3289,3289
1479942189,3303,3303
1479945789,3315,3315
1479949387,3322,3322
1479952990,3332,3332
1479956590,3336,3336
1479960191,3335,3335
1479963789,3329,3329
1479967391,3324,3324
1479970991,3329,3329
1479974591,3335,3335
1479978188,3336,3336
1479981794,3338,3338
1479985387,3334,3334
1479988991,3330,3330
1479992589,3332,3332
1479996192,3333,3333
1479999788,3340,3340
1480003393,3354,3354
1480006992,3356,3356
1480010595,3350,3350
1480014192,3339,3339
1480017791,3334,3334
1480021389,3343,3343
1480024992,3346,3346
1480028592,3350,3350
1480032193,3359,3359
1480035793,3367,3367
1480039392,3371,3371
1480042988,3365,3365
1480046593,3370,3370
1480050192,3357,3357
1480053784,3364,3364
1480057393,3373,3373
1480060992,3396,3396
1480064596,3408,3408
1480068192,3416,3416
1480071795,3405,3405
1480075398,3410,3410
1480078989,3405,3405
1480082594,3412,3412
1480086189,3419,3419
1480089794,3435,3435
1480093396,3427,3427
1480096994,3427,3427
1480100591,3427,3427
1480104188,3425,3425
1480107792,3418,3418
1480111392,3408,3408
1480114993,3416,3416
1480118592,3419,3419
1480122195,3415,3415
1480125797,3422,3422
1480129391,3424,3424
1480132996,3420,3420
1480136597,3420,3420
1480140195,3429,3429
1480143793,3435,3435
1480147398,3440,3440
1480150995,3443,3443
1480154593,3446,3446
1480158198,3460,3460
1480161793,3471,3471
1480165395,3472,3472
1480168998,3481,3481
1480172596,3480,3480
1480176200,3497,3497
1480179798,3499,3499
1480183394,3512,3512
1480186997,3506,3506
1480190599,3502,3502
1480194200,3501,3501
1480197797,3504,3504
1480201400,3505,3505
1480204999,3508,3508
1480208600,3515,3515
1480212202,3513,3513
1480215800,3519,3519
1480219398,3545,3545
1480223001,3548,3548
1480226598,3548,3548
1480230200,3551,3551
1480233800,3559,3559
1480237400,3563,3563
1480241000,3563,3563
1480244600,3567,3567
1480248201,3561,3561
1480251802,3569,3569
1480255400,3595,3595
1480259001,3586,3586
1480262600,3588,3588
1480266201,3593,3593
1480269801,3597,3597
1480273402,3596,3596
1480277003,3601,3601
1480280604,3603,3603
1480284206,3609,3609
1480287804,3613,3613
1480291403,3617,3617
1480295001,3608,3608
1480298601,3596,3596
1480302201,3598,3598
1480305802,3612,3612
1480309404,3615,3615
1480313002,3617,3617
1480316604,3615,3615
1480320203,3622,3622
1480323805,3626,3626
1480327401,3624,3624
1480331004,3629,3629
1480334604,3640,3640
1480338206,3626,3626
1480341804,3631,3631
1480345403,3624,3624
1480348997,3616,3616
1480352599,3614,3614
1480356203,3604,3604
1480359807,3606,3606
1480363407,3604,3604
1480367005,3610,3610
1480370609,3615,3615
1480374207,3618,3618
1480377799,3617,3617
1480381401,3610,3610
1480385006,3620,3620
1480388607,3625,3625
1480392206,3621,3621
1480395807,3626,3626
1480399405,3625,3625
1480403005,3629,3629
1480406606,3624,3624
1480410205,3630,3630
1480413803,3621,3621
1480417407,3630,3630
1480421006,3632,3632
1480424602,3613,3613
1480428201,3608,3608
1480431802,3609,3609
1480435406,3607,3607
1480439006,3622,3622
1480442608,3614,3614
1480446200,3619,3619
1480449808,3628,3628
1480453406,3629,3629
1480457006,3627,3627
1480460609,3625,3625
1480464206,3631,3631
1480467807,3636,3636
1480471406,3635,3635
1480475009,3635,3635
1480478608,3642,3642
1480482208,3643,3643
1480485804,3655,3655
1480489404,3736,3736
1480493006,3738,3738
1480496606,3742,3742
1480500205,3744,3744
1480503810,3743,3743
1480507408,3752,3752
1480511007,3754,3754
1480514608,3764,3764
1480518209,3761,3761
1480521809,3762,3762
1480525409,3781,3781
1480529013,3780,3780
1480532609,3789,3789
1480536210,3787,3787
1480539812,3788,3788
1480543408,3794,3794
1480547009,3809,3809
1480550611,3809,3809
1480554210,3818,3818
1480557810,3827,3827
1480561414,3860,3860
1480565015,3860,3860
1480568613,3853,3853
1480572213,3859,3859
1480575813,3855,3855
1480579414,3858,3858
1480583013,3856,3856
1480586616,3862,3862
1480590213,3856,3856
1480593813,3858,3858
1480597413,3856,3856
1480601013,3857,3857
1480604614,3854,3854
1480608214,3860,3860
1480611815,3857,3857
1480615415,3875,3875
1480619017,3889,3889
1480622618,3903,3903
1480626219,3901,3901
1480629818,3905,3905
1480633418,3905,3905
1480637019,3907,3907
1480640618,3904,3904
1480644218,3913,3913
1480647819,3930,3930
1480651420,3929,3929
1480655019,3930,3930
1480658626,4042,4042
1480662228,4105,4105
1480665827,4096,4096
1480669428,4094,4094
1480673028,4096,4096
1480676629,4102,4102
1480680230,4119,4119
1480683831,4138,4138
1480687431,4142,4142
1480691032,4137,4137
1480694633,4133,4133
1480698233,4139,4139
1480701833,4149,4149
1480705434,4159,4159
1480709034,4168,4168
1480712634,4165,4165
1480716234,4170,4170
1480719835,4174,4174
1480723434,4181,4181
1480727035,4182,4182
1480730635,4181,4181
1480734234,4180,4180
1480737835,4184,4184
1480741436,4190,4190
1480745035,4201,4201
1480748636,4197,4197
1480752236,4200,4200
1480755836,4197,4197
1480759438,4235,4235
1480763039,4243,4243
1480766639,4244,4244
1480770239,4238,4238
1480773839,4240,4240
1480777438,4243,4243
1480781038,4231,4231
1480784638,4236,4236
1480788239,4241,4241
1480791839,4248,4248
1480795440,4250,4250
1480799041,4260,4260
1480802641,4273,4273
1480806240,4279,4279
1480809843,4289,4289
1480813441,4285,4285
1480817042,4290,4290
1480820655,4289,4289
1480824240,4271,4271
1480827839,4271,4271
1480831438,4275,4275
1480835044,4273,4273
1480838643,4270,4270
1480842238,4262,4262
1480845838,4260,4260
1480849441,4254,4254
1480853042,4252,4252
1480856640,4245,4245
1480860235,4221,4221
1480863839,4228,4228
1480867439,4217,4217
1480871039,4217,4217
1480874637,4210,4210
1480878237,4203,4203
1480881838,4200,4200
1480885438,4198,4198
1480889039,4207,4207
1480892638,4208,4208
1480896238,4207,4207
1480899839,4209,4209
1480903439,4211,4211
1480907038,4205,4205
1480910637,4205,4205
1480914238,4215,4215
1480917841,4218,4218
1480921438,4211,4211
1480925038,4213,4213
1480928638,4205,4205
1480932239,4202,4202
1480935838,4210,4210
1480939439,4208,4208
1480943038,4205,4205
1480946637,4197,4197
1480950239,4204,4204
1480953838,4207,4207
1480957440,4215,4215
1480961039,4222,4222
1480964639,4215,4215
1480968240,4214,4214
1480971838,4205,4205
1480975439,4203,4203
1480979039,4203,4203
1480982638,4191,4191
1480986238,4192,4192
1480989840,4187,4187
1480993438,4179,4179
1480997037,4180,4180
1481000637,4183,4183
1481004238,4190,4190
1481007839,4186,4186
1481011437,4184,4184
1481015038,4179,4179
1481018638,4189,4189
1481022239,4191,4191
1481025838,4186,4186
1481029439,4182,4182
1481033038,4177,4177
1481036637,4163,4163
1481040237,4161,4161
1481043837,4155,4155
1481047439,4161,4161
1481051039,4162,4162
1481054640,4156,4156
1481058239,4158,4158
1481061837,4143,4143
1481065437,4140,4140
1481069036,4135,4135
1481072636,4134,4134
1481076237,4122,4122
1481079835,4110,4110
1481083435,4098,4098
1481087034,4100,4100
1481090633,4092,4092
1481094230,4012,4012
1481097830,4007,4007
1481101430,4001,4001
1481105031,4000,4000
1481108629,3996,3996
1481112229,3991,3991
1481115834,4095,4095
1481119441,4204,4204
1481123047,4390,4390
1481126653,4526,4526
1481130265,4729,4729
