DateTime,AddedIPs,RemovedIPs
1479668501,7,10
1479672101,3,9
1479675701,2,8
1479679301,6,11
1479682900,4,5
1479686501,7,5
1479690098,3,7
1479693700,4,8
1479697300,3,4
1479700900,3,7
1479704499,4,4
1479708099,3,4
1479711698,5,5
1479715299,2,9
1479718898,2,3
1479722499,7,5
1479726098,4,8
1479729699,3,4
1479733299,11,6
1479736900,8,10
1479740499,9,4
1479744101,8,4
1479747698,5,4
1479751299,4,17
1479754899,1,12
1479758499,7,12
1479762099,4,3
1479765699,4,9
1479769298,2,13
1479772897,3,8
1479776497,8,8
1479780097,5,12
1479783696,4,9
1479787296,1,6
1479790896,8,5
1479794497,7,2
1479798095,4,7
1479801697,1,4
1479805295,6,6
1479808897,2,3
1479812496,4,4
1479816097,7,7
1479819697,53,6
1479823301,33,7
1479826901,25,10
1479830503,15,10
1479834102,28,7
1479837703,16,4
1479841303,12,8
1479844903,10,15
1479848503,10,6
1479852104,14,12
1479855702,3,3
1479859305,10,6
1479862902,11,4
1479866502,6,4
1479870100,5,4
1479873700,10,2
1479877303,7,5
1479880900,8,4
1479884501,6,12
1479888099,9,5
1479891701,9,3
1479895301,10,3
1479898901,5,8
1479902502,4,6
1479906101,6,5
1479909702,5,4
1479913301,5,6
1479916900,6,5
1479920501,6,4
1479924104,10,4
1479927702,2,10
1479931302,2,4
1479934902,12,6
1479938501,12,5
1479942102,10,4
1479945703,9,2
1479949303,7,2
1479952904,9,6
1479956504,8,4
1479960103,6,3
1479963704,8,13
1479967302,8,8
1479970903,9,5
1479974502,9,10
1479978102,9,8
1479981703,6,4
1479985302,3,8
1479988903,6,11
1479992502,8,5
1479996103,7,4
1479999701,6,6
1480003304,9,6
1480006903,6,5
1480010504,6,1
1480014104,7,9
1480017704,5,4
1480021304,7,4
1480024905,12,4
1480028504,7,3
1480032104,6,6
1480035705,6,4
1480039306,9,5
1480042904,6,13
1480046506,7,3
1480050105,3,6
1480053703,10,7
1480057306,12,1
1480060907,9,7
1480064506,6,4
1480068106,7,5
1480071706,8,8
1480075307,17,7
1480078906,6,8
1480082505,6,2
1480086107,7,8
1480089707,13,5
1480093306,4,10
1480096907,5,6
1480100506,6,1
1480104106,3,8
1480107705,2,4
1480111306,1,5
1480114907,6,8
1480118505,4,5
1480122105,6,7
1480125706,7,1
1480129305,6,7
1480132907,6,8
1480136506,6,4
1480140106,4,3
1480143706,2,1
1480147307,11,7
1480150906,5,9
1480154507,11,8
1480158106,8,7
1480161705,8,8
1480165305,6,3
1480168906,7,4
1480172507,6,9
1480176107,23,6
1480179707,7,4
1480183307,6,4
1480186908,1,3
1480190508,4,4
1480194109,4,5
1480197708,8,3
1480201309,6,6
1480204907,5,2
1480208508,6,5
1480212107,4,5
1480215707,5,4
1480219309,20,3
1480222908,6,7
1480226509,3,5
1480230108,7,8
1480233709,9,4
1480237308,7,8
1480240909,2,5
1480244508,4,10
1480248107,6,8
1480251707,5,7
1480255309,24,2
1480258909,3,6
1480262508,6,9
1480266109,8,8
1480269709,9,3
1480273310,4,5
1480276909,9,3
1480280509,9,4
1480284112,10,1
1480287711,11,4
1480291311,8,5
1480294911,6,7
1480298510,4,6
1480302111,8,4
1480305711,6,3
1480309310,4,2
1480312910,5,5
1480316512,5,9
1480320111,10,2
1480323712,11,6
1480327311,7,7
1480330913,7,4
1480334512,6,1
1480338111,7,12
1480341713,4,5
1480345312,4,7
1480348910,7,12
1480352511,7,5
1480356112,6,5
1480359712,11,1
1480363312,5,8
1480366912,2,2
1480370513,8,1
1480374112,8,2
1480377713,6,4
1480381311,5,10
1480384913,14,2
1480388513,6,3
1480392112,5,7
1480395713,5,2
1480399313,6,7
1480402916,6,3
1480406514,9,7
1480410114,10,3
1480413714,5,7
1480417313,3,0
1480420913,6,13
1480424512,2,13
1480428112,8,9
1480431712,12,11
1480435313,16,17
1480438914,15,8
1480442513,7,16
1480446112,5,8
1480449713,10,7
1480453314,8,9
1480456914,14,11
1480460514,8,10
1480464114,6,5
1480467714,6,8
1480471313,4,5
1480474913,12,11
1480478519,9,8
1480482120,6,4
1480485716,7,6
1480489316,76,4
1480492918,7,4
1480496517,8,8
1480500116,8,10
1480503720,10,4
1480507317,7,7
1480510916,6,11
1480514518,13,6
1480518117,5,7
1480521717,7,8
1480525318,12,5
1480528920,10,7
1480532518,6,3
1480536119,4,7
1480539721,16,22
1480543320,25,7
1480546920,18,9
1480550520,5,10
1480554119,10,8
1480557718,11,7
1480561321,36,8
1480564922,10,12
1480568521,5,11
1480572121,16,11
1480575722,15,10
1480579321,13,14
1480582922,12,10
1480586524,7,7
1480590122,8,9
1480593721,5,4
1480597321,5,10
1480600922,12,12
1480604522,16,14
1480608128,13,6
1480611728,11,9
1480615329,10,9
1480618930,14,8
1480622529,8,3
1480626130,9,11
1480629734,14,7
1480633330,11,14
1480636930,5,7
1480640529,8,8
1480644130,10,8
1480647729,12,4
1480651329,5,9
1480654930,7,6
1480658537,122,12
1480662138,70,10
1480665739,6,7
1480669339,3,10
1480672939,11,6
1480676539,4,5
1480680140,14,12
1480683741,17,9
1480687340,9,6
1480690939,11,12
1480694539,3,12
1480698140,4,5
1480701740,8,4
1480705341,5,5
1480708940,6,4
1480712540,9,9
1480716141,4,3
1480719741,9,4
1480723341,6,3
1480726940,5,6
1480730541,5,6
1480734139,8,7
1480737740,5,6
1480741340,11,7
1480744939,10,6
1480748541,8,3
1480752140,9,8
1480755740,1,3
1480759342,43,8
1480762943,25,11
1480766543,9,4
1480770144,4,7
1480773744,6,11
1480777343,9,3
1480780942,14,25
1480784543,5,5
1480788144,3,5
1480791744,3,1
1480795344,4,7
1480798942,4,7
1480802544,7,1
1480806144,10,3
1480809745,7,11
1480813343,3,6
1480816943,8,5
1480820552,7,4
1480824142,3,21
1480827742,7,4
1480831343,9,8
1480834945,4,6
1480838544,6,6
1480842142,1,3
1480845741,7,5
