DateTime,Entries,UniqueIPs
1479704499,1368,1368
1479708099,1367,1367
1479711698,1367,1367
1479715299,1360,1360
1479718898,1359,1359
1479722499,1361,1361
1479726098,1357,1357
1479729699,1356,1356
1479733299,1361,1361
1479736900,1359,1359
1479740499,1364,1364
1479744101,1368,1368
1479747698,1369,1369
1479751299,1356,1356
1479754899,1345,1345
1479758499,1340,1340
1479762099,1341,1341
1479765699,1336,1336
1479769298,1325,1325
1479772897,1320,1320
1479776497,1320,1320
1479780097,1313,1313
1479783696,1308,1308
1479787296,1303,1303
1479790896,1306,1306
1479794497,1311,1311
1479798095,1308,1308
1479801697,1305,1305
1479805295,1305,1305
1479808897,1304,1304
1479812496,1304,1304
1479816097,1304,1304
1479819697,1351,1351
1479823301,1377,1377
1479826901,1392,1392
1479830503,1397,1397
1479834102,1418,1418
1479837703,1430,1430
1479841303,1434,1434
1479844903,1429,1429
1479848503,1433,1433
1479852104,1435,1435
1479855702,1435,1435
1479859305,1439,1439
1479862902,1446,1446
1479866502,1448,1448
1479870100,1449,1449
1479873700,1457,1457
1479877303,1459,1459
1479880900,1463,1463
1479884501,1457,1457
1479888099,1461,1461
1479891701,1467,1467
1479895301,1474,1474
1479898901,1471,1471
1479902502,1469,1469
1479906101,1470,1470
1479909702,1471,1471
1479913301,1470,1470
1479916900,1471,1471
1479920501,1473,1473
1479924104,1479,1479
1479927702,1471,1471
1479931302,1469,1469
1479934902,1475,1475
1479938501,1482,1482
1479942102,1488,1488
1479945703,1495,1495
1479949303,1500,1500
1479952904,1503,1503
1479956504,1507,1507
1479960103,1510,1510
1479963704,1505,1505
1479967302,1505,1505
1479970903,1509,1509
1479974502,1508,1508
1479978102,1509,1509
1479981703,1511,1511
1479985302,1506,1506
1479988903,1501,1501
1479992502,1504,1504
1479996103,1507,1507
1479999701,1507,1507
1480003304,1510,1510
1480006903,1511,1511
1480010504,1516,1516
1480014104,1514,1514
1480017704,1515,1515
1480021304,1518,1518
1480024905,1526,1526
1480028504,1530,1530
1480032104,1530,1530
1480035705,1532,1532
1480039306,1536,1536
1480042904,1529,1529
1480046506,1533,1533
1480050105,1530,1530
1480053703,1533,1533
1480057306,1544,1544
1480060907,1546,1546
1480064506,1548,1548
1480068106,1550,1550
1480071706,1550,1550
1480075307,1560,1560
1480078906,1558,1558
1480082505,1562,1562
1480086107,1561,1561
1480089707,1569,1569
1480093306,1563,1563
1480096907,1562,1562
1480100506,1567,1567
1480104106,1562,1562
1480107705,1560,1560
1480111306,1556,1556
1480114907,1554,1554
1480118505,1553,1553
1480122105,1552,1552
1480125706,1558,1558
1480129305,1557,1557
1480132907,1555,1555
1480136506,1557,1557
1480140106,1558,1558
1480143706,1559,1559
1480147307,1563,1563
1480150906,1559,1559
1480154507,1562,1562
1480158106,1563,1563
1480161705,1563,1563
1480165305,1566,1566
1480168906,1569,1569
1480172507,1566,1566
1480176107,1583,1583
1480179707,1586,1586
1480183307,1588,1588
1480186908,1586,1586
1480190508,1586,1586
1480194109,1585,1585
1480197708,1590,1590
1480201309,1590,1590
1480204907,1593,1593
1480208508,1594,1594
1480212107,1593,1593
1480215707,1594,1594
1480219309,1611,1611
1480222908,1610,1610
1480226509,1608,1608
1480230108,1607,1607
1480233709,1612,1612
1480237308,1611,1611
1480240909,1608,1608
1480244508,1602,1602
1480248107,1600,1600
1480251707,1598,1598
1480255309,1620,1620
1480258909,1617,1617
1480262508,1614,1614
1480266109,1614,1614
1480269709,1620,1620
1480273310,1619,1619
1480276909,1625,1625
1480280509,1630,1630
1480284112,1639,1639
1480287711,1646,1646
1480291311,1649,1649
1480294911,1648,1648
1480298510,1646,1646
1480302111,1650,1650
1480305711,1653,1653
1480309310,1655,1655
1480312910,1655,1655
1480316512,1651,1651
1480320111,1659,1659
1480323712,1664,1664
1480327311,1664,1664
1480330913,1667,1667
1480334512,1672,1672
1480338111,1667,1667
1480341713,1666,1666
1480345312,1663,1663
1480348910,1658,1658
1480352511,1660,1660
1480356112,1661,1661
1480359712,1671,1671
1480363312,1668,1668
1480366912,1668,1668
1480370513,1675,1675
1480374112,1681,1681
1480377713,1683,1683
1480381311,1678,1678
1480384913,1690,1690
1480388513,1693,1693
1480392112,1691,1691
1480395713,1694,1694
1480399313,1693,1693
1480402916,1696,1696
1480406514,1698,1698
1480410114,1705,1705
1480413714,1703,1703
1480417313,1706,1706
1480420913,1699,1699
1480424512,1688,1688
1480428112,1687,1687
1480431712,1688,1688
1480435313,1687,1687
1480438914,1694,1694
1480442513,1685,1685
1480446112,1682,1682
1480449713,1685,1685
1480453314,1684,1684
1480456914,1687,1687
1480460514,1685,1685
1480464114,1686,1686
1480467714,1684,1684
1480471313,1683,1683
1480474913,1684,1684
1480478519,1685,1685
1480482120,1687,1687
1480485716,1688,1688
1480489316,1760,1760
1480492918,1763,1763
1480496517,1763,1763
1480500116,1761,1761
1480503720,1767,1767
1480507317,1767,1767
1480510916,1762,1762
1480514518,1769,1769
1480518117,1767,1767
1480521717,1766,1766
1480525318,1773,1773
1480528920,1776,1776
1480532518,1779,1779
1480536119,1776,1776
1480539721,1770,1770
1480543320,1788,1788
1480546920,1797,1797
1480550520,1792,1792
1480554119,1794,1794
1480557718,1798,1798
1480561321,1826,1826
1480564922,1824,1824
1480568521,1818,1818
1480572121,1823,1823
1480575722,1828,1828
1480579321,1827,1827
1480582922,1829,1829
1480586524,1829,1829
1480590122,1828,1828
