DateTime,Entries,UniqueIPs
1479710404,6915,6915
1479712324,6911,6911
1479720004,6920,6920
1479721923,6943,6943
1479725763,6950,6950
1479729605,6953,6953
1479731536,6956,6956
1479735363,6953,6953
1479739202,6964,6964
1479744962,6951,6951
1479746882,6938,6938
1479750724,6956,6956
1479754563,6972,6972
1479760336,6957,6957
1479764156,6953,6953
1479768003,6925,6925
1479772084,6921,6921
1479775924,6940,6940
1479780005,6933,6933
1479781922,6918,6918
1479785763,6892,6892
1479789602,6886,6886
1479793442,6884,6884
1479797524,6895,6895
1479801363,6889,6889
1479805205,6892,6892
1479809284,6896,6896
1479811205,6923,6923
1479815043,6924,6924
1479819123,6937,6937
1479822963,6932,6932
1479826822,6924,6924
1479828724,6942,6942
1479832562,6930,6930
1479836402,6949,6949
1479840483,6975,6975
1479844324,6961,6961
1479848164,6954,6954
1479852006,6939,6939
1479853924,6899,6899
1479858003,6873,6873
1479861843,6885,6885
1479865924,6884,6884
1479869763,6876,6876
1479873604,6856,6856
1479875538,6854,6854
1479879363,6856,6856
1479883205,6873,6873
1479887043,6880,6880
1479890914,6895,6895
1479894754,6903,6903
1479898594,6899,6899
1479902406,6894,6894
1479904336,6906,6906
1479908404,6917,6917
1479912244,6914,6914
1479916083,6925,6925
1479919923,6937,6937
1479923762,6946,6946
1479927605,6963,6963
1479929524,6953,6953
1479933377,6943,6943
1479937206,6940,6940
1479941044,6934,6934
1479944883,6904,6904
1479950643,6910,6910
1479952564,6916,6916
1479956406,6907,6907
1479958323,6890,6890
1479962176,6899,6899
1479966003,6895,6895
1479969843,6917,6917
1479975604,6938,6938
1479977523,6937,6937
1479981362,6946,6946
1479985205,6956,6956
1479987125,6963,6963
1479990977,6969,6969
1479994804,6966,6966
1479998644,6981,6981
1480002723,6974,6974
1480006805,6985,6985
1480010642,6980,6980
1480012564,6988,6988
1480016644,6991,6991
1480020483,6983,6983
1480024323,6977,6977
1480028163,6951,6951
1480032004,6930,6930
1480033922,6928,6928
1480037763,6928,6928
1480041602,6916,6916
1480045442,6910,6910
1480049284,6913,6913
1480053124,6910,6910
1480056963,6922,6922
1480060805,6935,6935
1480064643,6954,6954
1480066563,6953,6953
1480070403,6961,6961
1480074242,6946,6946
1480078083,6951,6951
1480081924,6962,6962
1480085763,6971,6971
1480089605,6974,6974
1480093442,6970,6970
1480095605,6987,6987
1480099443,6993,6993
1480103284,6978,6978
1480107125,6986,6986
1480111205,6972,6972
1480113123,6963,6963
1480116963,6909,6909
1480120815,6925,6925
1480124642,6941,6941
1480128483,6949,6949
1480132563,6946,6946
1480138324,6919,6919
1480142403,6935,6935
1480146482,6937,6937
1480150323,6950,6950
1480154163,6962,6962
1480158005,6960,6960
1480159923,6960,6960
1480163762,6964,6964
1480165684,6971,6971
1480171442,6970,6970
1480175282,6970,6970
1480179124,6976,6976
1480183206,6976,6976
1480187043,6970,6970
1480188976,6968,6968
1480192816,6963,6963
1480196883,6946,6946
1480200725,6942,6942
1480204806,6921,6921
1480206963,6928,6928
1480212723,6924,6924
1480214643,6917,6917
1480218483,6900,6900
1480222324,6895,6895
1480226163,6894,6894
1480230005,6911,6911
1480234083,6919,6919
