DateTime,Entries,UniqueIPs
1479117307,261019,271167
1479117908,261023,271171
1479118209,261028,271176
1479122712,261027,271175
1479123307,261028,271176
1479124207,261033,271181
1479127807,261037,271185
1479130808,261036,271184
1479132608,261037,271185
1479134408,261195,271345
1479134708,261197,271347
1479135607,261320,271471
1479135908,261376,271527
1479142807,261375,271526
1479149107,261374,271525
1479152408,261373,271524
1479153308,261378,271529
1479190207,261377,271528
1479193207,261376,271527
1479193810,261375,271526
1479200707,261403,271555
1479201008,261453,271605
1479201307,261537,271690
1479202207,261568,271722
1479205207,261567,271721
1479213607,261566,271720
1479216308,261565,271719
1479220507,261566,271720
1479223807,261565,271719
1479225308,261564,271718
1479227410,261567,271721
1479228308,261607,271761
1479228608,261796,271967
1479228908,261801,271973
1479229207,261816,271988
1479229509,261867,272040
1479229808,261869,272042
1479230407,261884,272057
1479243608,261886,272059
1479245408,261885,272058
1479287407,261884,272057
1479291908,261887,272060
1479292507,261898,272071
1479293108,261924,272098
1479293707,262073,272248
1479294007,262112,272287
1479294308,262155,272332
1479294607,262186,272363
1479294908,262250,272427
1479307508,262249,272426
1479313208,262265,272442
1479322808,262266,272443
1479342907,262265,272442
1479343508,262264,272441
1479353707,262265,272442
1479354907,262264,272441
1479366008,262265,272442
1479369909,262264,272441
1479373208,262265,272442
1479374107,262272,272449
1479374407,262278,272455
1479380107,262279,272456
1479380707,262323,272502
1479381009,262470,272651
1479381608,262471,272652
1479381911,262470,272651
1479382807,262497,272678
1479383108,262559,272740
1479383711,262610,272792
1479394808,262611,272793
1479402907,262610,272792
1479408907,262609,272791
1479427808,262608,272790
1479433508,262607,272789
1479441607,262608,272790
1479444307,262607,272789
1479455107,262606,272788
1479458708,262606,272787
1479460808,262656,272837
1479461108,262657,272838
1479461707,262662,272844
1479462308,262665,272847
1479462908,262929,273115
1479463209,262981,273167
1479463507,262991,273177
1479464709,262989,273175
1479465008,262987,273173
1479466807,262989,273175
1479469208,262988,273174
1479470408,262989,273175
1479471608,262987,273173
1479474308,263019,273206
1479474907,263034,273221
1479477007,263045,273232
1479477308,263046,273233
1479478208,263214,273400
1479478508,263275,273469
1479480907,263276,273470
1479481207,263278,273472
1479481809,263392,273588
1479487208,263393,273589
1479491407,263392,273588
1479496807,263391,273587
1479514508,263392,273588
1479538807,263393,273589
1479547808,263392,273588
1479556810,263393,273589
1479558309,263392,273588
1479560108,263391,273587
1479580208,263390,273586
1479582008,263389,273585
1479587408,263386,273582
1479588607,263385,273581
1479589808,263384,273580
1479592808,263383,273579
1479603608,263384,273580
1479636906,263383,273579
1479637808,263382,273578
1479638108,263381,273577
1479639607,263382,273578
1479647707,263381,273577
1479649807,263381,273576
1479664808,263382,273577
1479672008,263381,273576
1479705308,263380,273575
1479708008,263381,273576
1479709521,263380,273575
1479712808,263379,273574
1479718207,263377,273572
1479719109,263378,273573
1479719408,263526,273722
1479719707,263532,273729
1479720607,263667,273869
1479720907,263869,274075
1479721208,263995,274205
1479721509,264055,274266
1479721808,264057,274268
1479722107,264056,274267
1479722707,264055,274266
1479736807,264056,274267
1479744008,264057,274268
1479744307,264056,274267
1479749408,264055,274266
1479751207,264056,274267
1479755707,264055,274266
1479760208,264054,274265
1479769208,264055,274266
1479770707,264054,274265
1479780008,264052,274263
1479797407,264051,274262
1479813008,264050,274261
1479814207,264049,274260
1479816008,264165,274377
1479816307,264316,274529
1479816607,264416,274630
1479817207,264614,274836
1479817508,264624,274846
1479855608,264625,274847
1479869707,264624,274846
1479871808,264623,274845
1479888907,264622,274844
1479896108,264676,274899
1479896408,264733,274957
1479896708,264808,275033
1479897008,264947,275173
1479897308,264991,275218
1479897607,264992,275219
1479898507,265006,275233
1479898807,265008,275235
1479904807,265007,275234
1479908708,265006,275233
1479932408,265005,275232
1479934808,265006,275233
1479937508,265005,275232
1479947707,265004,275231
1479951307,265004,275230
1479970807,265003,275229
1479988507,265017,275243
1479988807,265151,275377
1479989107,265296,275524
1479989408,265298,275526
1479990008,265304,275532
1479990308,265310,275538
1479990608,265310,275538
1479990908,265452,275681
1479991209,265488,275717
1479991508,265494,275723
1479994207,265493,275722
1480011307,265492,275721
1480014008,265491,275720
1480035608,265493,275722
1480052107,265492,275721
1480062607,265499,275728
1480062907,265501,275730
1480063207,265502,275731
1480063509,265503,275732
1480066209,265497,275726
1480066507,265492,275721
1480069508,265903,276137
1480069807,265927,276161
1480070107,265938,276172
1480070407,265943,276177
1480072214,266002,276236
1480075508,266001,276235
1480077908,266002,276236
1480087207,266001,276235
1480094708,266000,276234
1480100408,266001,276235
1480104008,266002,276236
1480107007,266001,276235
1480115708,266000,276234
1480118407,266001,276235
1480143908,266000,276234
1480164607,265998,276232
1480164908,265998,276231
1480194008,265999,276232
1480196708,265998,276231
1480208107,265997,276230
1480215008,265996,276229
1480219209,265997,276230
1480233007,265996,276229
1480233907,265995,276228
1480247108,265994,276227
1480265119,265993,276226
1480282208,265992,276225
1480290907,265991,276224
1480297807,265990,276223
1480302008,265991,276224
1480305007,265990,276223
1480324208,266268,276501
1480324807,266408,276644
1480325108,266421,276657
1480325707,266421,276657
1480326008,266464,276700
1480326308,266474,276710
1480326608,266481,276717
1480326907,266484,276720
1480327208,266528,276764
1480330808,266527,276763
1480338607,266526,276762
1480343407,266525,276761
1480377608,266526,276762
1480386008,266525,276761
1480409407,266524,276760
1480413608,266525,276761
1480413908,266747,276983
1480414209,266903,277140
1480414808,266921,277158
1480416607,266922,277159
1480416908,266924,277161
1480444507,266923,277160
1480448108,266922,277159
1480482308,266921,277158
1480489208,266922,277159
1480493408,266921,277158
1480495807,266952,277190
1480496407,266967,277206
1480496708,267031,277270
1480497607,267030,277269
1480518907,267030,277268
1480529708,267029,277267
1480539307,267028,277266
1480555808,267027,277265
1480556408,267026,277264
1480557607,267027,277265
1480579209,267028,277266
1480586408,267029,277267
1480590008,267030,277268
1480593307,267030,277267
1480594507,267275,277514
1480595107,267306,277545
1480595709,267356,277595
1480596008,267360,277599
1480596308,267361,277600
1480601708,267360,277599
1480602909,267359,277598
1480608008,267361,277600
1480622408,267362,277601
1480624808,267361,277600
1480628108,267360,277599
1480655408,267359,277598
1480662307,267361,277601
1480690508,267360,277600
1480692609,267538,277778
1480692908,267738,277979
1480693208,267779,278022
1480693509,267823,278067
1480693808,267865,278109
1480694108,268013,278258
1480695607,268014,278259
1480703108,268013,278258
1480705208,268014,278259
1480721707,268015,278260
1480744807,268016,278261
1480761608,268317,278565
1480761908,268529,278782
1480762208,268530,278783
1480768507,268529,278782
1480768807,268528,278781
1480769108,268527,278780
1480772107,268526,278779
1480779908,268525,278778
1480786208,268524,278777
1480786508,268523,278776
1480798808,268523,278777
1480825208,268522,278776
1480844109,268579,278833
1480848008,268582,278836
1480848307,268620,278874
1480848607,268686,278941
1480848908,268834,279092
1480849208,268861,279120
1480862107,268860,279119
1480862408,268933,279193
1480862708,269037,279297
1480863008,269141,279402
1480863308,269246,279507
1480863608,269348,279610
1480863908,269608,279873
1480864207,270314,280586
1480864507,270750,281028
1480864808,270851,281130
1480865109,270953,281234
1480865408,271056,281340
1480865707,271156,281440
1480866008,271261,281545
1480866308,271361,281648
1480866607,271459,281747
1480866908,271560,281851
1480867208,271663,281954
1480867507,271764,282058
1480868108,271969,282267
1480868408,272070,282370
1480868708,272175,282476
1480869008,272277,282580
1480869307,272304,282606
1480877108,272303,282605
1480877409,272356,282658
1480877708,272441,282745
1480878008,272443,282747
1480878608,272485,282790
1480879208,272535,282840
1480879508,272537,282842
1480879808,272538,282843
1480880107,272541,282846
1480880408,272543,282848
1480880708,272553,282859
1480881007,272563,282869
1480881607,272573,282879
1480887007,272572,282878
1480896008,272571,282877
1480903508,272570,282876
1480907108,272569,282875
1480914907,272568,282874
1480915509,272567,282873
1480926607,272564,282870
1480928107,272914,283227
1480932008,272915,283228
1480932608,272914,283227
1480935007,272920,283233
1480936213,273065,283380
1480936508,273128,283444
1480936807,273137,283453
1480937110,273141,283457
1480937407,273147,283463
1480937707,273205,283523
1480938008,273297,283617
1480938308,273337,283657
1480938607,273342,283662
1480940108,273341,283661
1480950908,273340,283660
1480968007,273339,283659
1480975508,273340,283660
1480983008,273339,283659
1480985107,273338,283658
1480995307,273337,283657
1481012107,273336,283656
1481016008,273525,283847
1481016907,273538,283860
1481017807,273559,283881
1481032207,273684,284006
1481033707,273690,284012
1481035208,273696,284018
1481039708,273697,284019
1481046907,273822,284144
1481048107,274048,284370
1481049008,274099,284421
1481049908,274100,284422
1481053808,274099,284420
1481058607,274305,284626
1481060708,274378,284701
1481061607,274714,285038
1481078708,274713,285037
1481083208,274714,285038
1481086508,274712,285036
1481091608,274711,285035
1481101808,274731,285055
1481103608,274801,285126
1481109911,274842,285169
1481111107,274907,285235
1481113808,274910,285238
1481119208,274949,285277
1481122809,274969,285297
1481123109,274972,285300
1481124307,274973,285301
1481127310,274972,285300
1481128208,274972,285299
1481129107,274971,285298
1481130908,274969,285296
1481133608,274974,285301
1481136308,275490,285819
1481165108,275489,285818
1481169907,275489,285818
1481170808,275488,285817
1481180108,275487,285816
1481187308,275497,285826
1481187608,275524,285853
1481187908,275542,285871
1481189108,275627,285958
1481189409,275660,285992
1481189707,275661,285993
1481192408,275660,285992
1481194207,275680,286012
1481194508,275681,286013
1481196311,275694,286028
1481197807,275693,286027
1481200810,275706,286040
1481201408,275730,286065
1481202008,275758,286094
1481202307,275775,286112
1481203208,275785,286122
1481203508,275867,286205
1481203807,275866,286204
1481204707,275865,286203
1481208007,275879,286219
1481226008,275878,286218
1481235907,275877,286217
1481252708,275876,286216
1481274009,275922,286261
1481275509,275927,286266
1481275810,275957,286297
1481285413,275956,286296
1481291108,275955,286295
1481295608,275956,286296
1481328309,276159,286499
1481328610,276422,286764
1481329208,276432,286774
1481349008,276431,286773
1481363708,276490,286833
1481364008,276623,286969
1481364307,276717,287066
1481364608,276775,287127
1481364908,276867,287222
1481365208,276871,287226
1481365509,276888,287243
1481365808,276909,287264
1481366108,276929,287285
1481366408,277013,287370
1481366709,277157,287516
1481367008,277173,287532
1481373607,277171,287529
1481378108,277170,287528
1481378408,277169,287527
1481382908,277168,287526
1481386208,277167,287525
1481387408,277166,287524
1481397908,277165,287523
1481398208,277170,287529
1481398507,277174,287533
1481398808,277231,287590
1481399109,277587,287949
1481399408,277608,287971
1481399708,277613,287976
1481400009,277671,288035
1481400309,277753,288116
1481400607,277780,288144
1481401207,277788,288152
1481402407,277798,288162
1481402709,278153,288527
1481403008,278160,288534
1481403308,278162,288536
1481403608,278165,288539
1481406008,278178,288552
1481406308,278182,288556
1481418608,278181,288555
1481420408,278180,288554
1481425208,278179,288553
1481428808,278178,288552
1481429109,278177,288551
1481429708,278176,288550
1481430008,278176,288549
1481449207,278192,288565
1481451008,278266,288642
1481451308,278268,288644
1481451608,278273,288649
1481451908,278356,288734
1481466008,278360,288738
1481466908,278363,288741
1481467208,278386,288764
1481467807,278387,288765
