DateTime,AddedIPs,RemovedIPs
1476558010,0,1
1476564907,1,0
1476565207,11,0
1476581107,25,0
1476581407,3,0
1476596407,0,1
1476642007,0,1
1476643807,0,1
1476728408,12,0
1476728707,14,0
1476729008,12,0
1476729308,17,0
1476755707,10,0
1476756007,8,0
1476756307,40,0
1476756607,11,0
1476803707,3,0
1476889508,11,0
1476890108,14,0
1476892207,3,0
1476910507,0,1
1476931207,30,0
1476931807,4,0
1477025407,0,1
1477173307,0,1
1477295108,0,1
1477304710,0,1
1477312207,1,0
1477343108,0,1
1477350608,1,0
1477350907,2,0
1477366808,0,1
1477387507,1,0
1477395008,4,0
1477398907,1,0
1477404007,1,0
1477408207,2,0
1477439707,1,0
1477440309,1,0
1477442107,2,0
1477480207,1,0
1477481108,1,0
1477482308,1,0
1477482608,1,0
1477482907,1,0
1477483808,1,0
1477484107,1,0
1477494908,2,0
1477517707,0,1
1477532408,1,0
1477534207,1,0
1477536607,1,0
1477539607,1,0
1477566609,1,0
1477568407,0,1
1477573207,3,0
1477573508,1,0
1477582807,2,0
1477584607,1,0
1477585507,1,1
1477595407,0,1
1477616108,1,0
1477617007,3,0
1477649408,1,0
1477652107,1,0
1477653013,0,1
1477653907,1,0
1477661108,1,0
1477662008,1,0
1477665608,1,0
1477666207,2,0
1477666507,1,0
1477680607,0,1
1477704007,2,0
1477795508,4,0
1477796107,4,0
1477820708,2,0
1477896308,2,0
1477986307,2,0
1477986907,1,0
1478008809,1,0
1478022907,2,0
1478023508,1,0
1478034607,0,1
1478046008,0,1
1478075408,5,0
1478080207,1,0
1478094008,0,1
1478110810,1,0
1478135708,0,1
1478191508,1,0
1478246408,0,1
1478306708,0,1
1478550008,2,0
1478557807,0,1
1478786711,0,1
1478881207,0,1
1478986807,0,1
1479114907,0,9
1479160207,0,1
1479260708,1,0
1479332708,0,1
1479393909,0,1
1479477909,0,1
1479542407,0,1
1479553207,0,1
1479591008,0,1
1479657908,0,1
1479742508,0,1
1479797407,0,1
1479821407,0,1
1479827408,0,1
1479909608,0,1
1479910507,0,1
1479933908,0,1
1480032608,0,1
1480075508,0,1
1480132507,0,1
1480232108,0,1
1480431608,0,1
1480626607,0,1
1480738507,0,1
1480861208,4,0
1480861807,1,0
1480862107,1,0
1480862708,1,0
1480863008,2,0
1480898707,32,0
1480899008,3,0
1480899308,1,0
1480899608,1,0
1480900807,3,0
1480901108,2,0
1480902008,1,0
1480902608,1,0
1480902907,3,0
1480903207,3,0
1480903508,3,0
1480904408,4,0
1480905308,2,0
1480906808,1,0
1480907108,2,0
1480907408,4,0
1480908008,1,0
1480908908,2,0
1480909507,1,0
1480910408,1,0
1480910708,1,0
1480911007,1,0
1480911608,2,0
1480912209,1,0
1480913408,1,0
1480914008,1,0
1480914309,3,0
1480915808,1,0
1480916408,1,0
1480917607,1,0
1480919116,1,0
1480919408,1,0
1480920608,1,0
1480958707,1,0
1480963509,1,0
1480968608,11,0
1480968908,6,0
1480972208,5,0
1480974007,34,0
1480975508,54,0
1480976407,17,0
1480977908,70,0
1480979107,20,1
1480980307,45,0
1480981807,91,0
1480983008,69,0
1480984208,87,0
1480985107,55,0
1480986307,92,0
1480986907,45,0
1480987807,88,0
1480988407,55,0
1480989608,65,0
1480990807,24,0
1480991707,6,0
1480992307,2,0
1480992908,2,0
1480993507,3,0
1480994407,5,0
1480995307,4,0
1480996508,2,0
1480997108,5,0
1480998008,4,0
1480998608,4,0
1481000108,1,0
1481001307,2,1
1481002808,1,0
1481003707,1,0
1481005509,1,0
1481007908,1,0
1481009108,1,0
1481010307,2,0
1481012107,1,0
1481013607,2,0
1481014808,1,0
1481016008,8,0
1481016907,4,0
1481018709,1,0
1481019608,4,0
1481022008,1,0
1481023808,1,0
1481025307,10,0
1481026808,7,0
1481028007,2,0
1481032207,2,0
1481042708,1,0
1481057408,120,0
1481058607,116,0
1481059508,52,0
1481060708,36,0
1481061607,118,0
1481062808,151,0
1481064009,136,0
1481065209,97,1
1481066107,24,0
1481067608,32,0
1481069408,10,0
1481070308,5,0
1481072408,4,1
1481075708,2,0
1481077208,1,0
1481082008,1,0
1481085008,0,1
1481097607,1,0
1481101808,3,5
1481106308,2,0
1481108411,7,0
1481109911,3,0
1481111107,1,0
1481112308,3,0
1481113808,2,0
1481115909,1,0
1481117107,1,0
1481121607,1,0
1481128208,1,0
1481133608,1,0
1481134808,22,0
1481136308,1,0
1481140507,0,1
1481148608,1,0
1481193007,1,0
1481193607,1,0
1481195108,4,0
1481195708,11,0
1481196008,5,0
1481196311,3,0
1481197208,5,0
1481197508,6,0
1481197807,5,0
1481199308,1,0
1481200208,1,0
1481202608,1,0
1481205008,7,0
1481205308,9,0
1481205609,6,0
1481205908,2,0
1481206208,8,0
1481206507,7,0
1481206809,9,0
1481207108,3,0
1481207408,1,0
1481207708,2,0
1481208008,2,0
1481208308,2,0
1481208607,2,0
1481209208,2,0
1481209515,2,0
1481209809,1,0
1481210408,9,0
1481210708,5,0
1481211008,6,0
1481211308,2,0
1481211608,1,0
1481211908,1,0
1481212809,6,0
1481213108,1,0
1481213707,1,0
1481214008,1,0
1481214608,1,0
1481215208,1,0
1481215810,2,0
1481217008,1,0
1481217307,1,0
1481217608,1,0
1481218508,1,0
1481218808,1,0
1481220309,1,0
1481221208,1,0
1481221808,1,0
1481223307,0,1
1481224207,1,0
1481231408,1,0
1481232608,1,0
1481236508,1,0
1481250308,1,0
1481254808,1,0
1481262908,0,1
1481265010,0,1
1481291408,0,1
1481340008,45,0
1481340308,46,0
1481340609,58,0
1481340907,38,0
1481341208,12,0
1481341508,2,0
1481341808,21,3
1481342108,56,0
1481342408,55,0
1481342710,33,0
1481343009,27,0
1481343608,110,0
1481343908,49,0
1481344208,21,0
1481344508,41,0
1481344808,35,0
1481345108,3,0
1481346308,33,0
1481346908,68,0
1481347208,41,0
1481347509,45,0
1481347808,39,0
1481348409,47,0
1481348708,28,0
1481349008,23,0
1481349308,28,0
1481349608,26,0
1481349908,28,0
1481350209,37,3
1481350508,42,0
1481350808,35,0
1481351112,35,0
1481351408,39,0
1481351708,39,0
1481352008,148,0
1481352309,14,0
1481352607,30,0
1481352908,88,0
1481353207,40,0
1481353508,22,0
1481353810,71,0
1481354108,69,0
1481354408,64,0
1481354709,24,0
1481355008,28,0
1481355308,35,0
1481355608,31,0
1481355908,15,0
1481356208,6,0
1481356509,13,0
1481356808,8,0
1481357107,7,0
1481357708,16,0
1481358008,3,0
1481358308,5,0
1481358608,5,0
1481358908,5,0
1481359208,1,0
1481359508,5,0
1481359807,2,0
1481360108,5,0
