DateTime,Entries,UniqueIPs
1481229385,12532,12988
1481230356,12547,13008
1481230878,12541,13001
1481231309,12449,12911
1481232258,12413,12878
1481232748,12401,12866
1481233223,12408,12870
1481233805,12403,12866
1481234189,12347,12801
1481234693,12343,12797
1481235160,12374,12830
1481236154,12310,12762
1481236604,12318,12770
1481237068,12278,12728
1481237405,12164,12613
1481238106,12139,12587
1481238549,12137,12585
1481239279,12110,12556
1481240186,12068,12509
1481240421,12072,12513
1481241171,12046,12492
1481242145,11997,12438
1481242605,12040,12482
1481243089,12077,12523
1481244032,12050,12495
1481244515,12054,12498
1481244605,12039,12483
1481244993,12006,12450
1481245961,11972,12404
1481246447,11944,12372
1481246939,11976,12409
1481247859,11905,12337
1481248355,11891,12324
1481248954,11881,12314
1481250011,11934,12372
1481250282,11938,12377
1481251291,11912,12341
1481251805,11917,12344
1481252195,11941,12368
1481253151,11968,12396
1481254150,11968,12396
1481255062,11964,12393
1481255405,11984,12413
1481256084,11971,12407
1481257030,11952,12388
1481257964,11996,12434
1481258911,12005,12445
1481259005,12006,12444
1481259955,12022,12459
1481261056,11976,12415
1481261801,11975,12414
1481262067,12009,12453
1481262605,12001,12446
1481262982,12007,12449
1481263707,12011,12453
1481263957,12031,12473
1481264911,12044,12486
1481265633,12049,12492
1481265860,12023,12467
1481266205,12018,12457
1481266905,12021,12459
1481267547,12022,12459
1481268068,12028,12461
1481268997,12002,12436
1481269478,11994,12427
1481269963,11913,12333
1481270949,11929,12349
1481271403,11924,12344
1481271873,11900,12322
1481272828,11940,12362
1481273327,11942,12364
1481273405,12428,12859
1481273800,12375,12809
1481274757,12408,12842
1481275233,12405,12838
1481275722,12368,12801
1481276664,12393,12835
1481277171,12317,12758
1481277703,12255,12681
1481278825,12281,12713
1481279071,12269,12701
1481279789,12220,12648
1481280738,12255,12687
1481281003,12255,12687
1481281724,12252,12691
1481282651,12231,12682
1481282928,12226,12677
1481283621,12242,12696
1481284205,12226,12679
1481284591,12224,12675
1481284934,12225,12676
1481285547,12222,12670
1481286493,12215,12661
1481286761,12218,12664
1481287456,12209,12650
1481287805,12207,12650
1481288502,12154,12592
1481288940,12155,12592
1481289624,12147,12583
1481290586,12132,12569
1481290835,12120,12556
1481291535,12173,12606
1481292537,12119,12549
1481292756,12144,12576
1481293451,12174,12605
1481294422,12152,12578
1481294923,12146,12572
1481295006,12192,12619
1481295421,12141,12564
1481296359,12182,12606
1481296839,12179,12603
1481297339,12155,12581
1481298262,12172,12605
1481298769,12174,12606
1481299291,12180,12608
1481300194,12167,12593
1481300696,12177,12603
1481301153,12229,12658
1481302124,12211,12638
1481302205,12137,12563
1481302602,12130,12556
1481303067,12158,12580
1481304030,12163,12583
1481304529,12176,12596
1481305007,12101,12515
1481305957,12222,12638
1481306498,12211,12627
1481306948,12184,12600
1481307869,12187,12604
