DateTime,AddedIPs,RemovedIPs
1481072643,50,19
1481073770,1523,1440
1481074972,195,170
1481077371,106,54
1481078826,66,51
1481079732,40,3
1481080888,44,17
1481082023,48,20
1481083447,40,20
1481085169,74,50
1481086497,46,8
1481087849,48,37
1481089070,41,23
1481090215,36,13
1481091649,50,28
1481092978,23,8
1481094468,20,42
1481096166,38,11
1481097719,33,35
1481099155,21,50
1481100536,40,17
1481102023,21,39
1481103656,38,19
1481105116,21,33
1481106554,22,9
1481108465,46,39
1481110004,17,25
1481111268,14,11
1481112582,25,18
1481113957,17,39
1481115430,12,15
1481117131,28,23
1481117795,16,1
1481118254,11,9
1481119281,19,24
1481120554,17,34
1481121708,13,12
1481122820,22,18
1481124453,21,11
1481125398,9,11
1481126421,11,17
1481128390,27,51
1481129344,12,16
1481130291,23,26
1481131213,28,0
1481132311,11,24
1481133710,16,14
1481134817,35,5
1481136299,21,21
1481137414,23,17
1481138418,21,18
1481139751,30,11
1481141368,16,30
1481142781,44,11
1481144077,23,35
1481145697,44,37
1481146820,35,20
1481147772,9,19
1481149013,31,14
1481150225,50,16
1481151158,54,11
1481152120,56,18
1481153500,60,10
1481154612,50,13
1481155741,30,27
1481156795,38,22
1481157200,66,36
1481157875,37,18
1481159090,39,29
1481160547,1524,1481
1481161455,47,0
1481162448,27,35
1481163627,29,40
1481164564,30,17
1481165060,15,11
1481166025,40,22
1481167004,25,22
1481168101,34,16
1481169134,28,17
1481170354,35,36
1481171819,29,24
1481172749,37,18
1481173729,27,11
1481174655,36,19
1481175839,45,17
1481176812,20,13
1481177776,18,16
1481178744,12,9
1481179750,19,10
1481180658,10,13
1481181675,26,18
1481182590,12,15
1481183551,22,7
1481184523,17,12
1481185454,11,24
1481186446,17,9
1481187392,9,21
1481188386,29,21
1481189306,18,12
1481190266,18,18
1481191294,38,28
1481192449,10,13
1481193386,21,14
1481194356,18,23
1481195348,11,23
1481196272,20,12
1481197233,18,18
1481198196,17,19
1481199157,24,13
1481200144,14,30
1481201095,18,14
1481202087,27,28
1481203043,13,21
1481203985,20,16
1481204914,18,19
1481205874,20,23
1481207082,29,26
1481207544,40,1
1481208029,20,3
1481208994,17,16
1481209964,17,34
1481210933,26,0
1481211871,12,19
1481212889,25,43
1481213791,12,23
1481214767,22,16
1481215736,26,0
1481216674,15,39
1481217643,21,22
1481218588,9,3
1481219558,14,13
1481220550,21,27
1481221471,9,18
1481222426,15,0
1481223399,15,14
1481224359,20,36
1481225314,20,0
1481226269,12,41
1481227300,15,14
1481228469,13,19
1481229385,12,11
1481230356,15,18
1481231309,10,24
1481232258,15,28
1481233223,19,0
1481234189,8,30
1481235160,13,0
1481236154,9,30
1481237068,8,0
1481238106,23,14
1481239279,15,37
1481240186,4,15
1481241171,12,9
1481242145,6,30
1481242591,29,0
1481243089,15,16
1481244032,17,32
1481244993,10,24
1481245961,1192,1351
1481246430,27,35
1481246939,162,117
1481247859,17,18
1481248954,13,19
1481250011,24,27
1481250273,14,4
1481251291,19,11
1481252195,9,24
1481253151,35,18
1481254150,43,24
1481255062,18,22
1481256084,23,19
1481257030,14,9
1481257964,15,23
1481258911,23,12
1481259955,20,21
1481261056,20,13
1481262067,16,22
1481262982,17,19
1481263957,34,5
1481264911,15,26
1481265860,9,13
1481266905,18,11
1481268068,27,33
1481268997,13,0
1481269963,16,21
1481270949,25,33
1481271873,10,13
1481272828,24,10
1481273800,9,16
1481274757,26,15
1481275722,15,0
1481276664,23,21
1481277703,21,13
1481278825,11,22
1481279789,15,25
1481280738,25,11
1481281724,13,30
1481282651,27,11
1481283621,24,24
1481284591,8,0
1481285547,28,26
1481286493,19,33
1481287456,13,17
1481288502,24,38
1481289624,24,22
1481290586,12,20
1481291535,24,3
1481292537,12,23
1481292750,7,0
1481293451,25,9
1481294422,35,14
1481295421,11,9
1481296359,24,20
1481297339,24,19
1481298262,12,6
1481299291,25,17
1481300194,9,14
1481301153,26,13
1481302124,13,41
1481303067,30,17
1481304030,32,0
1481305007,11,19
1481305957,20,26
1481306948,16,4
1481307869,32,6
1481308831,17,30
1481309790,17,30
1481310767,33,16
1481311734,14,23
1481312673,33,21
1481313719,24,21
1481314826,45,17
1481315775,14,0
1481316743,26,22
1481317735,16,26
1481318654,18,7
1481319618,30,29
1481320634,12,16
1481321532,18,20
1481322058,9,4
1481322510,17,9
1481322990,3,5
1481323465,29,19
1481323952,2,0
1481324499,26,9
1481324925,3,4
1481325623,27,9
1481325866,5,10
1481326605,17,9
1481326829,3,6
1481327570,13,13
1481327797,2,7
1481328513,30,16
1481328754,12,7
1481329456,18,10
1481329716,16,1
1481330414,20,11
1481330665,1,6
1481331400,68,88
1481331683,3,7
1481332350,1336,1315
1481332844,4,2
1481333305,153,96
1481333787,5,12
1481334273,15,11
1481334757,0,3
1481335358,54,16
1481335736,3,2
1481336424,32,7
1481336663,0,5
1481337402,39,20
1481337633,11,5
1481338405,29,3
1481338601,4,2
1481339333,32,10
1481339557,6,4
1481340249,13,15
1481340506,1,6
1481341209,33,15
1481341472,1,4
1481342229,25,11
1481342485,4,1
1481343149,31,3
1481343661,5,2
1481344112,37,9
1481344593,1,1
1481345081,18,5
1481345557,1,2
1481346109,28,15
1481346542,4,6
1481347014,13,10
1481347465,4,7
1481348048,21,2
1481348455,3,4
1481349138,43,11
1481349395,1,6
1481350130,23,15
1481350359,1,6
1481351048,9,10
1481351311,4,4
1481352016,19,8
1481352286,3,4
1481352977,8,17
1481353295,8,3
1481353940,9,3
1481354422,6,4
1481354916,16,7
1481355373,7,3
1481355858,1,34
1481356357,3,2
1481356898,15,9
1481357342,11,2
1481357799,10,10
1481358276,3,5
1481358753,8,5
1481359229,12,4
1481359772,7,10
1481360190,6,5
1481360932,19,16
1481361157,7,12
1481361855,10,7
1481362113,6,5
1481362821,12,10
1481363063,5,5
1481363797,8,16
1481364099,13,3
1481364740,21,20
1481365209,2,8
1481365696,22,0
1481366185,3,6
1481366647,10,10
1481367139,7,6
1481367710,14,26
1481368128,5,6
1481368848,19,8
1481369066,10,7
1481369780,6,0
1481370043,7,4
1481370758,15,33
1481370986,2,11
1481371738,3,4
1481372464,6,3
1481372910,25,13
1481373388,0,6
1481373878,7,12
1481374362,8,7
1481374887,13,20
1481375337,3,4
1481375801,10,12
1481376262,4,3
1481376771,14,9
1481377227,5,3
1481377716,13,19
1481378197,2,5
1481378668,6,10
1481379162,7,4
1481379642,12,13
1481380116,3,4
1481380597,11,10
1481381088,4,2
1481381591,11,6
1481382075,3,5
1481382557,4,14
1481383004,2,2
1481383485,8,13
1481383961,1,12
1481384429,8,8
1481384919,6,4
1481385409,9,8
1481385872,1,7
1481386366,9,16
1481386831,0,4
1481387300,8,0
1481387796,7,5
1481388276,10,7
1481388850,1,5
1481389307,19,19
1481389945,7,4
1481390420,9,16
1481390894,9,5
1481391409,2,3
1481391854,2,6
1481392337,16,15
1481392881,5,2
1481393358,11,15
1481393810,2,11
1481394276,25,6
1481394745,11,3
1481395231,21,8
1481395714,4,3
1481396233,10,16
1481396684,2,15
1481397167,17,10
1481397870,7,5
1481398139,21,7
1481398829,4,7
1481399047,6,8
1481399800,2,0
1481400082,23,11
1481400758,4,7
1481401245,17,8
1481401710,5,4
1481402189,9,8
1481403158,19,12
1481403706,2,12
