DateTime,AddedIPs,RemovedIPs
1480403816,1,7
1480407778,10,1
1480411205,2,4
1480414596,3,1
1480416306,0,1
1480416602,0,1
1480418182,2,4
1480422001,6,8
1480425658,3,1
1480429306,3591,3590
1480434966,5,1
1480437302,2,4
1480438201,256,256
1480438802,1024,19200
1480439768,0,1
1480440602,6,0
1480440913,256,256
1480444202,7,3
1480445402,256,256
1480446906,0,1
1480447819,2,12
1480448706,0,1
1480450321,256,256
1480451402,4,5
1480452740,255,256
1480453917,256,256
1480454149,4,2
1480457520,256,256
1480457707,1,0
1480458002,2,1
1480459802,256,256
1480461601,3,4
1480463402,256,256
1480465207,11,4
1480467391,256,256
1480468802,26,7
1480472407,1,1
1480476245,4,7
1480479604,0,25
1480483202,4,2
1480486801,1,2
1480490207,0,3
1480490492,256,255
1480492202,256,256
1480493797,6,2
1480497605,3,4
1480501205,4,1
1480502706,0,2
1480504507,1,0
1480504802,2,3
1480508402,3,7
1480512007,5,2
1480515603,2,3
1480516091,2560,2560
1480519083,4,0
1480519502,1,0
1480520889,0,1
1480522806,3,2
1480524305,0,1
1480525502,0,33792
1480526702,1,1
1480528202,3,5
1480531506,3,3
1480531802,256,256
1480533399,0,3
1480537205,263,260
1480539002,256,256
1480540087,1,0
1480540304,256,256
1480542005,256,256
1480542305,1,1
1480542602,1,1
1480543929,256,256
1480545002,1,4
1480548002,3,6
1480549802,256,256
1480550404,1,0
1480551612,4,6
1480553529,512,512
1480554714,256,256
1480555450,19,9
1480558623,8,0
1480559401,4096,0
1480562138,3,9
1480565746,4,14
1480569353,6,1
1480571108,0,2
1480573203,6,6
1480574707,1,0
1480576568,0,1
1480576633,4,2
1480580412,2,1
1480584001,2,3
1480587437,0,4
1480588087,1,0
1480589406,1,1
1480590966,1,3
1480591201,4,4
1480592889,2,0
1480595056,5,4
1480598220,4,3
1480599904,0,1
1480602002,3,9
1480602727,2560,2561
1480603354,1,0
1480603505,3,0
1480605351,7,3
1480606202,1,0
