DateTime,Entries,UniqueIPs
1481246703,78533,9574277
1481247302,78530,9574274
1481247608,78444,9574182
1481248355,78398,9574122
1481248505,78502,9574225
1481249322,78496,9574218
1481249704,78564,9574285
1481250282,78569,9574290
1481250304,78567,9574288
1481250902,78568,9574289
1481251503,78568,9574289
1481252104,78654,9574375
1481252715,78670,9574391
1481253302,78667,9574388
1481254113,78733,9574452
1481254502,78723,9574441
1481255702,78721,9574439
1481256079,78723,9574441
1481256315,78805,9574523
1481256902,78805,9574523
1481257203,78813,9574531
1481257959,78906,9574621
1481258403,78884,9574595
1481259002,78987,9574732
1481259606,78962,9574702
1481259869,78953,9574692
1481260205,79033,9574772
1481260802,79106,9574845
1481261105,79115,9574854
1481261801,79101,9574842
1481262314,79023,9574764
1481262903,79019,9574760
1481263707,79014,9574754
1481264102,79012,9574752
1481264704,79000,9574740
1481265007,78898,9574638
1481265633,78897,9574637
1481266205,79019,9574762
1481266814,78903,9574640
1481267547,78790,9574514
1481268002,78791,9574515
1481268304,78795,9574518
1481268906,78723,9574446
1481269478,78719,9574440
1481269505,78707,9574428
1481270107,78711,9574437
1481270716,78712,9574438
1481271403,78689,9574402
1481271902,78714,9574427
1481272583,78776,9574489
1481273327,78850,9574577
1481273703,78838,9574565
1481274317,78844,9574571
1481274907,78796,9574514
1481275233,78801,9574518
1481275503,78797,9574513
1481276102,78976,9574692
1481276405,78957,9574673
1481277171,78959,9574669
1481277602,78969,9574679
1481278202,78971,9574681
1481278586,78971,9574681
1481279071,78985,9574691
1481279103,79167,9574873
1481279712,79153,9574859
1481280303,79166,9574872
1481281003,79162,9574868
1481281517,79171,9574877
1481282104,79174,9574880
1481282928,79180,9574886
1481283006,79171,9574877
1481283603,79266,9574972
1481283905,79347,9575053
1481284503,79345,9575051
1481284934,79347,9575053
1481285117,79346,9575050
1481285404,79350,9575053
1481286003,79349,9575052
1481286761,79360,9575062
1481286904,79358,9575060
1481287503,79368,9575073
1481288104,79394,9575104
1481288940,79461,9575171
1481289304,79449,9575155
1481289905,79529,9575235
1481290502,79523,9575228
1481290835,79526,9575231
1481291102,79605,9575328
1481291708,79536,9575240
1481292317,79533,9575237
1481292756,79546,9575249
1481292903,79556,9575259
1481293503,79626,9575341
1481294105,79645,9575380
1481294923,79640,9575369
1481295304,79650,9575379
1481295917,79658,9575382
1481296503,79661,9575385
1481296839,79668,9575389
1481297104,79678,9575397
1481297747,78751,9574466
1481298304,78757,9574470
1481298769,78759,9574473
1481298902,78771,9574487
1481299516,78773,9574489
1481300104,78822,9574566
1481300696,78832,9574575
1481300703,78834,9574576
1481301302,78832,9574574
1481301907,78759,9574488
1481302602,78792,9574520
1481303117,78822,9574553
1481303703,78828,9574559
1481304529,78846,9574577
1481304904,78842,9574573
1481305206,79066,9574912
1481305803,79055,9574899
1481306498,79049,9574893
1481307304,79038,9574882
1481307863,79039,9574883
1481307904,79032,9574876
1481308370,79029,9574873
1481308503,79020,9574863
1481309104,79022,9574866
1481309702,78810,9574527
1481310409,78805,9574522
1481310604,78787,9574501
1481311204,78769,9574480
1481311805,78887,9574605
1481312418,78947,9574672
1481313003,78938,9574663
1481313604,79097,9574838
1481314339,79121,9574866
1481314804,79123,9574863
1481315405,79121,9574861
1481316004,79134,9574877
1481316256,79196,9574939
1481316602,79201,9574944
1481317203,79200,9574943
1481317807,79116,9574859
1481318432,79069,9574801
1481319304,79141,9574889
1481319903,79144,9574891
1481320343,79144,9574892
1481320503,79141,9574889
1481321117,79142,9574890
1481321711,78998,9574734
1481322251,79008,9574745
1481322506,79007,9574743
1481322910,78924,9574660
1481323505,78909,9574645
1481324176,78916,9574652
1481324717,78929,9574665
1481325005,79008,9574757
1481325602,79009,9574758
1481326091,79017,9574766
1481326203,79033,9574782
1481326802,79047,9574796
1481327413,78966,9574716
1481328069,78969,9574720
1481328603,78963,9574724
1481328905,78972,9574733
1481329503,78971,9574732
1481329937,78981,9574744
1481330108,78890,9574655
1481330702,78891,9574656
1481331302,78892,9574657
1481332131,78807,9574572
1481332203,78791,9574557
1481332804,78782,9574548
