DateTime,Entries,UniqueIPs
1480680255,13355,13442
1480682651,13356,13443
1480684097,13355,13442
1480684572,13355,13442
1480685053,13356,13443
1480685538,13355,13442
1480686015,13356,13443
1480689613,13357,13444
1480690573,13356,13443
1480691059,13357,13444
1480692020,13358,13445
1480693000,13357,13444
1480693453,13358,13445
1480696815,13357,13444
1480697292,13356,13443
1480698734,13355,13442
1480699231,13355,13442
1480699696,13359,13446
1480700174,13362,13449
1480700652,13364,13451
1480701864,13422,13509
1480703291,13421,13508
1480704251,13421,13508
1480705699,13420,13507
1480709532,13419,13506
1480710020,13420,13507
1480711938,13425,13512
1480712454,13424,13511
1480712898,13425,13512
1480716971,13424,13511
1480717461,13425,13512
1480722254,13438,13525
1480722733,13462,13549
1480723458,13479,13566
1480726336,13478,13565
1480727776,13477,13564
1480728509,13475,13562
1480728974,13470,13557
1480729456,13459,13546
1480729932,13452,13539
1480730438,13450,13537
1480730893,13448,13535
1480731613,13445,13532
1480732095,13446,13533
1480732572,13444,13531
1480733056,13443,13530
1480733536,13444,13531
1480734506,13441,13528
1480734982,13440,13527
1480735455,13435,13521
1480735932,13434,13520
1480736414,13434,13520
1480736898,13432,13518
1480738095,13431,13517
1480739052,13430,13516
1480739533,13428,13514
1480740492,13427,13513
1480740973,13423,13509
1480741452,13422,13508
1480741934,13421,13507
1480742895,13420,13506
1480743375,13421,13507
1480745299,13420,13506
1480745542,13463,13549
1480747456,13462,13548
1480747933,13461,13547
1480748490,13459,13545
1480748892,13460,13546
1480749380,13461,13547
1480750334,13460,13546
1480750814,13461,13547
1480751298,13461,13547
1480752256,13460,13546
1480752731,13458,13544
1480753221,13459,13545
1480753873,13459,13546
1480754182,13458,13545
1480754652,13458,13545
1480755139,13459,13546
1480756101,13457,13544
1480756573,13457,13544
1480757299,13456,13543
1480757777,13457,13544
1480759282,13456,13543
1480759699,13462,13549
1480760891,13461,13548
1480761069,13462,13549
1480761373,13462,13549
1480761853,13465,13552
1480764015,13464,13551
1480764492,13465,13552
1480764990,13466,13553
1480765935,13466,13553
1480766422,13465,13552
1480769538,13464,13551
1480770039,13465,13552
1480771456,13464,13551
1480771951,13465,13552
1480778659,13464,13551
1480779133,13465,13552
1480782017,13464,13551
1480782494,13465,13552
1480785854,13467,13554
1480788255,13465,13552
1480788732,13466,13553
1480789249,13520,13607
1480790173,13521,13608
1480791133,13522,13609
1480796414,13523,13610
1480798337,13524,13611
1480800491,13523,13610
1480813695,13518,13605
1480814172,13517,13604
1480832916,13558,13645
1480835774,13560,13647
1480842496,13559,13646
1480858336,13560,13647
1480859774,13561,13648
1480861692,13562,13649
1480876333,13563,13650
1480876584,13633,13720
1480881139,13632,13719
1480881852,13633,13720
1480883538,13632,13719
1480884979,13632,13719
1480889296,13633,13720
1480891460,13634,13721
1480893375,13633,13720
1480896731,13631,13718
1480900098,13630,13717
1480900571,13629,13716
1480901056,13625,13712
1480901539,13620,13707
1480902497,13613,13700
1480902975,13612,13699
1480903704,13609,13696
1480904423,13607,13694
1480904893,13606,13693
1480905376,13605,13692
1480905852,13605,13692
1480906341,13606,13693
1480908013,13605,13692
1480909937,13606,13693
1480910657,13604,13691
1480911135,13605,13692
1480912094,13604,13691
1480912572,13604,13691
1480913051,13603,13690
1480913536,13602,13689
1480914501,13601,13688
1480914975,13601,13688
1480920261,13642,13729
1480924821,13641,13728
1480925300,13642,13729
1480926255,13641,13728
1480929855,13643,13730
1480930813,13644,13731
1480938255,13643,13730
1480939461,13644,13731
1480940174,13658,13745
1480940654,13666,13753
1480941133,13667,13754
1480955775,13700,13787
1480956251,13719,13807
1480957454,13720,13808
1480962253,13721,13809
1480963943,13761,13849
1480966595,13760,13848
1480971186,13758,13846
1480971518,13759,13847
1480986771,13748,13836
1480988325,13731,13819
1480989176,13721,13809
1480991328,13719,13807
1480992099,13716,13804
1480992831,13714,13802
1480994121,13714,13802
1480995159,13713,13801
1480996089,13712,13800
1480997100,13713,13801
1480997816,13713,13800
1480998541,13713,13801
1480999499,13711,13799
1481001226,13710,13798
1481002007,13711,13799
1481002551,13711,13799
1481003586,13708,13796
1481004770,13707,13795
1481007928,13749,13837
1481009927,13747,13835
1481025972,13780,13868
1481036258,13832,13921
1481043265,13833,13922
1481050986,13835,13924
1481052744,13889,13978
1481057162,13888,13977
1481068654,13888,13977
1481078092,13844,13933
1481084125,13841,13930
1481085767,13839,13928
1481097679,13872,13963
1481141356,13948,14039
1481143191,13946,14037
1481152569,13950,14041
1481180446,13964,14055
1481180894,13972,14064
1481181617,13990,14082
1481182572,13989,14081
1481183056,13990,14082
1481183536,13990,14082
1481184259,13991,14083
1481184985,14035,14127
1481187133,14034,14126
1481187858,14034,14126
1481188335,14034,14126
1481188826,14034,14126
1481189794,14035,14127
1481190735,14035,14127
1481191699,14036,14128
1481192419,14035,14127
1481192892,14034,14126
1481193855,14033,14125
1481194336,14034,14126
1481195055,14033,14125
1481195780,14032,14124
1481196255,14033,14125
1481196733,14032,14124
1481197216,14033,14125
1481197697,14031,14123
1481198174,14031,14123
1481198655,14037,14129
1481199135,14048,14140
1481200095,14045,14137
1481200572,14045,14137
1481201077,14045,14137
1481201535,14044,14136
1481202495,14044,14136
1481203459,14043,14135
1481203936,14044,14136
1481206333,14043,14135
1481207060,14045,14137
1481207532,14044,14136
1481209455,14045,14137
1481210417,14045,14137
1481211376,14046,14138
1481211856,14047,14139
1481216174,14073,14165
1481216659,14098,14190
1481217143,14101,14193
1481218575,14100,14192
1481219054,14098,14190
1481219536,14099,14191
1481220253,14100,14192
1481220979,14101,14193
1481224815,14102,14194
1481228915,14165,14257
1481229855,14166,14258
1481230336,14169,14261
1481236099,14168,14260
1481236581,14170,14262
1481245456,14169,14261
1481245937,14169,14261
1481246897,14165,14256
1481247377,14161,14252
1481247851,14159,14250
1481248336,14154,14245
1481249299,14140,14231
1481249785,14137,14228
1481250266,14137,14228
1481250737,14133,14224
1481251704,14132,14223
1481252177,14128,14219
1481252658,14127,14218
1481253131,14128,14219
1481253625,14126,14217
1481254094,14126,14217
1481255052,14121,14212
1481255557,14120,14211
1481256497,14119,14210
1481256977,14118,14209
1481257934,14117,14208
1481258892,14113,14204
1481259380,14114,14205
1481259857,14110,14201
1481260360,14111,14202
1481260815,14109,14200
1481261296,14108,14199
1481261776,14107,14198
1481262252,14108,14199
1481263456,14104,14195
1481264892,14100,14191
1481265373,14098,14189
1481265852,14097,14188
1481267299,14098,14190
1481268021,14112,14204
1481268493,14140,14233
1481268972,14146,14239
1481269454,14145,14238
1481269950,14146,14239
1481271380,14147,14240
1481271860,14151,14244
1481272583,14188,14281
