DateTime,Entries,UniqueIPs
1480390108,1397,1397
1480392090,1396,1396
1480393954,1412,1412
1480395867,1406,1406
1480397786,1400,1400
1480401620,1379,1379
1480403546,1382,1382
1480405477,1383,1383
1480407387,1379,1379
1480409313,1385,1385
1480411222,1383,1383
1480413152,1389,1389
1480415059,1385,1385
1480416982,1400,1400
1480418913,1401,1401
1480420887,1404,1404
1480422739,747,747
1480424924,750,750
1480426827,1070,1070
1480429001,1093,1093
1480430911,1095,1095
1480432841,1099,1099
1480435002,1115,1115
1480436913,1121,1121
1480438897,1131,1131
1480440748,1149,1149
1480442679,1145,1145
1480444580,1151,1151
1480448418,1158,1158
1480450355,1157,1157
1480452259,1165,1165
1480454431,1167,1167
1480456353,1163,1163
1480458255,1162,1162
1480460177,1161,1161
1480462094,1166,1166
1480464070,1161,1161
1480465977,1158,1158
1480468123,1152,1152
1480470029,1426,1426
1480471955,1435,1435
1480473863,1438,1438
1480475790,1427,1427
1480477709,1442,1442
1480479636,1452,1452
1480481566,1455,1455
1480483483,1464,1464
1480485394,1455,1455
1480487311,1451,1451
1480489305,1449,1449
1480491202,1445,1445
1480493075,1437,1437
1480496902,1446,1446
1480498821,1453,1453
1480500738,1457,1457
1480504579,1458,1458
1480506507,1456,1456
1480508450,756,756
1480510367,749,749
1480512262,1112,1112
1480514265,1112,1112
1480516116,1117,1117
1480518092,1118,1118
1480519968,1120,1120
1480522129,1104,1104
1480524033,1115,1115
1480526200,1129,1129
1480528120,1128,1128
1480530022,1132,1132
1480531967,1136,1136
1480533862,1131,1131
1480535792,1130,1130
1480537709,1129,1129
1480539692,1130,1130
1480541544,1130,1130
1480543718,1131,1131
1480545628,1124,1124
1480547549,1132,1132
1480549463,1126,1126
1480551643,1124,1124
1480553554,1119,1119
1480555479,1444,1444
1480557395,1449,1449
1480559310,1453,1453
1480561289,1448,1448
1480563165,1449,1449
1480565073,1451,1451
1480566999,1425,1425
1480568929,1436,1436
1480570831,1436,1436
1480572756,1435,1435
1480574678,1435,1435
1480576590,1430,1430
1480578511,1426,1426
1480580431,1425,1425
1480582365,1424,1424
1480584270,1432,1432
1480586190,1428,1428
1480588111,1425,1425
1480590079,1432,1432
1480591962,1419,1419
1480595781,715,715
1480597718,1036,1036
1480599631,1044,1044
1480601555,1049,1049
1480603454,1053,1053
1480605379,1056,1056
1480607562,1061,1061
1480609468,1059,1059
1480611395,1052,1052
1480613306,1064,1064
1480615299,1078,1078
1480619075,1081,1081
1480621006,1098,1098
1480624819,1097,1097
1480626740,1103,1103
1480628654,1110,1110
1480630839,1107,1107
1480632752,1119,1119
1480634670,1122,1122
1480636587,1112,1112
1480638512,1112,1112
1480640472,1110,1110
1480642348,1390,1390
1480644272,1397,1397
1480648108,1398,1398
1480650020,1405,1405
1480651947,1394,1394
1480653865,1389,1389
1480655784,1387,1387
1480657709,1387,1387
1480659625,1389,1389
1480661565,1384,1384
1480663466,1388,1388
1480665395,1394,1394
1480667311,1399,1399
1480669286,1396,1396
1480671148,1403,1403
1480673327,1395,1395
1480675222,1399,1399
1480677146,1408,1408
1480679063,1406,1406
1480681249,732,732
1480683160,727,727
1480685060,1057,1057
1480686993,1057,1057
1480688900,1064,1064
1480690871,1068,1068
1480692748,1074,1074
1480694933,1080,1080
1480696831,1081,1081
1480698753,1081,1081
1480700659,1077,1077
1480702839,1082,1082
1480704764,1081,1081
1480706663,1087,1087
1480708579,1095,1095
1480710516,1093,1093
1480712489,1093,1093
1480716529,1084,1084
1480718432,1086,1086
1480720351,1087,1087
1480722270,1086,1086
1480724436,1080,1080
1480726352,1072,1072
1480728535,1360,1360
1480730492,1348,1348
1480732357,1349,1349
1480734532,1349,1349
1480736434,1347,1347
1480738346,1350,1350
1480740251,1347,1347
1480742431,1344,1344
1480744354,1348,1348
1480746529,1347,1347
1480748509,1349,1349
1480750379,1355,1355
1480752273,1358,1358
1480754195,1354,1354
1480756150,1355,1355
1480759946,1354,1354
1480761860,1343,1343
1480764032,1334,1334
1480765951,1337,1337
1480767856,659,659
1480769787,669,669
1480771700,974,974
1480773676,980,980
1480775548,987,987
1480777728,1055,1055
1480779629,1052,1052
1480781548,1057,1057
1480783496,1060,1060
1480785404,1068,1068
1480787309,1067,1067
1480789246,1070,1070
1480791159,1075,1075
1480793063,1081,1081
1480794982,1078,1078
1480796903,1076,1076
1480799092,1076,1076
1480800989,1068,1068
1480802924,1064,1064
1480804824,1056,1056
1480806773,1045,1045
1480808659,1052,1052
1480810843,1050,1050
1480812763,1044,1044
1480814667,1319,1319
1480816589,1316,1316
1480818547,1319,1319
1480820468,1320,1320
1480822356,1310,1310
1480824525,1317,1317
1480826425,1322,1322
1480828356,1325,1325
1480830265,1329,1329
1480832237,1344,1344
1480834397,1347,1347
1480836310,1349,1349
1480838230,1340,1340
1480840159,1334,1334
1480842129,1335,1335
1480844041,1327,1327
1480845927,1325,1325
1480847878,1318,1318
1480849718,1296,1296
1480851679,1294,1294
1480853610,639,639
1480855541,630,630
1480857404,931,931
1480859327,932,932
1480861260,935,935
1480863175,944,944
1480865059,950,950
1480867004,950,950
1480868924,950,950
1480871084,948,948
1480873003,969,969
1480874933,972,972
1480876829,969,969
1480879255,966,966
1480881160,966,966
1480883059,970,970
1480884992,972,972
1480886918,968,968
1480888908,959,959
1480890745,952,952
1480892662,955,955
1480894601,961,961
1480898425,950,950
1480900344,1224,1224
1480902528,1221,1221
1480904449,1224,1224
1480906364,1224,1224
1480908253,1232,1232
1480910182,1231,1231
1480912104,1231,1231
1480914093,1242,1242
1480917874,1247,1247
1480921711,1251,1251
1480923620,1250,1250
1480925547,1253,1253
1480927456,1261,1261
1480929405,1262,1262
1480931320,1254,1254
1480933240,1258,1258
1480935157,1261,1261
1480937068,1272,1272
1480938984,1283,1283
1480940897,667,667
1480942882,667,667
1480944748,956,956
1480946923,970,970
1480948832,979,979
1480952697,1025,1025
1480954840,1030,1030
1480956764,1030,1030
1480958918,1030,1030
1480960889,1019,1019
1480962756,1020,1020
1480964679,1020,1020
1480968526,1023,1023
1480970531,1030,1030
1480972445,1031,1031
1480975564,1040,1040
1480978049,1070,1070
1480980559,1082,1082
1480983235,1080,1080
1480985370,1073,1073
1480987855,1314,1314
1480989707,1317,1317
1480991719,1322,1322
1480993707,1322,1322
1480996523,1328,1328
1480998648,1330,1330
1481000913,1329,1329
