DateTime,Entries,UniqueIPs
1479685832,2401,2401
1479689430,2411,2411
1479693030,2413,2413
1479696630,2414,2414
1479700230,2433,2433
1479703830,2440,2440
1479707430,2450,2450
1479711029,2465,2465
1479714630,2465,2465
1479718230,2474,2474
1479721830,2621,2621
1479725430,2829,2829
1479729030,2915,2915
1479732629,3053,3053
1479736229,3313,3313
1479739830,3551,3551
1479743431,3678,3678
1479747030,3724,3724
1479750630,3730,3730
1479754231,3859,3859
1479757831,4004,4004
1479761431,4160,4160
1479765031,4269,4269
1479768631,4368,4368
1479772231,4432,4432
1479775831,4484,4484
1479779431,4570,4570
1479783031,4655,4655
1479786631,4711,4711
1479790231,4774,4774
1479793831,4845,4845
1479797432,4862,4862
1479801032,4874,4874
1479804633,4885,4885
1479808233,4929,4929
1479811832,5163,5163
1479815433,5345,5345
1479819033,5442,5442
1479822633,5633,5633
1479826234,5772,5772
1479829834,5849,5849
1479833433,5906,5906
1479837034,5975,5975
1479840634,6099,6099
1479844233,6262,6262
1479847834,6417,6417
1479851434,6551,6551
1479855034,6678,6678
1479858634,6780,6780
1479862234,6866,6866
1479865835,6934,6934
1479869435,7024,7024
1479873035,7118,7118
1479876635,7229,7229
1479880235,7319,7319
1479883835,7382,7382
1479887435,7387,7387
1479891035,7384,7384
1479894635,7302,7302
1479898235,7244,7244
1479901835,7305,7305
1479905435,7347,7347
1479909034,7241,7241
1479912634,7154,7154
1479916234,7264,7264
1479919834,7421,7421
1479923434,7584,7584
1479927034,7710,7710
1479930634,7758,7758
1479934234,7789,7789
1479937833,7785,7785
1479941434,7753,7753
1479945034,7816,7816
1479948633,7842,7842
1479952235,7903,7903
1479955836,7978,7978
1479959435,8077,8077
1479963036,8194,8194
1479966635,8291,8291
1479970235,8405,8405
1479973835,8395,8395
1479977436,8394,8394
1479981036,8421,8421
1479984636,8427,8427
1479988236,8544,8544
1479991837,8732,8732
1479995437,8733,8733
1479999037,8711,8711
1480002637,8849,8849
1480006238,8957,8957
1480009838,9026,9026
1480013438,8974,8974
1480017039,8929,8929
1480020639,8924,8924
1480024239,8918,8918
1480027839,8919,8919
1480031439,8897,8897
1480035039,8907,8907
1480038641,8923,8923
1480042241,8982,8982
1480045841,9035,9035
1480049441,9144,9144
1480053042,9327,9327
1480056641,9561,9561
1480060242,9787,9787
1480063842,9886,9886
1480067442,9834,9834
1480071042,9739,9739
1480074642,9711,9711
1480078242,9684,9684
1480081842,9684,9684
1480085442,9693,9693
1480089042,9668,9668
1480092642,9607,9607
1480096242,9639,9639
1480099843,9548,9548
1480103443,9472,9472
1480107043,9419,9419
1480110643,9362,9362
1480114243,9343,9343
1480117846,9245,9245
1480121443,9190,9190
1480125043,9115,9115
1480128643,9026,9026
1480132243,8910,8910
1480135843,8707,8707
1480139443,8554,8554
1480143044,8412,8412
1480146644,8409,8409
1480150244,8435,8435
1480153844,8399,8399
1480157444,8267,8267
1480161044,8029,8029
1480164644,7786,7786
1480168244,7592,7592
1480171844,7476,7476
1480175444,7265,7265
1480179044,7098,7098
1480182644,6970,6970
1480186245,6897,6897
1480189844,6803,6803
1480193445,6674,6674
1480197045,6551,6551
1480200646,6423,6423
1480204247,6342,6342
1480207846,6242,6242
1480211446,6144,6144
1480215046,6030,6030
1480218646,5854,5854
1480222246,5652,5652
1480225846,5370,5370
1480229446,5054,5054
1480233046,4806,4806
1480236646,4686,4686
1480240246,4675,4675
1480243846,4615,4615
1480247446,4495,4495
1480251046,4364,4364
1480254647,4199,4199
1480258246,4060,4060
1480261846,3910,3910
1480265446,3719,3719
1480269046,3544,3544
1480272646,3377,3377
1480276246,3236,3236
1480279846,3088,3088
1480283446,3016,3016
1480287046,2959,2959
1480290647,2907,2907
1480294246,2862,2862
1480297847,2787,2787
1480301447,2708,2708
1480305047,2665,2665
1480308647,2668,2668
1480312247,2669,2669
1480315847,2674,2674
1480319450,2656,2656
1480323049,2631,2631
1480326649,2608,2608
1480330249,2600,2600
1480333849,2695,2695
1480337449,2823,2823
1480341049,2901,2901
1480344650,2947,2947
1480348250,3090,3090
1480351850,3200,3200
1480355450,3259,3259
1480359051,3306,3306
1480362651,3353,3353
1480366250,3394,3394
1480369850,3439,3439
1480373450,3548,3548
1480377051,3641,3641
1480380651,3744,3744
1480384251,3859,3859
1480387851,3988,3988
1480391451,4108,4108
1480395051,4285,4285
1480398651,4415,4415
1480402251,4452,4452
1480405852,4458,4458
1480409453,4483,4483
1480413052,4542,4542
1480416651,4584,4584
1480420252,4685,4685
1480423853,4827,4827
1480427453,4915,4915
1480431053,5054,5054
1480434653,5213,5213
1480438252,5307,5307
1480441852,5379,5379
1480445453,5418,5418
1480449052,5459,5459
1480452652,5457,5457
1480456253,5477,5477
1480459853,5535,5535
1480463457,5596,5596
1480467053,5640,5640
1480470653,5725,5725
1480474253,5814,5814
1480477853,5872,5872
1480481453,5940,5940
1480485054,5984,5984
1480488653,6037,6037
1480492254,6064,6064
1480495854,6052,6052
1480499454,6106,6106
1480503054,6164,6164
1480506654,6139,6139
1480510254,6079,6079
1480513854,6117,6117
1480517454,6150,6150
1480521054,6040,6040
1480524654,5909,5909
1480528254,5879,5879
1480531854,5830,5830
1480535454,5789,5789
1480539054,5852,5852
1480542654,5894,5894
1480546254,5876,5876
1480549854,5855,5855
1480553454,5803,5803
1480557055,5778,5778
1480560654,5718,5718
1480564254,5675,5675
1480567854,5630,5630
1480571454,5598,5598
1480575054,5662,5662
1480578654,5678,5678
1480582254,5682,5682
1480585854,5688,5688
1480589453,5681,5681
1480593053,5600,5600
1480596653,5492,5492
1480600253,5441,5441
1480603853,5335,5335
1480607453,5174,5174
1480611052,5073,5073
1480614652,5036,5036
1480618252,5024,5024
1480621852,5066,5066
1480625452,5196,5196
1480629052,5271,5271
1480632652,5388,5388
1480636252,5461,5461
1480639852,5569,5569
1480643452,5637,5637
1480647052,5693,5693
1480650651,5746,5746
1480654252,5752,5752
1480657851,5798,5798
1480661452,5904,5904
1480665051,5920,5920
1480668651,5927,5927
1480672251,5845,5845
1480675851,5747,5747
1480679451,5668,5668
1480683051,5657,5657
1480686651,5681,5681
1480690251,5715,5715
1480693850,5771,5771
1480697450,5768,5768
1480701050,5752,5752
1480704649,5730,5730
1480708249,5711,5711
1480711849,5621,5621
1480715449,5541,5541
1480719049,5476,5476
1480722652,5517,5517
1480726250,5601,5601
1480729850,5663,5663
1480733451,5717,5717
1480737051,5733,5733
1480740652,5719,5719
1480744252,5735,5735
1480747852,5711,5711
1480751452,5785,5785
1480755052,5861,5861
1480758652,5886,5886
1480762252,5961,5961
1480765852,6001,6001
1480769452,6021,6021
1480773051,6030,6030
1480776652,6039,6039
