DateTime,Entries,UniqueIPs
1480951815,31921,31921
1480952714,33424,33424
1480953619,35641,35641
1480954517,38520,38520
1480955419,39248,39248
1480956316,39510,39510
1480957218,39610,39610
1480958118,39596,39596
1480959016,39556,39556
1480959918,39532,39532
1480960816,39581,39581
1480961718,39560,39560
1480962615,39538,39538
1480963516,39513,39513
1480964416,39550,39550
1480965314,39561,39561
1480966216,39571,39571
1480967117,39581,39581
1480968014,39593,39593
1480968911,39595,39595
1480969818,39624,39624
1480970717,39711,39711
1480971616,39732,39732
1480973418,39787,39787
1480975218,39908,39908
1480976116,39988,39988
1480977919,39990,39990
1480978815,39994,39994
1480979716,39997,39997
1480981516,37405,37405
1480982418,35616,35616
1480984217,33239,33239
1480985119,33163,33163
1480986018,33540,33540
1480986918,34149,34149
1480987820,34482,34482
1480988720,34550,34550
1480990516,33953,33953
1480991418,33609,33609
1480992321,33593,33593
1480993221,33824,33824
1480994149,34161,34161
1480995036,34645,34645
1480995970,34922,34922
1480996817,36604,36604
1480997720,38368,38368
1480998625,39426,39426
1480999525,39819,39819
1481000428,39793,39793
1481001323,39808,39808
1481002219,39863,39863
1481003128,39869,39869
1481004029,39870,39870
1481004923,39873,39873
1481005826,39879,39879
1481006727,39850,39850
1481007628,39849,39849
1481008521,39857,39857
1481010319,39928,39928
1481012124,39958,39958
1481013024,39968,39968
1481014816,39989,39989
1481015718,39988,39988
1481016617,39986,39986
1481017522,39987,39987
1481018420,39986,39986
1481019320,39984,39984
1481020222,39985,39985
1481022020,39985,39985
1481023824,39985,39985
1481024725,39987,39987
1481026523,39991,39991
1481027421,39990,39990
1481028321,39992,39992
1481030116,39991,39991
1481031023,39991,39991
1481031922,39986,39986
1481033721,39984,39984
1481034619,39982,39982
1481036418,39979,39979
1481038216,39980,39980
1481039120,39981,39981
1481040016,39983,39983
1481041815,39980,39980
1481042711,39984,39984
1481043613,39983,39983
1481044512,39984,39984
1481045411,39983,39983
1481046310,39982,39982
1481048110,39981,39981
1481049010,39983,39983
1481049909,39984,39984
1481050810,39986,39986
1481052607,39995,39995
1481053508,39998,39998
1481054411,39669,39669
1481056210,39327,39327
1481057111,39298,39298
1481058009,39288,39288
1481058908,39281,39281
1481059809,39542,39542
1481061611,39806,39806
1481062511,39929,39929
1481063409,39943,39943
1481065209,39878,39878
1481066111,39578,39578
1481067012,39256,39256
1481068814,38062,38062
1481069712,37243,37243
1481071511,35188,35188
1481072413,34862,34862
1481073314,34967,34967
1481074216,35283,35283
1481075113,35290,35290
1481076915,35169,35169
1481078716,34565,34565
1481079619,34429,34429
1481080560,34678,34678
1481081449,34966,34966
1481083262,35597,35597
1481085018,36505,36505
1481085922,36852,36852
1481087723,37530,37530
1481088623,37880,37880
1481089523,38262,38262
1481091329,38478,38478
1481092228,38356,38356
1481094031,38180,38180
1481095827,37801,37801
