DateTime,Entries,UniqueIPs
1479634322,180,180
1479637922,176,176
1479641522,174,174
1479645122,170,170
1479648721,166,166
1479652322,169,169
1479655922,167,167
1479659522,160,160
1479663123,157,157
1479666721,155,155
1479670322,155,155
1479673921,154,154
1479677521,150,150
1479681121,148,148
1479684722,142,142
1479688321,142,142
1479691927,143,143
1479695522,152,152
1479699122,149,149
1479702722,152,152
1479706322,153,153
1479709922,151,151
1479713521,147,147
1479717121,144,144
1479720722,143,143
1479724321,142,142
1479727921,143,143
1479731521,143,143
1479735122,147,147
1479738721,137,137
1479742321,136,136
1479746222,132,132
1479749821,133,133
1479753421,133,133
1479757021,134,134
1479760621,136,136
1479764222,137,137
1479767822,140,140
1479772022,142,142
1479775621,141,141
1479779221,139,139
1479782822,130,130
1479786721,128,128
1479790321,126,126
1479793921,131,131
1479797522,133,133
1479801122,138,138
1479804722,141,141
1479808321,143,143
1479811922,143,143
1479815522,151,151
1479819121,170,170
1479822722,187,187
1479826621,205,205
1479830222,218,218
1479833822,226,226
1479837421,232,232
1479841322,242,242
1479845221,247,247
1479848822,252,252
1479852721,253,253
1479856322,257,257
1479859921,266,266
1479863522,273,273
1479867121,275,275
1479870721,275,275
1479874322,286,286
1479877922,283,283
1479881521,275,275
1479885122,270,270
1479888721,272,272
1479892622,278,278
1479896221,286,286
1479899822,284,284
1479903422,268,268
1479907021,258,258
1479910621,246,246
1479914522,247,247
1479918122,247,247
1479921722,246,246
1479925322,244,244
1479928922,241,241
1479932822,242,242
1479936422,238,238
1479940022,245,245
1479943622,258,258
1479947521,260,260
1479951127,259,259
1479954722,261,261
1479958621,264,264
1479962522,263,263
1479966122,260,260
1479969722,266,266
1479973322,268,268
1479976921,265,265
1479980522,262,262
1479984122,263,263
1479987722,264,264
1479991321,268,268
1479994921,267,267
1479998521,263,263
1480002122,271,271
1480006022,274,274
1480009622,272,272
1480013222,275,275
1480016822,278,278
1480020421,284,284
1480024022,283,283
1480027622,278,278
1480031222,275,275
1480034822,283,283
1480038422,282,282
