DateTime,Entries,UniqueIPs
1479686163,299,299
1479689763,300,300
1479693362,299,299
1479696963,297,297
1479700562,298,298
1479704162,298,298
1479707763,298,298
1479711362,300,300
1479714962,296,296
1479718563,297,297
1479722163,298,298
1479725763,300,300
1479729362,299,299
1479732963,299,299
1479736562,298,298
1479740162,299,299
1479743763,297,297
1479747362,298,298
1479750962,300,300
1479754563,300,300
1479758162,300,300
1479761762,298,298
1479765363,299,299
1479768962,300,300
1479772562,300,300
1479776162,300,300
1479779762,300,300
1479783362,300,300
1479786962,299,299
1479790562,299,299
1479794162,299,299
1479797762,299,299
1479801363,299,299
1479804962,299,299
1479808563,300,300
1479812162,298,298
1479815762,297,297
1479819363,299,299
1479822962,300,300
1479826563,300,300
1479830163,300,300
1479833763,300,300
1479837362,300,300
1479840962,299,299
1479844562,299,299
1479848162,300,300
1479851763,299,299
1479855362,299,299
1479858962,299,299
1479862562,299,299
1479866162,300,300
1479869762,298,298
1479873362,297,297
1479876962,299,299
1479880562,299,299
1479884162,298,298
1479887762,300,300
1479891363,300,300
1479894962,300,300
1479898563,300,300
1479902162,299,299
1479905762,300,300
1479909363,300,300
1479912962,299,299
1479916563,300,300
1479920162,300,300
1479923762,299,299
1479927362,298,298
1479930963,297,297
1479934562,299,299
1479938162,300,300
1479941763,300,300
1479945362,300,300
1479948963,300,300
1479952563,300,300
1479956163,299,299
1479959763,299,299
1479963362,299,299
1479966962,298,298
1479970563,297,297
1479974163,297,297
1479977762,299,299
1479981362,299,299
1479984962,298,298
1479988563,299,299
1479992162,299,299
1479995762,299,299
1479999363,300,300
1480002962,300,300
1480006563,299,299
1480010163,300,300
1480013762,299,299
1480017362,299,299
1480020963,300,300
1480024562,300,300
1480028163,300,300
1480031762,300,300
1480035362,299,299
1480038962,299,299
1480042562,299,299
1480046162,299,299
1480049763,300,300
1480053362,297,297
1480056963,298,298
1480060562,299,299
1480064163,298,298
1480067762,300,300
1480071363,300,300
1480078562,300,300
1480082162,300,300
1480085762,300,300
1480089362,300,300
1480092963,300,300
1480096562,300,300
1480100163,300,300
1480103762,300,300
1480107362,300,300
1480110962,299,299
1480114562,300,300
1480118163,300,300
1480121762,300,300
1480125362,299,299
1480128962,298,298
1480132562,298,298
1480136163,298,298
1480139762,299,299
1480143362,300,300
1480146963,300,300
1480150562,299,299
1480154163,299,299
1480157762,299,299
1480161362,298,298
1480164963,299,299
1480168562,299,299
1480172162,299,299
1480175762,300,300
1480179362,300,300
1480182963,300,300
1480186562,300,300
1480190163,300,300
1480193763,298,298
1480197362,299,299
1480200963,300,300
1480204562,300,300
1480208162,300,300
1480211762,300,300
1480215363,300,300
1480218962,298,298
1480222564,297,297
1480226163,296,296
1480229763,296,296
1480233363,299,299
1480236962,300,300
1480240563,300,300
1480244162,300,300
1480247763,300,300
1480251362,300,300
1480254962,300,300
1480258562,300,300
1480262162,300,300
1480265762,300,300
1480269362,300,300
1480272962,300,300
1480276562,300,300
1480280162,300,300
1480283762,300,300
1480287363,300,300
1480290963,300,300
1480294563,299,299
1480298164,297,297
1480301762,297,297
1480305362,297,297
1480308962,298,298
1480312562,296,296
1480316162,294,294
1480319762,297,297
1480323362,297,297
1480326962,300,300
1480330562,300,300
1480334163,300,300
1480337762,299,299
1480341362,300,300
1480344962,298,298
1480348562,299,299
1480352162,300,300
1480355762,300,300
1480359362,300,300
1480362962,300,300
1480366562,300,300
1480370163,300,300
1480373762,300,300
1480377362,300,300
1480380962,300,300
1480384562,300,300
