DateTime,Entries,UniqueIPs
1478229066,2427,2498
1478236264,2428,2499
1478241663,2437,2506
1478248269,2439,2508
1478254262,2439,2508
1478260863,2445,2513
1478266863,2447,2515
1478274062,2443,2512
1478278863,2442,2511
1478283665,2442,2510
1478289065,2442,2511
1478294468,2444,2513
1478299864,2443,2512
1478305865,2448,2517
1478310664,2448,2517
1478316671,2452,2521
1478322667,2456,2524
1478330471,2454,2522
1478335870,2455,2525
1478343072,2452,2522
1478349064,2453,2523
1478355075,2455,2525
1478362269,2457,2527
1478366469,2457,2527
1478371870,2462,2532
1478377880,2458,2528
1478383867,2460,2529
1478389268,2454,2523
1478394070,2457,2526
1478400068,2457,2526
1478407269,2456,2525
1478412668,2451,2520
1478417463,2452,2520
1478422866,2449,2517
1478427665,2454,2522
1478433667,2452,2520
1478439065,2455,2524
1478444465,2456,2525
1478449261,2453,2522
1478455268,2455,2524
1478460065,2459,2528
1478465466,2463,2532
1478471465,2459,2528
1478476267,2454,2523
1478482267,2459,2528
1478487671,2453,2522
1478493071,2454,2523
1478499070,2453,2522
1478505672,2453,2522
1478511668,2455,2524
1478517071,2455,2523
1478521869,2455,2523
1478527866,2459,2528
1478535066,2457,2526
1478542267,2454,2523
1478547068,2454,2522
1478552471,2447,2515
1478557271,2444,2512
1478562669,2448,2516
1478568668,2454,2522
1478574068,2455,2523
1478580069,2455,2523
1478587868,2454,2522
1478595068,2453,2521
1478601066,2459,2528
1478607064,2461,2530
1478614866,2459,2528
1478621469,2459,2528
1478628669,2458,2527
1478632865,2453,2522
1478638268,2455,2527
1478643666,2448,2520
1478649066,2449,2518
1478656269,2450,2519
1478663468,2453,2523
1478671267,2445,2515
1478677874,2449,2519
1478685071,2448,2518
1478691671,2455,2525
1478698867,2455,2525
1478705468,2457,2527
1478710866,2460,2530
1478716265,2461,2531
1478721065,2460,2529
1478726465,2459,2528
1478731871,2461,2530
1478738463,2462,2531
1478744469,2456,2525
1478751074,2458,2527
1478758270,2455,2526
1478763673,2460,2532
1478767872,2462,2534
1478774482,2461,2533
1478780471,2456,2528
1478787669,2454,2526
1478793663,2452,2523
1478798464,2456,2527
1478804467,2457,2528
1478814666,2457,2529
1478820068,2459,2531
1478826068,2458,2529
1478832070,2457,2528
1478839270,2458,2529
1478845869,2454,2525
1478853068,2456,2526
1478859666,2457,2527
1478865665,2456,2526
1478871664,2457,2528
1478878264,2453,2524
1478883663,2453,2524
1478888463,2450,2521
1478894467,2453,2523
1478899867,2456,2526
1478905868,2456,2526
1478911272,2456,2526
1478919671,2453,2522
1478927469,2452,2521
1478934067,2451,2520
1478940063,2449,2518
1478946665,2448,2517
1478952660,2447,2514
1478959260,2452,2518
1478964065,2452,2519
1478970065,2448,2515
1478974865,2453,2521
1478980869,2451,2520
1478985669,2458,2527
1478991669,2455,2524
1478997072,2458,2527
1479003072,2462,2531
1479010269,2467,2537
1479017483,2463,2531
1479022867,2467,2535
1479030666,2463,2531
1479036670,2465,2533
1479042663,2462,2530
1479047465,2464,2533
1479052870,2468,2537
1479057667,2469,2538
1479063675,2468,2537
1479069074,2467,2536
1479075075,2471,2540
1479082281,2469,2539
1479087675,2470,2540
1479095476,2466,2536
1479102673,2467,2537
1479109869,2471,2541
1479117068,2476,2546
1479123669,2475,2545
1479132070,2479,2549
1479138668,2478,2548
1479145264,2474,2546
1479151864,2476,2548
1479157863,2474,2546
1479165066,2472,2543
1479173470,2473,2544
1479180670,2470,2542
1479186670,2473,2545
1479194473,2469,2541
1479201674,2471,2543
1479208277,2472,2544
1479214268,2472,2544
1479220866,2468,2540
1479228067,2466,2538
1479232871,2468,2540
1479238875,2471,2543
1479244277,2470,2542
1479251474,2471,2543
1479259284,2469,2540
1479266475,2472,2543
1479273675,2473,2544
1479280869,2474,2545
1479288677,2465,2536
1479295873,2467,2538
1479302471,2469,2540
1479309673,2468,2539
1479316275,2459,2531
1479323481,2458,2530
1479331279,2459,2531
1479339079,2461,2533
1479346278,2456,2528
1479352871,2457,2528
1479359480,2463,2534
1479367275,2467,2538
1479374476,2468,2539
1479381682,2469,2540
1479388280,2475,2546
1479396078,2483,2554
1479403280,2487,2558
1479410476,2489,2560
1479418875,2483,2554
1479426080,2487,2558
1479433878,2483,2554
1479441678,2489,2560
1479449480,2493,2564
1479457876,2493,2564
1479464470,2493,2564
1479472273,2493,2564
1479478879,2487,2559
1479486680,2483,2554
1479493282,2483,2554
1479501080,2486,2557
1479507079,2487,2558
1479514272,2492,2563
1479519676,2492,2563
1479527474,2487,2555
1479534673,2492,2560
1479541874,2491,2559
1479548472,2496,2564
1479555675,2499,2567
1479562872,2501,2569
1479570076,2495,2563
1479577276,2499,2567
1479582674,2492,2559
1479589873,2491,2558
1479594681,2494,2561
1479600073,2490,2557
1479606073,2487,2554
1479613272,2492,2559
1479618673,2492,2559
1479625274,2492,2559
1479631269,2492,2558
1479636670,2489,2555
1479641474,2493,2559
1479647470,2496,2562
1479652869,2491,2557
1479659474,2492,2558
1479664878,2499,2565
1479670872,2500,2567
1479677476,2498,2565
1479682871,2493,2559
1479688868,2497,2563
1479694876,2495,2561
1479702675,2493,2559
1479708672,2491,2557
1479715868,2492,2558
1479723076,2490,2554
1479730877,2488,2552
1479738079,2490,2555
1479744674,2488,2553
1479757273,2480,2545
1479762072,2478,2544
1479767478,2477,2543
1479772878,2480,2546
1479778276,2482,2549
1479784874,2485,2552
1479792072,2487,2555
1479799275,2492,2560
1479805868,2488,2556
1479813076,2481,2549
1479820272,2486,2554
1479827475,2488,2556
1479835275,2488,2555
1479841277,2491,2559
1479846678,2492,2560
1479853274,2495,2563
1479859873,2505,2573
1479866471,2507,2575
1479872466,2503,2570
1479879668,2506,2573
1479886869,2506,2573
1479893467,2506,2573
1479899471,2503,2570
1479904273,2501,2568
1479910271,2502,2569
1479915068,2504,2571
1479921072,2508,2575
1479928271,2509,2576
1479935471,2511,2578
1479940270,2512,2579
1479946269,2516,2582
1479952868,2511,2577
1479958873,2514,2577
1479966074,2514,2576
1479973877,2508,2569
1479981672,2510,2571
1479987674,2511,2572
1479995474,2506,2567
1480001476,2508,2569
1480007475,2509,2570
1480012875,2513,2573
1480018276,2515,2575
1480025482,2516,2576
1480033287,2517,2575
1480040483,2515,2574
1480047681,2515,2574
1480055477,2509,2567
1480062678,2514,2572
1480069277,2516,2574
1480084278,2512,2569
1480090880,2516,2573
1480097478,2516,2573
1480101682,2519,2576
1480108283,2518,2575
1480114881,2521,2578
1480120882,2525,2582
1480128681,2522,2578
1480136475,2525,2581
1480144277,2525,2581
1480150274,2527,2583
1480157485,2529,2585
1480164676,2528,2583
1480171874,2526,2581
1480177882,2527,2582
1480183277,2525,2580
1480189282,2523,2578
1480194686,2524,2580
1480201884,2524,2580
1480208478,2525,2581
1480215078,2524,2578
1480222275,2526,2580
1480230080,2529,2582
1480236675,2528,2581
1480243281,2531,2584
1480251083,2528,2581
1480257679,2530,2583
1480264874,2534,2587
1480272072,2536,2589
1480279879,2533,2586
1480287084,2535,2588
1480295479,2532,2583
1480303880,2534,2585
1480311079,2538,2589
1480318277,2537,2588
1480325483,2539,2590
1480332080,2540,2591
1480339278,2545,2596
1480346478,2538,2589
1480353077,2536,2587
1480360272,2543,2594
1480367478,2540,2591
1480375279,2534,2585
1480381881,2544,2595
1480390278,2544,2595
1480397484,2546,2597
1480404685,2549,2600
1480411881,2547,2598
1480418483,2548,2599
1480426284,2544,2594
1480433473,2542,2592
1480440073,2546,2596
1480446077,2547,2597
1480451479,2553,2602
1480462879,2554,2603
1480470679,2552,2601
1480477875,2557,2605
1480492880,2557,2604
1480500073,2556,2603
1480507281,2556,2603
1480513876,2552,2598
1480521073,2552,2598
1480527676,2549,2595
1480534877,2549,2594
1480541478,2548,2593
1480547481,2554,2599
1480554680,2551,2596
1480560081,2548,2593
1480567878,2546,2591
1480575676,2549,2594
1480582876,2546,2591
1480587675,2544,2589
1480594879,2544,2589
1480601471,2544,2589
1480608670,2547,2592
1480613474,2551,2596
1480618873,2551,2596
1480624871,2558,2603
1480630275,2550,2595
1480635671,2552,2597
1480642875,2558,2603
1480650676,2558,2604
1480657874,2557,2603
1480664472,2554,2600
1480672278,2551,2597
1480679473,2550,2596
1480686674,2551,2596
1480693867,2552,2597
1480700473,2553,2598
1480705874,2553,2597
1480710676,2559,2603
1480716678,2562,2606
1480724479,2561,2605
1480732875,2557,2601
1480741278,2559,2603
1480748477,2558,2602
1480755678,2564,2608
1480762274,2560,2604
1480768272,2558,2601
1480774275,2557,2600
1480780876,2556,2599
1480786875,2559,2602
1480792873,2558,2601
1480799478,2555,2598
1480806671,2552,2594
1480813872,2548,2590
1480821671,2543,2585
1480828871,2546,2588
1480836074,2544,2586
1480842674,2544,2587
1480850476,2535,2578
1480857675,2539,2582
1480864274,2536,2579
1480870272,2542,2584
1480877472,2541,2583
1480884072,2541,2583
1480890676,2540,2582
1480896072,2541,2583
1480902073,2543,2585
1480908073,2540,2582
1480915269,2539,2581
1480922474,2543,2584
1480936269,2538,2579
1480942873,2536,2577
1480949471,2540,2581
1480962678,2538,2578
1480968077,2537,2577
1480973480,2536,2576
1480978878,2539,2579
1480984873,2538,2578
1480990276,2540,2580
1480998071,2544,2583
1481005871,2545,2584
1481012472,2541,2580
1481019072,2539,2578
1481026876,2537,2576
1481034073,2539,2578
1481040668,2538,2577
1481047276,2533,2572
1481052673,2533,2572
1481058070,2533,2572
1481064073,2534,2573
1481071269,2540,2580
1481078468,2537,2577
1481086271,2535,2575
1481093462,2536,2576
1481099470,2541,2582
1481104873,2543,2584
1481110277,2542,2583
1481116273,2537,2578
1481121070,2537,2578
1481126474,2541,2583
1481131869,2547,2589
1481137270,2553,2595
1481142672,2550,2592
1481148071,2552,2594
1481154073,2555,2597
1481160671,2558,2600
1481167271,2555,2597
1481173870,2558,2600
1481179866,2560,2602
1481187064,2563,2605
1481193672,2563,2605
1481200865,2556,2600
1481207473,2561,2606
1481213469,2558,2603
1481218275,2560,2604
1481223073,2569,2613
1481228472,2572,2616
1481233874,2572,2616
1481239875,2571,2615
1481245272,2574,2618
1481251272,2576,2620
1481259069,2572,2616
1481265669,2573,2617
1481273467,2573,2617
1481279464,2569,2613
1481285469,2567,2612
1481292065,2568,2613
1481297462,2570,2615
1481302865,2567,2613
1481308268,2565,2611
1481313071,2571,2617
1481319070,2568,2614
1481323870,2558,2604
1481329873,2559,2605
1481335270,2556,2602
1481341271,2553,2599
1481348469,2557,2602
1481354466,2557,2602
1481361669,2557,2601
1481367669,2551,2594
1481373071,2552,2595
1481378466,2558,2601
1481383263,2565,2608
1481389263,2565,2608
1481394666,2568,2611
1481400068,2570,2612
1481404876,2572,2614
1481410273,2571,2612
1481416270,2567,2608
1481421673,2565,2606
1481427675,2565,2607
1481436678,2559,2601
1481445671,2564,2606
1481452273,2565,2607
1481458266,2569,2611
1481463663,2563,2605
1481470270,2567,2609
1481475069,2565,2607
1481480463,2571,2613
