DateTime,AddedIPs,RemovedIPs
1480992099,2,0
1480992831,1,2
1480994121,1,2
1480995159,1,0
1480996089,0,1
1480997100,1,0
1480997816,1,2
1480998541,1,0
1480999499,0,2
1481001226,2,1
1481002007,3,1
1481002551,2,1
1481003586,1,2
1481004770,1,0
1481006697,0,1
1481007482,2,0
1481009927,0,2
1481025972,32,6
1481036258,38,1
1481043265,2,2
1481050986,3,2
1481057162,3,1
1481068654,1,3
1481078092,14,18
1481084125,5,6
1481085767,0,1
1481180446,148,65
1481180894,10,0
1481181617,10,0
1481182572,0,2
1481183056,2,1
1481185692,0,2
1481186178,2,0
1481186651,0,1
1481187133,3,1
1481187858,2,1
1481188335,0,1
1481188826,1,0
1481189296,0,1
1481189794,2,1
1481190252,1,2
1481190735,2,0
1481192892,0,1
1481193373,1,1
1481193855,1,2
1481194336,3,3
1481195055,3,2
1481195780,3,3
1481196255,1,0
1481196733,0,1
1481197216,1,0
1481197697,0,2
1481198174,1,0
1481198655,2,2
1481199135,12,1
1481199630,2,4
1481200095,2,1
1481200572,1,1
1481201077,1,0
1481201535,0,3
1481202495,2,0
1481202973,0,1
1481203459,1,1
1481203936,1,0
1481204418,0,1
1481204894,1,0
1481205853,0,1
1481206333,1,1
1481207060,1,1
1481207532,1,2
1481208012,2,1
1481208492,1,0
1481208977,0,1
1481209455,1,0
1481209934,1,0
1481210417,1,1
1481210894,0,1
1481211376,2,1
1481211856,3,2
1481212346,1,0
1481213297,1,0
1481213779,0,2
1481214253,3,1
1481215216,1,0
1481216174,12,0
1481216659,16,1
1481217143,4,2
1481217618,1,1
1481218101,0,2
1481218575,1,1
1481219054,1,0
1481220253,0,1
1481220979,1,1
1481221933,0,1
1481222415,1,2
1481223856,1,1
1481224335,0,1
1481224815,1,0
1481227238,0,1
1481227702,1,0
1481228896,1,1
1481229371,3,3
1481229855,3,3
1481230336,1,1
1481231055,2,2
1481231538,1,1
1481232018,1,1
1481232492,1,2
1481232986,4,3
1481233453,1,1
1481233935,2,1
1481234660,0,1
1481235137,3,1
1481238055,1,0
1481239693,0,1
1481240172,1,0
1481241853,0,2
1481242575,1,0
1481244977,0,1
1481245456,2,1
1481245937,2,1
1481246897,9,12
1481247377,1,1
1481247851,1,0
1481248336,0,2
1481249299,8,11
1481249785,2,0
1481250266,8,8
1481250737,2,2
1481251704,2,1
1481252177,3,2
1481252658,1,3
1481253131,2,1
1481253625,0,1
1481254094,1,0
1481254579,0,1
1481255052,1,0
1481255557,1,0
1481256497,0,1
1481256977,1,0
1481258413,0,1
1481258892,2,2
1481259380,2,0
1481260815,0,1
1481261296,1,0
1481261776,0,1
1481262252,1,1
1481262735,1,0
1481263456,0,2
1481263932,2,1
1481264892,0,1
1481265373,2,1
1481265852,1,0
1481267299,1,0
1481268021,7,0
1481268493,10,0
1481268972,4,1
1481269454,1,1
1481269950,2,2
1481270428,1,1
1481270899,2,2
1481271380,1,1
1481271860,1,0
1481272812,0,1
1481273295,1,0
1481273779,0,1
1481274253,1,0
1481274740,0,2
1481275222,3,1
1481275700,1,1
1481276172,0,1
1481276655,1,0
1481277655,0,1
1481278095,1,0
1481278579,0,1
1481279064,1,1
1481279534,1,1
1481280014,1,1
1481281934,0,2
1481282419,2,0
1481283373,1,2
1481283853,3,0
1481284348,2,1
1481285300,0,1
1481285773,1,1
1481286257,2,2
1481286740,3,3
1481287217,2,1
1481287692,2,0
1481289372,0,1
1481289853,1,1
1481290337,1,1
1481290826,1,0
1481291292,0,1
1481291774,1,0
1481292256,0,1
1481292736,1,0
1481294174,0,1
1481294902,3,2
1481295375,1,0
1481295855,0,1
1481296336,1,1
1481296829,1,0
1481297297,0,1
1481297772,1,0
1481298754,0,1
1481299697,3,4
1481300172,1,1
1481300671,1,1
1481301137,1,1
1481301613,0,1
1481302097,2,4
1481302583,2,1
1481303053,6,0
1481303538,3,0
1481304016,1,2
1481304501,1,1
1481304978,3,3
1481305459,2,2
1481305935,2,1
1481306899,0,2
1481307380,2,4
1481307856,1,1
1481308342,1,1
1481308813,1,1
1481309297,1,0
1481310264,1,0
1481311693,0,1
1481312178,1,2
1481312655,1,0
1481313624,0,1
1481314105,1,0
1481314576,0,1
1481316018,0,1
1481316501,1,0
1481316975,0,3
1481317455,3,1
1481317948,1,0
1481318415,1,2
1481318898,3,3
1481319375,1,0
1481319874,0,1
1481320332,0,2
1481320845,3,1
1481321296,0,1
1481322032,1,2
1481322493,3,1
1481322972,0,1
1481323452,1,1
1481323940,2,2
1481324436,1,0
1481331133,0,1
1481331668,1,1
1481332101,1,1
1481332819,1,2
1481333297,2,0
1481333773,0,1
1481334257,0,2
1481334737,2,1
1481335701,13,11
1481336178,1,0
1481336657,0,2
1481337135,11,10
1481337618,1,2
1481338095,9,11
1481338577,2,1
1481339056,1,0
1481340018,0,2
1481340497,2,0
1481340974,0,1
1481341457,1,0
1481342653,0,2
1481343135,1,1
1481343619,1,0
1481344097,0,2
1481344574,1,1
1481345055,1,0
1481345539,0,1
1481346497,1,2
1481346982,2,0
1481348418,0,2
1481348902,3,1
1481349379,0,2
1481349853,2,0
1481350338,0,1
1481350812,2,2
1481351301,1,0
1481351772,0,1
1481352259,1,2
