DateTime,Entries,UniqueIPs
1480958417,4788,4788
1480958899,4787,4787
1480959390,4788,4788
1480962253,4789,4789
1480965133,4789,4789
1480966595,4788,4788
1480967055,4789,4789
1480969540,4788,4788
1480970059,4789,4789
1480971186,4788,4788
1480972296,4785,4785
1480973642,4784,4784
1480975098,4785,4785
1480984132,4784,4784
1480985034,4785,4785
1480986771,4783,4783
1480988325,4781,4781
1480989176,4781,4781
1480991328,4781,4781
1480992099,4783,4783
1480992831,4782,4782
1480994121,4781,4781
1480995159,4782,4782
1480996089,4781,4781
1480997100,4782,4782
1480997816,4781,4781
1480998541,4782,4782
1480999499,4780,4780
1481001226,4781,4781
1481002007,4783,4783
1481002551,4784,4784
1481003586,4783,4783
1481004770,4784,4784
1481006697,4783,4783
1481007482,4785,4785
1481009927,4783,4783
1481025972,4809,4809
1481036258,4846,4846
1481043265,4846,4846
1481050986,4847,4847
1481057162,4849,4849
1481068654,4847,4847
1481078092,4843,4843
1481084125,4842,4842
1481085767,4841,4841
1481180446,4924,4924
1481180894,4934,4934
1481181617,4944,4944
1481182572,4942,4942
1481183056,4943,4943
1481185692,4941,4941
1481186178,4943,4943
1481186651,4942,4942
1481187133,4944,4944
1481187858,4945,4945
1481188335,4944,4944
1481188826,4945,4945
1481189296,4944,4944
1481189794,4945,4945
1481190252,4944,4944
1481190735,4946,4946
1481192892,4945,4945
1481193373,4945,4945
1481193855,4944,4944
1481194336,4944,4944
1481195055,4945,4945
1481195780,4945,4945
1481196255,4946,4946
1481196733,4945,4945
1481197216,4946,4946
1481197697,4944,4944
1481198174,4945,4945
1481198655,4945,4945
1481199135,4956,4956
1481199630,4954,4954
1481200095,4955,4955
1481200572,4955,4955
1481201077,4956,4956
1481201535,4953,4953
1481202495,4955,4955
1481202973,4954,4954
1481203459,4954,4954
1481203936,4955,4955
1481204418,4954,4954
1481204894,4955,4955
1481205853,4954,4954
1481206333,4954,4954
1481207060,4954,4954
1481207532,4953,4953
1481208012,4954,4954
1481208492,4955,4955
1481208977,4954,4954
1481209455,4955,4955
1481209934,4956,4956
1481210417,4956,4956
1481210894,4955,4955
1481211376,4956,4956
1481211856,4957,4957
1481212346,4958,4958
1481213297,4959,4959
1481213779,4957,4957
1481214253,4959,4959
1481215216,4960,4960
1481216174,4972,4972
1481216659,4987,4987
1481217143,4989,4989
1481217618,4989,4989
1481218101,4987,4987
1481218575,4987,4987
1481219054,4988,4988
1481220253,4987,4987
1481220979,4987,4987
1481221933,4986,4986
1481222415,4985,4985
1481223856,4985,4985
1481224335,4984,4984
1481224815,4985,4985
1481227238,4984,4984
1481227702,4985,4985
1481228896,4985,4985
1481229371,4985,4985
1481229855,4985,4985
1481230336,4985,4985
1481231055,4985,4985
1481231538,4985,4985
1481232018,4985,4985
1481232492,4984,4984
1481232986,4985,4985
1481233453,4985,4985
1481233935,4986,4986
1481234660,4985,4985
1481235137,4987,4987
1481238055,4988,4988
1481239693,4987,4987
1481240172,4988,4988
1481241853,4986,4986
1481242575,4987,4987
1481244977,4986,4986
1481245456,4987,4987
1481245937,4988,4988
1481246897,4985,4985
1481247377,4985,4985
1481247851,4986,4986
1481248336,4984,4984
1481249299,4981,4981
1481249785,4983,4983
1481250266,4983,4983
1481250737,4983,4983
1481251704,4984,4984
1481252177,4985,4985
1481252658,4983,4983
1481253131,4984,4984
1481253625,4983,4983
1481254094,4984,4984
1481254579,4983,4983
1481255052,4984,4984
1481255557,4985,4985
1481256497,4984,4984
1481256977,4985,4985
1481258413,4984,4984
1481258892,4984,4984
1481259380,4986,4986
1481260815,4985,4985
1481261296,4986,4986
1481261776,4985,4985
1481262252,4985,4985
1481262735,4986,4986
1481263456,4984,4984
1481263932,4985,4985
1481264892,4984,4984
1481265373,4985,4985
1481265852,4986,4986
1481267299,4987,4987
1481268021,4994,4994
1481268493,5004,5004
1481268972,5007,5007
1481269454,5007,5007
1481269950,5007,5007
1481270428,5007,5007
1481270899,5007,5007
1481271380,5007,5007
1481271860,5008,5008
1481272812,5007,5007
1481273295,5008,5008
1481273779,5007,5007
1481274253,5008,5008
1481274740,5006,5006
1481275222,5008,5008
1481275700,5008,5008
1481276172,5007,5007
1481276655,5008,5008
1481277655,5007,5007
1481278095,5008,5008
1481278579,5007,5007
1481279064,5007,5007
1481279534,5007,5007
1481280014,5007,5007
1481281934,5005,5005
1481282419,5007,5007
1481283373,5006,5006
1481283853,5009,5009
1481284348,5010,5010
1481285300,5009,5009
1481285773,5009,5009
1481286257,5009,5009
1481286740,5009,5009
1481287217,5010,5010
1481287692,5012,5012
1481289372,5011,5011
1481289853,5011,5011
1481290337,5011,5011
1481290826,5012,5012
1481291292,5011,5011
1481291774,5012,5012
1481292256,5011,5011
1481292736,5012,5012
1481294174,5011,5011
1481294902,5012,5012
1481295375,5013,5013
1481295855,5012,5012
1481296336,5012,5012
1481296829,5013,5013
1481297297,5012,5012
1481297772,5013,5013
1481298754,5012,5012
1481299697,5011,5011
1481300172,5011,5011
1481300671,5011,5011
1481301137,5011,5011
1481301613,5010,5010
1481302097,5008,5008
1481302583,5009,5009
1481303053,5015,5015
1481303538,5018,5018
1481304016,5017,5017
1481304501,5017,5017
1481304978,5017,5017
1481305459,5017,5017
1481305935,5018,5018
1481306899,5016,5016
1481307380,5014,5014
1481307856,5014,5014
1481308342,5014,5014
1481308813,5014,5014
1481309297,5015,5015
1481310264,5016,5016
1481311693,5015,5015
1481312178,5014,5014
1481312655,5015,5015
1481313624,5014,5014
1481314105,5015,5015
1481314576,5014,5014
1481316018,5013,5013
1481316501,5014,5014
1481316975,5011,5011
1481317455,5013,5013
1481317948,5014,5014
1481318415,5013,5013
1481318898,5013,5013
1481319375,5014,5014
1481319874,5013,5013
1481320332,5011,5011
1481320845,5013,5013
1481321296,5012,5012
1481322032,5011,5011
1481322493,5013,5013
1481322972,5012,5012
1481323452,5012,5012
1481323940,5012,5012
1481324436,5013,5013
1481331133,5012,5012
1481331668,5012,5012
1481332101,5012,5012
1481332819,5011,5011
1481333297,5013,5013
1481333773,5012,5012
1481334257,5010,5010
1481334737,5011,5011
1481335701,5013,5013
1481336178,5014,5014
1481336657,5012,5012
1481337135,5013,5013
1481337618,5012,5012
1481338095,5010,5010
1481338577,5011,5011
1481339056,5012,5012
1481340018,5010,5010
1481340497,5012,5012
1481340974,5011,5011
1481341457,5012,5012
1481342653,5010,5010
1481343135,5010,5010
1481343619,5011,5011
1481344097,5009,5009
1481344574,5009,5009
1481345055,5010,5010
1481345539,5009,5009
1481346497,5008,5008
1481346982,5010,5010
1481348418,5008,5008
1481348902,5010,5010
1481349379,5008,5008
1481349853,5010,5010
1481350338,5009,5009
1481350812,5009,5009
1481351301,5010,5010
1481351772,5009,5009
1481352259,5008,5008
1481352735,5009,5009
1481353696,5008,5008
1481354179,5010,5010
1481358257,5008,5008
1481358739,5009,5009
1481359218,5009,5009
1481359692,5010,5010
1481360176,5010,5010
1481360654,5009,5009
1481361137,5009,5009
1481361618,5010,5010
1481362096,5010,5010
1481363538,5009,5009
1481364497,5009,5009
1481364982,5009,5009
1481365453,5007,5007
1481365940,5007,5007
1481366412,5009,5009
1481366901,5008,5008
1481367372,5008,5008
1481368099,5008,5008
1481368576,5007,5007
1481369053,5008,5008
1481369536,5007,5007
1481370018,5007,5007
1481370492,5008,5008
1481370972,5006,5006
1481371454,5008,5008
1481372433,5009,5009
1481372897,5008,5008
1481373375,5009,5009
1481373852,5008,5008
1481374342,5008,5008
1481375303,5006,5006
1481375781,5006,5006
1481376256,5007,5007
1481377216,5006,5006
1481377694,5006,5006
1481378180,5007,5007
1481378657,5005,5005
1481379138,5006,5006
1481379620,5006,5006
1481381059,5006,5006
1481381534,5007,5007
1481382500,5006,5006
1481382980,5006,5006
1481383461,5007,5007
1481383940,5008,5008
1481384419,5007,5007
1481384893,5008,5008
1481385388,5008,5008
1481385859,5006,5006
1481386340,5006,5006
1481386815,5004,5004
1481387291,5005,5005
1481387778,5005,5005
1481388257,5004,5004
1481388732,5004,5004
1481389227,5005,5005
1481390656,5003,5003
1481391137,5006,5006
1481392097,5007,5007
1481392581,5006,5006
1481393297,5006,5006
1481393781,5006,5006
1481394265,5007,5007
1481394732,5006,5006
1481395695,5007,5007
1481396177,5006,5006
1481396660,5004,5004
1481397136,5004,5004
1481398814,5003,5003
1481399296,5004,5004
1481399775,5003,5003
1481400257,5003,5003
1481400736,5004,5004
1481401214,5002,5002
1481401699,5002,5002
1481402173,5002,5002
1481402652,5003,5003
1481404102,5002,5002
1481404579,5003,5003
1481405546,5001,5001
1481406018,5001,5001
1481406493,5001,5001
1481406978,5002,5002
1481407459,5000,5000
1481407938,5001,5001
1481408419,5001,5001
1481408894,5000,5000
