DateTime,Entries,UniqueIPs
1480639453,1289,1289
1480640898,1285,1285
1480641635,1281,1281
1480642098,1278,1278
1480642596,1268,1268
1480643053,1260,1260
1480643534,1256,1256
1480644261,1256,1256
1480644735,1255,1255
1480645213,1256,1256
1480645695,1254,1254
1480646173,1253,1253
1480647132,1252,1252
1480649294,1250,1250
1480649789,1250,1250
1480650253,1249,1249
1480650735,1248,1248
1480651225,1248,1248
1480651699,1244,1244
1480652416,1243,1243
1480652891,1242,1242
1480653372,1239,1239
1480653859,1239,1239
1480654337,1240,1240
1480655536,1238,1238
1480658658,1237,1237
1480659131,1236,1236
1480659618,1236,1236
1480660092,1237,1237
1480660573,1235,1235
1480661539,1235,1235
1480662035,1234,1234
1480662971,1233,1233
1480663459,1233,1233
1480663947,1232,1232
1480664413,1233,1233
1480664892,1234,1234
1480665374,1233,1233
1480665854,1232,1232
1480668733,1231,1231
1480669245,1230,1230
1480669694,1232,1232
1480671134,1232,1232
1480671614,1230,1230
1480672097,1230,1230
1480672573,1231,1231
1480673300,1230,1230
1480674253,1229,1229
1480674734,1230,1230
1480675214,1230,1230
1480675939,1228,1228
1480676654,1226,1226
1480677132,1225,1225
1480677614,1226,1226
1480678589,1239,1239
1480679053,1267,1267
1480679532,1271,1271
1480680255,1269,1269
1480682651,1270,1270
1480684097,1269,1269
1480684572,1269,1269
1480685053,1270,1270
1480685538,1269,1269
1480686015,1270,1270
1480689613,1271,1271
1480690573,1270,1270
1480691059,1271,1271
1480692020,1272,1272
1480693000,1271,1271
1480693453,1272,1272
1480696815,1271,1271
1480697292,1270,1270
1480698734,1269,1269
1480699231,1269,1269
1480699696,1273,1273
1480700174,1276,1276
1480700652,1278,1278
1480703291,1277,1277
1480704251,1277,1277
1480705699,1276,1276
1480709532,1275,1275
1480710020,1276,1276
1480712454,1275,1275
1480712898,1276,1276
1480716971,1275,1275
1480717461,1276,1276
1480722254,1289,1289
1480722733,1313,1313
1480723458,1330,1330
1480726336,1329,1329
1480727776,1328,1328
1480728509,1326,1326
1480728974,1321,1321
1480729456,1310,1310
1480729932,1303,1303
1480730438,1301,1301
1480730893,1299,1299
1480731613,1296,1296
1480732095,1297,1297
1480732572,1295,1295
1480733056,1294,1294
1480733536,1295,1295
1480734506,1292,1292
1480734982,1291,1291
1480735455,1285,1285
1480735932,1284,1284
1480736414,1284,1284
1480736898,1282,1282
1480738095,1280,1280
1480739052,1279,1279
1480739533,1277,1277
1480740492,1276,1276
1480740973,1272,1272
1480741452,1271,1271
1480741934,1270,1270
1480742895,1269,1269
1480743375,1270,1270
1480745299,1269,1269
1480747456,1268,1268
1480747933,1267,1267
1480748490,1265,1265
1480748892,1266,1266
1480749380,1267,1267
1480750334,1266,1266
1480750814,1267,1267
1480751298,1267,1267
1480752256,1266,1266
1480752731,1264,1264
1480753221,1265,1265
1480754182,1264,1264
1480754652,1264,1264
1480755139,1265,1265
1480756101,1263,1263
1480756573,1263,1263
1480757299,1262,1262
1480757777,1263,1263
1480759282,1262,1262
1480759699,1264,1264
1480760891,1263,1263
1480761373,1263,1263
1480761853,1266,1266
1480764015,1265,1265
1480764492,1266,1266
1480764990,1267,1267
1480765935,1267,1267
1480766422,1266,1266
1480769538,1265,1265
1480770039,1266,1266
1480771456,1265,1265
1480771951,1266,1266
1480778659,1265,1265
1480779133,1266,1266
1480782017,1265,1265
1480782494,1266,1266
1480785854,1268,1268
1480788255,1266,1266
1480788732,1267,1267
1480790173,1268,1268
1480791133,1269,1269
1480796414,1270,1270
1480800491,1269,1269
1480813695,1264,1264
1480814172,1263,1263
1480835774,1265,1265
1480842496,1264,1264
1480858336,1265,1265
1480859774,1266,1266
1480861692,1267,1267
1480881139,1266,1266
1480881852,1267,1267
1480883538,1266,1266
1480889296,1267,1267
1480891460,1268,1268
1480893375,1267,1267
1480896731,1265,1265
1480900098,1264,1264
1480900571,1263,1263
1480901056,1259,1259
1480901539,1254,1254
1480902497,1247,1247
1480902975,1246,1246
1480903704,1243,1243
1480904423,1241,1241
1480904893,1240,1240
1480905376,1239,1239
1480905852,1239,1239
1480906341,1240,1240
1480908013,1239,1239
1480909937,1240,1240
1480910657,1237,1237
1480911135,1238,1238
1480912094,1237,1237
1480912572,1237,1237
1480913051,1236,1236
1480913536,1235,1235
1480914501,1234,1234
1480914975,1234,1234
1480924821,1233,1233
1480925300,1234,1234
1480926255,1233,1233
1480929855,1235,1235
1480930813,1236,1236
1480938255,1235,1235
1480940174,1249,1249
1480940654,1257,1257
1480941133,1258,1258
1480955775,1291,1291
1480956251,1311,1311
1480962253,1312,1312
1480966595,1311,1311
1480971518,1312,1312
1480986771,1301,1301
1480988325,1284,1284
1480989176,1274,1274
1480991328,1272,1272
1480992099,1269,1269
1480992831,1267,1267
1480994121,1267,1267
1480995159,1266,1266
1480996089,1265,1265
1480997100,1266,1266
1480997816,1265,1265
1480998541,1266,1266
1480999499,1264,1264
1481001226,1263,1263
1481002007,1264,1264
