DateTime,AddedIPs,RemovedIPs
1481128922,5,4
1481130122,4,2
1481130722,7,4
1481131322,12,5
1481131922,9,1
1481132522,13,2
1481133121,7,0
1481133721,4,11
1481134321,8,0
1481135522,20,4
1481137322,1,8
1481138522,9,11
1481139122,14,0
1481139722,8,3
1481140922,21,10
1481141522,13,0
1481142122,0,1
1481142721,15,1
1481143321,9,0
1481143922,15,6
1481144522,8,15
1481145121,7,1
1481145722,3,3
1481146321,51,0
1481146922,20,0
1481147521,26,0
1481148122,15,17
1481148722,8,0
1481149322,10,0
1481149921,31,4
1481150522,3,1
1481151722,45,1
1481152322,37,27
1481152922,22,0
1481153522,2,0
1481154121,6,0
1481154722,26,6
1481155322,10,2
1481155922,14,14
1481156522,4,0
1481157722,2,10
1481158322,9,3
1481158921,5,0
1481159522,10,1
1481160122,7,1
1481160723,13,0
1481161322,2,0
1481161922,5,0
1481162521,3,3
1481163122,6,1
1481163722,5,26
1481164922,4,0
1481165522,6,6
1481166122,36,1
1481167321,17,0
1481167921,23,9
1481168522,6,3
1481169722,48,6
1481170322,10,0
1481170922,2,0
1481171521,5,15
1481172122,10,0
1481172722,4,2
1481173321,22,4
1481173922,17,0
1481174522,10,0
1481175121,25,1
1481175722,42,30
1481176322,75,9
1481176921,4,0
1481178121,59,1
1481178721,1,7
1481179322,39,0
1481180522,7,12
1481181121,18,0
1481181721,6,4
1481182321,3,0
1481182922,5,2
1481183521,3,0
1481184122,1,1
1481185322,3,1
1481186522,12,2
1481187122,27,0
1481187721,4,1
1481188321,16,4
1481188923,48,0
1481189522,33,3
1481190121,20,5
1481190722,7,2
1481191321,7,0
1481192522,7,4
1481193121,7,1
1481193722,2,0
1481194322,0,2
1481194921,6,0
1481195522,5,0
1481196122,6,0
1481197322,7,16
1481197921,37,0
1481198522,6,0
1481199122,12,4
1481199722,34,1
1481200922,5,5
1481201521,3,0
1481202122,42,0
1481202721,1,0
1481203321,1,0
1481203922,2,4
1481204522,37,0
1481205122,4,20
1481205722,12,0
1481206322,16,1
1481206922,6,1
1481207521,9,0
1481208122,1,7
1481209321,5,11
1481209921,0,3
1481210522,10,0
1481211121,3,0
1481211722,13,10
1481212322,17,6
1481212921,4,0
1481213522,21,0
1481214122,13,3
1481214721,14,10
1481215322,18,0
1481215922,2,3
1481216522,20,3
1481217122,6,1
