DateTime,Entries,UniqueIPs
1481091121,11144,11239
1481092921,11147,11242
1481094121,11148,11243
1481095922,11154,11249
1481097121,11159,11254
1481098922,11143,11236
1481100121,11146,11239
1481101921,11160,11253
1481103122,11183,11277
1481104921,11197,11292
1481106121,11207,11302
1481107922,11181,11276
1481109722,11181,11276
1481110922,11169,11264
1481112121,11175,11270
1481113321,11212,11304
1481115122,11205,11297
1481115721,11212,11305
1481116921,11218,11311
1481117522,11229,11322
1481118122,11233,11326
1481118721,11247,11340
1481119321,11251,11344
1481119922,11253,11347
1481121121,11253,11347
1481121721,11251,11345
1481122321,11258,11352
1481122921,11260,11356
1481124122,11276,11373
1481124722,11282,11379
1481125322,11288,11385
1481125922,11294,11391
1481127121,11317,11414
1481128322,11338,11435
1481128922,11339,11436
1481130122,11341,11438
1481130722,11344,11441
1481131322,11351,11448
1481131922,11359,11456
1481132522,11370,11467
1481133121,11377,11474
1481133721,11370,11467
1481134321,11378,11475
1481135522,11394,11491
1481137322,11387,11484
1481138522,11385,11482
1481139122,11399,11496
1481139722,11404,11501
1481140922,11415,11512
1481141522,11428,11525
1481142122,11427,11524
1481142721,11441,11538
1481143321,11450,11547
1481143922,11459,11556
1481144522,11452,11549
1481145121,11458,11555
1481145722,11458,11555
1481146321,11507,11606
1481146922,11527,11626
1481147521,11553,11652
1481148122,11552,11650
1481148722,11560,11658
1481149322,11570,11668
1481149921,11598,11695
1481150522,11600,11697
1481151722,11643,11741
1481152322,11654,11751
1481152922,11676,11773
1481153522,11678,11775
1481154121,11684,11781
1481154722,11704,11801
1481155322,11712,11809
1481155922,11709,11809
1481156522,11713,11813
1481157722,11705,11805
1481158322,11711,11811
1481158921,11716,11816
1481159522,11725,11825
1481160122,11731,11831
1481160723,11741,11844
1481161322,11743,11846
1481161922,11748,11851
1481162521,11748,11851
1481163122,11753,11856
1481163722,11732,11835
1481164922,11736,11839
1481165522,11735,11839
1481166122,11770,11874
1481167321,11787,11891
1481167921,11801,11905
1481168522,11804,11908
1481169722,11847,11950
1481170322,11857,11960
1481170922,11859,11962
1481171521,11849,11952
1481172122,11859,11962
1481172722,11861,11964
1481173321,11879,11982
1481173922,11896,11999
1481174522,11906,12009
1481175121,11930,12033
1481175722,11942,12045
1481176322,12008,12111
1481176921,12012,12115
1481178121,12070,12173
1481178721,12064,12167
1481179322,12103,12206
1481180522,12098,12201
1481181121,12116,12219
1481181721,12118,12221
1481182321,12121,12224
1481182922,12124,12227
1481183521,12127,12230
1481184122,12127,12230
1481185322,12129,12232
1481186522,12139,12242
1481187122,12166,12269
1481187721,12169,12272
1481188321,12181,12284
1481188923,12229,12332
1481189522,12259,12362
1481190121,12274,12377
1481190722,12280,12382
1481191321,12287,12389
1481192522,12290,12392
1481193121,12296,12398
1481193722,12298,12400
1481194322,12296,12398
1481194921,12302,12404
1481195522,12307,12409
1481196122,12313,12415
1481197322,12305,12406
1481197921,12342,12443
1481198522,12348,12449
1481199122,12356,12457
1481199722,12389,12490
1481200922,12389,12490
1481201521,12392,12493
