DateTime,AddedIPs,RemovedIPs
1481107922,80,80
1481109722,80,80
1481110922,79,79
1481112121,80,80
1481113321,80,80
1481115122,80,80
1481115721,79,79
1481116921,80,80
1481117522,80,80
1481118122,79,79
1481118721,80,80
1481119321,80,80
1481119922,80,80
1481121121,80,80
1481121721,80,80
1481122321,76,76
1481122921,78,78
1481124122,80,80
1481124722,80,80
1481125322,80,80
1481125922,77,77
1481127121,80,80
1481128322,80,80
1481128922,80,80
1481130122,80,80
1481130722,80,80
1481131322,80,80
1481131922,74,74
1481132522,74,74
1481133121,79,79
1481133721,80,80
1481134321,78,78
1481135522,79,79
1481137322,80,80
1481138522,80,80
1481139122,80,80
1481139722,80,80
1481140922,80,80
1481141522,80,80
1481142122,80,80
1481142721,80,80
1481143321,80,80
1481143922,80,80
1481144522,80,80
1481145121,80,80
1481145722,80,80
1481146321,80,80
1481146922,80,80
1481147521,80,80
1481148122,80,80
1481148722,80,80
1481149322,80,80
1481149921,80,80
1481150522,80,80
1481151722,80,80
1481152322,80,80
1481152922,80,80
1481153522,80,80
1481154121,80,80
1481154722,80,80
1481155322,80,80
1481155922,80,80
1481156522,80,80
1481157722,79,79
1481158322,80,80
1481158921,80,80
1481159522,80,80
1481160122,80,80
1481160723,80,80
1481161322,80,80
1481161922,80,80
1481162521,80,80
1481163122,80,80
1481163722,80,80
1481164922,80,80
1481165522,80,80
1481166122,80,80
1481167321,80,80
1481167921,80,80
1481168522,80,80
1481169722,80,80
1481170322,79,79
1481170922,80,80
1481171521,80,80
1481172122,80,80
1481172722,80,80
1481173321,80,80
1481173922,80,80
1481174522,80,80
1481175121,80,80
1481175722,80,80
1481176322,80,80
1481176921,80,80
1481178121,80,80
1481178721,80,80
1481179322,80,80
1481180522,80,80
1481181121,80,80
1481181721,80,80
1481182321,80,80
1481182922,74,74
1481183521,80,80
1481184122,80,80
1481185322,80,80
1481186522,79,79
1481187122,80,80
1481187721,80,80
1481188321,80,80
1481188923,80,80
1481189522,80,80
1481190121,80,80
1481190722,79,79
1481191321,80,80
1481192522,80,80
1481193121,79,79
1481193722,80,80
1481194322,79,79
1481194921,80,80
1481195522,80,80
1481196122,80,80
1481197322,79,79
1481197921,78,78
1481198522,80,80
1481199122,79,79
1481199722,80,80
1481200922,80,80
1481201521,79,79
1481202122,79,79
1481202721,11,11
1481203321,80,80
1481203922,80,80
1481204522,80,80
1481205122,80,80
1481205722,80,80
1481206322,79,79
1481206922,80,80
1481207521,79,79
1481208122,80,80
1481209321,80,80
1481209921,80,80
1481210522,79,79
1481211121,80,80
1481211722,80,80
1481212322,80,80
1481212921,79,79
1481213522,80,80
1481214122,80,80
1481214721,80,80
1481215322,79,79
1481215922,80,80
1481216522,80,80
1481217122,80,80
1481217722,80,80
1481218922,80,80
1481219522,80,80
1481220121,80,80
1481220722,80,80
1481221321,79,79
1481221921,79,79
1481222521,74,74
1481223122,79,79
1481223721,79,79
1481224322,80,80
1481224921,73,73
1481225522,79,79
1481226121,74,74
1481226722,80,80
1481227322,80,80
1481227922,80,80
1481228521,79,79
1481229122,77,77
1481229722,78,78
1481230322,79,79
1481230922,79,79
1481231522,79,79
1481232121,76,76
1481233322,79,79
1481233921,79,79
1481234521,80,80
1481235121,76,76
1481235722,67,67
1481236322,80,80
1481236922,80,80
1481237522,80,80
1481238121,79,79
1481238722,79,79
1481239322,80,80
1481240522,80,80
1481241121,75,75
1481241722,78,78
1481242321,79,79
1481242921,80,80
1481243522,80,80
1481244122,78,78
1481244721,80,80
1481245323,66,66
1481245922,80,80
1481246521,80,80
1481247121,80,80
1481247722,79,79
1481248322,79,79
1481248922,80,80
1481249521,78,78
1481250122,80,80
1481250722,77,77
1481251321,80,80
1481251921,76,76
1481252522,80,80
1481253122,80,80
1481253722,77,77
1481254321,80,80
1481254921,76,76
1481255521,79,79
1481256121,76,76
1481256722,78,78
1481257322,80,80
1481257921,80,80
1481258522,80,80
1481259722,79,79
1481260322,78,78
1481260921,80,80
1481261522,80,80
1481262121,79,79
1481262722,75,75
1481263322,80,80
1481263922,80,80
1481264521,80,80
1481265722,80,80
1481266322,80,80
1481266921,80,80
1481267522,79,79
1481268122,79,79
1481269322,80,80
1481269922,80,80
1481270522,80,80
1481271122,80,80
1481271721,80,80
