DateTime,Entries,UniqueIPs
1478891632,194103,196718
1478905826,201501,204226
1478909638,205051,207820
1478913145,208465,211270
1478920162,212405,215237
1478931278,210414,213229
1478934556,215828,218742
1478941818,222142,225224
1478945627,224526,227657
1478956438,221741,224784
1478960025,215899,218822
1478963356,215766,218694
1478966984,218014,220983
1478977810,211456,214152
1478981350,210257,212874
1478989031,213067,215770
1478999819,219841,222731
1479010673,230979,234268
1479017988,236664,240232
1479020925,237017,240594
1479024538,237724,241322
1479028126,237713,241312
1479039184,236120,239693
1479042720,232707,236227
1479046329,228200,231654
1479049727,224821,228266
1479053528,221050,224458
1479056924,217090,220436
1479060534,213071,216374
1479064126,209619,212885
1479067832,205902,209124
1479071554,201277,204429
1479082130,189916,192894
1479085712,186836,189766
1479096680,179032,181964
1479100130,177443,180340
1479103963,175375,178261
1479107335,172101,174940
1479110908,165135,167771
1479114484,160906,163391
1479118087,156968,159405
1479121769,153257,155641
1479125269,149906,152262
1479128876,146217,148516
1479132927,158620,161370
1479136148,156729,159450
1479139986,152107,154742
1479146942,146563,149189
1479154379,142650,145255
1479157715,140056,142634
1479161498,139026,141584
1479164947,138111,140667
1479168772,131339,133727
1479172227,128956,131365
1479175713,123837,126173
1479179316,122419,124744
1479183160,117380,119596
1479186762,107562,109466
1479190128,100760,102458
1479193965,101814,103537
1479197347,102049,103764
1479212194,104397,106159
1479215337,105385,107158
1479219177,107989,109865
1479222574,110284,112211
1479226144,110619,112572
1479233563,110916,112945
1479247964,110798,112843
1479254927,109988,112033
1479258513,110580,112636
1479262368,110806,112847
1479265914,110796,112833
1479269487,110084,112094
1479280407,108198,110149
1479283963,107411,109354
1479287547,106318,108248
1479298150,104297,106215
1479301983,105962,107937
1479305342,106433,108436
1479316359,108126,110183
1479319954,108196,110259
1479323550,107948,110021
1479327021,107465,109548
1479334294,108336,110444
1479341410,105074,107150
1479344913,104064,106121
1479348524,103448,105466
1479352115,103099,105111
1479355916,103014,105023
1479359544,102493,104507
1479363113,101660,103650
1479366708,100724,102680
1479370384,100066,102033
1479373724,99508,101483
1479377574,100137,102129
1479381025,99529,101485
1479384748,99841,101782
1479395573,96180,98059
1479399213,94744,96582
1479402736,95973,97824
1479406131,95981,97810
1479413321,95248,97060
1479416929,95980,97827
1479420520,96878,98749
1479431530,97190,99090
1479438978,96742,98671
1479442117,96741,98648
1479445814,96943,98875
1479449409,96778,98676
1479452931,96902,98780
1479456518,97367,99241
1479460340,97507,99381
1479467843,98102,99933
1479474766,97393,99175
1479482003,95186,96910
1479492891,92913,94604
1479496114,91513,93158
1479499721,90332,91899
1479503416,89941,91520
1479506912,90035,91624
1479510523,89239,90822
1479514218,89127,90684
1479517715,89042,90603
1479521310,89115,90654
1479525013,89209,90758
1479528492,89306,90847
1479535712,89118,90657
1479539348,89360,90903
1479542915,89317,90883
1479546823,89056,90599
1479550131,88792,90336
1479553904,87625,89174
1479557561,86791,88341
1479560955,85781,87366
1479564512,84697,86249
1479571842,84161,85710
1479575517,82549,84073
1479582886,79298,80772
1479586313,78906,80336
1479589876,78678,80103
1479593489,77417,78867
1479597096,76807,78231
1479600512,76352,77759
1479604147,76255,77666
1479607713,75904,77300
1479611298,75592,76990
1479614903,74918,76295
1479618528,74616,75993
1479629436,75203,76584
1479632907,74795,76173
1479636721,74467,75835
1479640281,74544,75896
1479643896,73542,74875
1479647316,72637,73923
1479650950,72444,73718
1479654691,72313,73580
1479658116,71989,73235
1479661949,71574,72803
1479669376,71374,72569
1479672508,71051,72231
1479676284,70757,71937
1479679871,71674,72874
1479687346,71769,72994
1479694302,72774,74009
1479697719,73188,74423
1479701527,73876,75104
1479704921,74234,75466
1479708745,74002,75207
1479712124,74156,75350
1479723049,78797,79986
1479726557,77581,78737
1479730098,91152,92444
1479734148,96857,98189
1479737451,101833,103181
1479741320,106026,107420
1479762905,137963,139809
1479766200,143995,145923
1479773704,152294,154320
1479776975,157554,159684
1479780586,165024,167358
